"","source","month_arabic","day_arabic","year","island","order","family","genus","specificEp","scientificName"
"54","iNaturalist",2,10,2019,"San Clemente","Hymenoptera ","Formicidae","","","Myrmicinae"
"55","iNaturalist",2,28,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Ophion","","Ophion"
"56","iNaturalist",3,7,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","edwardsii","Anthophora edwardsii"
"57","iNaturalist",3,7,2019,"San Clemente","Hymenoptera ","Andrenidae","Andrena","","Diandrena"
"58","iNaturalist",1,6,2019,"San Clemente","Hymenoptera ","Mutillidae","Sphaeropthalma","unicolor","Sphaeropthalma unicolor"
"59","iNaturalist",3,2,2019,"San Clemente","Hymenoptera ","Formicidae","Tapinoma","sessile","Tapinoma sessile"
"60","iNaturalist",3,14,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","","Anthophora"
"61","iNaturalist",3,17,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","","Anthophora"
"62","iNaturalist",3,18,2019,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"63","iNaturalist",3,26,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"64","iNaturalist",3,26,2019,"San Clemente","Hymenoptera ","Pompilidae","","","Pompilidae"
"65","iNaturalist",3,27,2019,"San Clemente","Hymenoptera ","Sphecidae","Podalonia","","Podalonia"
"66","iNaturalist",3,21,2019,"San Clemente","Hymenoptera ","Formicidae","Aphaenogaster","patruelis","Aphaenogaster patruelis"
"67","iNaturalist",3,22,2019,"San Clemente","Hymenoptera ","Formicidae","Aphaenogaster","patruelis","Aphaenogaster patruelis"
"68","iNaturalist",3,22,2019,"San Clemente","Hymenoptera ","Pompilidae","Aporus","hirsutus","Aporus hirsutus"
"69","iNaturalist",3,22,2019,"San Clemente","Hymenoptera ","Formicidae","Pheidole","clementensis","Pheidole clementensis"
"70","iNaturalist",3,22,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","","Camponotus"
"71","iNaturalist",3,23,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","bakeri","Camponotus bakeri"
"72","iNaturalist",3,23,2019,"San Clemente","Hymenoptera ","Formicidae","Aphaenogaster","patruelis","Aphaenogaster patruelis"
"73","iNaturalist",3,23,2019,"San Clemente","Hymenoptera ","Formicidae","Monomorium","ergatogyna","Monomorium ergatogyna"
"74","iNaturalist",3,23,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","bakeri","Camponotus bakeri"
"75","iNaturalist",3,24,2019,"San Clemente","Hymenoptera ","Formicidae","Aphaenogaster","patruelis","Aphaenogaster patruelis"
"76","iNaturalist",3,24,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"77","iNaturalist",3,30,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","hyatti","Camponotus hyatti"
"78","iNaturalist",3,26,2019,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"79","iNaturalist",3,26,2019,"San Clemente","Hymenoptera ","Apidae","","","Anthophorini"
"80","iNaturalist",3,26,2019,"San Clemente","Hymenoptera ","Formicidae","Pheidole","clementensis","Pheidole clementensis"
"81","iNaturalist",3,25,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","maculosum","Anthidium maculosum"
"82","iNaturalist",3,26,2019,"San Clemente","Hymenoptera ","Formicidae","Solenopsis","","Solenopsis"
"83","iNaturalist",3,21,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","","Anthophora"
"84","iNaturalist",3,23,2019,"San Clemente","Hymenoptera "," ","","","Ichneumonoidea"
"85","iNaturalist",3,23,2019,"San Clemente","Hymenoptera ","Apidae","Habropoda","depressa","Habropoda depressa"
"86","iNaturalist",3,27,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","maculosum","Anthidium maculosum"
"87","iNaturalist",3,28,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Ophion","","Ophion"
"88","iNaturalist",3,27,2019,"San Clemente","Hymenoptera ","Formicidae","Tanaemyrmex","","Tanaemyrmex"
"89","iNaturalist",3,27,2019,"San Clemente","Hymenoptera ","Megachilidae","Osmia","","Osmia"
"90","iNaturalist",3,28,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Enicospilus","purgatus","Enicospilus purgatus"
"91","iNaturalist",3,28,2019,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"92","iNaturalist",3,28,2019,"San Clemente","Hymenoptera ","Formicidae","Tapinoma","sessile","Tapinoma sessile"
"93","iNaturalist",3,28,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","","Anthidium"
"94","iNaturalist",3,28,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","","Anthidium"
"95","iNaturalist",4,10,2019,"San Clemente","Hymenoptera ","Pompilidae","","","Pompilidae"
"96","iNaturalist",4,10,2019,"San Clemente","Hymenoptera ","Megachilidae","Osmia","","Osmia"
"97","iNaturalist",4,10,2019,"San Clemente","Hymenoptera ","Apidae","","","Anthophorini"
"98","iNaturalist",3,28,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Ophion","","Ophion"
"99","iNaturalist",4,12,2019,"San Clemente","Hymenoptera ","Apidae","","","Anthophorini"
"100","iNaturalist",4,13,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","","Anthidium"
"101","iNaturalist",4,13,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","hyatti","Camponotus hyatti"
"102","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Formicidae","Linepithema","humile","Linepithema humile"
"103","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"104","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Apidae","Habropoda","depressa","Habropoda depressa"
"105","iNaturalist",4,17,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","","Anthidium"
"106","iNaturalist",4,11,2019,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","","Agapostemon"
"107","iNaturalist",4,11,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","","Anthophora"
"108","iNaturalist",4,13,2019,"San Clemente","Hymenoptera ","Megachilidae","Osmia","","Osmia"
"109","iNaturalist",4,13,2019,"San Clemente","Hymenoptera ","Apidae","Habropoda","","Habropoda"
"110","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Sphecidae","","","Ammophilini"
"111","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Sphecidae","Podalonia","","Podalonia"
"112","iNaturalist",4,15,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"113","iNaturalist",4,17,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"114","iNaturalist",4,17,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Netelia","","Netelia"
"115","iNaturalist",4,17,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Netelia","","Netelia"
"116","iNaturalist",4,17,2019,"San Clemente","Hymenoptera ","Braconidae","","","Braconidae"
"117","iNaturalist",4,26,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"118","iNaturalist",4,26,2019,"San Clemente","Hymenoptera ","Pompilidae","","","Pompilidae"
"119","iNaturalist",4,26,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","","Anthidium"
"120","iNaturalist",4,26,2019,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"121","iNaturalist",4,26,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"122","iNaturalist",4,27,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"123","iNaturalist",4,27,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"124","iNaturalist",4,28,2019,"San Clemente","Hymenoptera ","Apidae","Habropoda","depressa","Habropoda depressa"
"125","iNaturalist",4,27,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"126","iNaturalist",4,28,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","","Anthophora"
"127","iNaturalist",4,29,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"128","iNaturalist",4,29,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"129","iNaturalist",4,29,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"130","iNaturalist",4,29,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"131","iNaturalist",4,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"132","iNaturalist",4,29,2019,"San Clemente","Hymenoptera ","Crabronidae","Bembix","","Bembix"
"133","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"134","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Netelia","","Netelia"
"135","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"136","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"137","iNaturalist",4,30,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Ophion","","Ophion"
"138","iNaturalist",4,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"139","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"140","iNaturalist",4,30,2019,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"141","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Sphecidae","Podalonia","","Podalonia"
"142","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"143","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Pompilidae","","","Pompilidae"
"144","iNaturalist",5,2,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"145","iNaturalist",5,1,2019,"San Clemente","Hymenoptera ","Sphecidae","Podalonia","","Podalonia"
"146","iNaturalist",4,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"147","iNaturalist",4,29,2019,"San Clemente","Hymenoptera ","Apidae","Nomada","","Nomada"
"148","iNaturalist",4,29,2019,"San Clemente","Hymenoptera ","Crabronidae","Bembix","","Bembix"
"149","iNaturalist",5,7,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"150","iNaturalist",5,8,2019,"San Clemente","Hymenoptera ","Formicidae","Tapinoma","sessile","Tapinoma sessile"
"151","iNaturalist",5,8,2019,"San Clemente","Hymenoptera ","Formicidae","Monomorium","ergatogyna","Monomorium ergatogyna"
"152","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Sphecidae","","","Ammophilini"
"153","iNaturalist",5,7,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"154","iNaturalist",5,11,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","hyatti","Camponotus hyatti bakeri"
"155","iNaturalist",5,7,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"156","iNaturalist",5,2,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"157","iNaturalist",5,2,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"158","iNaturalist",5,2,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"159","iNaturalist",5,2,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Ophion","","Ophion"
"160","iNaturalist",5,5,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"161","iNaturalist",5,7,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","maculosum","Anthidium maculosum"
"162","iNaturalist",5,7,2019,"San Clemente","Hymenoptera ","Apidae","Habropoda","depressa","Habropoda depressa"
"163","iNaturalist",5,7,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"164","iNaturalist",5,7,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"165","iNaturalist",5,7,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"166","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"167","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"168","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"169","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"170","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"171","iNaturalist",5,5,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"172","iNaturalist",5,5,2019,"San Clemente","Hymenoptera "," ","","","Ichneumonoidea"
"173","iNaturalist",5,4,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Ophion","","Ophion"
"174","iNaturalist",5,4,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"175","iNaturalist",5,4,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"176","iNaturalist",5,4,2019,"San Clemente","Hymenoptera ","Megachilidae","Osmia","","Osmia"
"177","iNaturalist",5,3,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"178","iNaturalist",5,3,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"179","iNaturalist",5,3,2019,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"180","iNaturalist",5,3,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"181","iNaturalist",5,3,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","bakeri","Camponotus bakeri"
"182","iNaturalist",5,3,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"183","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"184","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"185","iNaturalist",5,6,2019,"San Clemente","Hymenoptera ","Apidae","Melissodes","","Melissodes"
"186","iNaturalist",5,8,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"187","iNaturalist",5,8,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","","Anthophora"
"188","iNaturalist",5,8,2019,"San Clemente","Hymenoptera ","Apidae","Habropoda","depressa","Habropoda depressa"
"189","iNaturalist",4,13,2019,"San Clemente","Hymenoptera ","Megachilidae","Osmia","","Osmia"
"190","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Megachilidae","Osmia","","Osmia"
"191","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Megachilidae","Osmia","","Melanosmia"
"192","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Megachilidae","Osmia","","Melanosmia"
"193","iNaturalist",4,14,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"194","iNaturalist",4,15,2019,"San Clemente","Hymenoptera ","Apidae","Habropoda","depressa","Habropoda depressa"
"195","iNaturalist",3,7,2019,"San Clemente","Hymenoptera ","Andrenidae","Andrena","","Diandrena"
"196","iNaturalist",4,28,2019,"San Clemente","Hymenoptera ","Sphecidae","","","Prionychini"
"197","iNaturalist",4,28,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","","Anthidium"
"198","iNaturalist",4,28,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"199","iNaturalist",4,28,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"200","iNaturalist",5,27,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","","Camponotus"
"201","iNaturalist",5,29,2019,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"202","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"203","iNaturalist",5,31,2019,"San Clemente","Hymenoptera ","Apidae","Melissodes","","Melissodes"
"204","iNaturalist",6,1,2019,"San Clemente","Hymenoptera ","Apidae","Melissodes","","Melissodes"
"205","iNaturalist",6,2,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","maculosum","Anthidium maculosum"
"206","iNaturalist",6,3,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"207","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Crabronidae","Bembix","","Bembix"
"208","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Apidae","Nomada","","Nomada"
"209","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"210","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","","Camponotus"
"211","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Sphecidae","Podalonia","","Podalonia"
"212","iNaturalist",6,3,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"213","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","","Anthophora"
"214","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"215","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"216","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Crabronidae","Bembix","","Bembix"
"217","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Apidae","Nomada","","Nomada"
"218","iNaturalist",5,31,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"219","iNaturalist",5,31,2019,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"220","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"221","iNaturalist",6,3,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana clementina"
"222","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Crabronidae","Bembix","","Bembix"
"223","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Vespidae","Ancistrocerus","","Ancistrocerus"
"224","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Crabronidae","Bembix","","Bembix"
"225","iNaturalist",6,4,2019,"San Clemente","Hymenoptera ","Apidae","Nomada","","Nomada"
"226","iNaturalist",6,1,2019,"San Clemente","Hymenoptera ","Apidae","Melissodes","","Melissodes"
"227","iNaturalist",6,1,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"228","iNaturalist",6,1,2019,"San Clemente","Hymenoptera ","Perilampidae","","","Perilampidae"
"229","iNaturalist",6,1,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"230","iNaturalist",5,31,2019,"San Clemente","Hymenoptera ","Apidae","Melissodes","","Melissodes"
"231","iNaturalist",5,31,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"232","iNaturalist",5,31,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"233","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"234","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"235","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"236","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"237","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"238","iNaturalist",5,30,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"239","iNaturalist",6,16,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"240","iNaturalist",6,20,2019,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"241","iNaturalist",6,22,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"242","iNaturalist",7,2,2019,"San Clemente","Hymenoptera ","Crabronidae","Bembix","americana","Bembix americana"
"243","iNaturalist",6,23,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"244","iNaturalist",6,22,2019,"San Clemente","Hymenoptera ","Apidae","Melissodes","","Melissodes"
"245","iNaturalist",6,22,2019,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"246","iNaturalist",7,1,2019,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"247","iNaturalist",6,21,2019,"San Clemente","Hymenoptera ","Megachilidae","Anthidium","","Anthidium"
"248","iNaturalist",6,20,2019,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"249","iNaturalist",6,20,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Cryptus","","Cryptus"
