obs_num,observed_o,observed_1,user_id,quality_gr,place_gues,latitude,longitude,ArcMap_IslandName,month,day,year,infraorder,suborder,superfamily,bee,family,subfamily,tribe,subtribe,genus,subgenus,species,scientific,island
24,2018/04/28 8:36 AM PDT,4/28/18 0:00,23091,research,"Los Angeles County, CA, USA",32.90484823,-118.467797,San Clemente,4,28,2018,,,,Anthophila,Apidae,,,,Diadasia,,bituberculata,Diadasia bituberculata,San Clemente
25,2018/04/27 2:05 PM PDT,4/27/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.91893507,-118.5440254,San Clemente,4,27,2018,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
26,Sat Apr 28 2018 14:45:48 GMT-0700 (PDT),4/28/18 0:00,887173,research,"San Clemente Island Underwater Range, , CA, US",32.91883833,-118.5449917,San Clemente,4,28,2018,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
27,2018/04/28 9:24 AM PDT,4/28/18 0:00,213838,needs_id,"san clemente island, ca",32.914756,-118.485918,San Clemente,4,28,2018,,,,,Ichneumonidae,,,,,,,Ichneumonidae,San Clemente
28,2018/04/28 9:18 AM PDT,4/28/18 0:00,213838,needs_id,"san clemente island, ca",32.914756,-118.485918,San Clemente,4,28,2018,,,,Anthophila,Apidae,,,,Diadasia,,bituberculata,Diadasia bituberculata,San Clemente
29,2018/04/29 9:37 AM PDT,4/29/18 0:00,23091,research,"Los Angeles County, CA, USA",32.87982121,-118.5077736,San Clemente,4,29,2018,,,,,Formicidae,,,,Aphaenogaster,,patruelis,Aphaenogaster patruelis,San Clemente
30,2018/04/27 9:34 AM PDT,4/27/18 0:00,455388,needs_id,"Los Angeles County, CA, USA",32.87093694,-118.4295273,San Clemente,4,27,2018,,,,,Formicidae,,,,Monomorium,,,Monomorium,San Clemente
31,2018/04/26 8:36 AM PDT,4/26/18 0:00,23091,research,"Los Angeles County, CA, USA",32.85532834,-118.4130371,San Clemente,4,26,2018,,,,Anthophila,Apidae,,,,Diadasia,,bituberculata,Diadasia bituberculata,San Clemente
32,Sat May 12 2018 14:08:02 GMT-0700 (PDT),5/12/18 0:00,213838,needs_id,"Los Angeles County, US-CA, US",32.87403014,-118.4926578,San Clemente,5,12,2018,,,,,Formicidae,,,,Camponotus,,bakeri,Camponotus bakeri,San Clemente
33,Tue May 15 2018 10:00:12 GMT-0700 (PDT),5/15/18 0:00,887173,needs_id,"San Clemente Island Underwater Range, , CA, US",33.01609722,-118.5823217,San Clemente,5,15,2018,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,San Clemente
34,Sun May 13 2018 09:13:30 GMT-0700 (PDT),5/13/18 0:00,887173,research,"San Clemente Island Underwater Range, , CA, US",32.996105,-118.5577,San Clemente,5,13,2018,,,,Anthophila,Apidae,,,,Anthophora,,urbana,Anthophora urbana,San Clemente
35,2018/06/22 10:24 AM PDT,6/22/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.83916794,-118.3795857,San Clemente,6,22,2018,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,San Clemente
36,2018/06/22 10:15 AM PDT,6/22/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.83871722,-118.380369,San Clemente,6,22,2018,,,,,Formicidae,,,,,,,Formicidae,San Clemente
37,2018/06/22 10:09 AM PDT,6/22/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.83822533,-118.379929,San Clemente,6,22,2018,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,San Clemente
38,2018/06/22 10:21 AM PDT,6/22/18 0:00,23091,research,"Los Angeles County, CA, USA",32.83715142,-118.3813989,San Clemente,6,22,2018,,,,Anthophila,Apidae,,,,Diadasia,,bituberculata,Diadasia bituberculata,San Clemente
39,2018/07/06 9:14 AM PDT,7/6/18 0:00,23091,research,"Los Angeles County, CA, USA",32.92370502,-118.5411637,San Clemente,7,6,2018,,,,,Sphecidae,,,,Sceliphron,,caementarium,Sceliphron caementarium,San Clemente
40,Mon Jul 09 2018 08:41:14 GMT-0700 (PDT),7/9/18 0:00,887173,research,"San Clemente Island Underwater Range, , CA, US",32.94573667,-118.5321417,San Clemente,7,9,2018,,,,,Formicidae,,,,Linepithema,,humile,Linepithema humile,San Clemente
41,Sat Jul 07 2018 10:26:39 GMT-0700 (PDT),7/7/18 0:00,887173,needs_id,"San Clemente Island Underwater Range, , CA, US",32.87176167,-118.4628367,San Clemente,7,7,2018,,,,Anthophila, ,,,,,,,Anthophila,San Clemente
42,2018/07/19 10:11 AM PDT,7/19/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.88853488,-118.4454719,San Clemente,7,19,2018,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,San Clemente
43,2018/07/19 10:07 AM PDT,7/19/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.88853488,-118.4455715,San Clemente,7,19,2018,,,,,Formicidae,,,,,,,Formicidae,San Clemente
44,2018/07/19 10:47 AM PDT,7/19/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.88785027,-118.4478966,San Clemente,7,19,2018,,,,,Formicidae,,,,,,,Formicidae,San Clemente
45,2018/07/19 11:04 AM PDT,7/19/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.88752575,-118.447961,San Clemente,7,19,2018,,,Apoidea,, ,,,,,,,Apoidea,San Clemente
46,Wed Aug 01 2018 15:52:23 GMT-0700 (PDT),8/1/18 0:00,213838,research,"San Clemente Island Underwater Range, , CA, US",32.92901438,-118.5069855,San Clemente,8,1,2018,,,,,Sphecidae,,,,Sceliphron,,caementarium,Sceliphron caementarium,San Clemente
47,2016/06/25 4:46 PM PDT,6/25/16 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.9788542,-118.5526449,San Clemente,6,25,2016,,,,,Sphecidae,,,,Podalonia,,,Podalonia,San Clemente
48,2018/10/26 10:33 AM PDT,10/26/18 0:00,23091,research,"Los Angeles County, CA, USA",33.01594702,-118.5929174,San Clemente,10,26,2018,,,,,Sphecidae,,,,Sceliphron,,caementarium,Sceliphron caementarium,San Clemente
49,2018/10/29 2:38 PM PDT,10/29/18 0:00,724795,needs_id,"San Clemente Island, California",32.883278,-118.513181,San Clemente,10,29,2018,,,,,Sphecidae,,,,Ammophila,,,Ammophila,San Clemente
50,Mon Dec 24 2018 10:28:21 GMT-0800 (PST),12/24/18 0:00,266196,needs_id,"Los Angeles County, US-CA, US",32.902171,-118.4718733,San Clemente,12,24,2018,,,,,Formicidae,,,,Pheidole,,,Pheidole,San Clemente
51,2019/01/04 6:47 PM PST,1/4/19 0:00,213838,research,"san clemente island, ca",33.003515,-118.55757,San Clemente,1,4,2019,,,,,Ichneumonidae,,,,Ophion,,,Ophion,San Clemente
52,2019/01/04 7:45 PM PST,1/4/19 0:00,266196,research,"Los Angeles, California, United States",33.00258056,-118.5579444,San Clemente,1,4,2019,,,,,Ichneumonidae,,,,Ophion,,,Ophion,San Clemente
53,Thu Feb 07 2019 13:34:27 GMT-0800 (PST),2/7/19 0:00,266196,needs_id,"San Clemente Island Underwater Range, , CA, US",32.91412964,-118.4834824,San Clemente,2,7,2019,,,,,Formicidae,,,,Camponotus,,,Camponotus,San Clemente
54,Sun Feb 10 2019 09:42:19 GMT-0800 (PST),2/10/19 0:00,266196,needs_id,"Los Angeles County, US-CA, US",32.80540285,-118.4255369,San Clemente,2,10,2019,,,,,Formicidae,Myrmicinae,,,,,,Myrmicinae,San Clemente
55,2019-02-28 7:33:51 PM PST,2/28/19 0:00,34488,needs_id,"Unnamed Road, California, USA",32.99854739,-118.5527969,San Clemente,2,28,2019,,,,,Ichneumonidae,,,,Ophion,,,Ophion,San Clemente
56,2019-03-07 10:12:55 AM PST,3/7/19 0:00,34488,research,"Los Angeles County, CA, USA",32.91832237,-118.4904922,San Clemente,3,7,2019,,,,Anthophila,Apidae,,,,Anthophora,,edwardsii,Anthophora edwardsii,San Clemente
57,2019-03-07 1:04:19 PM PST,3/7/19 0:00,34488,needs_id,Site 4,32.91866854,-118.4905385,San Clemente,3,7,2019,,,,Anthophila,Andrenidae,,,,Andrena,Diandrena,,Diandrena,San Clemente
58,2019/01/06 2:34 PM PST,1/6/19 0:00,266196,research,"Los Angeles County, CA, USA",32.99399167,-118.548425,San Clemente,1,6,2019,,,,,Mutillidae,,,,Sphaeropthalma,,unicolor,Sphaeropthalma unicolor,San Clemente
59,2019-03-02 1:50:44 PM PST,3/2/19 0:00,34488,research,"Unnamed Road, California, USA",32.91881884,-118.4891119,San Clemente,3,2,2019,,,,,Formicidae,,,,Tapinoma,,sessile,Tapinoma sessile,San Clemente
60,2019/03/14 4:40 PM PDT,3/14/19 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.97507211,-118.5732819,San Clemente,3,14,2019,,,,Anthophila,Apidae,,,,Anthophora,,,Anthophora,San Clemente
61,2019/03/17 7:40 AM PDT,3/17/19 0:00,23091,needs_id,"Los Angeles County, CA, USA",33.01396827,-118.5894841,San Clemente,3,17,2019,,,,Anthophila,Apidae,,,,Anthophora,,,Anthophora,San Clemente
62,Mon Mar 18 2019 08:28:24 GMT-0700 (PDT),3/18/19 0:00,688240,needs_id,"San Clemente Island Underwater Range, , CA, US",32.88421667,-118.4428717,San Clemente,3,18,2019,,,,,Formicidae,,,,,,,Formicidae,San Clemente
63,Tue Mar 26 2019 12:28:38 GMT-0700 (PDT),3/26/19 0:00,1474963,needs_id,"San Clemente Island Underwater Range, , CA, US",32.91923,-118.5416333,San Clemente,3,26,2019,,,,,Sphecidae,,,,Ammophila,,,Ammophila,San Clemente
64,Tue Mar 26 2019 12:27:11 GMT-0700 (PDT),3/26/19 0:00,1474963,needs_id,"San Clemente Island Underwater Range, , CA, US",32.91963833,-118.5412833,San Clemente,3,26,2019,,,,,Pompilidae,,,,,,,Pompilidae,San Clemente
65,2019/03/27 1:03 PM PDT,3/27/19 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.96627845,-118.5614963,San Clemente,3,27,2019,,,,,Sphecidae,,,,Podalonia,,,Podalonia,San Clemente
66,3/21/19,3/21/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.98279833,-118.5706333,San Clemente,3,21,2019,,,,,Formicidae,,,,Aphaenogaster,,patruelis,Aphaenogaster patruelis,San Clemente
67,3/22/19,3/22/19 0:00,12809,research,"Los Angeles, California, United States",32.98226167,-118.5686467,San Clemente,3,22,2019,,,,,Formicidae,,,,Aphaenogaster,,patruelis,Aphaenogaster patruelis,San Clemente
68,3/22/19,3/22/19 0:00,12809,needs_id,"Los Angeles County, CA, USA",32.98276167,-118.5689267,San Clemente,3,22,2019,,,,,Pompilidae,,,,Aporus,,hirsutus,Aporus hirsutus,San Clemente
69,2019/03/22 2:57 PM PDT,3/22/19 0:00,12809,research,"Los Angeles, California, United States",32.91854667,-118.488865,San Clemente,3,22,2019,,,,,Formicidae,,,,Pheidole,,clementensis,Pheidole clementensis,San Clemente
70,2019/03/22 3:52 PM PDT,3/22/19 0:00,12809,needs_id,"Los Angeles County, CA, USA",32.91774333,-118.4874233,San Clemente,3,22,2019,,,,,Formicidae,,,,Camponotus,,,Camponotus,San Clemente
71,2019/03/23 10:27 AM PDT,3/23/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.82523667,-118.36554,San Clemente,3,23,2019,,,,,Formicidae,,,,Camponotus,,bakeri,Camponotus bakeri,San Clemente
72,2019/03/23 12:47 PM PDT,3/23/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.82544833,-118.3657517,San Clemente,3,23,2019,,,,,Formicidae,,,,Aphaenogaster,,patruelis,Aphaenogaster patruelis,San Clemente
73,2019/03/23 12:50 PM PDT,3/23/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.82540833,-118.3656,San Clemente,3,23,2019,,,,,Formicidae,,,,Monomorium,,ergatogyna,Monomorium ergatogyna,San Clemente
74,2019/03/23 3:10 PM PDT,3/23/19 0:00,12809,research,"Los Angeles, California, United States",32.82576333,-118.3655933,San Clemente,3,23,2019,,,,,Formicidae,,,,Camponotus,,bakeri,Camponotus bakeri,San Clemente
75,2019/03/24 7:52 AM PDT,3/24/19 0:00,12809,research,"Los Angeles County, CA, USA",32.9958213,-118.552182,San Clemente,3,24,2019,,,,,Formicidae,,,,Aphaenogaster,,patruelis,Aphaenogaster patruelis,San Clemente
76,2019/03/24 4:44 PM PDT,3/24/19 0:00,12809,needs_id,"Los Angeles County, CA, USA",32.82992348,-118.3702174,San Clemente,3,24,2019,,,,,Sphecidae,,,,Ammophila,,,Ammophila,San Clemente
77,Sat Mar 30 2019 10:28:12 GMT-0700 (PDT),3/30/19 0:00,688240,research,"Los Angeles County, US-CA, US",32.85613712,-118.425716,San Clemente,3,30,2019,,,,,Formicidae,,,,Camponotus,,hyatti,Camponotus hyatti,San Clemente
78,2019/03/26 9:44 AM PDT,3/26/19 0:00,12809,needs_id,"Los Angeles County, CA, USA",32.85968762,-118.4092144,San Clemente,3,26,2019,,,,,Formicidae,,,,,,,Formicidae,San Clemente
79,2019/03/26 10:02 AM PDT,3/26/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.85927,-118.4085483,San Clemente,3,26,2019,,,,Anthophila,Apidae,,Anthophorini,,,,,Anthophorini,San Clemente
80,2019/03/26 11:59 AM PDT,3/26/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.85583833,-118.41502,San Clemente,3,26,2019,,,,,Formicidae,,,,Pheidole,,clementensis,Pheidole clementensis,San Clemente
81,3/25/19,3/25/19 0:00,12809,research,"Los Angeles County, CA, USA",32.82541397,-118.3597082,San Clemente,3,25,2019,,,,Anthophila,Megachilidae,,,,Anthidium,,maculosum,Anthidium maculosum,San Clemente
82,2019/03/26 7:03 PM PDT,3/26/19 0:00,12809,needs_id,"Los Angeles County, CA, USA",32.87243903,-118.4359614,San Clemente,3,26,2019,,,,,Formicidae,,,,Solenopsis,,,Solenopsis,San Clemente
83,2019-03-21 4:17:27 PM PDT,3/21/19 0:00,34488,needs_id,"Los Angeles County, US-CA, US",32.98282242,-118.5701599,San Clemente,3,21,2019,,,,Anthophila,Apidae,,,,Anthophora,,,Anthophora,San Clemente
84,2019-03-23 3:53:23 PM PDT,3/23/19 0:00,34488,needs_id,"Los Angeles County, US-CA, US",32.8254509,-118.3653946,San Clemente,3,23,2019,,,Ichneumonoidea,, ,,,,,,,Ichneumonoidea,San Clemente
85,2019-03-23 11:42:02 AM PDT,3/23/19 0:00,34488,research,"Los Angeles County, US-CA, US",32.82542801,-118.3652649,San Clemente,3,23,2019,,,,Anthophila,Apidae,,,,Habropoda,,depressa,Habropoda depressa,San Clemente
86,2019-03-27 2:18:03 PM PDT,3/27/19 0:00,34488,needs_id,"Los Angeles County, US-CA, US",32.86848068,-118.49543,San Clemente,3,27,2019,,,,Anthophila,Megachilidae,,,,Anthidium,,maculosum,Anthidium maculosum,San Clemente
87,2019-03-28 5:53:46 AM PDT,3/28/19 0:00,34488,research,"Unnamed Road, California, USA",32.99854852,-118.5528264,San Clemente,3,28,2019,,,,,Ichneumonidae,,,,Ophion,,,Ophion,San Clemente
88,2019/03/27 1:52 PM PDT,3/27/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.86861111,-118.4963889,San Clemente,3,27,2019,,,,,Formicidae,,,,Tanaemyrmex,,,Tanaemyrmex,San Clemente
89,2019/03/27 3:49 PM PDT,3/27/19 0:00,12809,needs_id,"Los Angeles County, CA, USA",32.87005,-118.4951533,San Clemente,3,27,2019,,,,Anthophila,Megachilidae,,,,Osmia,,,Osmia,San Clemente
90,2019/03/28 5:58 AM PDT,3/28/19 0:00,12809,research,"Los Angeles County, CA, USA",32.99851615,-118.5527866,San Clemente,3,28,2019,,,,,Ichneumonidae,,,,Enicospilus,,purgatus,Enicospilus purgatus,San Clemente
91,2019/03/28 3:55 PM PDT,3/28/19 0:00,12809,research,"Los Angeles County, CA, USA",32.8691316,-118.4893861,San Clemente,3,28,2019,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
92,2019/03/28 8:23 PM PDT,3/28/19 0:00,12809,research,"Los Angeles County, CA, USA",32.98504394,-118.5756565,San Clemente,3,28,2019,,,,,Formicidae,,,,Tapinoma,,sessile,Tapinoma sessile,San Clemente
93,2019/03/28 2:49 PM PDT,3/28/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.86805556,-118.4891667,San Clemente,3,28,2019,,,,Anthophila,Megachilidae,,,,Anthidium,,,Anthidium,San Clemente
94,2019/03/28 2:01 PM PDT,3/28/19 0:00,12809,needs_id,"Los Angeles, California, United States",32.86860333,-118.4891767,San Clemente,3,28,2019,,,,Anthophila,Megachilidae,,,,Anthidium,,,Anthidium,San Clemente
95,2019-04-10 3:04:44 PM PDT,4/10/19 0:00,1577275,needs_id,"Los Angeles County, US-CA, US",32.9825561,-118.5705121,San Clemente,4,10,2019,,,,,Pompilidae,,,,,,,Pompilidae,San Clemente
96,2019-04-10 2:52:23 PM PDT,4/10/19 0:00,1577275,needs_id,"Los Angeles County, US-CA, US",32.98261747,-118.570592,San Clemente,4,10,2019,,,,Anthophila,Megachilidae,,,,Osmia,,,Osmia,San Clemente
97,2019-04-10 2:30:30 PM PDT,4/10/19 0:00,1577275,needs_id,"Los Angeles County, US-CA, US",32.98261747,-118.570592,San Clemente,4,10,2019,,,,Anthophila,Apidae,,Anthophorini,,,,,Anthophorini,San Clemente
98,2019/03/28 5:58 AM PDT,3/28/19 0:00,12809,research,"Los Angeles County, CA, USA",32.99851615,-118.5527866,San Clemente,3,28,2019,,,,,Ichneumonidae,,,,Ophion,,,Ophion,San Clemente
99,2019-04-12 12:52:18 PM PDT,4/12/19 0:00,1577275,needs_id,"Los Angeles County, US-CA, US",32.91839668,-118.4891949,San Clemente,4,12,2019,,,,Anthophila,Apidae,,Anthophorini,,,,,Anthophorini,San Clemente
100,2019/04/13 12:41 PM PDT,4/13/19 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.8564126,-118.4459652,San Clemente,4,13,2019,,,,Anthophila,Megachilidae,,,,Anthidium,,,Anthidium,San Clemente
101,Sat Apr 13 2019 11:47:20 GMT-0700 (PDT),4/13/19 0:00,688240,needs_id,"Los Angeles County, US-CA, US",32.86539667,-118.4230717,San Clemente,4,13,2019,,,,,Formicidae,,,,Camponotus,,hyatti,Camponotus hyatti,San Clemente
102,Sun Apr 14 2019 15:25:13 GMT-0700 (PDT),4/14/19 0:00,688240,research,"San Clemente Island Underwater Range, , CA, US",32.99574167,-118.5524367,San Clemente,4,14,2019,,,,,Formicidae,,,,Linepithema,,humile,Linepithema humile,San Clemente
103,2019/04/14 10:53 AM PDT,4/14/19 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.86670748,-118.4251617,San Clemente,4,14,2019,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
104,2019-04-14 10:00:17 AM PDT,4/14/19 0:00,1577275,research,"Los Angeles County, US-CA, US",32.87678168,-118.4348575,San Clemente,4,14,2019,,,,Anthophila,Apidae,,,,Habropoda,,depressa,Habropoda depressa,San Clemente
105,2019-04-17 11:29:27 AM PDT,4/17/19 0:00,1577275,needs_id,"Los Angeles County, US-CA, US",32.87058411,-118.4955875,San Clemente,4,17,2019,,,,Anthophila,Megachilidae,,,,Anthidium,,,Anthidium,San Clemente
106,2019-04-11 1:55:49 PM PDT,4/11/19 0:00,34488,needs_id,"Los Angeles County, CA, USA",32.86830521,-118.4899216,San Clemente,4,11,2019,,,,Anthophila,Halictidae,,,,Agapostemon,,,Agapostemon,San Clemente
107,2019-04-11 2:03:04 PM PDT,4/11/19 0:00,34488,needs_id,"Los Angeles County, CA, USA",32.86842346,-118.4896622,San Clemente,4,11,2019,,,,Anthophila,Apidae,,,,Anthophora,,,Anthophora,San Clemente
108,2019-04-13 10:51:11 AM PDT,4/13/19 0:00,34488,needs_id,"Los Angeles County, CA, USA",32.87775421,-118.4353714,San Clemente,4,13,2019,,,,Anthophila,Megachilidae,,,,Osmia,,,Osmia,San Clemente
109,2019-04-13 2:41:15 PM PDT,4/13/19 0:00,34488,needs_id,"Los Angeles County, CA, USA",32.87794876,-118.4351349,San Clemente,4,13,2019,,,,Anthophila,Apidae,,,,Habropoda,,,Habropoda,San Clemente
110,2019-04-14 3:59:20 PM PDT,4/14/19 0:00,34488,needs_id,"Unnamed Road, California, USA",32.82528305,-118.3585815,San Clemente,4,14,2019,,,,,Sphecidae,,Ammophilini,,,,,Ammophilini,San Clemente
111,2019-04-14 4:01:57 PM PDT,4/14/19 0:00,34488,needs_id,"Unnamed Road, California, USA",32.82526779,-118.3585739,San Clemente,4,14,2019,,,,,Sphecidae,,,,Podalonia,,,Podalonia,San Clemente
112,2019-04-15 10:57:52 AM PDT,4/15/19 0:00,34488,needs_id,"Unnamed Road, California, USA",32.82745743,-118.3624344,San Clemente,4,15,2019,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,San Clemente
113,2019-04-17 12:52:10 PM PDT,4/17/19 0:00,34488,needs_id,"Los Angeles County, CA, USA",32.8697319,-118.4961319,San Clemente,4,17,2019,,,,,Sphecidae,,,,Ammophila,,,Ammophila,San Clemente
114,2019-04-17 8:31:02 PM PDT,4/17/19 0:00,34488,needs_id,"Unnamed Road, California, USA",32.99591428,-118.5521894,San Clemente,4,17,2019,,,,,Ichneumonidae,,,,Netelia,,,Netelia,San Clemente
115,2019-04-17 10:06:47 PM PDT,4/17/19 0:00,34488,needs_id,"Unnamed Road, California, USA",32.99591512,-118.5521927,San Clemente,4,17,2019,,,,,Ichneumonidae,,,,Netelia,,,Netelia,San Clemente
116,2019-04-17 10:07:02 PM PDT,4/17/19 0:00,34488,needs_id,"Unnamed Road, California, USA",32.99591512,-118.5521894,San Clemente,4,17,2019,,,,,Braconidae,,,,,,,Braconidae,San Clemente
