id,observed_o,observed_1,time_obser,time_zone,user_id,user_login,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,oauth_appl,place_gues,latitude,longitude,ArcMap_IslandName,positional,public_pos,taxon_geop,coordinate,positionin,position_1,place_coun,species_gu,infraorder,suborder,superfamily,bee,family,subfamily,tribe,subtribe,genus ,subgenus,species,scientific,taxon_id,,
9731634,2018/01/30 8:29 AM PST,1/30/18 0:00,2018-01-30 16:29:00 UTC,Pacific Time (US & Canada),523703,acurtis,2018-02-04 20:26:12 UTC,2020-09-07 14:29:15 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/9731634,https://inaturalist-open-data.s3.amazonaws.com/photos/13315495/medium.jpeg?1517775808, , , ,1,0,0,"Los Angeles County, CA, USA",32.8797854,-118.5082126,San Clemente,347,347, ,FALSE, , ,United States,Halictinae,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
10249865,Thu Mar 15 2018 10:39:20 GMT-0700 (PDT),3/15/18 0:00,2018-03-15 17:39:20 UTC,Pacific Time (US & Canada),266196,shrike2,2018-03-15 21:03:39 UTC,2019-03-14 03:45:31 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/10249865,https://inaturalist-open-data.s3.amazonaws.com/photos/14178384/medium.jpg?1521147838, , , ,3,0,3,"San Clemente Island Underwater Range, , CA, US",32.9249661,-118.4939159,San Clemente,10,10, ,FALSE, , ,United States,Texas Striped Sweat Bee,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
10299715,Sun Mar 18 2018 12:13:07 GMT-0700 (PDT),3/18/18 0:00,2018-03-18 19:13:07 UTC,Pacific Time (US & Canada),213838,vireolanius,2018-03-18 23:16:40 UTC,2020-09-07 14:29:31 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/10299715,https://inaturalist-open-data.s3.amazonaws.com/photos/14265848/medium.jpg?1521415021, , , ,1,0,3,"Los Angeles County, US-CA, US",32.8943964,-118.4512383,San Clemente,10,10, ,FALSE, , ,United States,Striped Sweat Bees,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
10299730,Sun Mar 18 2018 12:15:26 GMT-0700 (PDT),3/18/18 0:00,2018-03-18 19:15:26 UTC,Pacific Time (US & Canada),213838,vireolanius,2018-03-18 23:17:50 UTC,2020-09-07 14:29:46 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/10299730,https://inaturalist-open-data.s3.amazonaws.com/photos/14265875/medium.jpg?1521415095, , , ,1,0,3,"Los Angeles County, US-CA, US",32.89438119,-118.4512163,San Clemente,5,5, ,FALSE, , ,United States,Striped Sweat Bees,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
10619731,Wed Apr 04 2018 09:35:51 GMT-0700 (PDT),4/4/18 0:00,2018-04-04 16:35:51 UTC,Pacific Time (US & Canada),266196,shrike2,2018-04-04 19:39:48 UTC,2018-04-29 04:35:27 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/10619731,https://inaturalist-open-data.s3.amazonaws.com/photos/14812149/medium.jpg?1522870801, , , ,1,0,3,"Los Angeles County, US-CA, US",32.91826945,-118.5020741,San Clemente,5,5, ,FALSE, , ,United States,Sweat Bees,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
11542634,Wed Apr 25 2018 12:36:29 GMT-0700 (PDT),4/25/18 0:00,2018-04-25 19:36:29 UTC,Pacific Time (US & Canada),887173,mdpurdy,2018-04-27 21:42:55 UTC,2018-04-28 04:22:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/11542634,https://inaturalist-open-data.s3.amazonaws.com/photos/16484780/medium.jpg?1524867731, , , ,0,0,3,"Los Angeles County, US-CA, US",32.87888667,-118.4339917,San Clemente,30,30, ,FALSE, , ,United States,Habropoda depressa,,,,Anthophila,Apidae,,,,Habropoda,,depressa,Habropoda depressa,335697,,
11560707,2018/04/27 9:13 AM PDT,4/27/18 0:00,2018-04-27 16:13:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-04-28 01:03:53 UTC,2018-04-28 04:23:48 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/11560707,https://inaturalist-open-data.s3.amazonaws.com/photos/16507288/medium.jpg?1524876649, , , ,2,0,0,"Los Angeles County, CA, USA",32.83978911,-118.379488,San Clemente,170,170, ,FALSE, , ,United States,Diadasia,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,121512,,
11560708,2018/04/27 9:41 AM PDT,4/27/18 0:00,2018-04-27 16:41:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-04-28 01:03:54 UTC,2020-06-24 17:30:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11560708,https://inaturalist-open-data.s3.amazonaws.com/photos/16507320/medium.jpg?1524876659, , ,On Castilleja grisea.,2,0,0,"Los Angeles County, CA, USA",32.84728866,-118.394165,San Clemente,2723,2723, ,FALSE, , ,United States,California Mountain-Digger Bee,,,,Anthophila,Apidae,,,,Habropoda,,depressa,Habropoda depressa,335697,,
11672316,2018/04/28 12:06 PM PDT,4/28/18 0:00,2018-04-28 19:06:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-04-28 21:52:41 UTC,2018-05-01 22:16:24 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/11672316,https://inaturalist-open-data.s3.amazonaws.com/photos/16675929/medium.jpg?1524951248, , , ,2,0,0,"Los Angeles County, CA, USA",32.97498817,-118.5387564,San Clemente,378,378, ,FALSE, , ,United States,Ants,,,,,Formicidae,,,,,,,Formicidae,47336,,
11672319,2018/04/28 8:36 AM PDT,4/28/18 0:00,2018-04-28 15:36:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-04-28 21:52:42 UTC,2018-05-01 22:10:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11672319,https://inaturalist-open-data.s3.amazonaws.com/photos/16677236/medium.jpg?1524951618, , , ,2,0,0,"Los Angeles County, CA, USA",32.90484823,-118.467797,San Clemente,146,146, ,FALSE, , ,United States,Diadasia bituberculata,,,,Anthophila,Apidae,,,,Diadasia,,bituberculata,Diadasia bituberculata,196604,,
11672325,2018/04/27 2:05 PM PDT,4/27/18 0:00,2018-04-27 21:05:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-04-28 21:52:44 UTC,2018-04-29 04:33:45 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/11672325,https://inaturalist-open-data.s3.amazonaws.com/photos/16677318/medium.jpg?1524951638, , , ,1,0,0,"Los Angeles County, CA, USA",32.91893507,-118.5440254,San Clemente,195,195, ,FALSE, , ,United States,Striped Sweat Bees,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
11681885,Sat Apr 28 2018 14:45:48 GMT-0700 (PDT),4/28/18 0:00,2018-04-28 21:45:48 UTC,Pacific Time (US & Canada),887173,mdpurdy,2018-04-28 23:13:01 UTC,2018-04-29 04:07:58 UTC,research,CC-BY,https://www.inaturalist.org/observations/11681885,https://inaturalist-open-data.s3.amazonaws.com/photos/16695605/medium.jpg?1524957199, , , ,1,0,3,"San Clemente Island Underwater Range, , CA, US",32.91883833,-118.5449917,San Clemente,5,5, ,FALSE, , ,United States,Texas Striped-Sweat Bee,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
11695017,2018/04/28 9:24 AM PDT,4/28/18 0:00,2018-04-28 16:24:00 UTC,Pacific Time (US & Canada),213838,vireolanius,2018-04-29 01:00:21 UTC,2018-04-30 00:01:35 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/11695017,https://inaturalist-open-data.s3.amazonaws.com/photos/16716309/medium.jpg?1524963513, , , ,1,0,0,"san clemente island, ca",32.914756,-118.485918,San Clemente,137,137, ,FALSE, ,manual,United States,Ichneumonid Wasps,,,,,Ichneumonidae,,,,,,,Ichneumonidae,47199,,
11695023,2018/04/28 9:18 AM PDT,4/28/18 0:00,2018-04-28 16:18:00 UTC,Pacific Time (US & Canada),213838,vireolanius,2018-04-29 01:00:24 UTC,2018-04-29 04:09:06 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/11695023,https://inaturalist-open-data.s3.amazonaws.com/photos/16716484/medium.jpg?1524963572, , , ,1,0,0,"san clemente island, ca",32.914756,-118.485918,San Clemente,137,137, ,FALSE, ,manual,United States,Diadasia bituberculata,,,,Anthophila,Apidae,,,,Diadasia,,bituberculata,Diadasia bituberculata,196604,,
11882985,2018/04/29 9:37 AM PDT,4/29/18 0:00,2018-04-29 16:37:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-04-30 15:12:28 UTC,2018-06-27 14:46:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11882985,https://inaturalist-open-data.s3.amazonaws.com/photos/17008091/medium.jpg?1525100696, , , ,2,0,0,"Los Angeles County, CA, USA",32.87982121,-118.5077736,San Clemente,433,433, ,FALSE, , ,United States,Aphaenogaster patruelis,,,,,Formicidae,,,,Aphaenogaster,,patruelis,Aphaenogaster patruelis,68933,,
12007841,2018/04/27 9:34 AM PDT,4/27/18 0:00,2018-04-27 16:34:00 UTC,Pacific Time (US & Canada),455388,blake911,2018-05-01 20:26:35 UTC,2018-10-14 04:16:16 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/12007841,https://inaturalist-open-data.s3.amazonaws.com/photos/17203840/medium.jpeg?1525204639, , , ,2,0,0,"Los Angeles County, CA, USA",32.87093694,-118.4295273,San Clemente,1354,1354, ,FALSE, , ,United States,Pharaoh Ants and Timid Ants,,,,,Formicidae,,,,Monomorium,,,Monomorium,69100,,
12161172,2018/04/26 8:36 AM PDT,4/26/18 0:00,2018-04-26 15:36:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-05-05 15:40:30 UTC,2019-04-03 15:17:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12161172,https://inaturalist-open-data.s3.amazonaws.com/photos/17456653/medium.jpg?1525534559, , , ,3,0,0,"Los Angeles County, CA, USA",32.85532834,-118.4130371,San Clemente,103,103, ,FALSE, , ,United States,Diadasia bituberculata,,,,Anthophila,Apidae,,,,Diadasia,,bituberculata,Diadasia bituberculata,196604,,
12395700,Sat May 12 2018 14:08:02 GMT-0700 (PDT),5/12/18 0:00,2018-05-12 21:08:02 UTC,Pacific Time (US & Canada),213838,vireolanius,2018-05-12 22:28:48 UTC,2018-05-14 19:29:37 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/12395700,https://inaturalist-open-data.s3.amazonaws.com/photos/17865614/medium.jpg?1526164133, , ,(ID by Steve Thielking). Size ~0.5cm,0,0,3,"Los Angeles County, US-CA, US",32.87403014,-118.4926578,San Clemente,5,5, ,FALSE, , ,United States,Camponotus bakeri,,,,,Formicidae,,,,Camponotus,,bakeri,Camponotus bakeri,68943,,
12657396,Tue May 15 2018 10:00:12 GMT-0700 (PDT),5/15/18 0:00,2018-05-15 17:00:12 UTC,Pacific Time (US & Canada),887173,mdpurdy,2018-05-20 22:56:09 UTC,2018-10-09 05:37:16 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/12657396,https://inaturalist-open-data.s3.amazonaws.com/photos/18316412/medium.jpg?1526858736, , , ,1,0,3,"San Clemente Island Underwater Range, , CA, US",33.01609722,-118.5823217,San Clemente,5,5, ,FALSE, , ,United States,Diadasia,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,121512,,
13032798,Sun May 13 2018 09:13:30 GMT-0700 (PDT),5/13/18 0:00,2018-05-13 16:13:30 UTC,Pacific Time (US & Canada),887173,mdpurdy,2018-06-02 07:15:50 UTC,2020-12-10 18:42:21 UTC,research,CC-BY,https://www.inaturalist.org/observations/13032798,https://inaturalist-open-data.s3.amazonaws.com/photos/18967487/medium.jpg?1527923768, , , ,3,0,3,"San Clemente Island Underwater Range, , CA, US",32.996105,-118.5577,San Clemente,5,5, ,FALSE, , ,United States,Urbane Digger Bee,,,,Anthophila,Apidae,,,,Anthophora,,urbana,Anthophora urbana,57681,,
13682524,2018/06/22 10:24 AM PDT,6/22/18 0:00,2018-06-22 17:24:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-06-22 22:24:26 UTC,2018-06-23 09:54:29 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/13682524,https://inaturalist-open-data.s3.amazonaws.com/photos/20151795/medium.jpg?1529705876, , ,2 in prickly pear,2,0,0,"Los Angeles County, CA, USA",32.83916794,-118.3795857,San Clemente,167,167, ,FALSE, , ,United States,Diadasia,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,121512,,
13682526,2018/06/22 10:15 AM PDT,6/22/18 0:00,2018-06-22 17:15:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-06-22 22:24:28 UTC,2018-06-23 01:02:01 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/13682526,https://inaturalist-open-data.s3.amazonaws.com/photos/20151852/medium.jpg?1529705946, , ,And and bee in prickly pear,2,0,0,"Los Angeles County, CA, USA",32.83871722,-118.380369,San Clemente,314,314, ,FALSE, , ,United States,Ants,,,,,Formicidae,,,,,,,Formicidae,47336,,
13682527,2018/06/22 10:09 AM PDT,6/22/18 0:00,2018-06-22 17:09:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-06-22 22:24:28 UTC,2018-06-23 09:54:25 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/13682527,https://inaturalist-open-data.s3.amazonaws.com/photos/20151823/medium.jpg?1529705917, , ,1 in prickly pear,2,0,0,"Los Angeles County, CA, USA",32.83822533,-118.379929,San Clemente,149,149, ,FALSE, , ,United States,Diadasia,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,121512,,
13682529,2018/06/22 10:21 AM PDT,6/22/18 0:00,2018-06-22 17:21:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-06-22 22:24:30 UTC,2018-06-23 11:36:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13682529,https://inaturalist-open-data.s3.amazonaws.com/photos/20151874/medium.jpg?1529705970, , ,in Island Morning Glory,2,0,0,"Los Angeles County, CA, USA",32.83715142,-118.3813989,San Clemente,292,292, ,FALSE, , ,United States,Diadasia bituberculata,,,,Anthophila,Apidae,,,,Diadasia,,bituberculata,Diadasia bituberculata,196604,,
14109899,2018/07/06 9:14 AM PDT,7/6/18 0:00,2018-07-06 16:14:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-07-06 18:31:30 UTC,2018-11-06 01:30:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14109899,https://inaturalist-open-data.s3.amazonaws.com/photos/20897611/medium.jpg?1530901761, , , ,2,0,0,"Los Angeles County, CA, USA",32.92370502,-118.5411637,San Clemente,410,410, ,FALSE, , ,United States,Yellow-legged Mud-dauber Wasp,,,,,Sphecidae,,,,Sceliphron,,caementarium,Sceliphron caementarium,121821,,
14324098,Mon Jul 09 2018 08:41:14 GMT-0700 (PDT),7/9/18 0:00,2018-07-09 15:41:14 UTC,Pacific Time (US & Canada),887173,mdpurdy,2018-07-13 19:06:07 UTC,2018-08-13 10:19:59 UTC,research,CC-BY,https://www.inaturalist.org/observations/14324098,https://inaturalist-open-data.s3.amazonaws.com/photos/21279805/medium.jpg?1531508812, , , ,1,0,3,"San Clemente Island Underwater Range, , CA, US",32.94573667,-118.5321417,San Clemente,50,50, ,FALSE, , ,United States,Argentine Ant,,,,,Formicidae,,,,Linepithema,,humile,Linepithema humile,68165,,
14324984,Sat Jul 07 2018 10:26:39 GMT-0700 (PDT),7/7/18 0:00,2018-07-07 17:26:39 UTC,Pacific Time (US & Canada),887173,mdpurdy,2018-07-13 19:34:14 UTC,2020-09-09 13:15:20 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/14324984,https://inaturalist-open-data.s3.amazonaws.com/photos/21281223/medium.jpg?1531510464, , ,I think Habropoda depressa,1,0,3,"San Clemente Island Underwater Range, , CA, US",32.87176167,-118.4628367,San Clemente,10,10, ,FALSE, , ,United States,Anthophora urbana,,,,Anthophila, ,,,,,,,Anthophila,630955,,
14525885,2018/07/19 10:11 AM PDT,7/19/18 0:00,2018-07-19 17:11:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-07-19 21:52:06 UTC,2018-10-09 05:36:32 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/14525885,https://inaturalist-open-data.s3.amazonaws.com/photos/21629682/medium.jpg?1532036277, , ,"2 bees here, one appears larger than the other.",1,0,0,"Los Angeles County, CA, USA",32.88853488,-118.4454719,San Clemente,205,205, ,FALSE, , ,United States,Diadasia,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,121512,,
14525886,2018/07/19 10:07 AM PDT,7/19/18 0:00,2018-07-19 17:07:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-07-19 21:52:07 UTC,2018-07-19 21:52:07 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/14525886,https://inaturalist-open-data.s3.amazonaws.com/photos/21629698/medium.jpg?1532036300, , , ,0,0,0,"Los Angeles County, CA, USA",32.88853488,-118.4455715,San Clemente,169,169, ,FALSE, , ,United States,Ants,,,,,Formicidae,,,,,,,Formicidae,47336,,
14525887,2018/07/19 10:47 AM PDT,7/19/18 0:00,2018-07-19 17:47:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-07-19 21:52:08 UTC,2018-07-19 21:52:09 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/14525887,https://inaturalist-open-data.s3.amazonaws.com/photos/21629703/medium.jpg?1532036306, , , ,0,0,0,"Los Angeles County, CA, USA",32.88785027,-118.4478966,San Clemente,135,135, ,FALSE, , ,United States,Ants,,,,,Formicidae,,,,,,,Formicidae,47336,,
14525889,2018/07/19 11:04 AM PDT,7/19/18 0:00,2018-07-19 18:04:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2018-07-19 21:52:10 UTC,2020-12-27 04:54:51 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/14525889,https://inaturalist-open-data.s3.amazonaws.com/photos/21629743/medium.jpg?1532036344, , , ,3,0,0,"Los Angeles County, CA, USA",32.88752575,-118.447961,San Clemente,416,416, ,FALSE, , ,United States,Bees and Allied Wasps,,,Apoidea,, ,,,,,,,Apoidea,47222,,
15032032,Wed Aug 01 2018 15:52:23 GMT-0700 (PDT),8/1/18 0:00,2018-08-01 22:52:23 UTC,Pacific Time (US & Canada),213838,vireolanius,2018-08-02 00:15:54 UTC,2018-08-07 04:46:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/15032032,https://inaturalist-open-data.s3.amazonaws.com/photos/22434970/medium.jpg?1533168959, , , ,2,0,3,"San Clemente Island Underwater Range, , CA, US",32.92901438,-118.5069855,San Clemente,650,650, ,FALSE, , ,United States,Black-and-yellow Mud Dauber,,,,,Sphecidae,,,,Sceliphron,,caementarium,Sceliphron caementarium,121821,,
