record,source,month_arabic,day_arabic,year,island,order,family,genus,acceptedGenus,specificEp,acceptedEpithet,scientificName,acceptedScientificName
occurrence,iNaturalist,4,27,2018,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Ichneumonidae,,,,,Ichneumonidae,Ichneumonidae
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,29,2018,San Clemente,Hymenoptera ,Formicidae,Aphaenogaster,Aphaenogaster,patruelis,patruelis,Aphaenogaster patruelis,Aphaenogaster patruelis
occurrence,iNaturalist,4,27,2018,San Clemente,Hymenoptera ,Formicidae,Monomorium,Monomorium,,,Monomorium,Monomorium
occurrence,iNaturalist,4,26,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,12,2018,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,bakeri,bakeri,Camponotus bakeri,Camponotus bakeri
occurrence,iNaturalist,5,15,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,13,2018,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,urbana,urbana,Anthophora urbana,Anthophora urbana
occurrence,iNaturalist,6,22,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,6,22,2018,San Clemente,Hymenoptera ,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,6,22,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,6,22,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,7,6,2018,San Clemente,Hymenoptera ,Sphecidae,Sceliphron,Sceliphron,caementarium,caementarium,Sceliphron caementarium,Sceliphron caementarium
occurrence,iNaturalist,7,9,2018,San Clemente,Hymenoptera ,Formicidae,Linepithema,Linepithema,humile,humile,Linepithema humile,Linepithema humile
occurrence,iNaturalist,7,7,2018,San Clemente,Hymenoptera , ,,,,,Anthophila,Anthophila
occurrence,iNaturalist,7,19,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,7,19,2018,San Clemente,Hymenoptera ,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,7,19,2018,San Clemente,Hymenoptera ,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,7,19,2018,San Clemente,Hymenoptera , ,,,,,Apoidea,Apoidea
occurrence,iNaturalist,8,1,2018,San Clemente,Hymenoptera ,Sphecidae,Sceliphron,Sceliphron,caementarium,caementarium,Sceliphron caementarium,Sceliphron caementarium
occurrence,iNaturalist,6,25,2016,San Clemente,Hymenoptera ,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,10,26,2018,San Clemente,Hymenoptera ,Sphecidae,Sceliphron,Sceliphron,caementarium,caementarium,Sceliphron caementarium,Sceliphron caementarium
occurrence,iNaturalist,10,29,2018,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,12,24,2018,San Clemente,Hymenoptera ,Formicidae,Pheidole,Pheidole,,,Pheidole,Pheidole
occurrence,iNaturalist,1,4,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,1,4,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,2,7,2019,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,,,Camponotus,Camponotus
occurrence,iNaturalist,2,10,2019,San Clemente,Hymenoptera ,Formicidae,,,,,Myrmicinae,Myrmicinae
occurrence,iNaturalist,2,28,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,3,7,2019,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,edwardsii,edwardsii,Anthophora edwardsii,Anthophora edwardsii
occurrence,iNaturalist,3,7,2019,San Clemente,Hymenoptera ,Andrenidae,Andrena,Andrena,,,Diandrena,Diandrena
occurrence,iNaturalist,1,6,2019,San Clemente,Hymenoptera ,Mutillidae,Sphaeropthalma,Sphaeropthalma,unicolor,unicolor,Sphaeropthalma unicolor,Sphaeropthalma unicolor
occurrence,iNaturalist,3,2,2019,San Clemente,Hymenoptera ,Formicidae,Tapinoma,Tapinoma,sessile,sessile,Tapinoma sessile,Tapinoma sessile
occurrence,iNaturalist,3,14,2019,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,,,Anthophora,Anthophora
occurrence,iNaturalist,3,17,2019,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,,,Anthophora,Anthophora
occurrence,iNaturalist,3,18,2019,San Clemente,Hymenoptera ,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,3,26,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,3,26,2019,San Clemente,Hymenoptera ,Pompilidae,,,,,Pompilidae,Pompilidae
occurrence,iNaturalist,3,27,2019,San Clemente,Hymenoptera ,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,3,21,2019,San Clemente,Hymenoptera ,Formicidae,Aphaenogaster,Aphaenogaster,patruelis,patruelis,Aphaenogaster patruelis,Aphaenogaster patruelis
occurrence,iNaturalist,3,22,2019,San Clemente,Hymenoptera ,Formicidae,Aphaenogaster,Aphaenogaster,patruelis,patruelis,Aphaenogaster patruelis,Aphaenogaster patruelis
occurrence,iNaturalist,3,22,2019,San Clemente,Hymenoptera ,Pompilidae,Aporus,Aporus,hirsutus,hirsutus,Aporus hirsutus,Aporus hirsutus
occurrence,iNaturalist,3,22,2019,San Clemente,Hymenoptera ,Formicidae,Pheidole,Pheidole,clementensis,clementensis,Pheidole clementensis,Pheidole clementensis
occurrence,iNaturalist,3,22,2019,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,,,Camponotus,Camponotus
occurrence,iNaturalist,3,23,2019,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,bakeri,bakeri,Camponotus bakeri,Camponotus bakeri
occurrence,iNaturalist,3,23,2019,San Clemente,Hymenoptera ,Formicidae,Aphaenogaster,Aphaenogaster,patruelis,patruelis,Aphaenogaster patruelis,Aphaenogaster patruelis
occurrence,iNaturalist,3,23,2019,San Clemente,Hymenoptera ,Formicidae,Monomorium,Monomorium,ergatogyna,ergatogyna,Monomorium ergatogyna,Monomorium ergatogyna
occurrence,iNaturalist,3,23,2019,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,bakeri,bakeri,Camponotus bakeri,Camponotus bakeri
occurrence,iNaturalist,3,24,2019,San Clemente,Hymenoptera ,Formicidae,Aphaenogaster,Aphaenogaster,patruelis,patruelis,Aphaenogaster patruelis,Aphaenogaster patruelis
occurrence,iNaturalist,3,24,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,3,30,2019,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,hyatti,hyatti,Camponotus hyatti,Camponotus hyatti
occurrence,iNaturalist,3,26,2019,San Clemente,Hymenoptera ,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,3,26,2019,San Clemente,Hymenoptera ,Apidae,,,,,Anthophorini,Anthophorini
occurrence,iNaturalist,3,26,2019,San Clemente,Hymenoptera ,Formicidae,Pheidole,Pheidole,clementensis,clementensis,Pheidole clementensis,Pheidole clementensis
occurrence,iNaturalist,3,25,2019,San Clemente,Hymenoptera ,Megachilidae,Anthidium,Anthidium,maculosum,maculosum,Anthidium maculosum,Anthidium maculosum
occurrence,iNaturalist,3,26,2019,San Clemente,Hymenoptera ,Formicidae,Solenopsis,Solenopsis,,,Solenopsis,Solenopsis
occurrence,iNaturalist,3,21,2019,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,,,Anthophora,Anthophora
occurrence,iNaturalist,3,23,2019,San Clemente,Hymenoptera , ,,,,,Ichneumonoidea,Ichneumonoidea
occurrence,iNaturalist,3,23,2019,San Clemente,Hymenoptera ,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,3,27,2019,San Clemente,Hymenoptera ,Megachilidae,Anthidium,Anthidium,maculosum,maculosum,Anthidium maculosum,Anthidium maculosum
occurrence,iNaturalist,3,28,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,3,27,2019,San Clemente,Hymenoptera ,Formicidae,Tanaemyrmex,Tanaemyrmex,,,Tanaemyrmex,Tanaemyrmex
occurrence,iNaturalist,3,27,2019,San Clemente,Hymenoptera ,Megachilidae,Osmia,Osmia,,,Osmia,Osmia
occurrence,iNaturalist,3,28,2019,San Clemente,Hymenoptera ,Ichneumonidae,Enicospilus,Enicospilus,purgatus,purgatus,Enicospilus purgatus,Enicospilus purgatus
occurrence,iNaturalist,3,28,2019,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,28,2019,San Clemente,Hymenoptera ,Formicidae,Tapinoma,Tapinoma,sessile,sessile,Tapinoma sessile,Tapinoma sessile
occurrence,iNaturalist,3,28,2019,San Clemente,Hymenoptera ,Megachilidae,Anthidium,Anthidium,,,Anthidium,Anthidium
occurrence,iNaturalist,3,28,2019,San Clemente,Hymenoptera ,Megachilidae,Anthidium,Anthidium,,,Anthidium,Anthidium
occurrence,iNaturalist,4,10,2019,San Clemente,Hymenoptera ,Pompilidae,,,,,Pompilidae,Pompilidae
occurrence,iNaturalist,4,10,2019,San Clemente,Hymenoptera ,Megachilidae,Osmia,Osmia,,,Osmia,Osmia
occurrence,iNaturalist,4,10,2019,San Clemente,Hymenoptera ,Apidae,,,,,Anthophorini,Anthophorini
occurrence,iNaturalist,3,28,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,4,12,2019,San Clemente,Hymenoptera ,Apidae,,,,,Anthophorini,Anthophorini
occurrence,iNaturalist,4,13,2019,San Clemente,Hymenoptera ,Megachilidae,Anthidium,Anthidium,,,Anthidium,Anthidium
occurrence,iNaturalist,4,13,2019,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,hyatti,hyatti,Camponotus hyatti,Camponotus hyatti
occurrence,iNaturalist,4,14,2019,San Clemente,Hymenoptera ,Formicidae,Linepithema,Linepithema,humile,humile,Linepithema humile,Linepithema humile
occurrence,iNaturalist,4,14,2019,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,14,2019,San Clemente,Hymenoptera ,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,4,17,2019,San Clemente,Hymenoptera ,Megachilidae,Anthidium,Anthidium,,,Anthidium,Anthidium
occurrence,iNaturalist,4,11,2019,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,,,Agapostemon,Agapostemon
occurrence,iNaturalist,4,11,2019,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,,,Anthophora,Anthophora
occurrence,iNaturalist,4,13,2019,San Clemente,Hymenoptera ,Megachilidae,Osmia,Osmia,,,Osmia,Osmia
occurrence,iNaturalist,4,13,2019,San Clemente,Hymenoptera ,Apidae,Habropoda,Habropoda,,,Habropoda,Habropoda
occurrence,iNaturalist,4,14,2019,San Clemente,Hymenoptera ,Sphecidae,,,,,Ammophilini,Ammophilini
occurrence,iNaturalist,4,14,2019,San Clemente,Hymenoptera ,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,4,15,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,4,17,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,17,2019,San Clemente,Hymenoptera ,Ichneumonidae,Netelia,Netelia,,,Netelia,Netelia
occurrence,iNaturalist,4,17,2019,San Clemente,Hymenoptera ,Ichneumonidae,Netelia,Netelia,,,Netelia,Netelia
occurrence,iNaturalist,4,17,2019,San Clemente,Hymenoptera ,Braconidae,,,,,Braconidae,Braconidae
occurrence,iNaturalist,4,26,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,26,2019,San Clemente,Hymenoptera ,Pompilidae,,,,,Pompilidae,Pompilidae
occurrence,iNaturalist,4,26,2019,San Clemente,Hymenoptera ,Megachilidae,Anthidium,Anthidium,,,Anthidium,Anthidium
occurrence,iNaturalist,4,26,2019,San Clemente,Hymenoptera ,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,4,26,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,27,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,27,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,28,2019,San Clemente,Hymenoptera ,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,4,27,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,4,28,2019,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,,,Anthophora,Anthophora
occurrence,iNaturalist,4,29,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,29,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,29,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,29,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,30,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,29,2019,San Clemente,Hymenoptera ,Crabronidae,Bembix,Bembix,,,Bembix,Bembix
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Ichneumonidae,Netelia,Netelia,,,Netelia,Netelia
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,30,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,4,30,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,30,2019,San Clemente,Hymenoptera ,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Pompilidae,,,,,Pompilidae,Pompilidae
occurrence,iNaturalist,5,2,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,1,2019,San Clemente,Hymenoptera ,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,4,30,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,29,2019,San Clemente,Hymenoptera ,Apidae,Nomada,Nomada,,,Nomada,Nomada
occurrence,iNaturalist,4,29,2019,San Clemente,Hymenoptera ,Crabronidae,Bembix,Bembix,,,Bembix,Bembix
occurrence,iNaturalist,5,7,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,8,2019,San Clemente,Hymenoptera ,Formicidae,Tapinoma,Tapinoma,sessile,sessile,Tapinoma sessile,Tapinoma sessile
occurrence,iNaturalist,5,8,2019,San Clemente,Hymenoptera ,Formicidae,Monomorium,Monomorium,ergatogyna,ergatogyna,Monomorium ergatogyna,Monomorium ergatogyna
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Sphecidae,,,,,Ammophilini,Ammophilini
occurrence,iNaturalist,5,7,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,5,11,2019,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,hyatti,bakeri,Camponotus hyatti bakeri,Camponotus bakeri
occurrence,iNaturalist,5,7,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,5,2,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,2,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,2,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,2,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,5,5,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,7,2019,San Clemente,Hymenoptera ,Megachilidae,Anthidium,Anthidium,maculosum,maculosum,Anthidium maculosum,Anthidium maculosum
occurrence,iNaturalist,5,7,2019,San Clemente,Hymenoptera ,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,5,7,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,7,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,7,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,5,5,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,5,2019,San Clemente,Hymenoptera , ,,,,,Ichneumonoidea,Ichneumonoidea
occurrence,iNaturalist,5,4,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,5,4,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,4,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,4,2019,San Clemente,Hymenoptera ,Megachilidae,Osmia,Osmia,,,Osmia,Osmia
occurrence,iNaturalist,5,3,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,3,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,3,2019,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,5,3,2019,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,5,3,2019,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,bakeri,bakeri,Camponotus bakeri,Camponotus bakeri
occurrence,iNaturalist,5,3,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,6,2019,San Clemente,Hymenoptera ,Apidae,Melissodes,Melissodes,,,Melissodes,Melissodes
occurrence,iNaturalist,5,8,2019,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,urbana,urbana,Anthophora urbana,Anthophora urbana
occurrence,iNaturalist,5,8,2019,San Clemente,Hymenoptera ,Apidae,Anthophora,Anthophora,,,Anthophora,Anthophora
occurrence,iNaturalist,5,8,2019,San Clemente,Hymenoptera ,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,4,13,2019,San Clemente,Hymenoptera ,Megachilidae,Osmia,Osmia,,,Osmia,Osmia
occurrence,iNaturalist,4,14,2019,San Clemente,Hymenoptera ,Megachilidae,Osmia,Osmia,,,Osmia,Osmia
occurrence,iNaturalist,4,14,2019,San Clemente,Hymenoptera ,Megachilidae,Osmia,Osmia,,,Melanosmia,Melanosmia
occurrence,iNaturalist,4,14,2019,San Clemente,Hymenoptera ,Megachilidae,Osmia,Osmia,,,Melanosmia,Melanosmia
