source,month,year,island,acceptedOrder,acceptedFamily,acceptedGenus,acceptedName,latitude,longitude
iNaturalist,4,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.9441337,-118.5297317
iNaturalist,4,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.94422694,-118.5291382
iNaturalist,4,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.94422694,-118.5291382
iNaturalist,4,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02819408,-118.5896392
iNaturalist,5,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.0015426,-118.5545871
iNaturalist,5,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.99864215,-118.5544854
iNaturalist,6,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.0153923,-118.5953522
iNaturalist,6,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.94529568,-118.5298861
iNaturalist,6,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.94494275,-118.529851
iNaturalist,7,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01724167,-118.581405
iNaturalist,7,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.0172,-118.581345
iNaturalist,8,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.99593226,-118.5520275
iNaturalist,8,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.03102629,-118.5771721
iNaturalist,8,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.0310003,-118.5771804
iNaturalist,12,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02776003,-118.5890724
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,32.94422961,-118.5288624
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,32.96533719,-118.5389375
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,32.96545835,-118.5404324
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01628977,-118.5973449
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01620323,-118.5925347
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01737522,-118.5965736
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01744503,-118.5969888
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01749688,-118.5970529
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01754072,-118.5971193
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01714692,-118.5972158
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01672538,-118.5975186
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01666719,-118.5978067
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01677959,-118.5982974
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01669465,-118.5984167
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.0173989,-118.5887076
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,32.99802372,-118.5549163
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01727366,-118.5956546
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.00437209,-118.5562866
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01932368,-118.5834408
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01877745,-118.5828287
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01906859,-118.5835226
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,32.99654568,-118.5570241
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02133974,-118.5861949
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02198442,-118.5856714
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.0215148,-118.5855694
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02087579,-118.5868809
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01879346,-118.5867653
iNaturalist,1,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01693129,-118.6000415
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,32.9968706,-118.5559288
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01505818,-118.5848348
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01638724,-118.5796525
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.023936,-118.568223
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02540379,-118.5857019
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02530041,-118.5856546
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02527359,-118.586365
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02547982,-118.5859835
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02521433,-118.5870285
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02518461,-118.5865472
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02722619,-118.58467
iNaturalist,3,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01664445,-118.5965367
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02758889,-118.5823278
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02765556,-118.5844722
iNaturalist,2,2020,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02809167,-118.5846417
iNaturalist,6,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.99701944,-118.5562361
iNaturalist,4,2021,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02773617,-118.583755
iNaturalist,10,2014,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.25832,-119.5207967
iNaturalist,10,2012,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.27858667,-119.5245183
iNaturalist,10,2012,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.27969,-119.5225017
iNaturalist,2,2019,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.25754167,-119.5476222
iNaturalist,6,2019,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.25756073,-119.5484695
iNaturalist,6,2019,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.26055908,-119.5527191
iNaturalist,6,2019,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.26081467,-119.5536652
iNaturalist,2,2011,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.24256261,-119.4912103
iNaturalist,1,2018,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.27920278,-119.5438222
iNaturalist,7,2021,San Nicolas,Stylommatophora,Helicidae,NA,NA,33.26969162,-119.518405
iNaturalist,7,2014,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.342819,-118.328228
iNaturalist,8,2016,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.34029333,-118.32207
iNaturalist,8,2016,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.3393,-118.322605
iNaturalist,3,2017,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.34067917,-118.3381424
iNaturalist,6,2017,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.4448336,-118.4820852
iNaturalist,2,2018,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.33956373,-118.3283771
iNaturalist,3,2018,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.3442879,-118.3287957
iNaturalist,3,2018,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.33176369,-118.3358767
iNaturalist,4,2018,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.35584333,-118.437085
iNaturalist,5,2018,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.35084764,-118.4326793
iNaturalist,5,2018,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.34309006,-118.3273849
iNaturalist,1,2019,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.33060913,-118.3353968
iNaturalist,3,2019,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.4454947,-118.4800319
iNaturalist,4,2019,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.34246826,-118.327713
iNaturalist,4,2019,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.34159407,-118.3314139
iNaturalist,4,2011,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.44390409,-118.4795902
iNaturalist,4,2011,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.44390409,-118.4795902
iNaturalist,7,2012,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.4412892,-118.4991025
iNaturalist,5,2019,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.34483801,-118.3285394
iNaturalist,5,2019,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.35056413,-118.4327894
iNaturalist,5,2019,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.35605136,-118.4452249
iNaturalist,8,2019,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.28817678,-118.242818
iNaturalist,3,2020,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.44046667,-118.5051883
iNaturalist,4,2020,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.355755,-118.4372333
iNaturalist,10,2020,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.4414033,-118.498375
iNaturalist,12,2020,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.34327588,-118.3292262
iNaturalist,4,2021,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.44526363,-118.4573824
iNaturalist,4,2021,Santa Catalina,Stylommatophora,Helicidae,NA,NA,33.41295808,-118.4689695
iNaturalist,NA,NA,San Clemente,Stylommatophora,Agriolimacidae,NA,NA,33.00000085,-118.5536623
iNaturalist,1,2020,San Clemente,Stylommatophora,Agriolimacidae,NA,NA,32.99822455,-118.553163
iNaturalist,1,2020,San Clemente,Stylommatophora,Agriolimacidae,NA,NA,32.99811486,-118.5532788
iNaturalist,1,2020,San Clemente,Stylommatophora,Agriolimacidae,NA,NA,33.00244836,-118.5561552
iNaturalist,1,2020,San Clemente,Stylommatophora,Agriolimacidae,NA,NA,33.00233024,-118.5561147
iNaturalist,1,2020,San Clemente,Stylommatophora,Agriolimacidae,NA,NA,32.99664065,-118.5578347
iNaturalist,1,2020,Santa Cruz,Stylommatophora,Agriolimacidae,NA,NA,34.01892471,-119.6837845
iNaturalist,4,2018,Santa Catalina,NA,Haplotrematidae,NA,NA,33.34403731,-118.4793061
iNaturalist,2,2020,Santa Barbara,NA,Haplotrematidae,NA,NA,33.5080086,-119.0018471
iNaturalist,11,2019,San Nicolas,NA,Haplotrematidae,NA,NA,33.36058506,-119.5050755
iNaturalist,1,2021,NA,Stylommatophora,Haplotrematidae,Haplotrema,Haplotrema duranti duranti,33.36830667,-119.4128507
iNaturalist,NA,NA,San Clemente,NA,Haplotrematidae,NA,NA,32.89299301,-118.4956544
iNaturalist,8,2020,Santa Cruz,Cycloneritida,Helicinidae,NA,NA,34.01857783,-119.6837617
iNaturalist,3,2021,San Clemente,Stylommatophora,Xanthonychidae,NA,NA,32.93200626,-118.5881579
iNaturalist,NA,NA,Santa Catalina,Stylommatophora,Xanthonychidae,NA,NA,33.38232522,-118.5165285
iNaturalist,5,2018,Santa Catalina,Stylommatophora,Xanthonychidae,NA,NA,33.46854908,-118.5187622
iNaturalist,4,2021,Santa Catalina,Stylommatophora,Xanthonychidae,NA,NA,33.53867958,-118.5148131
iNaturalist,4,2021,Santa Catalina,Stylommatophora,Xanthonychidae,NA,NA,33.4420871,-118.4860658
iNaturalist,5,2019,San Miguel,Stylommatophora,Xanthonychidae,NA,NA,33.99813545,-120.3815905
iNaturalist,5,2019,Santa Rosa,Stylommatophora,Xanthonychidae,NA,NA,33.88691387,-120.1368028
iNaturalist,5,2021,Santa Rosa,Stylommatophora,Xanthonychidae,NA,NA,33.98954175,-120.0969327
iNaturalist,2,2018,Santa Cruz,Stylommatophora,Xanthonychidae,NA,NA,33.90392937,-119.7308164
iNaturalist,7,2020,Santa Cruz,Stylommatophora,Xanthonychidae,NA,NA,33.95104242,-119.6628119
iNaturalist,9,2020,Santa Cruz,Stylommatophora,Xanthonychidae,NA,NA,33.8872797,-119.7284944
iNaturalist,2,2021,Santa Cruz,Stylommatophora,Xanthonychidae,NA,NA,33.9203443,-119.7372039
iNaturalist,3,2018,NA,Stylommatophora,Xanthonychidae,Helminthoglypta,Helminthoglypta sanctaecrucis,33.81986726,-119.6212187
iNaturalist,3,2018,NA,Stylommatophora,Xanthonychidae,Helminthoglypta,Helminthoglypta sanctaecrucis,33.82380658,-119.6779696
iNaturalist,12,2018,NA,Stylommatophora,Xanthonychidae,Helminthoglypta,Helminthoglypta sanctaecrucis,33.86371481,-119.7219647
iNaturalist,1,2019,San Clemente,Stylommatophora,Xanthonychidae,NA,NA,32.87486915,-118.4625725
iNaturalist,9,2019,Santa Catalina,Stylommatophora,Xanthonychidae,NA,NA,33.44556422,-118.5713638
iNaturalist,10,2020,Anacapa,Stylommatophora,Xanthonychidae,NA,NA,34.01578888,-119.3620083
iNaturalist,4,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,32.94414606,-118.5298442
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.97737456,-118.5533025
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.97735186,-118.5532456
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.97342353,-118.552123
iNaturalist,7,2017,Santa Catalina,Stylommatophora,Limacidae,NA,NA,33.35551333,-118.4373633
iNaturalist,5,2019,Santa Catalina,Stylommatophora,Limacidae,NA,NA,33.36933833,-118.34838
iNaturalist,2,2021,Santa Catalina,Stylommatophora,Limacidae,NA,NA,33.34243296,-118.3276662
iNaturalist,2,2021,Santa Catalina,Stylommatophora,Limacidae,NA,NA,33.34243527,-118.3276847
iNaturalist,2,2018,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.246452,-119.499169
iNaturalist,3,2018,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.4445858,-118.4824262
iNaturalist,3,2018,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.4445858,-118.4824262
iNaturalist,3,2018,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.44470625,-118.4820614
iNaturalist,4,2019,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.38503833,-118.409225
iNaturalist,NA,NA,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.25295172,-118.2814355
iNaturalist,8,2016,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.34248702,-118.2480593
iNaturalist,4,2018,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.31696542,-118.510511
iNaturalist,4,2018,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.36464242,-118.2526722
iNaturalist,NA,NA,Santa Catalina,Stylommatophora,Helminthoglyptidae,NA,NA,33.37953453,-118.3211727
iNaturalist,2,2020,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta beatula,33.25042379,-118.2252903
iNaturalist,11,2017,Santa Barbara,Stylommatophora,Helminthoglyptidae,NA,NA,33.46166232,-119.112748
iNaturalist,1,2020,Santa Barbara,Stylommatophora,Helminthoglyptidae,NA,NA,33.53298557,-119.0813019
iNaturalist,8,2009,Santa Barbara,Stylommatophora,Helminthoglyptidae,NA,NA,33.55239368,-119.0114064
iNaturalist,10,2020,Santa Barbara,Stylommatophora,Helminthoglyptidae,NA,NA,33.54393401,-119.1007719
iNaturalist,2,2021,Santa Barbara,Stylommatophora,Helminthoglyptidae,NA,NA,33.40082123,-119.0063894
iNaturalist,3,2019,Santa Barbara,Stylommatophora,Helminthoglyptidae,NA,NA,33.52325269,-119.0195763
iNaturalist,3,2019,Santa Barbara,Stylommatophora,Helminthoglyptidae,NA,NA,33.50431212,-119.0301926
iNaturalist,3,2019,Santa Barbara,Stylommatophora,Helminthoglyptidae,NA,NA,33.46271575,-119.1453631
iNaturalist,3,2019,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta facta,33.43019825,-119.143558
iNaturalist,1,2020,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta facta,33.58991686,-119.1611201
iNaturalist,2,2021,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta facta,33.57380333,-119.1059313
iNaturalist,3,2019,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta facta,33.59179196,-119.0352084
iNaturalist,3,2019,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta facta,33.53945454,-119.1576961
iNaturalist,3,2019,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta facta,33.44369749,-119.1593432
iNaturalist,3,2019,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta facta,33.41141754,-119.1584868
iNaturalist,9,2017,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.24086918,-119.509864
iNaturalist,10,2012,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.21747611,-119.5436377
iNaturalist,10,2012,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.26574083,-119.4709605
iNaturalist,10,2012,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.30712893,-119.555631
iNaturalist,8,2014,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.29882604,-119.5805305
iNaturalist,2,2019,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.2310193,-119.4223335
iNaturalist,1,2021,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.31205949,-119.4134396
iNaturalist,1,2021,San Nicolas,Stylommatophora,Helminthoglyptidae,NA,NA,33.28576151,-119.4386493
iNaturalist,6,2019,NA,Stylommatophora,Xanthonychidae,Micrarionta,Micrarionta feralis,33.38158177,-119.5753193
iNaturalist,9,2017,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.83543007,-118.4381958
iNaturalist,1,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,33.05779076,-118.574811
iNaturalist,1,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.92541553,-118.5756729
iNaturalist,1,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.802767,-118.5087
iNaturalist,2,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.86719989,-118.4109436
iNaturalist,2,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,33.0208261,-118.5660766
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.81507501,-118.4012455
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.98508798,-118.5512729
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.82747452,-118.4037996
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.94435962,-118.4331721
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.83892667,-118.4534259
iNaturalist,2,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.95896754,-118.4483423
iNaturalist,2,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.93297908,-118.5462671
iNaturalist,2,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.89320478,-118.589289
iNaturalist,2,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.90259083,-118.5452053
iNaturalist,2,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.90421279,-118.5350032
iNaturalist,NA,NA,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.91914869,-118.4110343
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.96963299,-118.5719164
iNaturalist,NA,NA,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.94332677,-118.4409209
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.82599127,-118.4057589
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.91486486,-118.3176645
iNaturalist,3,2019,San Clemente,Stylommatophora,Helminthoglyptidae,NA,NA,32.84956764,-118.4633462
