source,id,observed_on_string,observed_on,time_observed_at_split,year,month,day,time_observed_at_split2,time_observed_at_split3,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,acceptedOrder,acceptedFamily,acceptedGenus,acceptedName
iNaturalist,37621302,Wed Jan 15 2020 10:34:04 GMT-0800 (PST),1/15/2020 0:00,1/15/2020,2020,1,15,21:34:04,300,Pacific Time (US & Canada),266196,shrike2,2020-01-15 21:34:23 +0300,2020-01-16 02:36:27 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/37621302,https://static.inaturalist.org/photos/59679425/medium.jpg?1579117890,,,,1,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,32.99760508,-118.5556448,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Threeband Slugs,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37636465,Wed Jan 15 2020 09:51:18 GMT-0800 (PST),1/15/2020 0:00,1/15/2020,2020,1,15,20:51:18,300,Pacific Time (US & Canada),12809,cedric_lee,2020-01-16 05:12:46 +0300,2020-01-16 05:49:53 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/37636465,https://inaturalist-open-data.s3.amazonaws.com/photos/59701487/medium.jpg?1579140810,,,,2,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.99802808,-118.5543049,12,12,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37652116,Thu Jan 16 2020 07:43:43 GMT-0800 (PST),1/16/2020 0:00,1/16/2020,2020,1,16,18:43:43,300,Pacific Time (US & Canada),266196,shrike2,2020-01-16 18:43:51 +0300,2020-01-16 18:44:01 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/37652116,https://static.inaturalist.org/photos/59734836/medium.jpg?1579189437,,,,0,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,33.00475447,-118.5529343,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,38491249,Tue Feb 04 2020 16:57:53 GMT-0800 (PST),2/4/2020 0:00,2/5/2020,2020,2,5,3:57:53,300,Pacific Time (US & Canada),12809,cedric_lee,2020-02-10 05:26:15 +0300,2021-03-22 15:31:51 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/38491249,https://inaturalist-open-data.s3.amazonaws.com/photos/61182213/medium.jpg?1581301626,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.99884936,-118.5535322,9,9,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,38555000,Sun Feb 09 2020 08:48:56 GMT-0800 (PST),2/9/2020 0:00,2/9/2020,2020,2,9,19:48:56,300,Pacific Time (US & Canada),12809,cedric_lee,2020-02-12 04:07:34 +0300,2021-03-22 15:31:55 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/38555000,https://inaturalist-open-data.s3.amazonaws.com/photos/61293478/medium.jpg?1581469705,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,33.00229124,-118.5551117,8,8,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,38869719,Wed Feb 19 2020 09:39:16 GMT-0800 (PST),2/19/2020 0:00,2/19/2020,2020,2,19,20:39:16,300,Pacific Time (US & Canada),12809,cedric_lee,2020-02-20 04:56:42 +0300,2021-03-22 15:32:13 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/38869719,https://inaturalist-open-data.s3.amazonaws.com/photos/61811053/medium.jpg?1582163829,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,33.0269305,-118.584895,9,9,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,38947671,Wed Feb 19 2020 11:03:34 GMT-0800 (PST),2/19/2020 0:00,2/19/2020,2020,2,19,22:03:34,300,Pacific Time (US & Canada),12809,cedric_lee,2020-02-21 06:49:51 +0300,2021-03-22 15:32:15 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/38947671,https://inaturalist-open-data.s3.amazonaws.com/photos/61874802/medium.jpg?1582257032,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,33.02646478,-118.5869418,9,9,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,39827040,Tue Mar 10 2020 16:16:05 GMT-0700 (PDT),3/10/2020 0:00,3/11/2020,2020,3,11,2:16:05,300,Pacific Time (US & Canada),266196,shrike2,2020-03-11 06:15:42 +0300,2020-05-22 08:42:01 +0300,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/39827040,https://static.inaturalist.org/photos/63226165/medium.jpg?1583896616,,,,1,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,33.00198055,-118.554795,,,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Threeband Slugs,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,1472534,7/19/2014 14:00,7/19/2014 0:00,7/20/2014,2014,7,20,1:00:00,400,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 10:50:13 +0300,2020-07-10 18:52:24 +0300,research,CC-BY-NC,http://www.inaturalist.org/observations/1472534,https://inaturalist-open-data.s3.amazonaws.com/photos/1825556/medium.png?1431244218,,,,3,0,FALSE,,"Avalon, Ca",Santa Catalina,33.342819,-118.328228,3273,3273,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,24907282,Fri May 10 2019 07:48:46 GMT-0700 (PDT),5/10/2019 0:00,5/10/2019,2019,5,10,17:48:46,300,Pacific Time (US & Canada),1512775,parisrebl,2019-05-11 03:06:34 +0300,2019-08-02 08:51:11 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/24907282,https://inaturalist-open-data.s3.amazonaws.com/photos/38528765/medium.jpg?1557533208,,,,3,1,FALSE,3,"Los Angeles County, US-CA, US",Santa Catalina,33.35565815,-118.4375909,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,8683202,Fri Nov 03 2017 21:17:45 GMT-0700 (PDT),11/3/2017 0:00,11/4/2017,2017,11,4,7:17:45,300,Pacific Time (US & Canada),682364,lwind54,2017-11-04 23:27:55 +0300,2017-11-11 05:22:47 +0300,needs_id,,https://www.inaturalist.org/observations/8683202,https://static.inaturalist.org/photos/11635803/medium.jpg?1509827282,,,,3,1,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US",Santa Cruz,34.04995283,-119.5618967,5,5,,,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37623539,Wed Jan 15 2020 10:55:42 GMT-0800 (PST),1/15/2020 0:00,1/15/2020,2020,1,15,21:55:42,300,Pacific Time (US & Canada),266196,shrike2,2020-01-15 22:45:03 +0300,2020-07-25 07:23:00 +0300,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/37623539,https://static.inaturalist.org/photos/59679089/medium.jpg?1579117520,,,With Xerarionta intercisa.,2,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,32.99802988,-118.5560639,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Balkan Threeband Slug,Ambigolimax nyctelius,Balkan Threeband Slug,Mollusca,452407,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37635018,Wed Jan 15 2020 07:55:11 GMT-0800 (PST),1/15/2020 0:00,1/15/2020,2020,1,15,18:55:11,300,Pacific Time (US & Canada),12809,cedric_lee,2020-01-16 04:27:29 +0300,2020-05-08 22:44:58 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/37635018,https://inaturalist-open-data.s3.amazonaws.com/photos/59698622/medium.jpg?1579138087,,,,2,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.99590768,-118.5537351,9,9,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Striped Greenhouse Slug,Ambigolimax valentianus,Striped Greenhouse Slug,Mollusca,448331,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,15146835,Tue Jul 24 2018 23:06:19 GMT-0700 (PDT),7/24/2018 0:00,7/25/2018,2018,7,25,9:06:19,300,Pacific Time (US & Canada),151342,joeycurti3,2018-08-05 23:46:44 +0300,2020-04-14 05:09:33 +0300,needs_id,,https://www.inaturalist.org/observations/15146835,https://static.inaturalist.org/photos/22641496/medium.jpg?1533502034,,,,4,0,FALSE,3,"Channel Islands National Park, , CA, US",Santa Cruz,34.01891383,-119.68135,22,22,,open,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Banana Slugs,Ariolimax,Banana Slugs,Mollusca,47777,Mollusca,Gastropoda,,Ariolimacidae,,
iNaturalist,15171515,Tue Jul 24 2018 23:07:34 GMT-0700 (PDT),7/24/2018 0:00,7/25/2018,2018,7,25,9:07:34,300,Pacific Time (US & Canada),151342,joeycurti3,2018-08-06 19:35:53 +0300,2020-04-14 05:09:29 +0300,needs_id,,https://www.inaturalist.org/observations/15171515,https://static.inaturalist.org/photos/22686639/medium.jpg?1533573359,,,,3,0,FALSE,3,"Channel Islands National Park, , CA, US",Santa Cruz,34.0188445,-119.6811667,5,5,,open,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Banana Slugs,Ariolimax,Banana Slugs,Mollusca,47777,Mollusca,Gastropoda,,Ariolimacidae,,
iNaturalist,10122087,4/23/2012 18:17,4/23/2012 0:00,4/24/2012,2012,4,24,5:17:34,400,Pacific Time (US & Canada),2616,alice_abela,2018-03-07 07:01:22 +0300,2020-04-14 05:07:27 +0300,research,,https://www.inaturalist.org/observations/10122087,https://static.inaturalist.org/photos/13956758/medium.jpg?1520395248,,"california, gastropoda, Pacific banana slug, Santa Barbara County, CA, Mollusca, Ariolimax, Channel Islands, Santa Cruz Island, columbianus, Ariolimacidae, Arionoidea, vis_everyone, Ariolimacinae, Ariolimax columbianus stramineus, stramineus, Pacific Banana Slug (Ariolimax columbianus stramineus)","Pacific banana slug from Santa Cruz Island, California",3,0,FALSE,,"California, United States",Santa Cruz,33.997422,-119.717225,,,,,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Ariolimax stramineus,Ariolimax stramineus,Southern Pacific Banana Slug,Mollusca,560098,Mollusca,Gastropoda,,Ariolimacidae,,
iNaturalist,10122129,4/22/2012 18:37,4/22/2012 0:00,4/23/2012,2012,4,23,5:37:37,400,Pacific Time (US & Canada),2616,alice_abela,2018-03-07 07:05:15 +0300,2020-04-14 05:07:18 +0300,research,,https://www.inaturalist.org/observations/10122129,https://static.inaturalist.org/photos/13956847/medium.jpg?1520395476,,"mollusca, california, gastropoda, Pacific banana slug, Santa Barbara County, CA, Ariolimax, Channel Islands, Santa Cruz Island, columbianus, Ariolimacidae, Arionoidea, vis_everyone, loc_public, Ariolimacinae, Ariolimax columbianus stramineus, stramineus, Pacific Banana Slug (Ariolimax columbianus stramineus)","Pacific banana slug from Santa Cruz Island, California",2,1,FALSE,,"California, United States",Santa Cruz,33.997422,-119.717225,,,,open,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Ariolimax stramineus,Ariolimax stramineus,Southern Pacific Banana Slug,Mollusca,560098,Mollusca,Gastropoda,,Ariolimacidae,,
iNaturalist,20841785,Thu Feb 28 2019 17:51:43 GMT-0800 (PST),2/28/2019 0:00,3/1/2019,2019,3,1,4:51:43,300,Pacific Time (US & Canada),765954,joey36,2019-03-01 04:54:44 +0300,2020-05-15 23:49:02 +0300,research,,https://www.inaturalist.org/observations/20841785,https://static.inaturalist.org/photos/32151528/medium.jpg?1551405287,,,,2,1,FALSE,3,"Channel Islands National Park, , CA, US",Santa Cruz,33.99902437,-119.7342411,20,20,,open,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Southern Pacific Banana Slug,Ariolimax stramineus,Southern Pacific Banana Slug,Mollusca,560098,Mollusca,Gastropoda,,Ariolimacidae,,
iNaturalist,41761213,Wed Apr 08 2020 16:38:30 GMT-0700 (PDT),4/8/2020 0:00,4/9/2020,2020,4,9,2:38:30,300,Pacific Time (US & Canada),2135101,zccas,2020-04-09 18:14:24 +0300,2020-04-14 05:04:58 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/41761213,https://inaturalist-open-data.s3.amazonaws.com/photos/66263361/medium.jpg?1586447825,,,,3,0,FALSE,3,"Channel Islands National Park, CA, US",Santa Cruz,34.00483588,-119.7118485,4219,4219,,,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Southern Pacific Banana Slug,Ariolimax stramineus,Southern Pacific Banana Slug,Mollusca,560098,Mollusca,Gastropoda,,Ariolimacidae,,
iNaturalist,497600,4/19/2003,4/19/2003 0:00,,,,,,,Quito,2179,charlie,2014-01-10 05:51:30 +0400,2020-04-14 05:09:50 +0300,research,CC0,http://www.inaturalist.org/observations/497600,https://inaturalist-open-data.s3.amazonaws.com/photos/630223/medium.JPG?1389318701,,,I think it was in Lobo Canyon.,3,0,FALSE,,santa rosa island,Santa Rosa,34.006093,-120.092278,2385,2385,,,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Southern Pacific Banana Slug,Ariolimax stramineus,Southern Pacific Banana Slug,Mollusca,560098,Mollusca,Gastropoda,,Ariolimacidae,,
iNaturalist,3138650,Thu May 05 2016 07:52:32 GMT-0700 (PDT),5/5/2016 0:00,5/5/2016,2016,5,5,17:52:32,300,Pacific Time (US & Canada),5179,leptonia,2016-05-10 17:44:35 +0300,2020-04-14 05:07:47 +0300,research,CC-BY-NC,http://www.inaturalist.org/observations/3138650,https://inaturalist-open-data.s3.amazonaws.com/photos/3631919/medium.jpg?1462891491,,,,3,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US",Santa Rosa,34.01093333,-120.0940167,,,,,FALSE,,,,Santa Barbara,California,United States,California,Santa Barbara,Southern Pacific Banana Slug,Ariolimax stramineus,Southern Pacific Banana Slug,Mollusca,560098,Mollusca,Gastropoda,,Ariolimacidae,,
