"","id","observed_o","month","year","observed_1","time_obser","time_zone","user_id","user_login","created_at","updated_at","quality_gr","license","url","image_url","sound_url","tag_list","descriptio","num_identi","num_iden_1","captive_cu","oauth_appl","place_gues","island","latitude","longitude","positional","public_pos","geoprivacy","taxon_geop","coordinate","positionin","position_1","place_coun","place_stat","place_co_1","species_gu","scientificName","common_nam","iconic_tax","taxon_id","taxon_orde","taxon_fami","taxon_genu","taxon_spec","taxon_subs","order","acceptedFamily","acceptedGenus","acceptedName"
"13",1791953,"7/21/2015 22:45",7,2015,"7/21/2015 0:00","2015-07-22 05:45:17 UTC","Pacific Time (US & Canada)",1,"kueda","2015-07-23 06:16:55 UTC","2021-05-07 21:18:01 UTC","research","CC0","http://www.inaturalist.org/observations/1791953","https://inaturalist-open-data.s3.amazonaws.com/photos/2170859/medium.jpg?1437632220",,"Neduba","Maybe the endemic one?",3,0,FALSE,,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States","Santa Cruz",33.997435,-119.7310483,,,,,FALSE,,,"Santa Barbara","California","United States","Aglaothorax morsei santacruzae","Aglaothorax morsei santacruzae",,"Insecta",470077,"Orthoptera","Tettigoniidae","Aglaothorax","Aglaothorax morsei","Aglaothorax morsei santacruzae","Orthoptera","Tettigoniidae","Aglaothorax","Aglaothorax morsei santacruzae"
"14",1830201,"Sat Aug 01 2015 10:28:33 GMT-0700 (PDT)",8,2015,"8/1/2015 0:00","2015-08-01 17:28:33 UTC","Pacific Time (US & Canada)",3494,"damontighe","2015-08-04 02:42:51 UTC","2018-12-15 05:06:28 UTC","needs_id","CC-BY-NC","http://www.inaturalist.org/observations/1830201","https://inaturalist-open-data.s3.amazonaws.com/photos/2222025/medium.jpg?1438656217",,,,1,0,FALSE,3,"Los Angeles County, US-CA, US","Santa Catalina",33.46219167,-118.5709833,,,,,FALSE,,,"Los Angeles","California","United States","Pallid-winged Grasshopper","Trimerotropis pallidipennis","Pallid-winged Grasshopper","Insecta",51493,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis",,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis"
"15",1830811,"Sun Aug 02 2015 05:32:40 GMT-0700 (PDT)",8,2015,"8/2/2015 0:00","2015-08-02 12:32:40 UTC","Pacific Time (US & Canada)",3494,"damontighe","2015-08-04 05:34:15 UTC","2020-03-19 04:17:35 UTC","needs_id","CC-BY-NC","http://www.inaturalist.org/observations/1830811","https://inaturalist-open-data.s3.amazonaws.com/photos/2222815/medium.jpg?1438666570",,,,1,0,FALSE,3,"Los Angeles County, US-CA, US","Santa Catalina",33.42898833,-118.4892883,,,,,FALSE,,,"Los Angeles","California","United States","True Crickets","Gryllus",,"Insecta",71251,"Orthoptera","Gryllidae","Gryllus",,,"Orthoptera","Gryllidae","Gryllus",
"16",2854530,"Mon Mar 28 2016 09:36:15 GMT-0700 (PDT)",3,2016,"3/28/2016 0:00","2016-03-28 16:36:15 UTC","Pacific Time (US & Canada)",6743,"lhiggins","2016-03-30 22:58:45 UTC","2021-05-07 21:17:54 UTC","needs_id","CC-BY","http://www.inaturalist.org/observations/2854530","https://static.inaturalist.org/photos/3256508/medium.jpg?1459378862",,,,4,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US","Santa Cruz",34.04816412,-119.561176,51,51,,,FALSE,,,"Santa Barbara","California","United States","Ammopelmatus","Ammopelmatus","North American Jerusalem Crickets","Insecta",86400,"Orthoptera","Stenopelmatidae","Ammopelmatus",,,"Orthoptera","Stenopelmatidae","Ammopelmatus",
"17",3517623,"Fri Jun 24 2016 11:24:41 GMT-0700 (PDT)",6,2016,"6/24/2016 0:00","2016-06-24 18:24:41 UTC","Pacific Time (US & Canada)",3288,"danjleavitt","2016-06-25 04:48:55 UTC","2021-05-07 21:17:48 UTC","needs_id",,"http://www.inaturalist.org/observations/3517623","https://static.inaturalist.org/photos/4097149/medium.jpg?1466830299",,,,3,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US","Santa Cruz",34.04726383,-119.5676333,,,,,FALSE,,,"Santa Barbara","California","United States","Ammopelmatus","Ammopelmatus","North American Jerusalem Crickets","Insecta",86400,"Orthoptera","Stenopelmatidae","Ammopelmatus",,,"Orthoptera","Stenopelmatidae","Ammopelmatus",
"18",3529388,"Sun Jun 26 2016 10:50:17 GMT-0700 (PDT)",6,2016,"6/26/2016 0:00","2016-06-26 17:50:17 UTC","Pacific Time (US & Canada)",213838,"vireolanius","2016-06-26 23:06:03 UTC","2021-05-08 00:26:52 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/3529388","https://inaturalist-open-data.s3.amazonaws.com/photos/4111302/medium.jpg?1466982389",,,,3,0,FALSE,3,"San Clemente Island Naval Unde, Avalon, CA, US","San Clemente",32.87535458,-118.4331298,188,188,,,FALSE,,,"Los Angeles","California","United States","Gray Bird Grasshopper","Schistocerca nitens","Gray Bird Grasshopper","Insecta",52158,"Orthoptera","Acrididae","Schistocerca","Schistocerca nitens",,"Orthoptera","Acrididae","Schistocerca","Schistocerca nitens"
"19",3651078,"2016/07/07 1:44 PM PDT",7,2016,"7/7/2016 0:00","2016-07-07 20:44:00 UTC","Pacific Time (US & Canada)",235118,"terrydad2","2016-07-10 00:47:13 UTC","2021-02-20 04:02:47 UTC","needs_id","CC-BY-NC","http://www.inaturalist.org/observations/3651078","https://inaturalist-open-data.s3.amazonaws.com/photos/4224110/medium.JPG?1468110306",,,,1,0,FALSE,,"Santa Barbara County, CA, USA","Santa Rosa",33.98546494,-120.0257986,,,,,FALSE,,,"Santa Barbara","California","United States","Trimerotropis","Trimerotropis pseudofasciata","Caerulean-winged Grasshopper","Insecta",194285,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pseudofasciata",,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"20",3803715,"2016/07/30 2:21 PM PDT",7,2016,"7/30/2016 0:00","2016-07-30 21:21:00 UTC","Pacific Time (US & Canada)",35725,"yetikat","2016-08-04 19:33:26 UTC","2016-11-13 19:06:13 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/3803715","https://inaturalist-open-data.s3.amazonaws.com/photos/4442885/medium.jpg?1470335142",,,"OLYMPUS DIGITAL CAMERA",1,0,FALSE,,"Los Angeles, California, United States","Santa Catalina",33.42909167,-118.49025,,,,,FALSE,,,"Los Angeles","California","United States","Saussure's Blue-winged Grasshopper","Leprus intermedius","Saussure's Blue-winged Grasshopper","Insecta",155259,"Orthoptera","Acrididae","Leprus","Leprus intermedius",,"Orthoptera","Acrididae","Leprus","Leprus intermedius"
"21",3811438,"2016/07/30 1:30 PM PDT",7,2016,"7/30/2016 0:00","2016-07-30 20:30:00 UTC","Pacific Time (US & Canada)",35725,"yetikat","2016-08-06 06:37:10 UTC","2020-12-17 03:16:11 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/3811438","https://inaturalist-open-data.s3.amazonaws.com/photos/4454971/medium.jpeg?1470465425",,,"OLYMPUS DIGITAL CAMERA",1,0,FALSE,,"Los Angeles County, CA, USA","Santa Catalina",33.42909167,-118.49025,,,,,FALSE,,,"Los Angeles","California","United States","Pallid-winged Grasshopper","Trimerotropis pallidipennis","Pallid-winged Grasshopper","Insecta",51493,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis",,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis"
"22",4157550,"2014/07/05 2:48 PM PDT",7,2014,"7/5/2014 0:00","2014-07-05 21:48:00 UTC","Pacific Time (US & Canada)",275891,"psyllidhipster","2016-09-20 21:58:51 UTC","2016-09-22 00:43:58 UTC","needs_id","CC-BY-NC","http://www.inaturalist.org/observations/4157550","https://inaturalist-open-data.s3.amazonaws.com/photos/4951747/medium.jpg?1474408117",,,"Trimerotropis nymph?",1,0,FALSE,,"Los Angeles County, CA, USA","Santa Catalina",33.35397518,-118.4390545,164,164,,,FALSE,,,"Los Angeles","California","United States","Trimerotropis","Trimerotropis",,"Insecta",51494,"Orthoptera","Acrididae","Trimerotropis",,,"Orthoptera","Acrididae","Trimerotropis",
"23",4203156,"Sun Sep 25 2016 13:47:20 GMT-0700 (PDT)",9,2016,"9/25/2016 0:00","2016-09-25 20:47:20 UTC","Pacific Time (US & Canada)",40448,"nmross","2016-09-25 23:47:36 UTC","2016-09-25 23:48:04 UTC","needs_id","CC-BY-NC","http://www.inaturalist.org/observations/4203156","https://inaturalist-open-data.s3.amazonaws.com/photos/5010140/medium.jpg?1474847272",,,,0,0,FALSE,3,"1100–1198 Avalon Canyon Rd, Avalon, CA, US","Santa Catalina",33.3231057,-118.3499347,255,255,,,FALSE,,,"Los Angeles","California","United States",,"Orthoptera","Grasshoppers, Crickets, and Katydids","Insecta",47651,"Orthoptera",,,,,"Orthoptera",,,
"24",4717223,"2016/12/03 12:01 PM PST",12,2016,"12/3/2016 0:00","2016-12-03 20:01:00 UTC","Pacific Time (US & Canada)",1850,"bbunny","2016-12-05 04:20:25 UTC","2020-08-06 23:24:51 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/4717223","https://inaturalist-open-data.s3.amazonaws.com/photos/5700996/medium.jpg?1480911321",,,,1,0,FALSE,,"Avalon, CA 90704, USA","Santa Catalina",33.32414558,-118.3421087,200,200,,,FALSE,,,"Los Angeles","California","United States","Western brush cricket","Hoplosphyrum boreale","Western Brush Cricket","Insecta",120480,"Orthoptera","Mogoplistidae","Hoplosphyrum","Hoplosphyrum boreale",,"Orthoptera","Mogoplistidae","Hoplosphyrum","Hoplosphyrum boreale"
"25",4964318,"Fri Dec 02 2016 14:24:43 GMT-0800 (PST)",12,2016,"12/2/2016 0:00","2016-12-02 22:24:43 UTC","Pacific Time (US & Canada)",280979,"emshaph","2017-01-18 00:32:48 UTC","2021-02-13 21:44:45 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/4964318","https://inaturalist-open-data.s3.amazonaws.com/photos/6056665/medium.jpg?1484699597",,,,3,0,FALSE,3,"W End Rd, Avalon, CA, US","Santa Catalina",33.46844041,-118.5330253,62,62,,,FALSE,,,"Los Angeles","California","United States","Ammopelmatus","Ammopelmatus","North American Jerusalem Crickets","Insecta",86400,"Orthoptera","Stenopelmatidae","Ammopelmatus",,,"Orthoptera","Stenopelmatidae","Ammopelmatus",
"26",5091580,"2017-02-11 2:43:26 PM PST",2,2017,"2/11/2017 0:00","2017-02-11 22:43:26 UTC","Pacific Time (US & Canada)",392423,"bjdion","2017-02-11 22:44:02 UTC","2021-02-13 21:44:49 UTC","needs_id","CC-BY-NC-SA","https://www.inaturalist.org/observations/5091580","https://inaturalist-open-data.s3.amazonaws.com/photos/6255298/medium.jpeg?1486853051",,,,3,0,FALSE,2,"Avalon, CA 90704","Santa Catalina",33.35259247,-118.4260712,,,,,FALSE,"gps","gps","Los Angeles","California","United States","Ammopelmatus","Ammopelmatus","North American Jerusalem Crickets","Insecta",86400,"Orthoptera","Stenopelmatidae","Ammopelmatus",,,"Orthoptera","Stenopelmatidae","Ammopelmatus",
"27",5140591,"Sun Feb 19 2017 13:45:05 GMT-0800 (PST)",2,2017,"2/19/2017 0:00","2017-02-19 21:45:05 UTC","Pacific Time (US & Canada)",280979,"emshaph","2017-02-20 05:56:02 UTC","2018-11-14 16:32:57 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/5140591","https://inaturalist-open-data.s3.amazonaws.com/photos/6329329/medium.jpg?1487570170",,,,3,0,FALSE,3,"Silver Peak Trl, Avalon, CA, US","Santa Catalina",33.43279333,-118.5066824,44,44,,"open",FALSE,,,"Los Angeles","California","United States","Gryllus","Gryllus",,"Insecta",71251,"Orthoptera","Gryllidae","Gryllus",,,"Orthoptera","Gryllidae","Gryllus",
"28",5253434,"2017/03/04 6:31 PM PST",3,2017,"3/4/2017 0:00","2017-03-05 02:31:00 UTC","Pacific Time (US & Canada)",86100,"naturenate","2017-03-09 00:12:20 UTC","2021-02-13 21:44:54 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/5253434","https://static.inaturalist.org/photos/6500272/medium.jpeg?1489017583",,,,1,0,FALSE,,"Los Angeles County, US-CA, US","Santa Catalina",33.29994322,-118.2317645,,28984,"obscured",,TRUE,,,"Los Angeles","California","United States","Ammopelmatus","Ammopelmatus","North American Jerusalem Crickets","Insecta",86400,"Orthoptera","Stenopelmatidae","Ammopelmatus",,,"Orthoptera","Stenopelmatidae","Ammopelmatus",
"29",5262252,"8/1/2011",8,2011,"8/1/2011 0:00",,"Pacific Time (US & Canada)",275891,"psyllidhipster","2017-03-10 01:02:12 UTC","2020-07-27 03:48:49 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/5262252","https://inaturalist-open-data.s3.amazonaws.com/photos/6512186/medium.jpg?1489105202",,,,1,0,FALSE,,"Two Harbors, CA 90704, USA","Santa Catalina",33.44,-118.49833,1550,1550,,,FALSE,,,"Los Angeles","California","United States","Variable Field Cricket","Gryllus lineaticeps","Variable Field Cricket","Insecta",322927,"Orthoptera","Gryllidae","Gryllus","Gryllus lineaticeps",,"Orthoptera","Gryllidae","Gryllus","Gryllus lineaticeps"
"30",5262255,"8/1/2011",8,2011,"8/1/2011 0:00",,"Pacific Time (US & Canada)",275891,"psyllidhipster","2017-03-10 01:02:13 UTC","2017-10-11 15:55:48 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/5262255","https://inaturalist-open-data.s3.amazonaws.com/photos/6512189/medium.jpg?1489105206",,,,2,0,FALSE,,"Two Harbors, CA 90704, USA","Santa Catalina",33.44,-118.49833,1550,1550,,,FALSE,,,"Los Angeles","California","United States","Clear-winged Grasshopper","Camnula pellucida","Clear-winged Grasshopper","Insecta",155274,"Orthoptera","Acrididae","Camnula","Camnula pellucida",,"Orthoptera","Acrididae","Camnula","Camnula pellucida"
"31",5548134,"7/5/2010",7,2010,"7/5/2010 0:00",,"Pacific Time (US & Canada)",275891,"psyllidhipster","2017-04-03 01:49:46 UTC","2018-11-14 09:59:50 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/5548134","https://inaturalist-open-data.s3.amazonaws.com/photos/6849663/medium.jpg?1491183786",,"Orthoptera",,1,0,FALSE,,"Avalon, CA 90704, USA","Santa Catalina",33.32442846,-118.341465,31,31,,,FALSE,,,"Los Angeles","California","United States","Grasshoppers, Locusts, and Allies","Melanoplus",,"Insecta",63523,"Orthoptera","Acrididae","Melanoplus",,,"Orthoptera","Acrididae","Melanoplus",
"32",6146868,"Mon May 08 2017 13:01:04 GMT-0700 (PDT)",5,2017,"5/8/2017 0:00","2017-05-08 20:01:04 UTC","Pacific Time (US & Canada)",280979,"emshaph","2017-05-09 02:58:07 UTC","2018-11-14 07:57:52 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/6146868","https://inaturalist-open-data.s3.amazonaws.com/photos/7703897/medium.jpg?1494298759",,,,2,0,FALSE,3,"W End Rd, Avalon, CA, US","Santa Catalina",33.46018737,-118.5188934,22,22,,,FALSE,,,"Los Angeles","California","United States","Grasshoppers, Locusts, and Allies","Trimerotropis pallidipennis","Pallid-winged Grasshopper","Insecta",51493,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis",,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis"
"33",6306189,"2017/05/20 11:28 AM PDT",5,2017,"5/20/2017 0:00","2017-05-20 18:28:00 UTC","Pacific Time (US & Canada)",147487,"ryanandrews","2017-05-21 19:07:29 UTC","2017-05-23 02:35:08 UTC","needs_id",,"https://www.inaturalist.org/observations/6306189","https://static.inaturalist.org/photos/7938222/medium.jpg?1495391924",,,,2,0,FALSE,,"Santa Barbara County, CA, USA","Santa Cruz",34.01896752,-119.6806115,8,8,,,FALSE,,,"Santa Barbara","California","United States","Scudder's Bush Katydids","Scudderia","Scudder's Bush Katydids","Insecta",55958,"Orthoptera","Tettigoniidae","Scudderia",,,"Orthoptera","Tettigoniidae","Scudderia",
"34",6306215,"2017/05/20 12:40 PM PDT",5,2017,"5/20/2017 0:00","2017-05-20 19:40:00 UTC","Pacific Time (US & Canada)",147487,"ryanandrews","2017-05-21 19:07:47 UTC","2017-11-04 04:25:08 UTC","research",,"https://www.inaturalist.org/observations/6306215","https://static.inaturalist.org/photos/7938318/medium.jpg?1495392135",,,,2,0,FALSE,,"Santa Barbara County, CA, USA","Santa Cruz",34.01827389,-119.6831006,8,8,,,FALSE,,,"Santa Barbara","California","United States","Pallid-winged Grasshopper","Trimerotropis pallidipennis","Pallid-winged Grasshopper","Insecta",51493,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis",,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pallidipennis"
"35",6311466,"2016/11/17 10:48 AM EST",11,2016,"11/17/2016 0:00","2016-11-17 15:48:00 UTC","Eastern Time (US & Canada)",2061,"kgarner","2017-05-22 00:51:17 UTC","2017-07-08 03:08:44 UTC","needs_id",,"https://www.inaturalist.org/observations/6311466","https://static.inaturalist.org/photos/7946855/medium.jpeg?1495414270",,,,2,0,FALSE,,"Santa Barbara County, CA, USA","Santa Rosa",34.01945,-120.0982056,,,,,FALSE,,,"Santa Barbara","California","United States","Short-horned Grasshoppers and Allies","Acridoidea","Short-horned Grasshoppers and Locusts","Insecta",47650,"Orthoptera",,,,,"Orthoptera",,,
