"","source","year","month","island","order","acceptedFamily","acceptedGenus","acceptedName"
"45","iNaturalist",2019,3,"Santa Cruz","Coleoptera",,,
"46","iNaturalist",2019,5,"Santa Cruz","Coleoptera",,,
"47","iNaturalist",2019,7,"Santa Cruz","Coleoptera",,,
"48","iNaturalist",2019,7,"Santa Cruz","Coleoptera",,,
"49","iNaturalist",2010,4,"Santa Cruz","Coleoptera",,,
"50","iNaturalist",2019,4,"Santa Cruz","Coleoptera",,,
"51","iNaturalist",2019,4,"Santa Cruz","Coleoptera",,,
"52","iNaturalist",2021,4,"Santa Cruz","Coleoptera",,,
"53","iNaturalist",,,"Santa Cruz","Coleoptera",,,
"54","iNaturalist",2020,11,"Anacapa","Coleoptera",,,
"55","iNaturalist",2019,4,"San Clemente","Coleoptera",,,
"56","iNaturalist",2021,6,"Santa Catalina","Coleoptera",,,
"57","iNaturalist",2019,4,"Santa Catalina","Coleoptera",,,
"58","iNaturalist",2018,6,"Santa Cruz","Coleoptera",,,
"59","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Anthicidae","Amblyderus","Amblyderus parviceps"
"60","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus",
"61","iNaturalist",2019,5,"Santa Rosa","Coleoptera","Anthicidae",,
"62","iNaturalist",2019,4,"San Clemente","Coleoptera","Attelabidae","Deporaus","Deporaus glastinus"
"63","iNaturalist",2020,2,"San Clemente","Coleoptera","Attelabidae","Temnocerus",
"64","iNaturalist",2017,7,"Santa Catalina","Coleoptera","Bostrichidae",,
"65","iNaturalist",2017,8,"Santa Catalina","Coleoptera","Bostrichidae",,
"66","iNaturalist",2020,8,"San Nicolas","Coleoptera","Bostrichidae","Polycaon","Polycaon stoutii"
"67","iNaturalist",2014,7,"Santa Catalina","Coleoptera","Bostrichidae","Polycaon","Polycaon stoutii"
"68","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Brentidae",,
"69","iNaturalist",2018,4,"Santa Catalina","Coleoptera","Buprestidae","Acmaeodera",
"70","iNaturalist",2019,4,"Santa Catalina","Coleoptera","Buprestidae","Acmaeodera",
"71","iNaturalist",2021,6,"Santa Cruz","Coleoptera","Buprestidae","Acmaeodera",
"72","iNaturalist",2021,3,"Santa Catalina","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera hepburnii"
"73","iNaturalist",2015,7,"Santa Cruz","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera hepburnii"
"74","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera hepburnii"
"75","iNaturalist",2019,6,"Santa Cruz","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera hepburnii"
"76","iNaturalist",2019,7,"Santa Cruz","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera hepburnii"
"77","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera hepburnii"
"78","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera mariposa dohrni"
"79","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera prorsa"
"80","iNaturalist",2019,8,"Santa Catalina","Coleoptera","Buprestidae","Agrilus","Agrilus planipennis"
"81","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Buprestidae","Anthaxia",
"82","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Buprestidae","Anthaxia","Anthaxia aeneogaster"
"83","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Buprestidae","Anthaxia","Anthaxia aeneogaster"
"84","iNaturalist",2021,3,"Santa Catalina","Coleoptera","Buprestidae",,
"85","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Buprestidae","Buprestis","Buprestis aurulenta"
"86","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Buprestidae","Chrysobothris","Chrysobothris wintu"
"87","iNaturalist",2014,7,"Santa Catalina","Coleoptera","Buprestidae","Melanophila","Melanophila consputa"
"88","iNaturalist",2014,7,"Santa Catalina","Coleoptera","Buprestidae","Melanophila","Melanophila consputa"
"89","iNaturalist",2014,7,"Santa Catalina","Coleoptera","Buprestidae","Melanophila","Melanophila consputa"
"90","iNaturalist",2011,7,"Santa Catalina","Coleoptera","Buprestidae","Melanophila","Melanophila consputa"
"91","iNaturalist",2021,3,"Santa Catalina","Coleoptera","Buprestidae","Anthaxia",
"92","iNaturalist",2021,4,"Santa Catalina","Coleoptera","Buprestidae",,
"93","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Cantharidae",,
"94","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Cantharidae","Cultellunguis","Cultellunguis hatchi"
"95","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Cantharidae","Cultellunguis","Cultellunguis hatchi"
"96","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Cantharidae","Cultellunguis","Cultellunguis hatchi"
"97","iNaturalist",2012,6,"Santa Catalina","Coleoptera","Cantharidae","Pacificanthia","Pacificanthia consors"
"98","iNaturalist",2019,4,"Santa Catalina","Coleoptera","Cantharidae","Pacificanthia","Pacificanthia consors"
"99","iNaturalist",2019,4,"Santa Catalina","Coleoptera","Cantharidae","Pacificanthia","Pacificanthia consors"
"100","iNaturalist",2019,4,"Santa Catalina","Coleoptera","Cantharidae","Pacificanthia","Pacificanthia consors"
"101","iNaturalist",2019,4,"Santa Catalina","Coleoptera","Cantharidae","Pacificanthia","Pacificanthia consors"
"102","iNaturalist",2019,5,"Santa Catalina","Coleoptera","Cantharidae","Pacificanthia","Pacificanthia consors"
"103","iNaturalist",2019,5,"Santa Catalina","Coleoptera","Cantharidae","Pacificanthia","Pacificanthia consors"
"104","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Cantharidae","Pacificanthia","Pacificanthia consors"
"105","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Cantharidae","Silis",
"106","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Cantharidae","Silis",
"107","iNaturalist",2020,2,"San Clemente","Coleoptera","Carabidae","Agonum",
"108","iNaturalist",2020,2,"San Clemente","Coleoptera","Carabidae","Agonum",
"109","iNaturalist",2017,6,"San Miguel","Coleoptera","Carabidae","Akephorus",
"110","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Amara",
"111","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Amara",
"112","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Amara",
"113","iNaturalist",2019,11,"San Nicolas","Coleoptera","Carabidae","Amara",
"114","iNaturalist",2020,10,"Santa Barbara","Coleoptera","Carabidae","Amara",
"115","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Carabidae","Amara",
"116","iNaturalist",2019,5,"Santa Rosa","Coleoptera","Carabidae","Amara",
"117","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Carabidae","Axinopalpus","Axinopalpus biplagiatus"
"118","iNaturalist",2020,2,"San Clemente","Coleoptera","Carabidae","Bembidion",
"119","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Carabidae","Brachinus",
"120","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Carabidae","Brachinus","Brachinus costipennis"
"121","iNaturalist",2019,11,"San Nicolas","Coleoptera","Carabidae","Calathus",
"122","iNaturalist",2019,5,"Santa Rosa","Coleoptera","Carabidae","Calathus","Calathus ruficollis"
"123","iNaturalist",2019,4,"San Clemente","Coleoptera","Carabidae","Calosoma",
"124","iNaturalist",2019,5,"San Clemente","Coleoptera","Carabidae","Calosoma",
"125","iNaturalist",2019,5,"Santa Catalina","Coleoptera","Carabidae","Calosoma",
"126","iNaturalist",2019,1,"San Clemente","Coleoptera","Carabidae",,
"127","iNaturalist",2019,4,"San Clemente","Coleoptera","Carabidae",,
"128","iNaturalist",2019,4,"San Clemente","Coleoptera","Carabidae",,
"129","iNaturalist",2019,4,"San Clemente","Coleoptera","Carabidae",,
"130","iNaturalist",2019,4,"San Clemente","Coleoptera","Carabidae",,
"131","iNaturalist",2020,2,"San Clemente","Coleoptera","Carabidae",,
"132","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae",,
"133","iNaturalist",2021,5,"San Clemente","Coleoptera","Carabidae",,
"134","iNaturalist",2011,8,"Santa Catalina","Coleoptera","Carabidae",,
"135","iNaturalist",2015,6,"Santa Catalina","Coleoptera","Carabidae",,
"136","iNaturalist",2019,5,"Santa Rosa","Coleoptera","Carabidae",,
"137","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Carabidae","Cicindela","Cicindela hirticollis gravida"
"138","iNaturalist",2015,3,"Santa Cruz","Coleoptera","Carabidae",,
"139","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Dicheirus",
"140","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Dicheirus",
"141","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Dicheirus","Dicheirus dilatatus"
"142","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Dicheirus","Dicheirus dilatatus"
"143","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Dicheirus","Dicheirus dilatatus"
"144","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Dicheirus","Dicheirus dilatatus"
"145","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Dicheirus","Dicheirus dilatatus"
"146","iNaturalist",2019,7,"Santa Cruz","Coleoptera","Carabidae","Dicheirus","Dicheirus dilatatus"
"147","iNaturalist",2020,2,"San Clemente","Coleoptera","Carabidae",,
"148","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Pterostichus",
"149","iNaturalist",2020,2,"San Clemente","Coleoptera","Carabidae","Pterostichus",
"150","iNaturalist",2019,11,"San Clemente","Coleoptera","Carabidae","Laemostenus","Laemostenus complanatus"
"151","iNaturalist",2019,5,"Santa Rosa","Coleoptera","Carabidae","Ophonus",
"152","iNaturalist",2019,3,"Santa Catalina","Coleoptera","Carabidae","Platynus","Platynus brunneomarginatus"
"153","iNaturalist",2020,2,"San Clemente","Coleoptera","Carabidae","Poecilus",
"154","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Carabidae","Poecilus",
"155","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Pseudaptinus",
"156","iNaturalist",2020,1,"San Clemente","Coleoptera","Carabidae","Pseudaptinus","Pseudaptinus horni"
"157","iNaturalist",2020,2,"San Clemente","Coleoptera","Carabidae","Pseudaptinus","Pseudaptinus horni"
"158","iNaturalist",2019,6,"San Clemente","Coleoptera","Carabidae","Pterostichus",
"159","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Pterostichus",
"160","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Pterostichus","Pterostichus gliscans"
"161","iNaturalist",2019,3,"San Clemente","Coleoptera","Carabidae","Pterostichus","Pterostichus gliscans"
"162","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Carabidae","Scaphinotus",
"163","iNaturalist",2019,11,"San Nicolas","Coleoptera","Carabidae","Tanystoma","Tanystoma maculicolle"
"164","iNaturalist",2018,3,"Santa Catalina","Coleoptera","Carabidae","Tanystoma","Tanystoma maculicolle"
"165","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Carabidae","Tanystoma","Tanystoma maculicolle"
"166","iNaturalist",2019,5,"Santa Rosa","Coleoptera","Carabidae","Tanystoma","Tanystoma maculicolle"
"167","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Cerambycidae","Anastrangalia","Anastrangalia laetifica"
"168","iNaturalist",2015,7,"Santa Cruz","Coleoptera","Cerambycidae","Asemum","Asemum nitidum"
"169","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Cerambycidae","Brachysomida","Brachysomida californica"
"170","iNaturalist",2011,7,"Santa Catalina","Coleoptera","Cerambycidae","Brothylus","Brothylus gemmulatus"
"171","iNaturalist",2015,7,"Santa Cruz","Coleoptera","Cerambycidae","Centrodera","Centrodera spurca"
"172","iNaturalist",2015,7,"Santa Cruz","Coleoptera","Cerambycidae","Centrodera","Centrodera spurca"
"173","iNaturalist",2021,6,"Santa Catalina","Coleoptera","Cerambycidae",,
"174","iNaturalist",2020,7,"Santa Catalina","Coleoptera","Cerambycidae",,
"175","iNaturalist",2018,8,"Santa Catalina","Coleoptera","Cerambycidae","Enaphalodes","Enaphalodes hispicornis"
"176","iNaturalist",2015,8,"Santa Catalina","Coleoptera","Cerambycidae","Eucrossus","Eucrossus villicornis"
"177","iNaturalist",2015,8,"Santa Catalina","Coleoptera","Cerambycidae","Eucrossus","Eucrossus villicornis"
"178","iNaturalist",2011,7,"Santa Catalina","Coleoptera","Cerambycidae","Ipochus","Ipochus fasciatus"
"179","iNaturalist",2017,8,"Santa Catalina","Coleoptera","Cerambycidae","Ipochus","Ipochus fasciatus"
"180","iNaturalist",2018,6,"Santa Catalina","Coleoptera","Cerambycidae","Ipochus","Ipochus fasciatus"
"181","iNaturalist",2019,7,"Santa Catalina","Coleoptera","Cerambycidae","Ipochus","Ipochus fasciatus"
"182","iNaturalist",2019,8,"Santa Cruz","Coleoptera","Cerambycidae","Ipochus","Ipochus fasciatus"
"183","iNaturalist",2012,5,"Santa Cruz","Coleoptera","Cerambycidae","Ipochus","Ipochus fasciatus"
"184","iNaturalist",2018,6,"Anacapa","Coleoptera","Cerambycidae","Ipochus","Ipochus fasciatus"
"185","iNaturalist",2021,5,"Anacapa","Coleoptera","Cerambycidae","Ipochus","Ipochus fasciatus"
"186","iNaturalist",2015,7,"Santa Catalina","Coleoptera","Cerambycidae","Phoracantha","Phoracantha recurva"
"187","iNaturalist",2014,7,"Santa Catalina","Coleoptera","Cerambycidae","Phymatodes","Phymatodes grandis"
"188","iNaturalist",2011,7,"Santa Catalina","Coleoptera","Cerambycidae","Phymatodes","Phymatodes grandis"
"189","iNaturalist",2015,7,"Santa Cruz","Coleoptera","Cerambycidae","Prionus","Prionus californicus"
"190","iNaturalist",2018,7,"Santa Cruz","Coleoptera","Cerambycidae","Prionus","Prionus californicus"
"191","iNaturalist",2019,7,"Santa Cruz","Coleoptera","Cerambycidae","Prionus","Prionus californicus"
"192","iNaturalist",2019,8,"Santa Cruz","Coleoptera","Cerambycidae","Prionus","Prionus californicus"
"193","iNaturalist",2014,6,"Santa Cruz","Coleoptera","Cerambycidae","Prionus","Prionus californicus"
"194","iNaturalist",2013,5,"Santa Cruz","Coleoptera","Cerambycidae","Stenocorus",
"195","iNaturalist",2019,6,"Santa Catalina","Coleoptera","Cerambycidae","Strophiona","Strophiona tigrina"
"196","iNaturalist",2015,7,"Santa Cruz","Coleoptera","Cerambycidae","Styloxus","Styloxus fulleri"
"197","iNaturalist",2019,6,"Santa Catalina","Coleoptera","Cerambycidae","Triodoclytus","Triodoclytus lanifer"
"198","iNaturalist",2017,5,"Santa Catalina","Coleoptera","Cerambycidae","Xylotrechus","Xylotrechus insignis"
"199","iNaturalist",2020,6,"Santa Catalina","Coleoptera","Cerambycidae","Xylotrechus","Xylotrechus insignis"
"200","iNaturalist",2012,6,"Santa Catalina","Coleoptera","Chrysomelidae","Acanthoscelides",
"201","iNaturalist",2012,6,"Santa Catalina","Coleoptera","Chrysomelidae","Acanthoscelides",
"202","iNaturalist",2019,6,"San Clemente","Coleoptera","Chrysomelidae",,
"203","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Chrysomelidae",,
"204","iNaturalist",2019,5,"Santa Rosa","Coleoptera","Chrysomelidae","Calligrapha","Calligrapha sigmoidea"
"205","iNaturalist",2019,5,"Santa Rosa","Coleoptera","Chrysomelidae","Calligrapha","Calligrapha sigmoidea"
"206","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Chrysomelidae","Charidotella","Charidotella sexpunctata"
"207","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Chrysomelidae","Charidotella","Charidotella sexpunctata"
"208","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Chrysomelidae","Charidotella","Charidotella sexpunctata"
"209","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Chrysomelidae","Charidotella","Charidotella sexpunctata"
"210","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Chrysomelidae","Charidotella","Charidotella sexpunctata"
"211","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Chrysomelidae","Charidotella","Charidotella sexpunctata"
"212","iNaturalist",2020,7,"Santa Cruz","Coleoptera","Chrysomelidae","Charidotella","Charidotella sexpunctata"
"213","iNaturalist",2019,3,"San Clemente","Coleoptera","Chrysomelidae",,
"214","iNaturalist",2019,3,"San Clemente","Coleoptera","Chrysomelidae",,
"215","iNaturalist",2019,6,"San Clemente","Coleoptera","Chrysomelidae",,
"216","iNaturalist",2019,6,"San Clemente","Coleoptera","Chrysomelidae",,
"217","iNaturalist",2018,4,"Santa Cruz","Coleoptera","Chrysomelidae","Colaspidea","Colaspidea smaragdula"
"218","iNaturalist",2015,6,"Santa Rosa","Coleoptera","Chrysomelidae","Lema","Lema daturaphila"
"219","iNaturalist",2017,5,"Santa Cruz","Coleoptera","Chrysomelidae","Megacerus","Megacerus impiger"
"220","iNaturalist",2015,4,"Santa Catalina","Coleoptera","Chrysomelidae","Stator","Stator limbatus"
"221","iNaturalist",2014,7,"Santa Catalina","Coleoptera","Chrysomelidae","Systena",
"222","iNaturalist",2014,7,"Santa Catalina","Coleoptera","Chrysomelidae","Systena",
"223","iNaturalist",2019,4,"Santa Catalina","Coleoptera","Chrysomelidae","Trachymela","Trachymela sloanei"
"224","iNaturalist",2019,5,"Santa Catalina","Coleoptera","Chrysomelidae","Trachymela","Trachymela sloanei"
"225","iNaturalist",2019,7,"Santa Catalina","Coleoptera","Chrysomelidae","Trachymela","Trachymela sloanei"
"226","iNaturalist",2019,3,"Santa Cruz","Coleoptera","Chrysomelidae","Trachymela","Trachymela sloanei"
"227","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Chrysomelidae","Trachymela","Trachymela sloanei"
"228","iNaturalist",2019,6,"Santa Cruz","Coleoptera","Chrysomelidae","Trachymela","Trachymela sloanei"
"229","iNaturalist",2019,8,"Santa Cruz","Coleoptera","Chrysomelidae","Trachymela","Trachymela sloanei"
"230","iNaturalist",2021,4,"Santa Cruz","Coleoptera","Chrysomelidae","Trachymela","Trachymela sloanei"
"231","iNaturalist",2019,4,"Santa Cruz","Coleoptera","Cleridae","Loedelia","Loedelia maculicollis"
"232","iNaturalist",2021,4,"Santa Cruz","Coleoptera","Cleridae","Trichodes","Trichodes ornatus"
"233","iNaturalist",2018,3,"San Clemente","Coleoptera","Coccinellidae","Coccinella",
"234","iNaturalist",2018,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella",
"235","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella",
"236","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella",
"237","iNaturalist",2020,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella",
"238","iNaturalist",2021,2,"San Clemente","Coleoptera","Coccinellidae","Coccinella",
"239","iNaturalist",2021,3,"San Clemente","Coleoptera","Coccinellidae","Coccinella",
"240","iNaturalist",2021,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella",
"241","iNaturalist",2016,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"242","iNaturalist",2017,1,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"243","iNaturalist",2017,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"244","iNaturalist",2017,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"245","iNaturalist",2017,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"246","iNaturalist",2017,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"247","iNaturalist",2017,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"248","iNaturalist",2018,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"249","iNaturalist",2018,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"250","iNaturalist",2018,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"251","iNaturalist",2018,10,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"252","iNaturalist",2019,2,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"253","iNaturalist",2019,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"254","iNaturalist",2019,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"255","iNaturalist",2019,4,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"256","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"257","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"258","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"259","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"260","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"261","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"262","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"263","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"264","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"265","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"266","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"267","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"268","iNaturalist",2019,5,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"269","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"270","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"271","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"272","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"273","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"274","iNaturalist",2019,7,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"275","iNaturalist",2019,7,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"276","iNaturalist",2019,12,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"277","iNaturalist",2020,1,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"278","iNaturalist",2020,1,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"279","iNaturalist",2020,2,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"280","iNaturalist",2020,3,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"281","iNaturalist",2020,3,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"282","iNaturalist",2020,3,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"283","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"284","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"285","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"286","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"287","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"288","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"289","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"290","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"291","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"292","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
"293","iNaturalist",2019,6,"San Clemente","Coleoptera","Coccinellidae","Coccinella","Coccinella californica"
