record,source,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,iconic_taxon_name,taxon_id,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,taxon_species_name,taxon_subspecies_name,id,month,year,time_obser,ved_at,time_3,time_zone,scientificName,order,acceptedName,common_name,user_login,quality_grade,license,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id
occurrence,iNaturalist,"Los Angeles, California, United States",Santa Catalina,33.43620333,-118.5019,,,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,3803889,7,2016,7/30/16,17:31:00,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,yetikat,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3803889,https://inaturalist-open-data.s3.amazonaws.com/photos/4443346/medium.jpeg?1470339564,OLYMPUS DIGITAL CAMERA,0,0,FALSE,
occurrence,iNaturalist,"san clemente island, ca",San Clemente,32.9947,-118.548677,34,34,,,FALSE,,manual,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,19497737,1,2019,1/6/19,21:40:00,0,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,vireolanius,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/19497737,https://inaturalist-open-data.s3.amazonaws.com/photos/30002412/medium.jpg?1546895810,,2,0,FALSE,
occurrence,iNaturalist,"Santa Barbara County, CA, USA",Santa Cruz,33.99585833,-119.7168283,,,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,15025657,4,2018,4/21/18,8:32:00,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,silversea_starsong,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/15025657,https://inaturalist-open-data.s3.amazonaws.com/photos/22423980/medium.jpeg?1533155096,,1,0,FALSE,
occurrence,iNaturalist,"Santa Barbara County, CA, USA",Santa Rosa,34.00791926,-120.0486022,,,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,25402006,5,2019,5/12/19,21:46:00,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,silversea_starsong,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/25402006,https://inaturalist-open-data.s3.amazonaws.com/photos/39332769/medium.jpeg?1558294793,,0,0,FALSE,
occurrence,iNaturalist,"Santa Catalina Island, , CA, US",Santa Catalina,33.37524645,-118.4778551,5,5,,,FALSE,,,,Arachnida,47345,Agelenidae,Agelenidae,,,,,23183966,4,2019,4/25/19,17:47:22,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,parisrebl,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/23183966,https://inaturalist-open-data.s3.amazonaws.com/photos/35929773/medium.jpg?1556302171,,0,0,FALSE,3
occurrence,iNaturalist,"Santa Cruz Island, California 93001, USA",Santa Cruz,34.02675,-119.6952639,,,,,FALSE,gps,gps,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,69401459,2,2021,2/10/21,20:31:26,0,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,gheaton,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/69401459,https://inaturalist-open-data.s3.amazonaws.com/photos/112595239/medium.jpeg?1613024443,,1,0,FALSE,2
occurrence,iNaturalist,"Santa Cruz Island, Santa Barbara County, California,  USA",Santa Cruz,34.0232056,-119.7657663,,,,,FALSE,,,,Arachnida,47345,Agelenidae,Agelenidae,,,,,65655489,,,,,,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,pjbryant,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/65655489,https://static.inaturalist.org/photos/105710237/medium.jpeg?1606423729,,0,0,FALSE,
occurrence,iNaturalist,"Catalina Island, California, USA",Santa Catalina,33.3847387,-118.4752862,1041,1041,,,FALSE,,,Ageleninae,Arachnida,1251448,Agelenidae,Agelenidae,,,,,85594191,7,2015,7/9/15,23:41:00,100,Pacific Time (US & Canada),Ageleninae,Araneae,,,kiloueka,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/85594191,https://inaturalist-open-data.s3.amazonaws.com/photos/140856886/medium.jpeg?1625392220,,0,0,FALSE,
occurrence,iNaturalist,"11â€“99 Banning Harbor Rd, Avalon, CA, US",Santa Catalina,33.42894667,-118.4892883,,,,,FALSE,,,Grass Spiders,Arachnida,82116,Agelenidae,Agelenidae,Agelenopsis,Agelenopsis,,,5708147,4,2017,4/15/17,0:50:08,100,Pacific Time (US & Canada),Agelenopsis,Araneae,,Grass Spiders,burbott,needs_id,,https://www.inaturalist.org/observations/5708147,https://static.inaturalist.org/photos/7075080/medium.jpg?1492221468,,1,0,FALSE,3
occurrence,iNaturalist,Little Harbor Campground,Santa Catalina,33.386534,-118.473733,195,195,,,FALSE,,,Agelenopsis,Arachnida,82116,Agelenidae,Agelenidae,Agelenopsis,Agelenopsis,,,1472756,11,2013,11/20/13,23:45:13,0,Pacific Time (US & Canada),Agelenopsis,Araneae,,Grass Spiders,kiloueka,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1472756,https://inaturalist-open-data.s3.amazonaws.com/photos/1825862/medium.JPG?1431249361,,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, US-CA, US",Santa Catalina,33.39553,-118.4491717,,,,,FALSE,,,Arachnids,Arachnida,82116,Agelenidae,Agelenidae,Agelenopsis,Agelenopsis,,,1830827,8,2015,8/2/15,16:19:35,100,Pacific Time (US & Canada),Agelenopsis,Araneae,,Grass Spiders,damontighe,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1830827,https://inaturalist-open-data.s3.amazonaws.com/photos/2222848/medium.jpg?1438666559,"Tried soapy times on so many funnels, but no one came out into the light ",1,0,FALSE,3
occurrence,iNaturalist,"Santa Catalina Island, CA, US",Santa Catalina,33.44134807,-118.4922788,5,5,,,FALSE,,,,Arachnida,82116,Agelenidae,Agelenidae,Agelenopsis,Agelenopsis,,,62789540,10,2020,10/17/20,15:21:48,100,Pacific Time (US & Canada),Agelenopsis,Araneae,,Grass Spiders,wild_about_wildlife,needs_id,,https://www.inaturalist.org/observations/62789540,https://static.inaturalist.org/photos/100665275/medium.jpg?1602944631,,0,0,FALSE,3
occurrence,iNaturalist,"1 W Banning House Rd, , CA, US",Santa Catalina,33.44066667,-118.50087,30,30,,,FALSE,,,Grass Spiders,Arachnida,201680,Agelenidae,Agelenidae,Agelenopsis,Agelenopsis,Agelenopsis aperta,,29290843,7,2019,7/22/19,2:28:34,100,Pacific Time (US & Canada),Agelenopsis aperta,Araneae,Agelenopsis aperta,Desert Grass Spider,chelsee,needs_id,,https://www.inaturalist.org/observations/29290843,https://static.inaturalist.org/photos/45705950/medium.jpg?1563760269,,1,0,FALSE,3
occurrence,iNaturalist,"East End Light Road Avalon, CA 90704",Santa Catalina,33.3200668,-118.3180553,363,363,,,FALSE,gps,gps,Grass Spiders,Arachnida,201680,Agelenidae,Agelenidae,Agelenopsis,Agelenopsis,Agelenopsis aperta,,4974886,7,2015,7/9/15,4:39:19,100,Pacific Time (US & Canada),Agelenopsis aperta,Araneae,Agelenopsis aperta,Desert Grass Spider,bjdion,needs_id,CC-BY-NC-SA,https://www.inaturalist.org/observations/4974886,https://inaturalist-open-data.s3.amazonaws.com/photos/6073312/medium.jpeg?1484887291,Found on East End Loop Trail,1,0,FALSE,2
occurrence,iNaturalist,"Santa Catalina Island, California 90704, USA",Santa Catalina,33.3560137,-118.4452891,12,12,,,FALSE,,,Anyphaena,Arachnida,153567,Anyphaenidae,Anyphaenidae,Anyphaena,Anyphaena,,,36306035,12,2019,12/3/19,2:02:30,0,Pacific Time (US & Canada),Anyphaena,Araneae,,,ljbrenner,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/36306035,https://inaturalist-open-data.s3.amazonaws.com/photos/57375115/medium.jpeg?1575338748,,1,0,FALSE,2
occurrence,iNaturalist,"Channel Islands National Park, Channel Islands National Pk, CA, US",Santa Cruz,34.01080738,-119.660606,19,19,,,FALSE,,,Ghost Spiders,Arachnida,83722,Anyphaenidae,Anyphaenidae,,,,,8323331,10,2017,10/6/17,3:18:33,100,Pacific Time (US & Canada),Anyphaenidae,Araneae,,Ghost Spiders,jordanlager,needs_id,,https://www.inaturalist.org/observations/8323331,https://static.inaturalist.org/photos/11054846/medium.jpg?1507526783,,1,0,FALSE,3
occurrence,iNaturalist,"Grove Canyon, San Clemente Island, Los Angeles County, CA, USA. Coordinate uncertainty reflects the area from which the specimens were sampled.",San Clemente,32.8779,-118.4353,40,40,,,FALSE,,,Ghost Spiders,Arachnida,83722,Anyphaenidae,Anyphaenidae,,,,,73275142,,,,,,Pacific Time (US & Canada),Anyphaenidae,Araneae,,Ghost Spiders,pileated,needs_id,CC-BY,https://www.inaturalist.org/observations/73275142,https://inaturalist-open-data.s3.amazonaws.com/photos/119600855/medium.jpg?1617855572,"Collected via beat sheet of Lyonothamnus floribundus ssp. aspleniifolius in a steep, forested, canyon. Images by Carly E. Yarnell.",1,0,FALSE,
occurrence,iNaturalist,"Santa Cruz Island, Santa Barbara County, California,  USA",Santa Cruz,34.0232056,-119.7657663,,,,,FALSE,,,,Arachnida,83722,Anyphaenidae,Anyphaenidae,,,,,65655491,,,,,,Pacific Time (US & Canada),Anyphaenidae,Araneae,,Ghost Spiders,pjbryant,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/65655491,https://static.inaturalist.org/photos/105710244/medium.jpeg?1606423733,,0,0,FALSE,
occurrence,iNaturalist,"Grove Canyon, San Clemente Island, Los Angeles County, CA, USA. Coordinate uncertainty reflects the area from which the specimens were sampled.",San Clemente,32.8779,-118.4353,40,40,,,FALSE,,,Anystidae,Arachnida,245050,Anystidae,Anystidae,,,,,73275120,,,,,,Pacific Time (US & Canada),Anystidae,Trombidiformes,,,pileated,needs_id,CC-BY,https://www.inaturalist.org/observations/73275120,https://inaturalist-open-data.s3.amazonaws.com/photos/119600616/medium.jpg?1617855444,"Collected via beat sheet of Lyonothamnus floribundus ssp. aspleniifolius in a steep, forested, canyon. Images by Esther C. Duh.",0,0,FALSE,
occurrence,iNaturalist,"Grove Canyon, San Clemente Island, Los Angeles County, CA, USA. Coordinate uncertainty reflects the area from which the specimens were sampled.",San Clemente,32.8779,-118.4353,40,40,,,FALSE,,,Anystidae,Arachnida,245050,Anystidae,Anystidae,,,,,73773724,,,,,,Pacific Time (US & Canada),Anystidae,Trombidiformes,,,pileated,needs_id,CC-BY,https://www.inaturalist.org/observations/73773724,https://inaturalist-open-data.s3.amazonaws.com/photos/120478983/medium.jpg?1618253802,"Collected via beat sheet from Lyonothamnus floribundus ssp. aspleniifolius in a steep, forested, canyon. Images by Nolan K. Weiss.",0,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.86809913,-118.4892184,6,6,,,FALSE,,,Anystidae,Arachnida,245050,Anystidae,Anystidae,,,,,21908765,3,2019,3/29/19,4:08:00,0,Pacific Time (US & Canada),Anystidae,Trombidiformes,,,cedric_lee,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21908765,https://inaturalist-open-data.s3.amazonaws.com/photos/33948397/medium.jpeg?1554214389,From Toyon leaf litter,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles, California, United States",San Clemente,32.87053167,-118.4872233,,,,,FALSE,,,Anystidae,Arachnida,245050,Anystidae,Anystidae,,,,,21907602,3,2019,3/28/19,15:51:00,0,Pacific Time (US & Canada),Anystidae,Trombidiformes,,,cedric_lee,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21907602,https://inaturalist-open-data.s3.amazonaws.com/photos/33937311/medium.jpeg?1554186175,,1,0,FALSE,
occurrence,iNaturalist,"Middle Ranch West, San Clemente Island, Los Angeles County, CA, USA. Coordinate uncertainty and large range of min and max elevation reflects the broad area from which the specimen was possibly sampled.",San Clemente,32.8692,-118.4944,350,350,,,FALSE,,,Anystidae,Arachnida,245050,Anystidae,Anystidae,,,,,72579497,,,,,,Pacific Time (US & Canada),Anystidae,Trombidiformes,,,pileated,needs_id,CC-BY,https://www.inaturalist.org/observations/72579497,https://inaturalist-open-data.s3.amazonaws.com/photos/118355984/medium.jpg?1617243394,Collected by Robyn A. Shea in maritime desert scrub via 30 minute time-constrained search under stones. Images by Samantha K. Taylor.,0,0,FALSE,
occurrence,iNaturalist,"Los Angeles, California, United States",San Clemente,32.87071667,-118.495235,,,,,FALSE,,,Whirligig Mites,Arachnida,249515,Anystidae,Anystidae,Anystis,Anystis,,,21824725,3,2019,3/27/19,17:49:00,0,Pacific Time (US & Canada),Anystis,Trombidiformes,,Whirligig Mites,cedric_lee,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21824725,https://inaturalist-open-data.s3.amazonaws.com/photos/33810397/medium.jpeg?1554039331,,1,0,FALSE,
occurrence,iNaturalist,"Channel Islands National Park, CA, US",Santa Cruz,34.02053333,-119.5553967,30,30,,,FALSE,,,Northern Orbweaver,Arachnida,208029,Araneidae,Araneidae,Aculepeira,Aculepeira,Aculepeira packardi,,39682901,3,2020,3/7/20,22:42:53,0,Pacific Time (US & Canada),Aculepeira packardi,Araneae,Aculepeira packardi,Northern Orbweaver,castillejajosie,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/39682901,https://inaturalist-open-data.s3.amazonaws.com/photos/62981697/medium.jpg?1583635862,,1,0,FALSE,3
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.86214722,-118.4644167,5,5,,,FALSE,,,Northern Orbweaver,Arachnida,208029,Araneidae,Araneidae,Aculepeira,Aculepeira,Aculepeira packardi,,39551090,3,2020,3/4/20,16:02:00,0,Pacific Time (US & Canada),Aculepeira packardi,Araneae,Aculepeira packardi,Northern Orbweaver,shrike2,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/39551090,https://static.inaturalist.org/photos/62759047/medium.jpeg?1583365189,,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles, California, United States",San Clemente,32.86302833,-118.4549133,,,,,FALSE,,,Northern Orbweaver,Arachnida,208029,Araneidae,Araneidae,Aculepeira,Aculepeira,Aculepeira packardi,,39389275,2,2020,2/22/20,0:20:00,0,Pacific Time (US & Canada),Aculepeira packardi,Araneae,Aculepeira packardi,Northern Orbweaver,cedric_lee,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/39389275,https://inaturalist-open-data.s3.amazonaws.com/photos/62479947/medium.jpeg?1583035473,,0,0,FALSE,
occurrence,iNaturalist,"San Clemente Island Underwater Range, , CA, US",San Clemente,32.90632,-118.47512,5,5,,,FALSE,,,Northern Orbweaver,Arachnida,208029,Araneidae,Araneidae,Aculepeira,Aculepeira,Aculepeira packardi,,24845640,5,2019,5/9/19,17:32:18,100,Pacific Time (US & Canada),Aculepeira packardi,Araneae,Aculepeira packardi,Northern Orbweaver,stephlbartlett,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/24845640,https://inaturalist-open-data.s3.amazonaws.com/photos/38428195/medium.jpg?1557423825,,1,0,FALSE,3
occurrence,iNaturalist,"San Clemente Island Underwater Range, Avalon, CA, US",San Clemente,32.89022308,-118.448257,218,218,,,FALSE,,,Aculepeira packardi,Arachnida,208029,Araneidae,Araneidae,Aculepeira,Aculepeira,Aculepeira packardi,,5544898,4,2017,4/2/17,20:58:08,100,Pacific Time (US & Canada),Aculepeira packardi,Araneae,Aculepeira packardi,Northern Orbweaver,vireolanius,research,CC-BY-NC,https://www.inaturalist.org/observations/5544898,https://inaturalist-open-data.s3.amazonaws.com/photos/6845757/medium.jpg?1491172846,,2,0,FALSE,3
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.34583075,-118.3347511,1589,1589,,,FALSE,,,Orbweavers,Arachnida,47535,Araneidae,Araneidae,,,,,5253024,,,,,,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,psyllidhipster,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5253024,https://inaturalist-open-data.s3.amazonaws.com/photos/6498916/medium.jpg?1489009028,,2,0,FALSE,
occurrence,iNaturalist,"Channel Islands National Park, CA, US",Santa Rosa,33.99014167,-120.0487528,9,9,,,FALSE,,,,Arachnida,47535,Araneidae,Araneidae,,,,,56595741,6,2020,6/12/20,5:16:31,100,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,sweiser,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/56595741,https://inaturalist-open-data.s3.amazonaws.com/photos/90202195/medium.jpg?1597552522,,0,0,FALSE,3
occurrence,iNaturalist,"Descanso Beach, Avalon, CA 90704, USA",Santa Catalina,33.3508653,-118.3300394,51,51,,,FALSE,,,Orbweavers,Arachnida,47535,Araneidae,Araneidae,,,,,39839853,3,2020,3/11/20,15:10:08,0,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,ecozippertfb,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/39839853,https://inaturalist-open-data.s3.amazonaws.com/photos/63248546/medium.jpeg?1583939476,,0,0,FALSE,2
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.99588251,-118.553369,20,20,,,FALSE,,,Orbweavers,Arachnida,47535,Araneidae,Araneidae,,,,,56759509,8,2020,8/17/20,18:13:00,100,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,sue_meiman,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/56759509,https://inaturalist-open-data.s3.amazonaws.com/photos/90473368/medium.jpg?1597684996,,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, US-CA, US",San Clemente,32.86822865,-118.4793662,5,5,,,FALSE,,,,Arachnida,47535,Araneidae,Araneidae,,,,,31367432,8,2019,8/23/19,17:29:01,100,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,shrike2,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/31367432,https://static.inaturalist.org/photos/49087185/medium.jpg?1566593779,,0,0,FALSE,3
occurrence,iNaturalist,"Los Angeles County, US-CA, US",San Clemente,32.91299667,-118.48027,5,5,,,FALSE,,,Orbweavers,Arachnida,47535,Araneidae,Araneidae,,,,,37625272,1,2020,1/15/20,18:37:07,0,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,vireolanius,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/37625272,https://inaturalist-open-data.s3.amazonaws.com/photos/59681658/medium.jpg?1579120370,,1,0,FALSE,3
occurrence,iNaturalist,"Los Angeles County, US-CA, US",Santa Catalina,33.34386525,-118.328863,132,132,,,FALSE,gps,gps,Orbweavers,Arachnida,47535,Araneidae,Araneidae,,,,,32566913,9,2019,9/12/19,3:16:04,100,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,bjdion,needs_id,CC-BY-NC-SA,https://www.inaturalist.org/observations/32566913,https://inaturalist-open-data.s3.amazonaws.com/photos/51091658/medium.jpeg?1568255100,,0,0,FALSE,2
occurrence,iNaturalist,"Los Angeles County, US-CA, US",Santa Catalina,33.34983425,-118.3331563,5,5,,,FALSE,,,Orbweavers,Arachnida,47535,Araneidae,Araneidae,,,,,37924455,1,2020,1/24/20,17:44:06,0,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,ecozippertfb,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/37924455,https://inaturalist-open-data.s3.amazonaws.com/photos/60197015/medium.jpeg?1579895871,Many young ones using their silk to fly to new areas.,0,0,FALSE,2
occurrence,iNaturalist,"Los Angeles County, US-CA, US",Santa Catalina,33.35091902,-118.3301512,8,8,,,FALSE,,,Orbweavers,Arachnida,47535,Araneidae,Araneidae,,,,,58985000,9,2020,9/8/20,21:22:38,100,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,ecozippertfb,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/58985000,https://inaturalist-open-data.s3.amazonaws.com/photos/95416670/medium.jpeg?1600196284,,0,0,FALSE,2
occurrence,iNaturalist,"Santa Barbara County, CA, USA",Santa Cruz,34.02202208,-119.8709249,31,31,,,FALSE,,,Orbweavers,Arachnida,47535,Araneidae,Araneidae,,,,,6384363,5,2017,5/19/17,15:28:00,100,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,silversea_starsong,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/6384363,https://inaturalist-open-data.s3.amazonaws.com/photos/8058218/medium.jpeg?1495913962,,1,0,FALSE,
occurrence,iNaturalist,"Santa Catalina Island, Avalon, CA, US",Santa Catalina,33.30724834,-118.3371675,33585,33585,,,FALSE,,,,Arachnida,47535,Araneidae,Araneidae,,,,,7450842,8,2017,8/11/17,20:44:42,100,Pacific Time (US & Canada),Araneidae,Araneae,,Orbweavers,earlyelliott,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/7450842,https://inaturalist-open-data.s3.amazonaws.com/photos/9816227/medium.jpg?1502938451,,0,0,FALSE,3
