"","acceptedFamily","acceptedGenus","acceptedName","island"
"113","Salticidae","Phidippus","Phidippus johnsoni","Santa Catalina"
"114","Salticidae","Salticus","Salticus palpalis","Santa Catalina"
"115","Salticidae","Sassacus","Sassacus vitis","Santa Catalina"
"116","Salticidae","Synageles",,"San Clemente"
"117","Salticidae","Terralonus","Terralonus californicus","Santa Catalina"
"118","Sclerosomatidae","Leuronychus","Leuronychus pacificus","Santa Cruz"
"119","Scytodidae","Scytodes","Scytodes lugubris","Santa Catalina"
"120","Segestriidae","Segestria",,"San Clemente"
"121","Segestriidae","Segestria","Segestria pacifica","Santa Cruz"
"122","Smarididae",,,"San Clemente"
"123","Sparassidae","Curicaberis",,"Santa Catalina"
"124","Sparassidae","Curicaberis","Curicaberis peninsulanus","Santa Catalina"
"125","Tetragnathidae",,,"San Clemente"
"126","Theridiidae","Argyrodes",,"San Clemente"
"127","Theridiidae","Asagena",,"Santa Catalina"
"128","Theridiidae","Latrodectus",,"Santa Cruz"
"129","Theridiidae","Latrodectus","Latrodectus geometricus","Santa Catalina"
"130","Theridiidae","Latrodectus","Latrodectus hesperus","Santa Catalina"
"131","Theridiidae","Parasteatoda",,"Santa Catalina"
"132","Theridiidae","Parasteatoda","Parasteatoda tepidariorum","Santa Catalina"
"133","Theridiidae","Steatoda",,"Santa Catalina"
"134","Theridiidae","Steatoda","Steatoda grossa","San Clemente"
"135","Theridiidae","Steatoda","Steatoda nobilis","Santa Rosa"
"136","Theridiidae",,,"Santa Catalina"
"137","Theridiidae","Theridion",,"Santa Catalina"
"138","Thomisidae","Diaea","Diaea livens","Santa Cruz"
"139","Thomisidae","Mecaphesa",,"Santa Catalina"
"140","Thomisidae","Misumena",,"Santa Catalina"
"141","Thomisidae","Misumena","Misumena vatia","Santa Cruz"
"142","Thomisidae",,,"Santa Cruz"
"143","Thomisidae","Thomisus",,"Anacapa"
"144","Thomisidae","Tmarus",,"Santa Catalina"
"145","Thomisidae","Xysticus",,
"146","Trachelidae","Trachelas",,"Santa Catalina"
"147","Trachelidae","Trachelas","Trachelas pacificus","Santa Catalina"
"148","Microtrombidiidae","Trombidium",,"San Clemente"
"149","Vaejovidae","Catalinia","Catalinia minima","Santa Catalina"
"150","Vaejovidae","Catalinia","Catalinia thompsoni","Santa Cruz"
"151","Zodariidae","Lutica",,"San Miguel"
"152","Zodariidae","Lutica","Lutica nicolasia","San Nicolas"
"153","Zoropsidae",,,"Santa Catalina"
"154",,,,"San Clemente"
"155","Amaurobiidae","Callobius",,"Santa Cruz"
"156","Araneidae","Metepeira","Metepeira ventura","San Clemente"
"157","Garypinidae",,,"Santa Catalina"
"158","Gnaphosidae","Gnaphosa","Gnaphosa californica","Santa Cruz"
"159","Gnaphosidae","Gnaphosa","Gnaphosa maritima","San Nicolas"
"160","Gnaphosidae","Gnaphosa","Gnaphosa salsa","San Clemente"
"161","Gnaphosidae","Marinarozelotes","Marinarozelotes jaxartensis","Santa Catalina"
"162","Phalangodidae","Calicina","Calicina topanga","Santa Cruz"
"163","Salticidae","Habronattus","Habronattus ophrys","Santa Barbara"
"164","Segestriidae","Ariadna","Ariadna bicolor","Santa Catalina"
"165","Thomisidae","Mecaphesa","Mecaphesa lepida","Santa Cruz"
"166","Thomisidae","Tmarus","Tmarus angulatus","Santa Cruz"
