record,source,id,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,family,acceptedFamily,scientific,acceptedName,taxonID,scientif_1,genus,acceptedGenus,specificEp,taxonRank,infraspeci,identified,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,island,locality,IslandName_fromArcMap,locationRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
occurrence,Cal-IBIS,1559528,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,bc8cb0ff-8993-45a9-bc33-5efbc3069ee3,9049253, ,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Gnaphosidae,Gnaphosa salsa,Gnaphosa salsa,215844,"Platnick & Shadab, 1975",Gnaphosa,Gnaphosa,salsa, , , ,Phil Regal, ,1962-12-00,1962,12,0,0,0,MY: 12-1962,F-24-7, , , , , , , , ,adult,1 female,1, , ,75% ethanol,United States,California,Los Angeles, ,San Clemente,San Clemente Island, , ,0,0, ,0,",", , , , , ,0, , , , , , , ,Don Heyneman,9/14/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:93f9bf47-b8eb-42b7-8cd3-389f41257e75,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559528
occurrence,Cal-IBIS,1556408,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,db0734be-9215-474d-9666-9bbdeb1ebcc5,9049841, ,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Gnaphosidae,Trachyzelotes jaxartensis,Marinarozelotes jaxartensis,426653,"(Kroneberg, 1875)",Trachyzelotes,Marinarozelotes,jaxartensis, , , ,J. T. Carlson, ,1910-00-23,1910,0,23,0,0,DMY: 23-7-1910 - 10-9-1910, , , , , , , , , ,adult,1 male,1, , ,75% ethanol,United States,California,Los Angeles, ,Santa Catalina,"Santa Catalina Island, vicinity of Avalon", , ,0,0, ,0,",", , , , , ,0, , , , , , , ,Don Heyneman,10/20/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:63db18ff-1473-4be9-89f7-8e846e436863,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1556408
occurrence,Cal-IBIS,1559606,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:907588,EMEC907588, ,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Protolophidae,Protolophus,,50329,"Banks, 1893",Protolophus,Protolophus, , , , ,J. T. Doyen, ,3/22/72,1972,3,22,82,0,3/22/72, , , , , , , , , , , ,1, , ,fluid,United States,California,Los Angeles County, ,San Clemente,"San Clemente Island, east face of Mount Thirst",San Clemente, ,32.88714,-118.44554,WGS1984,1074, , , , , , ,0, , , , , , , , ,5/14/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:eb662112-81ed-49a3-857c-71e1ebb5e3d7,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559606
occurrence,Cal-IBIS,1559608,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:907617,EMEC907617, ,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Protolophidae,Protolophus,,50329,"Banks, 1893",Protolophus,Protolophus, , , , ,J. Toldmen, ,3/22/72,1972,3,22,82,0,3/22/72, , , , , , , , , , , ,1, , ,fluid,United States,California,Los Angeles County, ,San Clemente,"San Clemente Island, east face of Mount Thirst",San Clemente, ,32.88714,-118.44554,WGS1984,1074, , , , , , ,0, , , , , , , , ,9/12/16 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:0925bbd5-b8c1-442c-8d04-093f13984862,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559608
occurrence,Cal-IBIS,1559607,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:907618,EMEC907618, ,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Protolophidae,Protolophus,,50329,"Banks, 1893",Protolophus,Protolophus, , , , ,P. Rude, ,1/18/76,1976,1,18,18,0,1/18/76, , , , , , , , , , , ,1, , ,fluid,United States,California,Los Angeles County, ,San Clemente,"San Clemente Island, east face of Mount Thirst",San Clemente, ,32.88714,-118.44554,WGS1984,1074, , , , , , ,0, , , , , , , , ,9/12/16 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:aae8be1d-feec-4229-9f35-9dd30f1d58c1,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559607
occurrence,Cal-IBIS,1559604,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:907577,EMEC907577, ,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Protolophidae,Protolophus,,50329,"Banks, 1893",Protolophus,Protolophus, , , , ,J. Powell, ,3/21/72,1972,3,21,81,0,3/21/72, , , , , , , , , , , ,2, , ,fluid,United States,California,Los Angeles County, ,San Clemente,"San Clemente Island, West Cove",San Clemente, ,33.01608,-118.59706,WGS1984,559, , , , , , ,0, , , , , , , , ,9/12/16 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:a621e956-fbc0-483d-aa4c-d9d52d77e852,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559604
occurrence,Cal-IBIS,1559609,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:907600,EMEC907600, ,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Protolophidae,Protolophus,,50329,"Banks, 1893",Protolophus,Protolophus, , , , ,S. L. Szerlip, ,3/23/72,1972,3,23,83,0,3/23/72, , , , , , , , , , , ,2, , ,fluid,United States,California,Los Angeles County, ,San Clemente,"San Clemente Island, West Cove",San Clemente, ,33.01608,-118.59706,WGS1984,559, , , , , , ,0, , , , , , , , ,9/12/16 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:fc87a195-3027-4c8d-ba1b-204a650e9106,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559609
occurrence,Cal-IBIS,1555206,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,1ba12907-4cf2-4622-b1ee-133e83eae9e0,9067074, ,Animalia,Arthropoda,Arachnida,Opiliones,Phalangodidae,Phalangodidae,Calicina topanga,Calicina topanga,119808,"(Briggs, 1968)",Calicina,Calicina,topanga, , , ,"Tom Briggs; K. Hom, A. Jung", ,12/19/67,1967,12,19,353,0,DMY: 19-12-1967, ,oak woodland; breccia, , , , , , , ,adult,"11 males, 8 females",19, , ,75% ethanol,United States,California,Santa Barbara, ,Santa Cruz,"Channel Islands National Park, Santa Cruz Island, canyon north of University of California, Santa Barbara Field Station",Santa Cruz, ,34.0001,-119.728, ,0,"34.0001, -119.728", , , , , ,152, , , , ,500 feet, , ,Darrell Ubick,4/28/16 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:b6ff90bf-795e-44ce-acbf-e39bdd340fa5,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555206
occurrence,Cal-IBIS,1565287,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,b223173b-91b8-49de-b468-157684e8517c,SDSU_OP2745, ,Animalia,Arthropoda,Arachnida,Opiliones,Phalangodidae,Phalangodidae,Calicina topanga,Calicina topanga,119808,"(Briggs, 1968)",Calicina,Calicina,topanga, , ,K Emata,M Caterino, ,5/13/09,2009,5,13,133,0,5/13/09, , , , , , , , , , ,M,0, , , ,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.0255,-119.6976,WGS84,0, , , , , , ,0, , , , , , , , ,4/29/16 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:7c518b6e-aeb6-449c-b769-646235c67784,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1565287
occurrence,Cal-IBIS,1559488,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,7bafba0b-88ee-43ad-84e9-b11fa12d80d8,SDSU_TAC000575, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus californicus,Habronattus californicus,219773,"(Banks, 1904)",Habronattus,Habronattus,californicus, , ,M Hedin,"M Hedin, S Foldi", ,4/26/06,2006,4,26,116,0,4/26/06, ,"stabilized dunefield, Astragalus + Atriplex",MCH 06_072, , , , , , ,adult,M,0, , , ,United States,California,Los Angeles, ,San Clemente,"San Clemente Island, dunefield S of landing field",San Clemente, ,32.98726,-118.57341,WGS84,0, , , , , , ,0, , , , , , , , ,11/30/18 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:9ee83512-c6b8-4330-8ddb-f271b5f6afdd,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559488
occurrence,Cal-IBIS,1555185,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,4075fd91-7f0b-43eb-9e72-7e598792ddf1,SDSU_HA1615, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus ophrys,Habronattus ophrys,219822,"Griswold, 1987",Habronattus,Habronattus,ophrys, , ,M Hedin,S Foldi, ,7/31/05,2005,7,31,212,0,7/31/05, ,trailside vegetation,SEF 05_028, , , , , , , ,F,0, , , ,United States,California,Ventura, ,Santa Barbara,"Santa Barbara Island, Arch Point trail on northern side of isle",Santa Barbara, ,33.4808,-119.0366,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:a532fb53-d8bd-4ea4-934c-9cb357d6b174,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555185
occurrence,Cal-IBIS,1555191,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,40fc6bdf-3811-4719-a72a-d38ca84e3216,SDSU_HA1621, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus ophrys,Habronattus ophrys,219822,"Griswold, 1987",Habronattus,Habronattus,ophrys, , ,M Hedin,S Foldi, ,7/31/05,2005,7,31,212,0,7/31/05, ,trailside vegetation,SEF 05_028, , , , , , , ,M3,0, , , ,United States,California,Ventura, ,Santa Barbara,"Santa Barbara Island, Arch Point trail on northern side of isle",Santa Barbara, ,33.4808,-119.0366,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:e3d9039a-b2bf-4c8c-b3c4-40952732d128,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555191
occurrence,Cal-IBIS,1555190,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,4aff2479-841b-4a54-952d-c71990503848,SDSU_HA1620, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus ophrys,Habronattus ophrys,219822,"Griswold, 1987",Habronattus,Habronattus,ophrys, , ,M Hedin,S Foldi, ,7/31/05,2005,7,31,212,0,7/31/05, ,trailside vegetation,SEF 05_028, , , , , , , ,M,0, , , ,United States,California,Ventura, ,Santa Barbara,"Santa Barbara Island, Arch Point trail on northern side of isle",Santa Barbara, ,33.4808,-119.0366,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:6b75c116-0ec9-45a3-9965-1f27f80f8b7c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555190
occurrence,Cal-IBIS,1555186,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,81f12793-914f-407b-ae22-9aa219ff8130,SDSU_HA1616, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus ophrys,Habronattus ophrys,219822,"Griswold, 1987",Habronattus,Habronattus,ophrys, , ,M Hedin,S Foldi, ,7/31/05,2005,7,31,212,0,7/31/05, ,trailside vegetation,SEF 05_028, , , , , , , ,M,0, , , ,United States,California,Ventura, ,Santa Barbara,"Santa Barbara Island, Arch Point trail on northern side of isle",Santa Barbara, ,33.4808,-119.0366,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:7b30a713-c9d5-4f74-a5ef-eef635682ef5,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555186
occurrence,Cal-IBIS,1555188,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,b9ea856e-64dd-4577-bb4d-de0ae1e64fef,SDSU_HA1618, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus ophrys,Habronattus ophrys,219822,"Griswold, 1987",Habronattus,Habronattus,ophrys, , ,M Hedin,S Foldi, ,7/31/05,2005,7,31,212,0,7/31/05, ,trailside vegetation,SEF 05_028, , , , , , , ,F,0, , , ,United States,California,Ventura, ,Santa Barbara,"Santa Barbara Island, Arch Point trail on northern side of isle",Santa Barbara, ,33.4808,-119.0366,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:1e6a2af6-d0c3-4574-8d38-81d1d209cd3a,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555188
occurrence,Cal-IBIS,1555187,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,f43e3d02-59ca-4f20-a73f-49b148722fb8,SDSU_HA1617, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus ophrys,Habronattus ophrys,219822,"Griswold, 1987",Habronattus,Habronattus,ophrys, , ,M Hedin,S Foldi, ,7/31/05,2005,7,31,212,0,7/31/05, ,trailside vegetation,SEF 05_028, , , , , , , ,F,0, , , ,United States,California,Ventura, ,Santa Barbara,"Santa Barbara Island, Arch Point trail on northern side of isle",Santa Barbara, ,33.4808,-119.0366,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:e7fde535-9c07-4006-be2d-5b7cdf48a256,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555187
occurrence,Cal-IBIS,1555189,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,f849bb9c-d9fc-4ae9-a634-6d296146a2f4,SDSU_HA1619, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus ophrys,Habronattus ophrys,219822,"Griswold, 1987",Habronattus,Habronattus,ophrys, , ,M Hedin,S Foldi, ,7/31/05,2005,7,31,212,0,7/31/05, ,trailside vegetation,SEF 05_028, , , , , , , ,F,0, , , ,United States,California,Ventura, ,Santa Barbara,"Santa Barbara Island, Arch Point trail on northern side of isle",Santa Barbara, ,33.4808,-119.0366,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:c39cec13-124b-42e4-bdde-8888ed854679,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555189
occurrence,Cal-IBIS,1559498,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,1006f86c-0243-461b-aed2-10928a429597,SDSU_HA1645, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus tarsalis,Habronattus tarsalis,219841,"(Banks, 1904)",Habronattus,Habronattus,tarsalis, , ,M Hedin,"M Hedin, S Foldi", ,4/26/06,2006,4,26,116,0,4/26/06, ,"stabilized dunefield, Astragalus + Atriplex",MCH 06_072, , , , , , , ,F1,0, , , ,United States,California,Los Angeles, ,San Clemente,"San Clemente Island, dunefield S of landing field",San Clemente, ,32.98726,-118.5734,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:48733a24-45be-4d05-b890-029d74d87515,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559498
occurrence,Cal-IBIS,1559495,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,92a7892f-c9c1-4368-835d-970585cf1fcd,SDSU_HA1642, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus tarsalis,Habronattus tarsalis,219841,"(Banks, 1904)",Habronattus,Habronattus,tarsalis, , ,M Hedin,"M Hedin, S Foldi", ,4/26/06,2006,4,26,116,0,4/26/06, ,"stabilized dunefield, Astragalus + Atriplex",MCH 06_072, , , , , , , ,M1,0, , , ,United States,California,Los Angeles, ,San Clemente,"San Clemente Island, dunefield S of landing field",San Clemente, ,32.98726,-118.5734,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:729ad218-6ff0-450c-8d80-be9c831fd746,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559495
occurrence,Cal-IBIS,1559496,SDSU,TAC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,aa972ba4-ab83-450c-9b46-76aec8b9a44f,SDSU_HA1643, ,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticidae,Habronattus tarsalis,Habronattus tarsalis,219841,"(Banks, 1904)",Habronattus,Habronattus,tarsalis, , ,M Hedin,"M Hedin, S Foldi", ,4/26/06,2006,4,26,116,0,4/26/06, ,"stabilized dunefield, Astragalus + Atriplex",MCH 06_072, , , , , , , ,M3,0, , , ,United States,California,Los Angeles, ,San Clemente,"San Clemente Island, dunefield S of landing field",San Clemente, ,32.98726,-118.5734,WGS84,0, , , , , , ,0, , , , , , , , ,11/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:d7c1cad4-b91b-4c53-a18b-ce62c5d040ef,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559496
