record,source,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,acceptedName,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,taxon_species_name,taxon_subspecies_name,id,month,year,time_observed_at_date,time_observed_at_time,time_obs_3,time_zone,user_login,created_at,updated_at,quality_grade,license,url,image_url,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id
occurrence,iNaturalist,"Los Angeles County, CA, USA",Santa Catalina,33.44450604,-118.4818039,100,100,,,FALSE,,,Blastobasinae,Blastobasinae,,,Insecta,336937,Lepidoptera,Blastobasidae,Blastobasidae,,,,,10420533,3,2018,3/24/18,7:59:00,300,Pacific Time (US & Canada),neontetraploid,2018-03-26 01:16:27 +0300,2019-04-13 19:57:23 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/10420533,https://inaturalist-open-data.s3.amazonaws.com/photos/14475398/medium.jpeg?1522015973,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",Santa Catalina,33.4445858,-118.4824262,150,150,,,FALSE,,,Blastobasinae,Blastobasinae,,,Insecta,336937,Lepidoptera,Blastobasidae,Blastobasidae,,,,,10421237,3,2018,3/25/18,0:01:00,300,Pacific Time (US & Canada),neontetraploid,2018-03-26 01:53:53 +0300,2020-06-03 23:08:00 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/10421237,https://inaturalist-open-data.s3.amazonaws.com/photos/14475775/medium.jpeg?1522016751,1,0,FALSE,
occurrence,iNaturalist,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,33.997195,-119.72506,,28902,,,FALSE,,,Bucculatrix,Bucculatrix,,,Insecta,173276,Lepidoptera,Bucculatricidae,Bucculatricidae,Bucculatrix,Bucculatrix,,,1790004,7,2015,7/21/15,8:45:04,300,Pacific Time (US & Canada),kueda,2015-07-22 20:00:51 +0300,2021-07-20 21:13:06 +0300,needs_id,CC0,http://www.inaturalist.org/observations/1790004,https://inaturalist-open-data.s3.amazonaws.com/photos/2167996/medium.jpg?1437584465,0,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.3428193,-118.3282279,2403,2403,,,FALSE,,,Bucculatrix quadrigemina,Bucculatrix quadrigemina,Bucculatrix quadrigemina,,Insecta,344219,Lepidoptera,Bucculatricidae,Bucculatricidae,Bucculatrix,Bucculatrix,Bucculatrix quadrigemina,,5254599,,,,,,Pacific Time (US & Canada),psyllidhipster,2017-03-09 05:19:31 +0300,2017-10-15 19:12:30 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/5254599,https://inaturalist-open-data.s3.amazonaws.com/photos/6501920/medium.jpg?1489025084,1,0,FALSE,
occurrence,iNaturalist,"Santa Barbara County, CA, USA",Santa Cruz,33.99689833,-119.7257917,,,,,FALSE,,,Bondia comonana,Bondia comonana,Bondia comonana,,Insecta,453193,Lepidoptera,Carposinidae,Carposinidae,Bondia,Bondia,Bondia comonana,,15008995,4,2018,4/21/18,8:30:00,300,Pacific Time (US & Canada),silversea_starsong,2018-08-01 08:26:38 +0300,2018-08-02 18:54:22 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/15008995,https://inaturalist-open-data.s3.amazonaws.com/photos/22394555/medium.jpeg?1533100692,1,0,FALSE,
occurrence,iNaturalist,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,34.00031,-119.7341417,,28874,,,FALSE,,,Bondia comonana,Bondia comonana,Bondia comonana,,Insecta,453193,Lepidoptera,Carposinidae,Carposinidae,Bondia,Bondia,Bondia comonana,,1791944,7,2015,7/22/15,7:42:52,300,Pacific Time (US & Canada),kueda,2015-07-23 09:16:18 +0300,2019-03-26 04:40:02 +0300,research,CC0,http://www.inaturalist.org/observations/1791944,https://inaturalist-open-data.s3.amazonaws.com/photos/2170850/medium.jpg?1437632184,1,0,FALSE,
occurrence,iNaturalist,"Santa Barbara County, CA, USA",Santa Cruz,34.04672704,-119.5654278,193,193,,,FALSE,,,Everlasting Tebenna Moth,Tebenna gnaphaliella,Tebenna gnaphaliella,Everlasting Tebenna Moth,Insecta,326040,Lepidoptera,Choreutidae,Choreutidae,Tebenna,Tebenna,Tebenna gnaphaliella,,13459319,6,2018,6/15/18,0:56:00,300,Pacific Time (US & Canada),dlbowls,2018-06-15 23:13:22 +0300,2019-05-23 10:25:33 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/13459319,https://inaturalist-open-data.s3.amazonaws.com/photos/19757000/medium.jpg?1529092186,1,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.34583075,-118.3347511,1589,1589,,,FALSE,,,Coleophora,Coleophora,,Casebearers,Insecta,87566,Lepidoptera,Coleophoridae,Coleophoridae,Coleophora,Coleophora,,,5253125,7,2014,7/8/14,20:54:00,400,Pacific Time (US & Canada),psyllidhipster,2017-03-09 02:27:00 +0300,2020-06-03 23:10:20 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5253125,https://inaturalist-open-data.s3.amazonaws.com/photos/6499035/medium.jpg?1489009211,0,0,FALSE,
occurrence,iNaturalist,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,33.99725667,-119.72507,,28902,,,FALSE,,,Casebearers,Coleophora,,Casebearers,Insecta,87566,Lepidoptera,Coleophoridae,Coleophoridae,Coleophora,Coleophora,,,1790006,7,2015,7/21/15,8:52:10,300,Pacific Time (US & Canada),kueda,2015-07-22 20:00:54 +0300,2021-07-20 21:13:05 +0300,needs_id,CC0,http://www.inaturalist.org/observations/1790006,https://inaturalist-open-data.s3.amazonaws.com/photos/2167998/medium.jpg?1437584472,1,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.3428193,-118.3282279,2403,2403,,,FALSE,,,Coleophora accordella,Coleophora accordella,Coleophora accordella,,Insecta,347053,Lepidoptera,Coleophoridae,Coleophoridae,Coleophora,Coleophora,Coleophora accordella,,5254815,,,,,,Pacific Time (US & Canada),psyllidhipster,2017-03-09 05:49:42 +0300,2020-06-03 23:09:21 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5254815,https://inaturalist-open-data.s3.amazonaws.com/photos/6502202/medium.jpg?1489026508,0,0,FALSE,
occurrence,iNaturalist,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,34.00036,-119.7341083,,28874,,,FALSE,,,Coleophora nigrostriata,Coleophora nigrostriata,Coleophora nigrostriata,,Insecta,470110,Lepidoptera,Coleophoridae,Coleophoridae,Coleophora,Coleophora,Coleophora nigrostriata,,1791914,7,2015,7/22/15,6:33:14,300,Pacific Time (US & Canada),kueda,2015-07-23 09:14:48 +0300,2019-03-26 04:39:32 +0300,research,CC0,http://www.inaturalist.org/observations/1791914,https://inaturalist-open-data.s3.amazonaws.com/photos/2170820/medium.jpg?1437632091,1,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.34197208,-118.3228426,20,20,,,FALSE,,,Florida Pink Scavenger Moth,Anatrachyntis badia,Pyroderces badia,Florida Pink Scavenger,Insecta,319532,Lepidoptera,Cosmopterigidae,Cosmopterigidae,Anatrachyntis,Pyroderces,Anatrachyntis badia,,34125489,10,2019,10/5/19,8:30:00,300,Pacific Time (US & Canada),psyllidhipster,2019-10-09 21:27:49 +0300,2020-08-20 01:21:25 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/34125489,https://inaturalist-open-data.s3.amazonaws.com/photos/53667011/medium.jpeg?1570644811,0,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.3428193,-118.3282279,2403,2403,,,FALSE,,,Sweet Clover Root Borer Moth,Walshia miscecolorella,Walshia miscecolorella,Sweet Clover Root Borer Moth,Insecta,233646,Lepidoptera,Cosmopterigidae,Cosmopterigidae,Walshia,Walshia,Walshia miscecolorella,,5254772,,,,,,Pacific Time (US & Canada),psyllidhipster,2017-03-09 05:49:33 +0300,2019-05-23 22:25:16 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/5254772,https://inaturalist-open-data.s3.amazonaws.com/photos/6502162/medium.jpg?1489026449,1,0,FALSE,
occurrence,iNaturalist,"Channel Islands, Channel Islands National Park, Santa Barbara, California, United States",Santa Cruz,34.019195,-119.6828483,,28874,,,FALSE,,,Sweet Clover Root Borer Moth,Walshia miscecolorella,Walshia miscecolorella,Sweet Clover Root Borer Moth,Insecta,233646,Lepidoptera,Cosmopterigidae,Cosmopterigidae,Walshia,Walshia,Walshia miscecolorella,,1805767,7,2015,7/24/15,6:57:35,300,Pacific Time (US & Canada),kueda,2015-07-27 07:42:13 +0300,2019-04-11 09:22:44 +0300,research,CC0,http://www.inaturalist.org/observations/1805767,https://inaturalist-open-data.s3.amazonaws.com/photos/2188228/medium.jpg?1437972137,1,0,FALSE,
occurrence,iNaturalist,"Channel Islands National Park, Channel Islands National Pk, CA, US",Santa Cruz,33.997142,-119.7256,500,500,,,FALSE,,,Givira marga,Givira marga,Givira marga,,Insecta,469972,Lepidoptera,Cossidae,Cossidae,Givira,Givira,Givira marga,,1786369,7,2015,7/21/15,7:29:03,300,Pacific Time (US & Canada),robberfly,2015-07-21 18:05:03 +0300,2017-05-02 21:37:46 +0300,research,CC-BY-NC,http://www.inaturalist.org/observations/1786369,https://inaturalist-open-data.s3.amazonaws.com/photos/2162814/medium.jpg?1437491139,3,0,FALSE,3
occurrence,iNaturalist,"Santa Cruz Island Fieldstation, Santa Barbara County, CA, USA",Santa Cruz,33.997084,-119.725669,7,28902,,,FALSE,,,Givira marga,Givira marga,Givira marga,,Insecta,469972,Lepidoptera,Cossidae,Cossidae,Givira,Givira,Givira marga,,1857662,7,2015,7/21/15,7:23:37,300,Pacific Time (US & Canada),kueda,2015-08-13 07:08:57 +0300,2019-04-16 20:34:50 +0300,research,CC0,http://www.inaturalist.org/observations/1857662,https://inaturalist-open-data.s3.amazonaws.com/photos/2259307/medium.jpg?1439439009,1,0,FALSE,
occurrence,iNaturalist,,Santa Catalina,33.43903667,-118.4917217,,,,,FALSE,,,Abegesta reluctalis,Abegesta reluctalis,Abegesta reluctalis,,Insecta,212186,Lepidoptera,Crambidae,Crambidae,Abegesta,Abegesta,Abegesta reluctalis,,1829570,8,2015,8/1/15,7:53:11,300,Pacific Time (US & Canada),damontighe,2015-08-04 03:18:15 +0300,2020-08-24 08:26:16 +0300,research,CC-BY-NC,http://www.inaturalist.org/observations/1829570,https://inaturalist-open-data.s3.amazonaws.com/photos/2221034/medium.jpg?1438647526,1,0,FALSE,3
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.34583075,-118.3347511,1589,1589,,,FALSE,,,White-trimmed Abegesta,Abegesta remellalis,Abegesta remellalis,White-trimmed Abegesta,Insecta,363292,Lepidoptera,Crambidae,Crambidae,Abegesta,Abegesta,Abegesta remellalis,,5253087,,,,,,Pacific Time (US & Canada),psyllidhipster,2017-03-09 02:26:40 +0300,2020-06-03 23:10:42 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/5253087,https://inaturalist-open-data.s3.amazonaws.com/photos/6499011/medium.jpg?1489009171,1,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.3428193,-118.3282279,2403,2403,,,FALSE,,,White-trimmed Abegesta,Abegesta remellalis,Abegesta remellalis,White-trimmed Abegesta,Insecta,363292,Lepidoptera,Crambidae,Crambidae,Abegesta,Abegesta,Abegesta remellalis,,5254808,,,,,,Pacific Time (US & Canada),psyllidhipster,2017-03-09 05:49:41 +0300,2020-06-03 23:09:27 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/5254808,https://inaturalist-open-data.s3.amazonaws.com/photos/6502197/medium.jpg?1489026501,1,0,FALSE,
occurrence,iNaturalist,"Santa Barbara County, CA, USA",Santa Cruz,33.99701833,-119.7259333,,,,,FALSE,,,Choristostigma elegantalis,Choristostigma elegantalis,Choristostigma elegantalis,,Insecta,347118,Lepidoptera,Crambidae,Crambidae,Choristostigma,Choristostigma,Choristostigma elegantalis,,15009001,4,2018,4/21/18,8:25:00,300,Pacific Time (US & Canada),silversea_starsong,2018-08-01 08:26:42 +0300,2018-08-01 08:32:28 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/15009001,https://inaturalist-open-data.s3.amazonaws.com/photos/22394678/medium.jpeg?1533100997,0,0,FALSE,
occurrence,iNaturalist,"1 Banning Harbor Rd, Avalon, CA, US",Santa Catalina,33.439975,-118.4994583,,,,,FALSE,,,Crambid Snout Moths,Crambidae,,Crambid Snout Moths,Insecta,52002,Lepidoptera,Crambidae,Crambidae,,,,,1829541,8,2015,8/1/15,4:42:26,300,Pacific Time (US & Canada),damontighe,2015-08-04 03:14:36 +0300,2017-05-02 21:38:14 +0300,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1829541,https://inaturalist-open-data.s3.amazonaws.com/photos/2220963/medium.jpg?1438647287,0,0,FALSE,3
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.44431441,-118.4816198,88,88,,,FALSE,gps,gps,Crambid Snout Moths,Crambidae,,Crambid Snout Moths,Insecta,52002,Lepidoptera,Crambidae,Crambidae,,,,,14987780,6,2018,6/30/18,21:09:45,300,Pacific Time (US & Canada),magvero,2018-07-31 18:55:14 +0300,2020-02-29 23:19:19 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/14987780,https://inaturalist-open-data.s3.amazonaws.com/photos/22357937/medium.jpeg?1533052534,2,0,FALSE,2
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.99599075,-118.5523453,,,,,FALSE,gps,gps,Crambid Snout Moths,Crambidae,,Crambid Snout Moths,Insecta,52002,Lepidoptera,Crambidae,Crambidae,,,,,28241587,6,2019,6/27/19,8:02:56,300,Pacific Time (US & Canada),pileated,2019-07-05 20:48:51 +0300,2021-01-27 06:26:51 +0300,needs_id,CC-BY,https://www.inaturalist.org/observations/28241587,https://inaturalist-open-data.s3.amazonaws.com/photos/44010349/medium.jpg?1562348934,0,0,FALSE,2
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.99597931,-118.5523529,,,,,FALSE,gps,gps,Crambid Snout Moths,Crambidae,,Crambid Snout Moths,Insecta,52002,Lepidoptera,Crambidae,Crambidae,,,,,28241642,6,2019,6/27/19,9:49:07,300,Pacific Time (US & Canada),pileated,2019-07-05 20:49:48 +0300,2020-04-23 21:00:05 +0300,needs_id,CC-BY,https://www.inaturalist.org/observations/28241642,https://inaturalist-open-data.s3.amazonaws.com/photos/44010444/medium.jpg?1562348990,0,0,FALSE,2
occurrence,iNaturalist,"Los Angeles County, US-CA, US",Santa Catalina,33.416205,-118.4806533,,,,,FALSE,,,Crambid Snout Moths,Crambidae,,Crambid Snout Moths,Insecta,52002,Lepidoptera,Crambidae,Crambidae,,,,,1830813,8,2015,8/2/15,16:25:31,300,Pacific Time (US & Canada),damontighe,2015-08-04 08:34:15 +0300,2017-05-02 21:38:15 +0300,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1830813,https://inaturalist-open-data.s3.amazonaws.com/photos/2222817/medium.jpg?1438666559,2,0,FALSE,3
occurrence,iNaturalist,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,33.99709167,-119.7256983,,28902,,,FALSE,,,Crambid Snout Moths,Crambidae,,Crambid Snout Moths,Insecta,52002,Lepidoptera,Crambidae,Crambidae,,,,,1805048,7,2015,7/23/15,8:28:11,300,Pacific Time (US & Canada),kueda,2015-07-27 02:17:14 +0300,2021-07-20 21:03:37 +0300,needs_id,CC0,http://www.inaturalist.org/observations/1805048,https://inaturalist-open-data.s3.amazonaws.com/photos/2187069/medium.jpg?1437952660,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",Santa Catalina,33.44443279,-118.4822116,198,198,,,FALSE,,,Grass-veneers and Allies,Crambinae,,Grass-veneers and Allies,Insecta,122538,Lepidoptera,Crambidae,Crambidae,,,,,10420500,3,2018,3/24/18,1:21:00,300,Pacific Time (US & Canada),neontetraploid,2018-03-26 01:15:58 +0300,2018-03-29 07:46:11 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/10420500,https://inaturalist-open-data.s3.amazonaws.com/photos/14473516/medium.jpeg?1522012488,0,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",Santa Catalina,33.44450604,-118.4818039,100,100,,,FALSE,,,Grass-veneers and Allies,Crambinae,,Grass-veneers and Allies,Insecta,122538,Lepidoptera,Crambidae,Crambidae,,,,,10420534,3,2018,3/24/18,8:00:00,300,Pacific Time (US & Canada),neontetraploid,2018-03-26 01:16:28 +0300,2018-03-29 07:46:11 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/10420534,https://inaturalist-open-data.s3.amazonaws.com/photos/14475407/medium.jpeg?1522015992,0,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",Santa Catalina,33.4445858,-118.4824262,150,150,,,FALSE,,,Grass-veneers and Allies,Crambinae,,Grass-veneers and Allies,Insecta,122538,Lepidoptera,Crambidae,Crambidae,,,,,10421235,3,2018,3/24/18,18:10:00,300,Pacific Time (US & Canada),neontetraploid,2018-03-26 01:53:52 +0300,2018-03-29 07:46:12 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/10421235,https://inaturalist-open-data.s3.amazonaws.com/photos/14475734/medium.jpeg?1522016708,0,0,FALSE,
occurrence,iNaturalist,"San Clemente Island, California, USA",San Clemente,32.885584,-118.517472,,,,,FALSE,,,Crambus,Crambus,,,Insecta,82269,Lepidoptera,Crambidae,Crambidae,Crambus,Crambus,,,17977901,10,2018,10/28/18,6:45:00,300,Pacific Time (US & Canada),jim_carretta,2018-10-31 05:06:27 +0300,2019-09-07 19:06:23 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/17977901,https://inaturalist-open-data.s3.amazonaws.com/photos/27478308/medium.jpeg?1540951510,0,0,FALSE,
occurrence,iNaturalist,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,33.99711333,-119.72564,,28902,,,FALSE,,,Diastictis fracturalis,Diastictis fracturalis,Diastictis fracturalis,Fractured Western Snout,Insecta,210607,Lepidoptera,Crambidae,Crambidae,Diastictis,Diastictis,Diastictis fracturalis,,1790012,7,2015,7/21/15,9:02:57,300,Pacific Time (US & Canada),kueda,2015-07-22 20:01:36 +0300,2019-04-16 20:35:28 +0300,research,CC0,http://www.inaturalist.org/observations/1790012,https://inaturalist-open-data.s3.amazonaws.com/photos/2168004/medium.jpg?1437584499,2,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.34583075,-118.3347511,1589,1589,,,FALSE,,,Diastictis sperryorum,Diastictis sperryorum,Diastictis sperryorum,,Insecta,477205,Lepidoptera,Crambidae,Crambidae,Diastictis,Diastictis,Diastictis sperryorum,,5253093,7,2014,7/8/14,5:32:00,400,Pacific Time (US & Canada),psyllidhipster,2017-03-09 02:26:47 +0300,2020-06-03 23:10:34 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/5253093,https://inaturalist-open-data.s3.amazonaws.com/photos/6499017/medium.jpg?1489009184,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.82617569,-118.3611298,,,,,FALSE,gps,gps,Dicymolomia,Dicymolomia,,,Insecta,173878,Lepidoptera,Crambidae,Crambidae,Dicymolomia,Dicymolomia,,,26536477,5,2019,5/31/19,20:59:41,300,Pacific Time (US & Canada),pileated,2019-06-07 08:30:56 +0300,2020-04-23 20:59:55 +0300,needs_id,CC-BY,https://www.inaturalist.org/observations/26536477,https://inaturalist-open-data.s3.amazonaws.com/photos/41214016/medium.jpg?1559885459,1,0,FALSE,2
occurrence,iNaturalist,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,34.00033667,-119.73416,,28874,,,FALSE,,,Dicymolomia,Dicymolomia,,,Insecta,173878,Lepidoptera,Crambidae,Crambidae,Dicymolomia,Dicymolomia,,,1791940,7,2015,7/22/15,7:36:11,300,Pacific Time (US & Canada),kueda,2015-07-23 09:15:47 +0300,2021-07-20 21:11:13 +0300,needs_id,CC0,http://www.inaturalist.org/observations/1791940,https://inaturalist-open-data.s3.amazonaws.com/photos/2170846/medium.jpg?1437632168,0,0,FALSE,
