"","source","month","year","island","order","acceptedFamily","acceptedGenus","acceptedName"
"61","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Eudonia","Eudonia torniplagalis"
"62","iNaturalist",11,2020,"San Clemente","Lepidoptera","Crambidae","Hellula","Hellula rogatalis"
"63","iNaturalist",10,2018,"San Clemente","Lepidoptera","Crambidae","Hellula","Hellula rogatalis"
"64","iNaturalist",8,2020,"San Nicolas","Lepidoptera","Crambidae","Hellula","Hellula rogatalis"
"65","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Hemiplatytes","Hemiplatytes epia"
"66","iNaturalist",8,2015,"Santa Catalina","Lepidoptera","Crambidae","Hemiplatytes","Hemiplatytes epia"
"67","iNaturalist",8,2019,"Santa Cruz","Lepidoptera","Crambidae","Hemiplatytes","Hemiplatytes epia"
"68","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Hemiplatytes","Hemiplatytes epia"
"69","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Hemiplatytes","Hemiplatytes epia"
"70","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Lineodes","Lineodes integra"
"71","iNaturalist",5,2019,"Santa Rosa","Lepidoptera","Crambidae","Lineodes","Lineodes integra"
"72","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Lineodes","Lineodes integra"
"73","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Mimorista","Mimorista subcostalis"
"74","iNaturalist",6,2019,"San Clemente","Lepidoptera","Crambidae","Nomophila","Nomophila nearctica"
"75","iNaturalist",10,2017,"Santa Cruz","Lepidoptera","Crambidae","Nomophila","Nomophila nearctica"
"76","iNaturalist",4,2019,"San Clemente","Lepidoptera","Crambidae","Nomophila","Nomophila nearctica"
"77","iNaturalist",4,2016,"San Nicolas","Lepidoptera","Crambidae","Nomophila","Nomophila nearctica"
"78","iNaturalist",,,"San Clemente","Lepidoptera","Crambidae",,
"79","iNaturalist",10,2019,"Santa Cruz","Lepidoptera","Crambidae","Pyrausta",
"80","iNaturalist",,,"Santa Cruz","Lepidoptera","Crambidae","Pyrausta","Pyrausta insequalis"
"81","iNaturalist",10,2019,"Santa Cruz","Lepidoptera","Crambidae","Pyrausta","Pyrausta insequalis"
"82","iNaturalist",10,2019,"Santa Cruz","Lepidoptera","Crambidae","Pyrausta","Pyrausta insequalis"
"83","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Pyrausta","Pyrausta insequalis"
"84","iNaturalist",9,2020,"Santa Cruz","Lepidoptera","Crambidae","Pyrausta","Pyrausta insequalis"
"85","iNaturalist",2,2015,"Santa Cruz","Lepidoptera","Crambidae","Pyrausta","Pyrausta insequalis"
"86","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Pyrausta","Pyrausta laticlavia"
"87","iNaturalist",2,2015,"Santa Cruz","Lepidoptera","Crambidae",,
"88","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae",,
"89","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Scoparia",
"90","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Scoparia","Scoparia palloralis"
"91","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Scoparia","Scoparia palloralis"
"92","iNaturalist",8,2020,"Anacapa","Lepidoptera","Crambidae","Stegea",
"93","iNaturalist",5,2017,"Santa Cruz","Lepidoptera","Crambidae","Udea",
"94","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Udea","Udea berberalis"
"95","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Udea","Udea berberalis"
"96","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Udea","Uresiphita reversalis"
"97","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Udea","Uresiphita reversalis"
"98","iNaturalist",6,2019,"Santa Catalina","Lepidoptera","Crambidae","Udea","Uresiphita reversalis"
"99","iNaturalist",6,2019,"Santa Catalina","Lepidoptera","Crambidae","Udea","Uresiphita reversalis"
"100","iNaturalist",5,2017,"Santa Cruz","Lepidoptera","Depressariidae","Agonopterix","Agonopterix sabulella"
"101","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Depressariidae","Ethmia",
"102","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Depressariidae","Ethmia",
"103","iNaturalist",4,2019,"Santa Cruz","Lepidoptera","Depressariidae","Ethmia",
"104","iNaturalist",7,2014,"Santa Catalina","Lepidoptera","Depressariidae","Ethmia","Ethmia discostrigella"
"105","iNaturalist",,,"Santa Catalina","Lepidoptera","Depressariidae","Ethmia","Ethmia discostrigella"
"106","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Depressariidae","Ethmia","Ethmia discostrigella"
"107","iNaturalist",,,"Santa Cruz","Lepidoptera","Depressariidae","Ethmia","Ethmia discostrigella"
"108","iNaturalist",3,2021,"Santa Cruz","Lepidoptera","Elachistidae","Elachista",
"109","iNaturalist",2,2019,"Santa Catalina","Lepidoptera","Erebidae","Apantesis",
"110","iNaturalist",4,2019,"Santa Cruz","Lepidoptera","Erebidae","Apantesis",
"111","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae","Apantesis",
"112","iNaturalist",5,2019,"Santa Cruz","Lepidoptera","Erebidae","Apantesis",
"113","iNaturalist",5,2019,"Santa Cruz","Lepidoptera","Erebidae","Apantesis",
"114","iNaturalist",6,2021,"San Miguel","Lepidoptera","Erebidae","Apantesis",
"115","iNaturalist",5,2019,"Santa Catalina","Lepidoptera","Erebidae","Apantesis",
"116","iNaturalist",6,2019,"Santa Catalina","Lepidoptera","Erebidae","Apantesis",
"117","iNaturalist",3,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"118","iNaturalist",6,2020,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"119","iNaturalist",6,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"120","iNaturalist",3,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"121","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"122","iNaturalist",3,2016,"Santa Cruz","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"123","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"124","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"125","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"126","iNaturalist",4,2018,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"127","iNaturalist",8,2020,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"128","iNaturalist",10,2018,"San Nicolas","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"129","iNaturalist",2,2020,"San Nicolas","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"130","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"131","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"132","iNaturalist",7,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"133","iNaturalist",8,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"134","iNaturalist",9,2020,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"135","iNaturalist",3,2021,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"136","iNaturalist",5,2021,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"137","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"138","iNaturalist",9,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"139","iNaturalist",6,2018,"Santa Cruz","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"140","iNaturalist",3,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"141","iNaturalist",9,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"142","iNaturalist",5,2014,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"143","iNaturalist",5,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"144","iNaturalist",9,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"145","iNaturalist",8,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"146","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"147","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"148","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"149","iNaturalist",5,2019,"San Clemente","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"150","iNaturalist",9,2019,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"151","iNaturalist",10,2012,"San Nicolas","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"152","iNaturalist",7,2019,"San Nicolas","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"153","iNaturalist",4,2016,"Santa Catalina","Lepidoptera","Erebidae","Notarctia","Notarctia proxima"
"154","iNaturalist",10,2019,"Santa Catalina","Lepidoptera","Erebidae","Apantesis","Apantesis ursina"
"155","iNaturalist",10,2012,"Santa Cruz","Lepidoptera","Erebidae","Arachnis","Arachnis picta"
"156","iNaturalist",10,2012,"San Nicolas","Lepidoptera","Erebidae","Arachnis","Arachnis picta"
"157","iNaturalist",3,2019,"Santa Catalina","Lepidoptera","Erebidae",,
"158","iNaturalist",5,2018,"Santa Catalina","Lepidoptera","Erebidae",,
"159","iNaturalist",3,2017,"Santa Catalina","Lepidoptera","Erebidae",,
"160","iNaturalist",4,2019,"Santa Catalina","Lepidoptera","Erebidae",,
"161","iNaturalist",4,2012,"Santa Catalina","Lepidoptera","Erebidae",,
"162","iNaturalist",2,2017,"Santa Catalina","Lepidoptera","Erebidae",,
"163","iNaturalist",3,2017,"Santa Catalina","Lepidoptera","Erebidae",,
"164","iNaturalist",3,2017,"Santa Catalina","Lepidoptera","Erebidae",,
"165","iNaturalist",4,2010,"Santa Catalina","Lepidoptera","Erebidae",,
"166","iNaturalist",2,2021,"Santa Barbara","Lepidoptera","Erebidae",,
"167","iNaturalist",5,2016,"Santa Rosa","Lepidoptera","Erebidae",,
"168","iNaturalist",4,2017,"Santa Rosa","Lepidoptera","Erebidae",,
"169","iNaturalist",5,2019,"Santa Rosa","Lepidoptera","Erebidae",,
"170","iNaturalist",5,2019,"Santa Rosa","Lepidoptera","Erebidae",,
"171","iNaturalist",7,2016,"Santa Catalina","Lepidoptera","Erebidae",,
"172","iNaturalist",4,2017,"San Clemente","Lepidoptera","Erebidae",,
"173","iNaturalist",3,2019,"Santa Catalina","Lepidoptera","Erebidae",,
"174","iNaturalist",1,2020,"San Clemente","Lepidoptera","Erebidae",,
"175","iNaturalist",6,2019,"San Clemente","Lepidoptera","Erebidae",,
"176","iNaturalist",,,"San Clemente","Lepidoptera","Erebidae",,
"177","iNaturalist",5,2019,"Santa Catalina","Lepidoptera","Erebidae",,
"178","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"179","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"180","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"181","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae",,
"182","iNaturalist",6,2019,"San Clemente","Lepidoptera","Erebidae",,
"183","iNaturalist",9,2019,"San Clemente","Lepidoptera","Erebidae",,
"184","iNaturalist",4,2011,"San Miguel","Lepidoptera","Erebidae",,
"185","iNaturalist",6,2019,"San Nicolas","Lepidoptera","Erebidae",,
"186","iNaturalist",3,2019,"Santa Barbara","Lepidoptera","Erebidae",,
"187","iNaturalist",4,2017,"Santa Cruz","Lepidoptera","Erebidae",,
"188","iNaturalist",5,2017,"Santa Cruz","Lepidoptera","Erebidae",,
"189","iNaturalist",3,2018,"Santa Cruz","Lepidoptera","Erebidae",,
"190","iNaturalist",4,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"191","iNaturalist",4,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"192","iNaturalist",4,2011,"San Miguel","Lepidoptera","Erebidae",,
"193","iNaturalist",5,2019,"Santa Rosa","Lepidoptera","Erebidae",,
"194","iNaturalist",6,2017,"Santa Rosa","Lepidoptera","Erebidae",,
"195","iNaturalist",3,2020,"Santa Cruz","Lepidoptera","Erebidae",,
"196","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Erebidae",,
"197","iNaturalist",2,2021,"Santa Cruz","Lepidoptera","Erebidae",,
"198","iNaturalist",,,"Santa Rosa","Lepidoptera","Erebidae",,
"199","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Erebidae",,
"200","iNaturalist",6,2018,"Santa Cruz","Lepidoptera","Erebidae",,
"201","iNaturalist",3,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"202","iNaturalist",3,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"203","iNaturalist",4,2018,"Santa Rosa","Lepidoptera","Erebidae",,
"204","iNaturalist",3,2020,"Santa Cruz","Lepidoptera","Erebidae",,
"205","iNaturalist",10,2020,"Santa Cruz","Lepidoptera","Erebidae",,
"206","iNaturalist",4,2021,"Santa Cruz","Lepidoptera","Erebidae",,
"207","iNaturalist",4,2014,"San Clemente","Lepidoptera","Erebidae",,
"208","iNaturalist",3,2017,"San Clemente","Lepidoptera","Erebidae",,
"209","iNaturalist",3,2020,"San Clemente","Lepidoptera","Erebidae",,
"210","iNaturalist",4,2017,"San Clemente","Lepidoptera","Erebidae",,
"211","iNaturalist",2,2019,"San Clemente","Lepidoptera","Erebidae",,
"212","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"213","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"214","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"215","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"216","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"217","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"218","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"219","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"220","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"221","iNaturalist",4,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"222","iNaturalist",2,2019,"San Clemente","Lepidoptera","Erebidae",,
"223","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae",,
"224","iNaturalist",3,2020,"San Clemente","Lepidoptera","Erebidae",,
"225","iNaturalist",5,2021,"San Clemente","Lepidoptera","Erebidae",,
"226","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Erebidae",,
"227","iNaturalist",3,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"228","iNaturalist",,,"Santa Cruz","Lepidoptera","Erebidae",,
"229","iNaturalist",4,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"230","iNaturalist",7,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"231","iNaturalist",2,2019,"Santa Catalina","Lepidoptera","Erebidae",,
"232","iNaturalist",7,2019,"Santa Catalina","Lepidoptera","Erebidae",,
"233","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Erebidae",,
"234","iNaturalist",2,2020,"Santa Cruz","Lepidoptera","Erebidae",,
"235","iNaturalist",4,2018,"Santa Rosa","Lepidoptera","Erebidae",,
"236","iNaturalist",3,2019,"Santa Cruz","Lepidoptera","Erebidae",,
"237","iNaturalist",,,"San Clemente","Lepidoptera","Erebidae",,
"238","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae",,
"239","iNaturalist",7,2018,"Santa Catalina","Lepidoptera","Erebidae","Ascalapha","Ascalapha odorata"
"240","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae","Caenurgia",
"241","iNaturalist",5,2019,"San Clemente","Lepidoptera","Erebidae","Caenurgia",
"242","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae","Caenurgia",
"243","iNaturalist",5,2019,"Santa Catalina","Lepidoptera","Erebidae","Caenurgia",
"244","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Caenurgia","Caenurgia togataria"
"245","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Caenurgia","Caenurgia togataria"
"246","iNaturalist",6,2019,"San Clemente","Lepidoptera","Erebidae","Caenurgia","Caenurgia togataria"
"247","iNaturalist",8,2019,"San Clemente","Lepidoptera","Erebidae","Caenurgia","Caenurgia togataria"
"248","iNaturalist",3,2021,"San Clemente","Lepidoptera","Erebidae","Caenurgia","Caenurgia togataria"
"249","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae","Caenurgia","Caenurgia togataria"
"250","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Caenurgia","Caenurgia togataria"
"251","iNaturalist",4,2019,"San Clemente","Lepidoptera","Erebidae","Caenurgia",
"252","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Catocala",
"253","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Catocala",
"254","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Cisthene","Cisthene deserta"
"255","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Cisthene","Cisthene faustinula"
"256","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Cisthene","Cisthene faustinula"
"257","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Cisthene","Cisthene faustinula"
"258","iNaturalist",10,2019,"Santa Catalina","Lepidoptera","Erebidae","Cisthene","Cisthene faustinula"
"259","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Cisthene","Cisthene faustinula"
"260","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Cisthene","Cisthene faustinula"
"261","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Cisthene","Cisthene faustinula"
"262","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Cisthene","Cisthene liberomacula"
"263","iNaturalist",10,2019,"Santa Catalina","Lepidoptera","Erebidae","Cisthene","Cisthene liberomacula"
"264","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Crambidia","Crambidia suffusa"
"265","iNaturalist",7,2019,"Santa Cruz","Lepidoptera","Erebidae","Ctenucha","Ctenucha brunnea"
"266","iNaturalist",5,2019,"Santa Rosa","Lepidoptera","Erebidae","Ctenucha","Ctenucha brunnea"
"267","iNaturalist",6,2020,"Santa Cruz","Lepidoptera","Erebidae",,
"268","iNaturalist",5,2019,"Santa Catalina","Lepidoptera","Erebidae","Drasteria",
"269","iNaturalist",8,2020,"Santa Catalina","Lepidoptera","Erebidae","Drasteria","Drasteria divergens"
"270","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Drasteria","Drasteria edwardsii"
"271","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Drasteria","Drasteria howlandii"
"272","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Drasteria","Drasteria howlandii"
"273","iNaturalist",,,"Santa Cruz","Lepidoptera","Erebidae",,
"274","iNaturalist",6,2020,"San Clemente","Lepidoptera","Erebidae",,
"275","iNaturalist",8,2020,"San Clemente","Lepidoptera","Erebidae",,
"276","iNaturalist",3,2019,"San Clemente","Lepidoptera","Erebidae",,
"277","iNaturalist",7,2020,"Santa Cruz","Lepidoptera","Erebidae",,
"278","iNaturalist",5,2019,"Santa Catalina","Lepidoptera","Erebidae",,
"279","iNaturalist",5,2018,"Santa Cruz","Lepidoptera","Erebidae","Estigmene",
"280","iNaturalist",3,2019,"Santa Cruz","Lepidoptera","Erebidae","Estigmene",
"281","iNaturalist",,,"Santa Cruz","Lepidoptera","Erebidae","Estigmene","Estigmene acrea"
"282","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Estigmene","Eublemma minima"
"283","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Estigmene","Eublemma minima"
"284","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Hemeroplanis","Hemeroplanis historialis"
"285","iNaturalist",,,"Santa Catalina","Lepidoptera","Erebidae","Hemeroplanis","Hemeroplanis historialis"
"286","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Hemeroplanis","Hemeroplanis historialis"
"287","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Hemeroplanis","Hemeroplanis historialis"
"288","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Hemeroplanis","Hemeroplanis historialis"
"289","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Erebidae","Hemeroplanis","Hemeroplanis historialis"
"290","iNaturalist",11,2020,"Santa Catalina","Lepidoptera","Erebidae",,
