kingdom,phylum,class,order,Family_5,scientificName,sciname_3,count,assign_by_island,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium caruifolium var. caruifolium,Lomatium caruifolium var. caruifolium,10,NA,Keep,1,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium insulare,Lomatium insulare,122,NA,Keep,NA,NA,NA,NA,NA,1,1,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium utriculatum,Lomatium utriculatum,7,NA,Keep,1,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula arguta,Sanicula arguta,378,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula crassicaulis,Sanicula crassicaulis,42,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula hoffmannii,Sanicula hoffmannii,38,NA,Keep,NA,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Torilis arvensis,Torilis arvensis,37,NA,Keep,NA,NA,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Torilis nodosa,Torilis nodosa,124,NA,Keep,1,1,1,NA,NA,1,NA,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Caucalis microcarpa,Yabea microcarpa,3,NA,Keep,NA,NA,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Yabea microcarpa,Yabea microcarpa,90,NA,Keep,NA,NA,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias fascicularis,Asclepias fascicularis,99,NA,Keep,NA,1,1,NA,NA,NA,NA,1
NA,NA,NA,NA,Apocynaceae,NA,Funastrum cynanchoides  var. hartwegii,NA,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Vinca major,Vinca major,27,NA,Keep,NA,NA,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Zantedeschia aethiopica,Zantedeschia aethiopica,1,NA,Elim,1,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Phoenix canariensis,Phoenix canariensis,5,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,Arecaceae,NA,Washingtonia filifera,NA,NA,Keep,1,NA,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Washingtonia robusta,Washingtonia robusta,5,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus asparagoides,Asparagus asparagoides,27,NA,Keep,NA,NA,NA,NA,NA,1,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus officinalis,Asparagus officinalis subsp. officinalis,23,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus officinalis subsp. officinalis,Asparagus officinalis subsp. officinalis,4,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asphodelaceae,Asphodelus fistulosus,Asphodelus fistulosus,20,NA,Keep,NA,NA,NA,NA,NA,NA,1,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea lanulosa,Achillea millefolium,1,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium,Achillea millefolium,393,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium var. arenicola,Achillea millefolium,8,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium var. borealis,Achillea millefolium,1,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium var. californica,Achillea millefolium,39,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea millefolium var. lanulosa,Achillea millefolium,1,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achyrachaena mollis,Achyrachaena mollis,127,NA,Keep,NA,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acourtia microcephala,Acourtia microcephala,138,NA,Keep,NA,1,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Perezia microcephala,Acourtia microcephala,3,NA,Keep,NA,1,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris apargioides,Agoseris apargioides,2,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris grandiflora,Agoseris grandiflora var. grandiflora,51,NA,Keep,1,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris grandiflora var. grandiflora,Agoseris grandiflora var. grandiflora,4,NA,Keep,1,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris heterophylla,Agoseris heterophylla,6,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris heterophylla var. heterophylla,Agoseris heterophylla,4,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Amblyopappus pusillus,Amblyopappus pusillus,425,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia acanthicarpa,Ambrosia acanthicarpa,3,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia chamissonis,Ambrosia chamissonis,292,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia chamissonis var. bipinnatisecta,Ambrosia chamissonis,2,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Franseria chamissonis subsp. bipinnatisecta,Ambrosia chamissonis,2,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia psilostachya,Ambrosia psilostachya,49,NA,Keep,1,1,1,NA,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anthemis cotula,Anthemis cotula,41,NA,Keep,NA,1,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arctium minus,Arctium minus,1,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia californica,Artemisia californica,405,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia douglasiana,Artemisia douglasiana,100,NA,Keep,NA,1,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia vulgaris subsp. heterophylla,Artemisia douglasiana,1,NA,Keep,NA,1,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia dracunculus,Artemisia dracunculus,7,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia nesiotica,Artemisia nesiotica,184,NA,Keep,NA,NA,NA,NA,1,1,1,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis douglasii,Baccharis glutinosa,43,NA,Keep,1,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis glutinosa,Baccharis glutinosa,92,NA,Keep,1,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis pilularis,Baccharis pilularis subsp. consanguinea,237,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis pilularis subsp. consanguinea,Baccharis pilularis subsp. consanguinea,74,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis plummerae,Baccharis plummerae subsp. plummerae,44,NA,Keep,NA,NA,1,1,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis plummerae subsp. plummerae,Baccharis plummerae subsp. plummerae,44,NA,Keep,NA,NA,1,1,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis salicifolia,Baccharis salicifolia,194,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis emoryi,Baccharis salicina,5,NA,Keep,NA,NA,NA,NA,1,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis salicina,Baccharis salicina,6,NA,Keep,NA,NA,NA,NA,1,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis sarothroides,Baccharis sarothroides,3,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,Asteraceae,NA,Bahiopsis laciniata,NA,NA,Keep,NA,NA,NA,NA,NA,NA,1,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blennosperma nanum,Blennosperma nanum var. nanum,2,NA,Keep,NA,NA,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Blennosperma nanum var. nanum,Blennosperma nanum var. nanum,7,NA,Keep,NA,NA,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Brickellia californica,Brickellia californica,128,NA,Keep,NA,1,1,1,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Calendula officinalis,Calendula officinalis,3,NA,Keep,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carduus pycnocephalus,Carduus pycnocephalus subsp. pycnocephalus,35,NA,Keep,1,1,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea benedicta,Centaurea benedicta,3,NA,Keep,NA,NA,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cnicus benedictus,Centaurea benedicta,1,NA,Keep,NA,NA,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea cineraria,Centaurea cineraria,13,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea cyanus,Centaurea cyanus,2,NA,Elim,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea melitensis,Centaurea melitensis,135,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea solstitialis,Centaurea solstitialis,73,NA,Keep,NA,1,1,NA,NA,1,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia fitchii,Centromadia fitchii,27,NA,Keep,NA,NA,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia fitchii,Centromadia fitchii,10,NA,Keep,NA,NA,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centromadia pungens subsp. pungens,Centromadia pungens subsp. pungens,1,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia pungens,Centromadia pungens subsp. pungens,1,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis glabriuscula,Chaenactis glabriuscula,6,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis glabriuscula var. glabriuscula,Chaenactis glabriuscula,5,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis glabriuscula var. lanosa,Chaenactis glabriuscula,27,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis glabriuscula var. megacephala,Chaenactis glabriuscula,1,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium intybus,Cichorium intybus,34,NA,Keep,NA,NA,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium brevistylum,Cirsium brevistylum,9,NA,Keep,NA,NA,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium occidentale,Cirsium occidentale,104,NA,Keep,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium occidentale var. californicum,Cirsium occidentale var. californicum,23,NA,Keep,NA,1,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium occidentale var. coulteri,Cirsium occidentale var. coulteri,30,NA,Keep,NA,NA,NA,NA,NA,NA,1,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium occidentale var. occidentale,Cirsium occidentale var. occidentale,125,NA,Keep,1,1,1,NA,NA,1,1,1
NA,NA,NA,NA,Asteraceae,NA,Cirsium ochrocentrum var. ochrocentrum,NA,NA,Keep,NA,1,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium undulatum,Cirsium undulatum,2,NA,Elim,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium vulgare,Cirsium vulgare,46,NA,Keep,1,1,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Constancea nevinii,Constancea nevinii,190,NA,Keep,NA,NA,NA,NA,1,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eriophyllum nevinii,Constancea nevinii,93,NA,Keep,NA,NA,NA,NA,1,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia,Corethrogyne filaginifolia,269,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. californica,Corethrogyne filaginifolia,3,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. filaginifolia,Corethrogyne filaginifolia,8,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. latifolia,Corethrogyne filaginifolia,4,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. robusta,Corethrogyne filaginifolia,3,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. virgata,Corethrogyne filaginifolia,3,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. viscidula,Corethrogyne filaginifolia,4,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lessingia filaginifolia,Corethrogyne filaginifolia,4,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lessingia filaginifolia var. filaginifolia,Corethrogyne filaginifolia,3,NA,Keep,1,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cotula australis,Cotula australis,92,NA,Keep,1,1,1,1,1,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cotula coronopifolia,Cotula coronopifolia,151,NA,Keep,1,1,1,1,NA,1,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis setosa,Crepis setosa,4,NA,Keep,NA,NA,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cynara cardunculus,Cynara cardunculus subsp. flavescens,18,NA,Keep,NA,NA,1,NA,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cynara cardunculus subsp. flavescens,Cynara cardunculus subsp. flavescens,4,NA,Keep,NA,NA,1,NA,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra clementina,Deinandra clementina,362,NA,Keep,NA,NA,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia clementina,Deinandra clementina,103,NA,Keep,NA,NA,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra fasciculata,Deinandra fasciculata,211,NA,Keep,NA,1,1,1,1,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia fasciculata,Deinandra fasciculata,69,NA,Keep,NA,1,1,1,1,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia ramosissima,Deinandra fasciculata,2,NA,Keep,NA,1,1,1,1,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra increscens,Deinandra increscens subsp. increscens,8,NA,Keep,NA,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra increscens subsp. increscens,Deinandra increscens subsp. increscens,27,NA,Keep,NA,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia increscens,Deinandra increscens subsp. increscens,4,NA,Keep,NA,1,1,NA,NA,NA,NA,NA
