id,observed_on_string,source,year,month,observed_on,time_observed_at,time_zone,user_id,observed_on,,,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,acceptedOrder,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,taxon_species_name,acceptedName,taxon_subspecies_name,Notes
59753249,Tue Sep 08 2020 08:39:16 GMT-0500 (CDT),iNaturalist,2020,9,9/8/20 0:00,2020-09-08 12:39:16 UTC,Eastern Time (US & Canada),634762,9/8/20,12:00:00,AM,benthehen,2020-09-16 05:05:38 UTC,2020-10-15 19:45:17 UTC,research,,https://www.inaturalist.org/observations/59753249,https://static.inaturalist.org/photos/95497738/medium.jpg?1600232747,,,,1,0,FALSE,3,"Pacific Ocean, US",Santa Cruz,33.91131215,-119.5896151,20290,20290,,open,FALSE,,,Common Green Darner,Anax junius,Common Green Darner,Insecta,67731,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax junius,Anax junius,,
8409259,2017/10/14 1:14 PM PDT,iNaturalist,2017,10,10/14/17 0:00,2017-10-14 20:14:00 UTC,Pacific Time (US & Canada),8778,10/14/17,12:00:00,AM,gyrrlfalcon,2017-10-15 04:35:43 UTC,2017-10-15 05:43:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8409259,https://inaturalist-open-data.s3.amazonaws.com/photos/11191218/medium.jpg?1508041509,,,,1,0,FALSE,,"Santa Cruz Island, CA",Santa Cruz,34.01958556,-119.6811104,31,31,,open,FALSE,,,Common Green Darner,Anax junius,Common Green Darner,Insecta,67731,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax junius,Anax junius,,
1791849,Wed Jul 22 2015 12:42:27 GMT-0700 (PDT),iNaturalist,2015,7,7/22/15 0:00,2015-07-22 19:42:27 UTC,Pacific Time (US & Canada),13979,7/22/15,12:00:00,AM,robberfly,2015-07-23 04:55:42 UTC,2017-09-08 16:26:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1791849,https://inaturalist-open-data.s3.amazonaws.com/photos/2170734/medium.jpg?1437627587,,,"I caught the monster! Largest dragonfly in North America. A cry went echoing up the canyon: """" You guys! I got it!"""" I've been gloating ever since...",3,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US",Santa Cruz,34.00735833,-119.7467883,,,,,FALSE,,,Giant Darner,Anax walsinghami,Giant Darner,Insecta,67732,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax walsinghami,Anax walsinghami,,
1805007,7/22/15 12:42,iNaturalist,2015,7,7/22/15 0:00,2015-07-22 19:42:43 UTC,Pacific Time (US & Canada),1,7/22/15,12:00:00,AM,kueda,2015-07-26 23:15:38 UTC,2019-05-04 06:19:49 UTC,research,CC0,http://www.inaturalist.org/observations/1805007,https://inaturalist-open-data.s3.amazonaws.com/photos/2187043/medium.jpg?1437952541,,Anax walsinghami,"An enormous dragon, largest in the US, second largest in the world, apparently. Territorial and agreessive. There were several patrolling the canyon, mostly close to the water, and around the deepest pool they would chase any other dragonflies they encountered.",1,0,FALSE,,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,34.00738167,-119.74671,,28874,,,FALSE,,,Anax walsinghami,Anax walsinghami,Giant Darner,Insecta,67732,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax walsinghami,Anax walsinghami,,
50565293,2008/06/06 1:52 PM CDT,iNaturalist,2008,6,6/6/08 0:00,2008-06-06 18:52:00 UTC,Central Time (US & Canada),19563,6/6/08,12:00:00,AM,henicorhina,2020-06-22 16:34:06 UTC,2020-06-22 16:34:06 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/50565293,https://inaturalist-open-data.s3.amazonaws.com/photos/80291553/medium.jpeg?1592843313,,,,0,0,FALSE,,"Coches Prietos Canyon, Santa Barbara County, CA, USA",Santa Cruz,33.97311118,-119.709928,122,122,,,FALSE,,,Dragonflies,Anisoptera,Dragonflies,Insecta,47927,Odonata,Odonata,,,,,,,,"Anisoptera is an Infraorder, or doubtful genus"
31154726,Thu Aug 15 2019 10:35:41 GMT-0700 (PDT),iNaturalist,2019,8,8/15/19 0:00,2019-08-15 17:35:41 UTC,Pacific Time (US & Canada),246499,8/15/19,12:00:00,AM,sulavanderplank,2019-08-20 02:12:53 UTC,2019-08-20 03:24:26 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/31154726,https://static.inaturalist.org/photos/48733312/medium.jpg?1566267195,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,32.87320833,-118.44812,5,5,,,FALSE,,,Dragonflies,Anisoptera,Dragonflies,Insecta,47927,Odonata,Odonata,,,,,,,,
35835543,2019-11-16 7:48:21 PM PST,iNaturalist,2019,11,11/16/19 0:00,2019-11-17 03:48:21 UTC,Pacific Time (US & Canada),2177281,11/16/19,12:00:00,AM,gheaton,2019-11-19 01:11:00 UTC,2019-11-19 01:11:04 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/35835543,https://inaturalist-open-data.s3.amazonaws.com/photos/56558245/medium.jpeg?1574125861,,,"Seems to be some sort of dragonfly larva. Many were observed at night, but not during the day in the same stream.",0,0,FALSE,2,"Santa Rosa Campground, Santa Rosa Island, United States",Santa Rosa,33.98961124,-120.0485204,47,47,,,FALSE,gps,gps,Dragonflies,Anisoptera,Dragonflies,Insecta,47927,Odonata,Odonata,,,,,,,,
5438208,Thu Mar 23 2017 14:42:26 GMT-0700 (PDT),iNaturalist,2017,3,3/23/17 0:00,2017-03-23 21:42:26 UTC,Pacific Time (US & Canada),280979,3/23/17,12:00:00,AM,emshaph,2017-03-24 00:45:59 UTC,2018-08-21 06:42:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5438208,https://inaturalist-open-data.s3.amazonaws.com/photos/6691398/medium.jpg?1490316375,,,,2,0,FALSE,3,"Santa Catalina Island, Avalon, CA, US",Santa Catalina,33.4604204,-118.5476204,45,45,,,FALSE,,,Dancers,Argia,Dancers,Insecta,47977,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,,,,
1805858,7/24/15 13:17,iNaturalist,2015,7,7/24/15 0:00,2015-07-24 20:17:43 UTC,Pacific Time (US & Canada),1,7/24/15,12:00:00,AM,kueda,2015-07-27 05:01:20 UTC,2019-08-01 05:15:00 UTC,needs_id,CC0,http://www.inaturalist.org/observations/1805858,https://inaturalist-open-data.s3.amazonaws.com/photos/2188364/medium.jpg?1437973297,,"Argia, Channel Islands, Santa Cruz Island",,2,0,FALSE,,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, California, United States",Santa Cruz,33.98412833,-119.6664333,,28902,,,FALSE,,,Dancers,Argia,Dancers,Insecta,47977,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,,,,
63699624,2013/09/08 12:07 PM CDT,iNaturalist,2013,9,9/8/13 0:00,2013-09-08 17:07:00 UTC,Central Time (US & Canada),19563,9/8/13,12:00:00,AM,henicorhina,2020-10-28 14:29:12 UTC,2020-10-29 04:47:09 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/63699624,https://inaturalist-open-data.s3.amazonaws.com/photos/102277235/medium.jpeg?1603895296,,,,0,0,FALSE,,"Scorpion, Santa Barbara County, CA, USA",Santa Cruz,34.04834716,-119.5585909,175,175,,,FALSE,,,Argia,Argia,Dancers,Insecta,47977,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,,,,
68524370,2019/09/22 1:50 PM PDT,iNaturalist,2019,9,9/22/19 0:00,2019-09-22 20:50:00 UTC,Pacific Time (US & Canada),160274,9/22/19,12:00:00,AM,camerondeckert,2021-01-24 02:38:31 UTC,2021-01-24 02:38:31 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/68524370,https://inaturalist-open-data.s3.amazonaws.com/photos/110977788/medium.jpg?1611455410,,,,0,0,FALSE,,"Santa Barbara County, CA, USA",Santa Cruz,34.01954667,-119.681145,,,,,FALSE,,,California Dancer,Argia agrioides,California Dancer,Insecta,51220,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia agrioides,Argia agrioides,,
1181259,10/20/13 9:12,iNaturalist,2013,10,10/20/13 0:00,2013-10-20 16:12:08 UTC,Pacific Time (US & Canada),16101,10/20/13,12:00:00,AM,dpom,2015-01-18 03:04:10 UTC,2021-01-24 02:35:28 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1181259,https://inaturalist-open-data.s3.amazonaws.com/photos/1491573/medium.jpg?1421550257,,,,0,0,FALSE,,Santa Cruz Island,Santa Cruz,34.017143,-119.684029,,,,,FALSE,,,California Dancer,Argia agrioides,California Dancer,Insecta,51220,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia agrioides,Argia agrioides,,
48839661,2020/06/07 4:30 PM PDT,iNaturalist,2020,6,6/7/20 0:00,2020-06-07 23:30:00 UTC,Pacific Time (US & Canada),784631,6/7/20,12:00:00,AM,julianclark,2020-06-07 21:44:56 UTC,2020-06-12 14:12:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/48839661,https://inaturalist-open-data.s3.amazonaws.com/photos/77510367/medium.jpeg?1591566158,,,Hiking dry gulch with @cyberkittyn,1,0,FALSE,,"Avalon, CA 90704, USA",Santa Catalina,33.32863874,-118.3410229,8,8,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
27793717,Thu Jun 27 2019 13:41:04 GMT-0700 (PDT),iNaturalist,2019,6,6/27/19 0:00,2019-06-27 20:41:04 UTC,Pacific Time (US & Canada),150454,6/27/19,12:00:00,AM,david99,2019-06-28 03:32:39 UTC,2019-06-29 03:38:40 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/27793717,https://inaturalist-open-data.s3.amazonaws.com/photos/43341717/medium.jpg?1561753200,,,,1,0,FALSE,3,"Channel Islands National Park, , CA, US",Santa Cruz,34.00289167,-119.709205,16,16,,,FALSE,,,Dancers,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
42145113,Mon Apr 13 2020 16:31:50 GMT-0700 (PDT),iNaturalist,2020,4,4/13/20 0:00,2020-04-13 23:31:50 UTC,Pacific Time (US & Canada),2135101,4/13/20,12:00:00,AM,zccas,2020-04-14 05:34:52 UTC,2020-04-14 14:54:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/42145113,https://inaturalist-open-data.s3.amazonaws.com/photos/66900964/medium.jpg?1586842507,,,,2,0,FALSE,3,"Channel Islands National Park, CA, US",Santa Cruz,34.00150296,-119.715713,2799,2799,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
42145155,Mon Apr 13 2020 16:30:01 GMT-0700 (PDT),iNaturalist,2020,4,4/13/20 0:00,2020-04-13 23:30:01 UTC,Pacific Time (US & Canada),2135101,4/13/20,12:00:00,AM,zccas,2020-04-14 05:36:29 UTC,2020-04-15 02:24:29 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/42145155,https://inaturalist-open-data.s3.amazonaws.com/photos/66901048/medium.jpg?1586842594,,,,1,0,FALSE,3,"Channel Islands National Park, CA, US",Santa Cruz,34.00125663,-119.7151309,4794,4794,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
46449071,Mon May 18 2020 14:22:53 GMT-0700 (PDT),iNaturalist,2020,5,5/18/20 0:00,2020-05-18 21:22:53 UTC,Pacific Time (US & Canada),2135101,5/18/20,12:00:00,AM,zccas,2020-05-19 02:47:56 UTC,2020-05-19 04:57:13 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/46449071,https://inaturalist-open-data.s3.amazonaws.com/photos/73671998/medium.jpg?1589856480,,,,1,0,FALSE,3,"Channel Islands National Park, CA, US",Santa Cruz,34.00728318,-119.746362,395,395,,,FALSE,,,Azulilla de arroyo vivaz,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
50819877,Mon Jun 15 2020 08:43:16 GMT-0700 (PDT),iNaturalist,2020,6,6/15/20 0:00,2020-06-15 15:43:16 UTC,Pacific Time (US & Canada),2135101,6/15/20,12:00:00,AM,zccas,2020-06-24 21:24:36 UTC,2020-06-24 21:33:02 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/50819877,https://inaturalist-open-data.s3.amazonaws.com/photos/80716223/medium.jpg?1593033883,,,,1,0,FALSE,3,"Channel Islands National Park, CA, US",Santa Cruz,34.02131734,-119.8685453,2015,2015,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
78308878,Mon May 10 2021 11:27:47 GMT-0700 (PDT),iNaturalist,2021,5,5/10/21 0:00,2021-05-10 18:27:47 UTC,Pacific Time (US & Canada),481431,5/10/21,12:00:00,AM,megakylie,2021-05-11 03:08:47 UTC,2021-05-12 03:23:14 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/78308878,https://inaturalist-open-data.s3.amazonaws.com/photos/128140789/medium.jpg?1620702530,,,,1,0,FALSE,3,"Channel Islands National Park, CA, US",Santa Rosa,34.01358333,-120.0972278,5,5,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
78316837,Mon May 10 2021 11:30:18 GMT-0700 (PDT),iNaturalist,2021,5,5/10/21 0:00,2021-05-10 18:30:18 UTC,Pacific Time (US & Canada),481431,5/10/21,12:00:00,AM,megakylie,2021-05-11 04:59:52 UTC,2021-05-12 03:19:14 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/78316837,https://inaturalist-open-data.s3.amazonaws.com/photos/128155018/medium.jpg?1620709201,,,,1,0,FALSE,3,"Channel Islands National Park, CA, US",Santa Rosa,34.0139,-120.0970917,5,5,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
1784907,Mon Jul 20 2015 16:37:17 GMT-0700 (PDT),iNaturalist,2015,7,7/20/15 0:00,2015-07-20 23:37:17 UTC,Pacific Time (US & Canada),13979,7/20/15,12:00:00,AM,robberfly,2015-07-21 01:47:05 UTC,2015-11-15 18:16:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1784907,https://inaturalist-open-data.s3.amazonaws.com/photos/2160653/medium.jpg?1437443292,,,,1,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US",Santa Cruz,33.99749667,-119.715605,,,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
25393883,2019/05/12 1:19 PM PDT,iNaturalist,2019,5,5/12/19 0:00,2019-05-12 20:19:00 UTC,Pacific Time (US & Canada),6971,5/12/19,12:00:00,AM,silversea_starsong,2019-05-19 17:54:32 UTC,2019-05-20 17:21:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25393883,https://inaturalist-open-data.s3.amazonaws.com/photos/39322342/medium.jpeg?1558288131,,,,1,0,FALSE,,"Channel Islands National Park, Channel Islands, Santa Barbara, California, United States",Santa Rosa,34.00673333,-120.051405,,,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
1472727,5/16/12 14:58,iNaturalist,2012,5,5/16/12 0:00,2012-05-16 21:58:14 UTC,Pacific Time (US & Canada),95810,5/16/12,12:00:00,AM,kiloueka,2015-05-10 09:12:24 UTC,2016-08-08 21:18:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1472727,https://inaturalist-open-data.s3.amazonaws.com/photos/1825833/medium.JPG?1431249147,,,,1,0,FALSE,,Haypress Reservoir,Santa Catalina,33.352872,-118.361079,199,199,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
3803269,2016/07/31 12:18 PM PDT,iNaturalist,2016,7,7/31/16 0:00,2016-07-31 19:18:00 UTC,Pacific Time (US & Canada),35725,7/31/16,12:00:00,AM,yetikat,2016-08-04 17:58:26 UTC,2016-11-22 16:59:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3803269,https://inaturalist-open-data.s3.amazonaws.com/photos/4441757/medium.jpg?1470327442,,,OLYMPUS DIGITAL CAMERA,1,0,FALSE,,"Los Angeles, California, United States",Santa Catalina,33.47328833,-118.5519283,,,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
6306172,2017/05/20 10:56 AM PDT,iNaturalist,2017,5,5/20/17 0:00,2017-05-20 17:56:00 UTC,Pacific Time (US & Canada),147487,5/20/17,12:00:00,AM,ryanandrews,2017-05-21 19:07:18 UTC,2017-05-22 21:50:36 UTC,research,,https://www.inaturalist.org/observations/6306172,https://static.inaturalist.org/photos/7938165/medium.jpg?1495391793,,,,1,0,FALSE,,"Santa Barbara County, CA, USA",Santa Cruz,34.01725123,-119.6823871,8,8,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
6306211,2017/05/20 12:31 PM PDT,iNaturalist,2017,5,5/20/17 0:00,2017-05-20 19:31:00 UTC,Pacific Time (US & Canada),147487,5/20/17,12:00:00,AM,ryanandrews,2017-05-21 19:07:45 UTC,2017-07-04 06:34:48 UTC,research,,https://www.inaturalist.org/observations/6306211,https://static.inaturalist.org/photos/7938302/medium.jpg?1495392104,,,,1,0,FALSE,,"Santa Barbara County, CA, USA",Santa Cruz,34.01752468,-119.6827117,4,4,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
12685375,2017/10/06 5:56 PM EDT,iNaturalist,2017,10,10/6/17 0:00,2017-10-06 21:56:00 UTC,Eastern Time (US & Canada),975206,10/6/17,12:00:00,AM,micahfreedman,2018-05-21 19:25:31 UTC,2018-06-29 21:28:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12685375,https://inaturalist-open-data.s3.amazonaws.com/photos/18362585/medium.jpeg?1526930574,,,,2,0,FALSE,,"Santa Barbara County, CA, USA",Santa Cruz,34.00954612,-119.7019083,3000,3000,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
31432788,2013/08/26 4:11 PM PDT,iNaturalist,2013,8,8/26/13 0:00,2013-08-26 23:11:00 UTC,Pacific Time (US & Canada),80984,8/26/13,12:00:00,AM,kimssight,2019-08-24 21:34:39 UTC,2019-08-24 21:36:42 UTC,needs_id,,https://www.inaturalist.org/observations/31432788,https://static.inaturalist.org/photos/49190409/medium.jpg?1566681636,,,Older observation at Cureva-Valdez on Santa Cruz Island,1,0,FALSE,,"Santa Barbara County, CA, USA",Santa Cruz,34.05173707,-119.8183947,244,244,,,FALSE,,,Vivid Dancer,Argia vivida,Vivid Dancer,Insecta,56240,Odonata,Odonata,Coenagrionidae,Coenagrionidae,Argia,Argia,Argia vivida,Argia vivida,,
