kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,assign by island,needs review,MASTER_ELIM,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,achnatherum miliaceum,stipa miliacea var. miliacea,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achyrachaena mollis,achyrachaena mollis,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon americanus,acmispon americanus var. americanus,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon americanus var. americanus,acmispon americanus var. americanus,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus,acmispon argophyllus,,Check cluster,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. adsurgens,acmispon argophyllus var. adsurgens,,Check cluster,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. argenteus,acmispon argophyllus var. argenteus,,Check cluster,KEEP,5,,1,,,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. argophyllus,acmispon argophyllus var. argophyllus,,Check cluster,Problem - check if keep,0,,,,,,,,
,,,,,acmispon argophyllus var. fremontii,acmispon argophyllus var. fremontii,,Check cluster,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. niveus,acmispon argophyllus var. niveus,,Check cluster,KEEP,1,,,1,,,,,
,,,,,acmispon argophyllus x dendroideus,,,Yes,,0,,,,,,,,
,,,,,acmispon brachycarpus,,,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus,acmispon dendroideus,assign by island,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. dendroideus,acmispon dendroideus var. dendroideus,assign by island,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. traskiae,acmispon dendroideus var. traskiae,assign by island,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. veatchii,acmispon dendroideus var. veatchii,assign by island,,KEEP,0,,,,,,,,
,,,,,acmispon glaber,,,Yes,,0,,,,,,,,
,,,,,acmispon glaber var. glaber,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon grandiflorus,acmispon grandiflorus var. grandiflorus,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon grandiflorus var. grandiflorus,acmispon grandiflorus var. grandiflorus,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon heermannii var. heermannii,acmispon heermannii var. heermannii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus,acmispon maritimus var. maritimus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus subsp. maritimus,acmispon maritimus var. maritimus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus var. maritimus,acmispon micranthus,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon micranthus,acmispon micranthus,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon parviflorus,acmispon parviflorus,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon strigosus,acmispon strigosus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon subpinnatus,acmispon strigosus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon wrangelianus,acmispon wrangelianus,,,KEEP,5,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,acourtia microcephala,acourtia microcephala,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum,adenostoma fasciculatum,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum var. fasciculatum,adenostoma fasciculatum,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum var. prostratum,adenostoma fasciculatum,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum aleuticum,adiantum aleuticum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum capillus-veneris,adiantum capillus-veneris,,,KEEP,4,,1,1,1,,,,1
,,,,,adiantum emarginatum,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum jordani,adiantum jordanii,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum jordanii,adiantum jordanii,,,KEEP,7,1,1,1,1,,1,1,1
,,,,,adiantum pedatum,adiantum pedatum,,,ELIM,0,,,,,,,,
,,,,,adiantum pedatum subsp. aleuticum,adiantum pedatum subsp. aleuticum,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,aegilops cylindrica,aegilops cylindrica,,,KEEP,2,1,,,,,,,1
,,,,,aeonium haworthii,aeonium haworthii,,,ELIM,0,,,,,,,,
,,,,,aesculus parryi,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Agavaceae,agave americana,agave americana,,,KEEP,5,,1,1,,,1,1,1
,,,,,agave filifera,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris apargioides,agoseris apargioides,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris grandiflora,agoseris grandiflora var. grandiflora,,,KEEP,3,1,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris grandiflora var. grandiflora,agoseris grandiflora var. grandiflora,,,KEEP,3,1,1,1,,,,,
,,,,,agoseris grandiflora?,,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris heterophylla,agoseris heterophylla,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris heterophylla var. heterophylla,agoseris heterophylla,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis diegoensis,agrostis pallens,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis exarata,agrostis exarata,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis pallens,agrostis pallens,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis semiverticillata,polypogon viridis,,,KEEP,6,,1,1,1,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis stolonifera,agrostis stolonifera,,,KEEP,3,,1,,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis viridis,polypogon viridis,,,KEEP,6,,1,1,1,1,,1,1
,,,,,ailanthus altissima,ailanthus altissima,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,aira caryophyllea,aira caryophyllea,,,KEEP,1,,,,,,,,1
,,,,,albizia distachya,paraserianthes lophantha,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,albizia lophantha,albizia lophantha,,Problem - check if keep,Problem - check if keep,1,,,1,,,,,
,,,,,alcea rosea,alcea rosea,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,alchemilla arvensis,aphanes arvensis,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,alchemilla occidentalis,aphanes occidentalis,,,KEEP,4,,1,1,,,,1,1
,,,,,aldama glomerata var. insularis,,,Yes,,0,,,,,,,,
,,,,,allium haematochiton,allium haematochiton,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium lacunosum,allium lacunosum var. lacunosum,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium lacunosum var. lacunosum,allium lacunosum var. lacunosum,,,KEEP,2,,1,1,,,,,
,,,,,allium peninsulare,allium peninsulare var. peninsulare,,Problem - check if keep,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium peninsulare var. peninsulare,allium peninsulare var. peninsulare,,Problem - check if keep,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium praecox,allium praecox,,,KEEP,5,1,1,1,,,,1,1
,,,,,allophyllum gilioides,allophyllum gilioides,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,allophyllum glutinosum,allophyllum glutinosum,,,KEEP,1,,,,,,,,1
,,,,,allowissadula holosericea,allowissadula holosericea,,,ELIM,0,,,,,,,,
,,,,,aloe arborescens,aloe arborescens,,,ELIM,0,,,,,,,,
,,,,,aloe ciliaris,aloiampelos ciliaris,,,ELIM,0,,,,,,,,
,,,,,aloe salm-dyckiana,,,Yes,,0,,,,,,,,
,,,,,alopecurus myosuroides,alopecurus myosuroides,,,ELIM,0,,,,,,,,
,,,,,althaea rosea,alcea rosea,,,ELIM,0,,,,,,,,
,,,,,alvordia glomerata var. insularis,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,amaranthus albus,amaranthus albus,,,KEEP,4,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,amaranthus blitoides,amaranthus blitoides,,,KEEP,2,,1,1,,,,,
,,,,,amaranthus blitoides?,,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,amaranthus deflexus,amaranthus deflexus,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,amaranthus powellii,amaranthus powellii,,,KEEP,2,,,1,1,,,,
,,,,,amaranthus spinosus,amaranthus spinosus,,,ELIM,0,,,,,,,,
,,,,,amaryllis belladonna,amaryllis belladonna,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,amblyopappus pusillus,amblyopappus pusillus,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia acanthicarpa,ambrosia acanthicarpa,,,KEEP,1,,,,,,,,1
,,,,,ambrosia bipinnatifida,,,Yes,,0,,,,,,,,
,,,,,ambrosia camphorata,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis,ambrosia chamissonis,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis var. bipinnatisecta,ambrosia chamissonis,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis var. chamissonis,ambrosia chamissonis,,,KEEP,7,1,1,1,1,,1,1,1
,,,,,ambrosia dumosa,ambrosia dumosa,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia psilostachya,ambrosia psilostachya,,,KEEP,6,1,1,1,,,1,1,1
,,,,,ammannia coccinea,ammannia coccinea,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,ammannia robusta,ammannia robusta,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,ammophila arenaria,ammophila arenaria,,,KEEP,1,,,,,,1,,
,,,,,amorpha californica,amorpha californica,,,ELIM,0,,,,,,,,
,,,,,amorpha fruticosa,amorpha fruticosa,,,ELIM,0,,,,,,,,
,,,,,amphilophium buccinatorium,,,Yes,,0,,,,,,,,
,,,,,amphipappus fremontii,amphipappus fremontii,,,ELIM,0,,,,,,,,
,,,,,amsinckia attenuata,,,Yes,,0,,,,,,,,
,,,,,amsinckia evermannii,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia intermedia,amsinckia intermedia,,,KEEP,8,1,1,1,1,1,1,1,1
,,,,,amsinckia lycopsoides,amsinckia lycopsoides,,,ELIM,0,,,,,,,,
,,,,,amsinckia maritima,,,Yes,,0,,,,,,,,
,,,,,amsinckia maritima var. spectabilis,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia menziesii,amsinckia menziesii,,,KEEP,5,1,,1,1,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia menziesii var. intermedia,amsinckia intermedia,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia menziesii var. menziesii,amsinckia menziesii,,,KEEP,5,1,,1,1,,,1,1
,,,,,amsinckia microsperma,,,Yes,,0,,,,,,,,
,,,,,amsinckia retrorsa,amsinckia retrorsa,,,ELIM,0,,,,,,,,
,,,,,amsinckia sancti-nicolai var. sancti-nicolai,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia spectabilis,amsinckia spectabilis var. spectabilis,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia spectabilis var. nicolai,amsinckia spectabilis var. spectabilis,,,KEEP,8,1,1,1,1,1,1,1,1
,,,,,amsinckia spectabilis var. sancti-nicolai,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia spectabilis var. spectabilis,amsinckia spectabilis var. spectabilis,,,KEEP,8,1,1,1,1,1,1,1,1
,,,,,amsinckia swainiae,,,Yes,,0,,,,,,,,
,,,,,amsinckia tessellata,amsinckia tessellata,,,ELIM,0,,,,,,,,
,,,,,amsonia tomentosa var. tomentosa,amsonia tomentosa var. tomentosa,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Myrsinaceae,anagallis arvensis,lysimachia arvensis,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Ericales,Myrsinaceae,anagallis arvensis var. coerulea,lysimachia arvensis,,,KEEP,8,1,1,1,1,1,1,1,1
,,,,,anagallis minima,anagallis minima,,,ELIM,0,,,,,,,,
,,,,,anaphalis margaritacea,anaphalis margaritacea,,,ELIM,0,,,,,,,,
,,,,,andrographis alata,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,andropogon glomeratus,andropogon glomeratus var. scabriglumis,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,andropogon glomeratus var. glomeratus,andropogon glomeratus var. scabriglumis,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,andropogon glomeratus var. scabriglumis,andropogon glomeratus var. scabriglumis,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Piperales,Saururaceae,anemopsis californica,anemopsis californica,,,KEEP,4,,,1,,,1,1,1
,,,,,anredera cordifolia,anredera cordifolia,,,ELIM,0,,,,,,,,
,,,,,anthemis arvensis,anthemis arvensis,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,anthemis cotula,anthemis cotula,,,KEEP,3,,1,1,,,,,1
,,,,,antirrhinum coulterianum,antirrhinum coulterianum,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,antirrhinum kelloggii,antirrhinum kelloggii,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,antirrhinum multiflorum,antirrhinum thompsonii,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,antirrhinum nuttallianum,antirrhinum nuttallianum subsp. subsessile,,,KEEP,6,1,1,1,1,,,1,1
,,,,,antirrhinum nuttallianum f. pusillum,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,antirrhinum nuttallianum subsp. nuttallianum,antirrhinum nuttallianum subsp. nuttallianum,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,antirrhinum nuttallianum subsp. subsessile,antirrhinum nuttallianum subsp. subsessile,,,KEEP,6,1,1,1,1,,,1,1
,,,,,antirrhinum pusillum,,,Yes,,0,,,,,,,,
,,,,,antirrhinum speciosum,,,Yes,,0,,,,,,,,
,,,,,antirrhinum strictum,,,Yes,,0,,,,,,,,
,,,,,antirrhinum thompsonii,,,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,aphanes arvensis,aphanes arvensis,,,Problem - check if keep,0,,,,,,,,
,,,,,aphanes macrosepala,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,aphanes occidentalis,aphanes occidentalis,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,aphanisma blitoides,aphanisma blitoides,,,KEEP,8,1,1,1,1,1,1,1,1
,,,,,aphyllon californicum subsp. grande,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon fasciculatum,aphyllon fasciculatum,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon parishii,aphyllon parishii subsp. brachylobum,,,KEEP,5,1,1,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon parishii spp. brachylobum,aphyllon parishii subsp. brachylobum,,,KEEP,5,1,1,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon parishii subsp. brachylobum,aphyllon parishii subsp. brachylobum,,,KEEP,5,1,1,1,,,1,,1
,,,,,aphyllon purpureum,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon tuberosum,aphyllon tuberosum,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,apiastrum angustifolium,apiastrum angustifolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,apium graveolens,apium graveolens,,,KEEP,4,,1,1,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,aptenia cordifolia,aptenia cordifolia,,,KEEP,2,,,,1,,,,1
,,,,,apteria aphylla,apteria aphylla,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,arabis glabra,turritis glabra,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,arabis hoffmannii,boechera hoffmannii,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,arabis maxima var. hoffmannii,boechera hoffmannii,,,KEEP,2,,1,1,,,,,
,,,,,araucaria bidwillii,araucaria bidwillii,,,ELIM,0,,,,,,,,
,,,,,araucaria excelsa,araucaria columnaris,,,ELIM,0,,,,,,,,
,,,,,araujia sericifera,araujia sericifera,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arbutus menziesii,arbutus menziesii,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,arctium minus,arctium minus,,,KEEP,1,,1,,,,,,
,,,,,arctostaphylos andersonii var. viridissima,,,Yes,,0,,,,,,,,
,,,,,arctostaphylos auriculata,arctostaphylos auriculata,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos bicolor,xylococcus bicolor,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos catalinae,arctostaphylos catalinae,,,KEEP,1,,,,,,,,1
,,,,,arctostaphylos catalinae var. viridissima,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos confertiflora,arctostaphylos confertiflora,,,KEEP,1,,1,,,,,,
,,,,,arctostaphylos confertiflora x tomentosa,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos crustacea,arctostaphylos crustacea,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos crustacea subsp. crustacea,arctostaphylos crustacea subsp. crustacea,,,Problem - check if keep,0,,,,,,,,
