Latitude,Longitude,lat_round,long_round,lat_long,locality,count,centroid
34.0731,-119.9177,34.0731,-119.9177,"34.0731, -119.9177","Santa Cruz Island: just W of Triangulation Pt 717 (SCI West Latitude Station), S of West Pt",1,
34.0731,-119.9177,34.0731,-119.9177,"34.0731, -119.9177",Santa Cruz Island: ridge top of W tip of peninsula located just S of West Pt,1,
34.073,-120.3665,34.073,-120.3665,"34.073, -120.3665","San Miguel Island: high point, NE of Simonton Cove",1,
34.073,-120.365,34.073,-120.365,"34.073, -120.365",San Miguel Island: near Triangulation Pt Seal Pt at Harris Pt,2,
34.073,-120.365,34.073,-120.365,"34.073, -120.365","San Miguel Island. Near triangulation point, Seal Point, at Harris Point.",1,
34.0727,-119.9125,34.0727,-119.9125,"34.0727, -119.9125","Santa Cruz Island: N shore ca. 0.9 mi E of West Pt, 100 m E of N end of fenceline which crosses ridge between Pks 724 and 830",3,
34.0727,-119.9125,34.0727,-119.9125,"34.0727, -119.9125","Santa Cruz Island: ca. 0.9 mi E of West Pt, 100 m E of N end of fenceline which crosses ridge between Pks 724 and 830",2,
34.072502,-119.916365,34.0725,-119.9164,"34.0725, -119.9164",Santa Cruz Island: Just NW of triangulation point 717.,1,
34.0724,-119.8959,34.0724,-119.8959,"34.0724, -119.8959","Santa Cruz Island: coastal bluffs, coastal flats at low end of island, at NPS veg plot 53, at cove just W of Del Mar Cove",1,
34.072,-120.3645,34.072,-120.3645,"34.072, -120.3645",San Miguel Island: flats near top of Harris Pt,1,
34.072,-119.893,34.072,-119.893,"34.072, -119.893","Santa Cruz Island: N side of West Pt, ca. 1.5 mi E of point",1,
34.0717,-120.3647,34.0717,-120.3647,"34.0717, -120.3647",San Miguel Island: top of hills/bluffs at E end of Simonton Cove (opposite rock),1,
34.0715,-120.363,34.0715,-120.363,"34.0715, -120.363","San Miguel Island: Harris Pt peninsula; saddle 0.25 mi SW of Nifty Rock, 0.5 mi NW of Triangulation Pt Harbor 2",2,
34.07125,-119.8971,34.0713,-119.8971,"34.0713, -119.8971",Santa Cruz Island: Projectory Cyn,3,
34.07125,-119.8971,34.0713,-119.8971,"34.0713, -119.8971","Santa Cruz Island: top of coast bluffs, 2.0 mi NE of Fraser Pt, near mouth of a cyn",1,
34.07103,-120.36564,34.071,-120.3656,"34.071, -120.3656","San Miguel Island, Challenge Point.",1,
34.0707,-120.3652,34.0707,-120.3652,"34.0707, -120.3652","San Miguel Island: NW slope, rocky above (?) Cove, W side of Harris Pt",1,
34.0704,-119.9157,34.0704,-119.9157,"34.0704, -119.9157",Santa Cruz Island: S flank of West Pt,1,
34.0702,-119.9184,34.0702,-119.9184,"34.0702, -119.9184","Santa Cruz Island: S of crest of north ridge, W end of island",1,
34.06982,-119.91107,34.0698,-119.9111,"34.0698, -119.9111","West Point, Santa Crux Island",1,
34.0695,-119.9104,34.0695,-119.9104,"34.0695, -119.9104","Santa Cruz Island: N side of West Pt Ridge, ca. 0.2 mi W of rd to Painted Cave",1,
34.069547,-119.908614,34.0695,-119.9086,"34.0695, -119.9086","Near West Ranch, Santa Cruz Island, Santa Barbara County.",1,
34.0695,-119.8952,34.0695,-119.8952,"34.0695, -119.8952","Santa Cruz Island: S side of West Pt Ridge, ca. 0.2 mi W of rd to Painted Cave",1,
34.0695,-119.895,34.0695,-119.895,"34.0695, -119.895","Santa Cruz Island: N side of West Pt Ridge, ca. 0.2 mi W of rd to Painted Cave",5,
34.0695,-119.891,34.0695,-119.891,"34.0695, -119.891","Santa Cruz Island: E fork of gully which drains W side of Triangulation Pt Mesa, ca. 0.25 mi N of Triangulation Pt Azimuth Mark",1,
34.069,-120.367,34.069,-120.367,"34.069, -120.367","San Miguel Island. Trail to Lester Point, in saddle just before overlook above Secret Cove.",1,
34.069,-120.364,34.069,-120.364,"34.069, -120.364",San Miguel Island: NW edge of Harris Pt mesa (Hurricane Deck),1,
34.069,-120.364,34.069,-120.364,"34.069, -120.364","San Miguel Island: SW portion of Harris Pt Mesa (Hurricane Deck), near mesa edge",1,
34.069,-119.9157,34.069,-119.9157,"34.069, -119.9157","Santa Cruz Island: N side of Pt, W end of island",2,
34.06888,-119.8666,34.0689,-119.8666,"34.0689, -119.8666","w fork of first canyon w of Profile Point (""""(at end of road along nw shore of island)""""); Santa Cruz Island",1,
34.0687,-120.367,34.0687,-120.367,"34.0687, -120.367",San Miguel Island: headland at extreme N of Simonton Cove,1,
34.0687,-120.367,34.0687,-120.367,"34.0687, -120.367",San Miguel Island: W of headland at NE end of Simonton Cove,1,
34.0685,-119.9073,34.0685,-119.9073,"34.0685, -119.9073",Santa Cruz Island: ridgetop E of West Pt at saddle between Pk 724 and Pk 830,1,
34.06835,-120.3671,34.0684,-120.3671,"34.0684, -120.3671","San Miguel Island: W side of Harris Pt Peninsula, on butte S of Lester Pt (two large swales S of Lester Pt)",1,
34.0683,-120.3665,34.0683,-120.3665,"34.0683, -120.3665","San Miguel Island: Lester's Grave, Harris Pt peninsula, W of Cuyler Harbor",2,
34.0683,-120.3665,34.0683,-120.3665,"34.0683, -120.3665","San Miguel Island: SW of Lester's Grave, Harris Pt Rd, W of Cuyler Harbor",1,
34.0683,-119.907,34.0683,-119.907,"34.0683, -119.907","Santa Cruz Island: West Pt Ridge, on S side of ridge, along rd to Painted Cave",1,
34.068,-120.363,34.068,-120.363,"34.068, -120.363","San Miguel Island: swale between Nifty and Hare Rocks, Harris Pt peninsula",1,
34.068,-119.918,34.068,-119.918,"34.068, -119.918","Santa Cruz Island: mouth of cave, W side of cyn, 0.7 mi S of West Pt",1,
34.068,-119.906,34.068,-119.906,"34.068, -119.906","Channel Islands. Santa Cruz Island, west of end of west Pine Forest.",1,
34.068,-119.906,34.068,-119.906,"34.068, -119.906","w end of island Channel Islands, Santa Cruz Island",1,
34.068,-119.9054,34.068,-119.9054,"34.068, -119.9054","Santa Cruz Island: ca. 0.9 mi E of West Pt, 100 m E of N end of fenceline which crosses ridge between Pks 724 and 830",2,
34.068,-119.885,34.068,-119.885,"34.068, -119.885","Santa Cruz Island: N shore, ca. 2 mi E of West Pt, on rd toward Profile Pt",1,
34.068,-119.869,34.068,-119.869,"34.068, -119.869","Santa Cruz Island: W side of headland between forks of first cyn W of Profile Pt, just E of end of rd along NW shore of island)",1,
34.06771,-119.85978,34.0677,-119.8598,"34.0677, -119.8598","first major canyon e of Profile Point (Santa Cruz Island); California Islands, Santa Cruz Island",1,
34.0672,-120.3665,34.0672,-120.3665,"34.0672, -120.3665",San Miguel Island: N end of Simonton Cove near Harris Pt,5,
34.0672,-120.3665,34.0672,-120.3665,"34.0672, -120.3665",San Miguel Island. N end of Simonton Cove near Harris Point,1,
34.0672,-120.3665,34.0672,-120.3665,"34.0672, -120.3665",San Miguel Island. North end of Simonton Cove near Harris Point.,1,
34.0672,-120.3655,34.0672,-120.3655,"34.0672, -120.3655","San Miguel Island: just S of Lester Pt, above E end of Simonton Cove",1,
34.0672,-120.3655,34.0672,-120.3655,"34.0672, -120.3655","San Miguel Island: trail to Harris Pt, just S of Lester Pt",1,
34.06719,-120.3655,34.0672,-120.3655,"34.0672, -120.3655","San Miguel Island; north side of island, along trail to Harris Point, just south of Lester Point",1,
34.067,-120.363,34.067,-120.363,"34.067, -120.363","San Miguel Island: middle of Harris Pt peninsula, NNW of Bat Rock",2,
34.067,-119.916,34.067,-119.916,"34.067, -119.916",Santa Cruz Island: between West Pt and Fraser Pt,1,
34.067,-119.8682,34.067,-119.8682,"34.067, -119.8682",Santa Cruz Island: W fork of first cyn W of Profile Pt (at end of rd along NW shore of island),2,
34.067,-119.8682,34.067,-119.8682,"34.067, -119.8682",Santa Cruz Island: middle fork of the second cyn W of Profile Pt,1,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645","Santa Cruz Island: north shore, first drainage W of Profile Pt",6,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645",Santa Cruz Island: first large cyn W of Profile Pt,4,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645",Santa Cruz Island: E fork of first cyn W of Profile Pt,2,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645",Santa Cruz Island: first cyn W of Profile Pt,2,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645",coastal bluffs on e side of first canyon w Profile Point (just e of end of road along nw shore of island); Santa Cruz Island,1,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645","Santa Cruz Island, first large canyon west of Profile Point.",1,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645","Santa Cruz Island: coastal bluffs on E side of first cyn W of Profile Pt, just E of end of rd along NW shore of island",1,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645","Santa Cruz Island: E fork of first cyn W of Profile Pt, just E of end of rd along NW shore of island",1,
34.067,-119.8645,34.067,-119.8645,"34.067, -119.8645","Santa Cruz Island: W side of large cove, just W of Profile Pt",1,
34.067,-119.86,34.067,-119.86,"34.067, -119.86",Santa Cruz Island: first major cyn E of Profile Pt,22,
34.067,-119.859,34.067,-119.859,"34.067, -119.859",Santa Cruz Island: bottom of first major cyn E of Profile Pt,3,
34.067,-119.859,34.067,-119.859,"34.067, -119.859",Santa Cruz Island: first major cyn E of Profile Pt,3,
34.066667,-119.9,34.0667,-119.9,"34.0667, -119.9","Santa Cruz Island, 2 miles east of west end of Fraser Point.",1,
34.0666,-119.8598,34.0666,-119.8598,"34.0666, -119.8598",Santa Cruz Island: first major cyn E of Profile Pt,7,
34.0666,-119.8598,34.0666,-119.8598,"34.0666, -119.8598",Santa Cruz Island: lower part of first major cyn E of Profile Pt,4,
34.0666,-119.8598,34.0666,-119.8598,"34.0666, -119.8598",Santa Cruz Island: lower part of first major cyn E of Profile Point,1,
34.0665,-120.3609,34.0665,-120.3609,"34.0665, -120.3609",San Miguel Island: 0.75 mi E of Harris Pt toward Cuyler Harbor,4,
34.0665,-120.3609,34.0665,-120.3609,"34.0665, -120.3609",San Miguel Island. 0.75 mi. W of Harris Point toward Cuyler Harbor.,1,
34.0665,-120.36089,34.0665,-120.3609,"34.0665, -120.3609","San Miguel Island, 0.75 mi east of Harris Point toward Cuyler Harbor",1,
34.0664,-119.917,34.0664,-119.917,"34.0664, -119.917","Santa Cruz Island, W Point peninsula, halfway betw Fraser Point and Triangulation Point 717.",1,
34.0664,-119.917,34.0664,-119.917,"34.0664, -119.917","Santa Cruz Island: West Pt peninsula, ca. halfway between Fraser Pt and Triangulation Pt 717",1,
34.0663,-119.91805,34.0663,-119.9181,"34.0663, -119.9181",Santa Cruz Island: Rocky flats ~ 1/2 way bet. Fraser Point and triangulation [point] 717.,1,
34.066,-119.9128,34.066,-119.9128,"34.066, -119.9128","Santa Cruz Island: coastal flat on N side of West Pt Ridge, 0.4 mi from summit, at bottom of grade",1,
34.066,-119.895,34.066,-119.895,"34.066, -119.895","Santa Cruz Island: N side of West Pt Ridge, ca. 0.2 mi W of rd to Painted Cave",1,
34.066,-119.8475,34.066,-119.8475,"34.066, -119.8475","Santa Cruz Island: Alamo Cyn, 2 mi E of Valdez",1,
34.0654,-119.8485,34.0654,-119.8485,"34.0654, -119.8485",Santa Cruz Island: 2 mi E of Valdez Harbor,1,
34.065313,-119.906331,34.0653,-119.9063,"34.0653, -119.9063",Santa Cruz Island; pasturelands of West Point.,1,
34.0652,-120.3642,34.0652,-120.3642,"34.0652, -120.3642","San Miguel Island: SE of Lester's grave, middle of Harris Pt peninsula",1,
34.0651,-119.9047,34.0651,-119.9047,"34.0651, -119.9047",Santa Cruz Island: West Point pasture,1,
34.065,-120.3687,34.065,-120.3687,"34.065, -120.3687","San Miguel Island: N end of Simonton Cove, Harris Pt",1,
34.065,-120.3687,34.065,-120.3687,"34.065, -120.3687",San Miguel Island: NNE of Simonton Cove,1,
34.065,-120.3687,34.065,-120.3687,"34.065, -120.3687","San Miguel Island: Simonton Cove, W of Triangulation Pt Harbor",1,
34.065,-120.367,34.065,-120.367,"34.065, -120.367",San Miguel Island. Beach dunes just above high tide line west end of Simonton Cove.,1,
34.065,-120.367,34.065,-120.367,"34.065, -120.367",San Miguel Island: just above high tide line E of Simonton Cove,1,
34.065,-120.3607,34.065,-120.3607,"34.065, -120.3607","San Miguel Island: NW of Triangulation Pt Harbor 2, Harris Pt",1,
34.065,-119.9177,34.065,-119.9177,"34.065, -119.9177","Santa Cruz Island. Between Fraser Point Peninsula and Cove, S of West Point peninsula, closer to Fraser Point peninsula",1,
34.065,-119.9177,34.065,-119.9177,"34.065, -119.9177",Santa Cruz Island: near mouth of crk which empties into S end of cove of West Pt peninsula,1,
34.065,-119.9175,34.065,-119.9175,"34.065, -119.9175","Santa Cruz Island: W end of island, ""red rock cyn' on the point",1,
34.065,-119.897,34.065,-119.897,"34.065, -119.897",Santa Cruz Island: ridge E of West Pt running to Benchmark Alta,2,
34.065,-119.8968,34.065,-119.8968,"34.065, -119.8968",Santa Cruz Island: saddle on ridge 1.2 mi NE of Forney's Cove,1,
34.065,-119.858,34.065,-119.858,"34.065, -119.858",Santa Cruz Island: immediately inland from Painted Cave,3,
34.065,-119.849,34.065,-119.849,"34.065, -119.849","Santa Cruz Island: Alamo Cyn, 2 mi E of Valdez",1,
34.065,-119.849,34.065,-119.849,"34.065, -119.849","Santa Cruz Island: Alamo Cyn, 2 mi E of Valdez Harbor",1,
34.065,-119.849,34.065,-119.849,"34.065, -119.849",Santa Cruz Island: near Alamo Cyn,1,
34.064783,-120.359736,34.0648,-120.3597,"34.0648, -120.3597",San Miguel Island: W slope of Devil's Knoll.,1,
34.0647,-119.915,34.0647,-119.915,"34.0647, -119.915",Santa Cruz Island: SW flanks of West Pt Ridge,2,
34.06465,-119.86403,34.0647,-119.864,"34.0647, -119.864",Santa Cruz Island: middle fork of first cyn W of Profile Pt,2,
34.0645,-120.364,34.0645,-120.364,"34.0645, -120.364","San Miguel Island: Harris Pt, just W of Triangulation Pt Harbor 2",2,
34.0644,-120.3598,34.0644,-120.3598,"34.0644, -120.3598",San Miguel Island: Devil's Knoll,1,
34.0644,-120.3598,34.0644,-120.3598,"34.0644, -120.3598","San Miguel Island: W side of summit of Devil's Knoll, the high point of the Harris Pt peninsula, just W of Triangulation Stn Harbor 2",1,
34.0642,-119.8879,34.0642,-119.8879,"34.0642, -119.8879",Santa Cruz Island; Grassy banks around rocks on north side of ridge; On the ridge east of West Point running to bench mark Alta.,1,
34.064,-120.369,34.064,-120.369,"34.064, -120.369",San Miguel Island: E end of Simonton Cove,2,
34.064,-120.369,34.064,-120.369,"34.064, -120.369",San Miguel Island. East end of Simonton Cove.,1,
34.064,-120.365,34.064,-120.365,"34.064, -120.365","San Miguel Island: Harris Pt rd, W of Cuyler Harbor",4,
34.064,-119.914,34.064,-119.914,"34.064, -119.914","Santa Cruz Island: rd to saddle on West Pt peninsula, on S side of ridge overlooking Fraser Pt, ca. 0.6 mi N of intersection with rd to Fraser Pt",2,
34.064,-119.914,34.064,-119.914,"34.064, -119.914","Santa Cruz Island. Along road to saddle on West Point Peninsula, on S side of ridge, overlooking Fraser Point, ca. 0.6 miles N of intesection with road to Fraser Point",1,
34.064,-119.887,34.064,-119.887,"34.064, -119.887",Santa Cruz Island: ridge E of West Pt running to Benchmark Alta,2,
34.064,-119.887,34.064,-119.887,"34.064, -119.887","Santa Cruz Island: N side of ridge, E of West Pt, running to Benchmark Alta",1,
34.0638,-120.3592,34.0638,-120.3592,"34.0638, -120.3592","San Miguel Island: just SSE of Triangulation Pt Harbor 2, WSW of Hare Rock",1,
34.063,-120.3608,34.063,-120.3608,"34.063, -120.3608",San Miguel Island: SSW of Triangulation Pt Harbor 2,1,
34.063047,-119.917746,34.063,-119.9177,"34.063, -119.9177","Santa Cruz Island: N side of mouth of third canyon N of Fraser Point, just inland from coastal bluffs.",1,
34.063,-119.9065,34.063,-119.9065,"34.063, -119.9065","Santa Cruz Island: between the 4th and 5th major gullies W of rd from Forney Cove to the N ridge, ca. 0.75 mi NE of Fraser Pt",1,
34.063,-119.885,34.063,-119.885,"34.063, -119.885",Santa Cruz Island: ridge E of West Pt running to Benchmark Alta above grove of Lyonothamnus trees,1,
34.06278,-119.84727,34.0628,-119.8473,"34.0628, -119.8473",Santa Cruz Island. Rocky ridge above and east of Alamo Canyon.,1,
34.06278,-119.84727,34.0628,-119.8473,"34.0628, -119.8473",Santa Cruz Island: rocky ridge above and E of Alamo Cyn,1,
34.062517,-119.919333,34.0625,-119.9193,"34.0625, -119.9193","Fraser Point, Santa Cruz Island",1,
34.062517,-119.919333,34.0625,-119.9193,"34.0625, -119.9193","Frazer Point, Santa Cruz Island",1,
34.0623,-119.9153,34.0623,-119.9153,"34.0623, -119.9153","Santa Cruz Island: ca. half-way between Fraser Pt and West Pt peninsula, S of major cyn between the two peninsulas",1,
34.0623,-119.9153,34.0623,-119.9153,"34.0623, -119.9153","Santa Cruz Island: top of coastal bluffs on N side of first major cyn N of Fraser Pt peninsula, just S of foothills of West Pt Ridge",1,
34.0617,-119.917,34.0617,-119.917,"34.0617, -119.917",Santa Cruz Island: grassy area beside coastal cliffs just N of Fraser Pt peninsula,1,
34.0617,-119.917,34.0617,-119.917,"34.0617, -119.917",Santa Cruz Island: top of coastal bluffs just N of Fraser Pt peninsula,1,
34.0613,-120.3725,34.0613,-120.3725,"34.0613, -120.3725","San Miguel Island: Demarcation Beach, behind first dune off beach",1,
34.061,-119.919,34.061,-119.919,"34.061, -119.919",Santa Cruz Island: NE base of Fraser Pt,1,
34.061,-119.8637,34.061,-119.8637,"34.061, -119.8637",ca. 3/4 mi s of USGS bench mark 380 (sw of Painted Cave); Santa Cruz Isl,1,
34.0603,-119.9106,34.0603,-119.9106,"34.0603, -119.9106","1/2 mi NE of Forney's cove, W end of Santa Cruz Island",1,
34.06008,-120.36368,34.0601,-120.3637,"34.0601, -120.3637","San Miguel Island. West-facing slope, just south-southeast of triangulation point ?Harbor? and west-southwest of Hare Rock.",1,
34.06,-119.92,34.06,-119.92,"34.06, -119.92","California Channel Islands; Santa Cruz Island. Sandy bluffs above beach, West End, Frasier Point.",2,
34.06,-119.92,34.06,-119.92,"34.06, -119.92",California Channel Islands; Santa Cruz Island. Rocky cliffs above beach at west end of island.,1,
34.06,-119.92,34.06,-119.92,"34.06, -119.92","Callifornia Channel Islands; Santa Cruz Island. Rocky shore side cliffs, West End, Frasier Point, 16.5 miles from research station.",1,
34.06,-119.9175,34.06,-119.9175,"34.06, -119.9175",Santa Cruz Island: just E of terrace at Fraser Pt,1,
34.06,-119.911,34.06,-119.911,"34.06, -119.911",W end of Santa Cruz Island,16,
34.06,-119.911,34.06,-119.911,"34.06, -119.911",Santa Cruz Island: W end of island,3,
34.06,-119.911,34.06,-119.911,"34.06, -119.911",Santa Cruz Island: above beach on W end of island,1,
34.06,-119.911,34.06,-119.911,"34.06, -119.911",Santa Cruz Island: below pine grove,1,
34.06,-119.911,34.06,-119.911,"34.06, -119.911",Santa Cruz Island: between Prisoners Harbor and Christi Ranch,1,
34.06,-119.911,34.06,-119.911,"34.06, -119.911",Santa Cruz Island: rd to Christi,1,
34.06,-119.911,34.06,-119.911,"34.06, -119.911","W end of Santa Cruz Island, above beach",1,
34.06,-119.911,34.06,-119.911,"34.06, -119.911","west end, Santa Cruz Island",1,
34.06,-119.893,34.06,-119.893,"34.06, -119.893",Santa Cruz Island. near west end.,3,
34.06,-119.8637,34.06,-119.8637,"34.06, -119.8637","Santa Cruz Island: ca. 0.75 mi S of USGS bench mark 380, ca. 0.3 mi N of Pk 1595",2,
34.06,-119.8577,34.06,-119.8577,"34.06, -119.8577",Santa Cruz Island: just S of Pk 1083 on W side of cyn which empties into ocean E of Punta Gorda and Ruby Rock,1,
34.0597,-119.928,34.0597,-119.928,"34.0597, -119.928","Santa Cruz Island: coastal bluff, Fraser Pt",1,
34.0596,-119.928854,34.0596,-119.9289,"34.0596, -119.9289","Fraser Point, Santa Cruz Island.; 34.016528 -119.771088",1,
34.0596,-119.928,34.0596,-119.928,"34.0596, -119.928","Santa Cruz Island: Fraser Pt peninsula, opposite Cormorant Rocks just E of Fraser Pt at top of coastal bluffs",1,
34.0596,-119.928,34.0596,-119.928,"34.0596, -119.928",Santa Cruz Island: just E of terrace at Fraser Pt,1,
34.0596,-119.928,34.0596,-119.928,"34.0596, -119.928",Santa Cruz Island: terrace just E of Fraser Pt,1,
34.0596,-119.9278,34.0596,-119.9278,"34.0596, -119.9278",Santa Cruz Island. Fraser Point.,2,
34.0595,-119.9267,34.0595,-119.9267,"34.0595, -119.9267",Santa Cruz Island: flats above Fraser Pt,1,
34.0595,-119.9267,34.0595,-119.9267,"34.0595, -119.9267",Santa Cruz Island: tip of Fraser Pt,1,
34.05944,-119.92917,34.0594,-119.9292,"34.0594, -119.9292","Santa Cruz Island, Fraser Point",2,
34.059367,-119.926588,34.0594,-119.9266,"34.0594, -119.9266","Santa Cruz Island: flat area near edge of sea bluff, Fraser Point. ISOTYPE",1,
34.05944,-119.92639,34.0594,-119.9264,"34.0594, -119.9264","Santa Cruz Island, Fraser Point",6,
34.0594,-119.92619,34.0594,-119.9262,"34.0594, -119.9262","Fraser?s Point, northwestern tip of island.",1,
34.0594,-119.92619,34.0594,-119.9262,"34.0594, -119.9262","Santa Cruz Island, Frasers Point Frasers Point; Channel Islands, Santa Cruz Island, Frasers Point",1,
34.0594,-119.925,34.0594,-119.925,"34.0594, -119.925","Santa Cruz Island: mesa at extreme West Pt, opposite Bird Rocks",1,
34.0593,-120.3333,34.0593,-120.3333,"34.0593, -120.3333",San Miguel Island: NE end of terrace on top of Prince Island,2,
34.0593,-120.3333,34.0593,-120.3333,"34.0593, -120.3333",San Miguel Island: NE end of Prince Island,1,
34.0593,-120.3333,34.0593,-120.3333,"34.0593, -120.3333","San Miguel Island: NE end of Prince Island, just E of tire and private property sign",1,
34.05927,-119.92185,34.0593,-119.9219,"34.0593, -119.9219","Santa Cruz Island: Fraser Point, W end of island, ca. 200 m W of terminus of road on N side of mid-peninsula, on a small rise.",21,
34.0593,-119.921,34.0593,-119.921,"34.0593, -119.921","Santa Cruz Island: cove on northern margin of peninsula, ca. 0.7 km E of Fraser Pt",3,
34.0593,-119.921,34.0593,-119.921,"34.0593, -119.921","0.7 km. E of Fraser Point near top edge of coastal bluff along cove northern margin of peninsula, western end of Santa Cruz Island",1,
34.0593,-119.921,34.0593,-119.921,"34.0593, -119.921","Along cove on northern margin of peninsula, ca. 0.7 km. E of Fraser Point, western end of Santa Cruz Island",1,
34.0593,-119.921,34.0593,-119.921,"34.0593, -119.921",Along cove on northern margin of peninsula; ca. 0.7 km. E of Frasier Point; western end of Santa Cruz Island,1,
34.0593,-119.921,34.0593,-119.921,"34.0593, -119.921",Santa Cruz Island: cove on northern margin of peninsula ca. 0.7 km E of Fraser Pt,1,
34.05934,-119.91645,34.0593,-119.9165,"34.0593, -119.9165","Santa Cruz Island: Forney''s Flats, W portion of island",1,
34.05934,-119.91645,34.0593,-119.9165,"34.0593, -119.9165",Santa Cruz Island: Indian kitchen midden above Forney Pt,1,
34.05934,-119.91645,34.0593,-119.9165,"34.0593, -119.9165","Santa Cruz Island: just above sand, E side of Forney''s Cove",1,
34.05934,-119.91645,34.0593,-119.9165,"34.0593, -119.9165","Santa Cruz Island: just above sand, E side of Forney's Cove",1,
34.05934,-119.91645,34.0593,-119.9165,"34.0593, -119.9165",Santa Cruz Island: N of Forney's Cove,1,
34.0593,-119.9165,34.0593,-119.9165,"34.0593, -119.9165",Santa Cruz Island: Forney''s Cove,1,
34.0593,-119.9165,34.0593,-119.9165,"34.0593, -119.9165",Santa Cruz Island: Forney's Cove,1,
34.0593,-119.9164,34.0593,-119.9164,"34.0593, -119.9164",Santa Cruz Island: above Forney's Cove,2,
34.0593,-119.9164,34.0593,-119.9164,"34.0593, -119.9164",Santa Cruz Island: Forney's Cove,2,
34.0593,-119.9164,34.0593,-119.9164,"34.0593, -119.9164",Fourney's Cove; Santa Cruz Island,1,
34.0593,-119.9164,34.0593,-119.9164,"34.0593, -119.9164","Fraser Pt.- Forney Cove, Santa Cruz Island",1,
34.0593,-119.9164,34.0593,-119.9164,"34.0593, -119.9164","Santa Cruz Island. Fraser point peninsula, just N of Forney's Cove.",1,
34.0593,-119.9164,34.0593,-119.9164,"34.0593, -119.9164",Santa Cruz Island: flats above Forney's Cove,1,
34.0593,-119.9164,34.0593,-119.9164,"34.0593, -119.9164",Santa Cruz Island: flats above Forney Cove at Fraser Point,1,
34.0593,-119.9164,34.0593,-119.9164,"34.0593, -119.9164",Santa Cruz Island: Forney's,1,
