kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,Sort by island?,Needs_review,MASTER_ELIM,Total isls,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris heterophylla,agoseris heterophylla,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris heterophylla var. heterophylla,agoseris heterophylla,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis diegoensis,agrostis pallens,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis pallens,agrostis pallens,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis semiverticillata,polypogon viridis,,,KEEP,6,,1,1,1,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis viridis,polypogon viridis,,,KEEP,6,,1,1,1,1,,1,1
,,,,,albizia distachya,paraserianthes lophantha,,,ELIM,0,,,,,,,,
,,,,,alcea rosea,alcea rosea,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,alchemilla arvensis,aphanes arvensis,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,alchemilla occidentalis,aphanes occidentalis,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium lacunosum,allium lacunosum var. lacunosum,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium lacunosum var. lacunosum,allium lacunosum var. lacunosum,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium peninsulare,allium peninsulare var. peninsulare,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,allium peninsulare var. peninsulare,allium peninsulare var. peninsulare,,,Problem - check if keep,0,,,,,,,,
,,,,,althaea rosea,alcea rosea,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis,ambrosia chamissonis,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis var. bipinnatisecta,ambrosia chamissonis,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis var. chamissonis,ambrosia chamissonis,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia intermedia,amsinckia intermedia,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia menziesii,amsinckia menziesii,,,KEEP,5,1,,1,1,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia menziesii var. intermedia,amsinckia intermedia,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia menziesii var. menziesii,amsinckia menziesii,,,KEEP,5,1,,1,1,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia spectabilis,amsinckia spectabilis var. spectabilis,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia spectabilis var. nicolai,amsinckia spectabilis var. spectabilis,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia spectabilis var. spectabilis,amsinckia spectabilis var. spectabilis,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Ericales,Myrsinaceae,anagallis arvensis,lysimachia arvensis,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Ericales,Myrsinaceae,anagallis arvensis var. coerulea,lysimachia arvensis,,,KEEP,8,1,1,1,1,1,1,1,1
,,,,,anagallis minima,anagallis minima,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,andropogon glomeratus,andropogon glomeratus var. scabriglumis,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,andropogon glomeratus var. glomeratus,andropogon glomeratus var. scabriglumis,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,andropogon glomeratus var. scabriglumis,andropogon glomeratus var. scabriglumis,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,antirrhinum nuttallianum,antirrhinum nuttallianum subsp. subsessile,,,KEEP,6,1,1,1,1,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,antirrhinum nuttallianum subsp. subsessile,antirrhinum nuttallianum subsp. subsessile,,,KEEP,6,1,1,1,1,,,1,1
,,,,,antirrhinum thompsonii,antirrhinum thompsonii,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,aphanes arvensis,aphanes arvensis,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,aphanes occidentalis,aphanes occidentalis,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon fasciculatum,aphyllon fasciculatum,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon parishii,aphyllon parishii subsp. brachylobum,,,KEEP,5,1,1,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon parishii spp. brachylobum,aphyllon parishii subsp. brachylobum,,,KEEP,5,1,1,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon parishii subsp. brachylobum,aphyllon parishii subsp. brachylobum,,,KEEP,5,1,1,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,aphyllon tuberosum,aphyllon tuberosum,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,apiastrum,apiastrum angustifolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,apiastrum angustifolium,apiastrum angustifolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,aptenia cordifolia,aptenia cordifolia,,,KEEP,2,,,,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,arabis glabra,turritis glabra,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,arabis hoffmannii,boechera hoffmannii,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,arabis maxima var. hoffmannii,boechera hoffmannii,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos bicolor,xylococcus bicolor,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos crustacea subsp. crustacea,arctostaphylos crustacea subsp. crustacea,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos crustacea subsp. insulicola,arctostaphylos crustacea subsp. insulicola,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos crustacea subsp. subcordata,arctostaphylos crustacea subsp. subcordata,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos diversifolia,comarostaphylis diversifolia subsp. planifolia,,,KEEP,4,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos glandulosa subsp. glandulosa,arctostaphylos crustacea subsp. crustacea,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos glandulosa var. campbelliae,arctostaphylos crustacea subsp. crustacea,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos insularis,arctostaphylos insularis,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos insularis f. pubescens,arctostaphylos insularis,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos insularis var. pubescens,arctostaphylos insularis,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos pechoensis var. viridissima,arctostaphylos viridissima,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos subcordata,arctostaphylos crustacea subsp. insulicola,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos tomentosa subsp. insulicola,arctostaphylos crustacea subsp. insulicola,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos tomentosa subsp. subcordata,arctostaphylos crustacea subsp. subcordata,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos viridissima,arctostaphylos viridissima,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,arenaria douglasii,minuartia douglasii,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,aristida hamulosa,aristida ternipes var. gentilis,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,aristida ternipes,aristida ternipes var. gentilis,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,aristida ternipes var. gentilis,aristida ternipes var. gentilis,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,aristida ternipes var. hamulosa,aristida ternipes var. gentilis,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,armeria maritima,armeria maritima subsp. californica,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,armeria maritima subsp. californica,armeria maritima subsp. californica,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,artemisia douglasiana,artemisia douglasiana,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,artemisia vulgaris subsp. heterophylla,artemisia douglasiana,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,arthrocnemum subterminale,arthrocnemum subterminale,,,KEEP,5,1,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,asparagus officinalis,asparagus officinalis subsp. officinalis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,asparagus officinalis subsp. officinalis,asparagus officinalis subsp. officinalis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,aster chilensis,symphyotrichum chilense,,,KEEP,2,,1,1,,,,,
,,,,,aster exilis,symphyotrichum subulatum var. ligulatum,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,aster radulinus,eurybia radulina,,,KEEP,2,,1,1,,,,,
,,,,,aster subulatus var. ligulatus,symphyotrichum subulatum var. ligulatum,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus capillipes,astragalus trichopodus var. trichopodus,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus didymocarpus,astragalus didymocarpus var. didymocarpus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus didymocarpus var. didymocarpus,astragalus didymocarpus var. didymocarpus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus didymocarpus var. dispermus,astragalus didymocarpus var. didymocarpus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus lentiginosus,astragalus lentiginosus,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus lentiginosus var. borreganus,astragalus lentiginosus,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus lentiginosus var. coachellae,astragalus lentiginosus,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus lentiginosus var. nigricalycis,astragalus lentiginosus,,,Problem - check if keep,0,,,,,,,,
,,,,,astragalus trichopodus leucopsis,astragalus trichopodus var. lonchus,,,KEEP,5,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus trichopodus subsp. leucopsis,astragalus trichopodus var. lonchus,,,KEEP,5,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus trichopodus var. lonchus,astragalus trichopodus var. lonchus,,,KEEP,5,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus trichopodus var. trichopodus,astragalus trichopodus var. trichopodus,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,athyrium filix-femina,athyrium filix-femina var. cyclosorum,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,athyrium filix-femina subsp. cyclosorum,athyrium filix-femina var. cyclosorum,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,athyrium filix-femina var. cyclosorum,athyrium filix-femina var. cyclosorum,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,athyrium filix-femina var. sitchense,athyrium filix-femina var. cyclosorum,,,KEEP,2,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex argentea,atriplex argentea var. expansa,,,KEEP,5,,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex argentea subsp. expansa,atriplex argentea var. expansa,,,KEEP,5,,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex argentea var. expansa,atriplex argentea var. expansa,,,KEEP,5,,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex argentea var. mohavensis,atriplex argentea var. expansa,,,KEEP,5,,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex breweri,atriplex lentiformis,,,KEEP,5,,,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex californica,extriplex californica,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex lentiformis,atriplex lentiformis,,,KEEP,5,,,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex lentiformis subsp. breweri,atriplex lentiformis,,,KEEP,5,,,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex lentiformis subsp. lentiformis,atriplex lentiformis,,,KEEP,5,,,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex patula subsp. hastata,atriplex prostrata,,,KEEP,4,1,,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex prostrata,atriplex prostrata,,,KEEP,4,1,,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex triangularis,atriplex prostrata,,,KEEP,4,1,,1,,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis douglasii,baccharis glutinosa,,,KEEP,5,1,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis emoryi,baccharis salicina,,,KEEP,3,,,,,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis glutinosa,baccharis glutinosa,,,KEEP,5,1,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis pilularis,baccharis pilularis subsp. consanguinea,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis pilularis subsp. consanguinea,baccharis pilularis subsp. consanguinea,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis plummerae,baccharis plummerae subsp. plummerae,,,KEEP,2,,,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis plummerae subsp. plummerae,baccharis plummerae subsp. plummerae,,,KEEP,2,,,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis salicifolia,baccharis salicifolia,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis salicifolia subsp. salicifolia,baccharis salicifolia,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis salicina,baccharis salicina,,,KEEP,3,,,,,1,,1,1
,,,,,bahiopsis laciniata,bahiopsis laciniata,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,berberis pinnata,berberis pinnata subsp. insularis,,,KEEP,3,,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,berberis pinnata subsp. insularis,berberis pinnata subsp. insularis,,,KEEP,3,,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,berula erecta,berula erecta,,,KEEP,3,1,,1,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,berula incisa,berula erecta,,,KEEP,3,1,,1,,,1,,
,,,,,beta macrocarpa,beta vulgaris subsp. vulgaris,,,ELIM,0,,,,,,,,
