scientificName,updated_syn
lotus argophyllus var. argophyllus,acmispon argophyllus var. argophyllus
acmispon argophyllus var. fremontii,acmispon argophyllus var. fremontii
acmispon argophyllus var. niveus,acmispon argophyllus var. niveus
lotus argophyllus subsp. niveus,acmispon argophyllus var. niveus
lotus argophyllus var. niveus,acmispon argophyllus var. niveus
lotus humistratus,acmispon brachycarpus
acmispon dendroideus,acmispon dendroideus
lotus dendroideus,acmispon dendroideus
acmispon dendroideus var. dendroideus,acmispon dendroideus var. dendroideus
lotus dendroideus var. dendroideus,acmispon dendroideus var. dendroideus
lotus scoparius var. dendroideus,acmispon dendroideus var. dendroideus
acmispon dendroideus var. traskiae,acmispon dendroideus var. traskiae
lotus dendroideus var. traskiae,acmispon dendroideus var. traskiae
lotus scoparius subsp. traskiae,acmispon dendroideus var. traskiae
acmispon dendroideus var. veatchii,acmispon dendroideus var. veatchii
lotus dendroideus var. veatchii,acmispon dendroideus var. veatchii
lotus scoparius var. veatchii,acmispon dendroideus var. veatchii
lotus scoparius,acmispon glaber
lotus scoparius var. scoparius,acmispon glaber var. glaber
acmispon grandiflorus,acmispon grandiflorus var. grandiflorus
lotus grandiflorus,acmispon grandiflorus var. grandiflorus
acmispon grandiflorus var. grandiflorus,acmispon grandiflorus var. grandiflorus
acmispon grandiflorus var. grandiflorus,acmispon grandiflorus var. grandiflorus
lotus grandiflorus var. grandiflorus,acmispon grandiflorus var. grandiflorus
lotus grandiflorus var. grandiflorus,acmispon grandiflorus var. grandiflorus
lotus heermannii,acmispon heermannii var. heermannii
acmispon heermannii var. heermannii,acmispon heermannii var. heermannii
acmispon heermannii var. heermannii,acmispon heermannii var. heermannii
acmispon maritimus,acmispon maritimus var. maritimus
lotus salsuginosus,acmispon maritimus var. maritimus
acmispon maritimus subsp. maritimus,acmispon maritimus var. maritimus
acmispon maritimus subsp. maritimus,acmispon maritimus var. maritimus
lotus salsuginosus var. salsuginosus,acmispon maritimus var. maritimus
lotus salsuginosus var. salsuginosus,acmispon maritimus var. maritimus
acmispon maritimus var. maritimus,acmispon micranthus
acmispon micranthus,acmispon micranthus
lotus hamatus,acmispon micranthus
acmispon parviflorus,acmispon parviflorus
lotus micranthus,acmispon parviflorus
acmispon strigosus,acmispon strigosus
lotus strigosus,acmispon strigosus
lotus strigosus var. hirtellus,acmispon strigosus
lotus strigosus var. strigosus,acmispon strigosus
lotus subpinnatus,acmispon strigosus
acmispon subpinnatus,acmispon strigosus
acmispon wrangelianus,acmispon wrangelianus
lotus wrangelianus,acmispon wrangelianus
acourtia microcephala,acourtia microcephala
perezia microcephala,acourtia microcephala
adenostoma fasciculatum,adenostoma fasciculatum
adenostoma fasciculatum var. fasciculatum,adenostoma fasciculatum
adenostoma fasciculatum var. prostratum,adenostoma fasciculatum
adiantum jordani,adiantum jordanii
aegilops cylindrica,aegilops cylindrica
aeonium haworthii,aeonium haworthii
agave americana,agave americana
agoseris apargioides,agoseris apargioides
agoseris grandiflora,agoseris grandiflora var. grandiflora
agoseris grandiflora var. grandiflora,agoseris grandiflora var. grandiflora
agoseris heterophylla,agoseris heterophylla
agoseris heterophylla,agoseris heterophylla
agoseris heterophylla var. heterophylla,agoseris heterophylla
agrostis exarata,agrostis exarata
agrostis diegoensis,agrostis pallens
agrostis pallens,agrostis pallens
agrostis stolonifera,agrostis stolonifera
ahnfeltia plicata,ahnfeltia plicata
ailanthus altissima,ailanthus altissima
aira caryophyllea,aira caryophyllea
alcea rosea,alcea rosea
althaea rosea,alcea rosea
allium haematochiton,allium haematochiton
allium lacunosum,allium lacunosum var. lacunosum
allium lacunosum var. lacunosum,allium lacunosum var. lacunosum
allium lacunosum var. lacunosum,allium lacunosum var. lacunosum
allium peninsulare,allium peninsulare var. peninsulare
allium peninsulare var. peninsulare,allium peninsulare var. peninsulare
allium peninsulare var. peninsulare,allium peninsulare var. peninsulare
allium praecox,allium praecox
allophyllum gilioides,allophyllum gilioides
allophyllum glutinosum,allophyllum glutinosum
allowissadula holosericea,allowissadula holosericea
aloe arborescens,aloe arborescens
aloe ciliaris,aloiampelos ciliaris
aloina bifrons,aloina bifrons
alopecurus myosuroides,alopecurus myosuroides
amaranthus albus,amaranthus albus
amaranthus blitoides,amaranthus blitoides
amaranthus deflexus,amaranthus deflexus
amaranthus powellii,amaranthus powellii
amaranthus spinosus,amaranthus spinosus
amblyopappus pusillus,amblyopappus pusillus
ambrosia acanthicarpa,ambrosia acanthicarpa
ambrosia chamissonis,ambrosia chamissonis
ambrosia chamissonis var. bipinnatisecta,ambrosia chamissonis
franseria chamissonis subsp. bipinnatisecta,ambrosia chamissonis
ambrosia dumosa,ambrosia dumosa
ambrosia psilostachya,ambrosia psilostachya
ammannia coccinea,ammannia coccinea
ammannia robusta,ammannia robusta
amphipappus fremontii,amphipappus fremontii
amphiroa zonata,amphiroa zonata
amsinckia intermedia,amsinckia intermedia
amsinckia menziesii var. intermedia,amsinckia intermedia
amsinckia lycopsoides,amsinckia lycopsoides
amsinckia menziesii,amsinckia menziesii
amsinckia menziesii var. menziesii,amsinckia menziesii
amsinckia retrorsa,amsinckia retrorsa
amsinckia spectabilis,amsinckia spectabilis var. spectabilis
amsinckia spectabilis var. nicolai,amsinckia spectabilis var. spectabilis
amsinckia spectabilis var. spectabilis,amsinckia spectabilis var. spectabilis
amsinckia spectabilis var. spectabilis,amsinckia spectabilis var. spectabilis
amsinckia tessellata,amsinckia tessellata
amsonia tomentosa var. tomentosa,amsonia tomentosa var. tomentosa
anagallis minima,anagallis minima
centunculus minimus,anagallis minima
anaphalis margaritacea,anaphalis margaritacea
andropogon glomeratus,andropogon glomeratus var. scabriglumis
andropogon glomeratus var. glomeratus,andropogon glomeratus var. scabriglumis
andropogon glomeratus var. scabriglumis,andropogon glomeratus var. scabriglumis
andropogon glomeratus var. scabriglumis,andropogon glomeratus var. scabriglumis
anemopsis californica,anemopsis californica
anisocladella pacifica,anisocladella pacifica
anredera cordifolia,anredera cordifolia
anthemis arvensis,anthemis arvensis
anthemis cotula,anthemis cotula
anthoceros pearsonii,anthoceros pearsonii
antirrhinum coulterianum,antirrhinum coulterianum
antirrhinum kelloggii,antirrhinum kelloggii
antirrhinum nuttallianum,antirrhinum nuttallianum subsp. subsessile
antirrhinum nuttallianum subsp. nuttallianum,antirrhinum nuttallianum subsp. nuttallianum
antirrhinum nuttallianum subsp. subsessile,antirrhinum nuttallianum subsp. subsessile
antirrhinum multiflorum,antirrhinum thompsonii
alchemilla arvensis,aphanes arvensis
aphanes arvensis,aphanes arvensis
alchemilla occidentalis,aphanes occidentalis
aphanes occidentalis,aphanes occidentalis
aphanisma blitoides,aphanisma blitoides
aphyllon fasciculatum,aphyllon fasciculatum
orobanche fasciculata,aphyllon fasciculatum
orobanche fasciculata var. franciscana,aphyllon fasciculatum
orobanche parishii,aphyllon parishii subsp. brachylobum
aphyllon parishii spp. brachylobum,aphyllon parishii subsp. brachylobum
aphyllon parishii spp. brachylobum,aphyllon parishii subsp. brachylobum
aphyllon parishii spp. brachylobum,aphyllon parishii subsp. brachylobum
orobanche parishii subsp. brachyloba,aphyllon parishii subsp. brachylobum
orobanche parishii subsp. brachyloba,aphyllon parishii subsp. brachylobum
orobanche parishii subsp. brachyloba,aphyllon parishii subsp. brachylobum
orobanche parishii var. brachylob,aphyllon parishii subsp. brachylobum
orobanche parishii var. brachylob,aphyllon parishii subsp. brachylobum
orobanche parishii var. brachylob,aphyllon parishii subsp. brachylobum
aphyllon tuberosum,aphyllon tuberosum
orobanche bulbosa,aphyllon tuberosum
orobanche uniflora,aphyllon uniflorum
orobanche uniflora subsp. occidentalis,aphyllon uniflorum
apiastrum,apiastrum angustifolium
apiastrum angustifolium,apiastrum angustifolium
apium graveolens,apium graveolens
aptenia cordifolia,aptenia cordifolia
mesembryanthemum cordifolium,aptenia cordifolia
apteria aphylla,apteria aphylla
araucaria bidwillii,araucaria bidwillii
araucaria excelsa,araucaria columnaris
araujia sericifera,araujia sericifera
arbutus menziesii,arbutus menziesii
arctium minus,arctium minus
arctostaphylos auriculata,arctostaphylos auriculata
arctostaphylos catalinae,arctostaphylos catalinae
arctostaphylos confertiflora,arctostaphylos confertiflora
arctostaphylos crustacea,arctostaphylos crustacea
arctostaphylos tomentosa subsp. crinita,arctostaphylos crustacea subsp. crinita
arctostaphylos crustacea subsp. crustacea,arctostaphylos crustacea subsp. crustacea
arctostaphylos crustacea subsp. crustacea,arctostaphylos crustacea subsp. crustacea
arctostaphylos crustacea subsp. crustacea,arctostaphylos crustacea subsp. crustacea
arctostaphylos crustacea subsp. crustacea,arctostaphylos crustacea subsp. crustacea
arctostaphylos glandulosa subsp. glandulosa,arctostaphylos crustacea subsp. crustacea
arctostaphylos glandulosa subsp. glandulosa,arctostaphylos crustacea subsp. crustacea
arctostaphylos glandulosa var. campbelliae,arctostaphylos crustacea subsp. crustacea
arctostaphylos glandulosa var. campbelliae,arctostaphylos crustacea subsp. crustacea
arctostaphylos crustacea subsp. insulicola,arctostaphylos crustacea subsp. insulicola
arctostaphylos subcordata,arctostaphylos crustacea subsp. insulicola
arctostaphylos tomentosa subsp. insulicola,arctostaphylos crustacea subsp. insulicola
arctostaphylos crustacea subsp. subcordata,arctostaphylos crustacea subsp. subcordata
arctostaphylos tomentosa subsp. subcordata,arctostaphylos crustacea subsp. subcordata
arctostaphylos glandulosa,arctostaphylos glandulosa
arctostaphylos insularis,arctostaphylos insularis
arctostaphylos insularis f. pubescens,arctostaphylos insularis
arctostaphylos insularis var. pubescens,arctostaphylos insularis
arctostaphylos nissenana,arctostaphylos nissenana
arctostaphylos pechoensis,arctostaphylos pechoensis
arctostaphylos tomentosa,arctostaphylos tomentosa
arctostaphylos tomentosa subsp. tomentosa,arctostaphylos tomentosa subsp. tomentosa
arctostaphylos pechoensis var. viridissima,arctostaphylos viridissima
arctostaphylos viridissima,arctostaphylos viridissima
aristida adscensionis,aristida adscensionis
aristida divaricata,aristida divaricata
aristida purpurea var. parishii,aristida purpurea var. parishii
aristida ternipes,aristida ternipes var. gentilis
aristida hamulosa,aristida ternipes var. gentilis
aristida hamulosa,aristida ternipes var. gentilis
aristida ternipes var. gentilis,aristida ternipes var. gentilis
aristida ternipes var. gentilis,aristida ternipes var. gentilis
aristida ternipes var. hamulosa,aristida ternipes var. gentilis
aristida ternipes var. hamulosa,aristida ternipes var. gentilis
armeria maritima,armeria maritima subsp. californica
armeria maritima subsp. californica,armeria maritima subsp. californica
armeria maritima subsp. californica,armeria maritima subsp. californica
artemisia californica,artemisia californica
artemisia douglasiana,artemisia douglasiana
artemisia vulgaris subsp. heterophylla,artemisia douglasiana
artemisia dracunculus,artemisia dracunculus
artemisia nesiotica,artemisia nesiotica
artemisia suksdorfii,artemisia suksdorfii
artemisia tridentata,artemisia tridentata
artemisia vulgaris,artemisia vulgaris
arthrocnemum subterminale,arthrocnemum subterminale
salicornia subterminalis,arthrocnemum subterminale
arundo donax,arundo donax
arundo donax var. versicolor,arundo donax f. versicolor
asclepias curassavica,asclepias curassavica
asclepias erosa,asclepias erosa
asclepias fascicularis,asclepias fascicularis
asparagopsis taxiformis,asparagopsis taxiformis
asparagus asparagoides,asparagus asparagoides
asparagus officinalis,asparagus officinalis subsp. officinalis
asparagus officinalis subsp. officinalis,asparagus officinalis subsp. officinalis
asparagus officinalis subsp. officinalis,asparagus officinalis subsp. officinalis
asphodelus fistulosus,asphodelus fistulosus
asterella californica,asterella californica
asterella palmeri,asterella palmeri
astragalus arthurii,astragalus arthurii
astragalus asymmetricus,astragalus asymmetricus
astragalus coccineus,astragalus coccineus
astragalus crotalariae,astragalus crotalariae
astragalus curtipes,astragalus curtipes
astragalus didymocarpus,astragalus didymocarpus var. didymocarpus
astragalus didymocarpus var. didymocarpus,astragalus didymocarpus var. didymocarpus
astragalus didymocarpus var. dispermus,astragalus didymocarpus var. didymocarpus
astragalus gambelianus,astragalus gambelianus
astragalus lentiginosus,astragalus lentiginosus
astragalus lentiginosus var. borreganus,astragalus lentiginosus
astragalus lentiginosus var. coachellae,astragalus lentiginosus
astragalus lentiginosus var. nigricalycis,astragalus lentiginosus
astragalus leucolobus,astragalus leucolobus
astragalus magdalenae var. peirsonii,astragalus magdalenae var. peirsonii
astragalus miguelensis,astragalus miguelensis
astragalus molybdenus,astragalus molybdenus
astragalus nevinii,astragalus nevinii
astragalus nutans,astragalus nutans
astragalus nuttallianus,astragalus nuttallianus
astragalus nuttallii,astragalus nuttallii
astragalus palmeri,astragalus palmeri
astragalus pomonensis,astragalus pomonensis
astragalus traskiae,astragalus traskiae
astragalus trichopodus,astragalus trichopodus
astragalus trichopodus leucopsis,astragalus trichopodus var. lonchus
astragalus trichopodus subsp. leucopsis,astragalus trichopodus var. lonchus
astragalus trichopodus var. lonchus,astragalus trichopodus var. lonchus
astragalus trichopodus var. phoxus,astragalus trichopodus var. phoxus
astragalus capillipes,astragalus trichopodus var. trichopodus
astragalus trichopodus var. trichopodus,astragalus trichopodus var. trichopodus
athysanus pusillus,athysanus pusillus
atriplex argentea,atriplex argentea var. expansa
atriplex argentea subsp. expansa,atriplex argentea var. expansa
atriplex argentea subsp. expansa,atriplex argentea var. expansa
atriplex argentea var. expansa,atriplex argentea var. expansa
atriplex argentea var. expansa,atriplex argentea var. expansa
atriplex argentea var. mohavensis,atriplex argentea var. expansa
atriplex argentea var. mohavensis,atriplex argentea var. expansa
atriplex canescens,atriplex canescens
atriplex coulteri,atriplex coulteri
atriplex subspicata,atriplex dioica
atriplex breweri,atriplex lentiformis
atriplex lentiformis,atriplex lentiformis
atriplex lentiformis subsp. breweri,atriplex lentiformis
atriplex lentiformis subsp. lentiformis,atriplex lentiformis
atriplex leucophylla,atriplex leucophylla
atriplex pacifica,atriplex pacifica
atriplex parishii,atriplex parishii
atriplex polycarpa,atriplex polycarpa
atriplex patula subsp. hastata,atriplex prostrata
atriplex prostrata,atriplex prostrata
atriplex triangularis,atriplex prostrata
atriplex rosea,atriplex rosea
atriplex semibaccata,atriplex semibaccata
atriplex serenana,atriplex serenana
atriplex serenana var. davidsonii,atriplex serenana var. davidsonii
atriplex serenana var. serenana,atriplex serenana var. serenana
atriplex suberecta,atriplex suberecta
atriplex watsonii,atriplex watsonii
avena barbata,avena barbata
avena fatua,avena fatua
avena sativa,avena sativa
avena sterilis,avena sterilis
baccharis douglasii,baccharis glutinosa
baccharis glutinosa,baccharis glutinosa
baccharis pilularis,baccharis pilularis subsp. consanguinea
baccharis pilularis subsp. consanguinea,baccharis pilularis subsp. consanguinea
baccharis pilularis subsp. consanguinea,baccharis pilularis subsp. consanguinea
baccharis pilularis subsp. pilularis,baccharis pilularis subsp. pilularis
baccharis plummerae,baccharis plummerae subsp. plummerae
baccharis plummerae subsp. plummerae,baccharis plummerae subsp. plummerae
baccharis plummerae subsp. plummerae,baccharis plummerae subsp. plummerae
baccharis salicifolia subsp. salicifolia,baccharis salicifolia
baccharis salicifolia,baccharis salicifolia
baccharis emoryi,baccharis salicina
baccharis salicina,baccharis salicina
baccharis sarothroides,baccharis sarothroides
batis maritima,batis maritima
beaucarnea recurvata,beaucarnea recurvata
berberis pinnata,berberis pinnata subsp. insularis
mahonia pinnata,berberis pinnata subsp. insularis
berberis pinnata subsp. insularis,berberis pinnata subsp. insularis
mahonia pinnata subsp. insularis,berberis pinnata subsp. insularis
mahonia pinnata subsp. pinnata,berberis pinnata subsp. pinnata
bergerocactus emoryi,bergerocactus emoryi
berula erecta,berula erecta
berula incisa,berula erecta
besa papillaeformis,besa papillaeformis
beta vulgaris,beta vulgaris subsp. maritima
beta maritima,beta vulgaris subsp. maritima
beta vulgaris subsp. maritima,beta vulgaris subsp. maritima
beta macrocarpa,beta vulgaris subsp. vulgaris
beta vulgaris subsp. macrocarpa,beta vulgaris subsp. vulgaris
beta vulgaris subsp. vulgaris,beta vulgaris subsp. vulgaris
billardiera heterophylla,billardiera heterophylla
binghamia californica,binghamia californica
bituminaria bituminosa,bituminaria bituminosa
blennosperma nanum,blennosperma nanum var. nanum
blennosperma nanum var. nanum,blennosperma nanum var. nanum
bloomeria crocea,bloomeria crocea var. crocea
bloomeria aurea,bloomeria crocea var. aurea
bloomeria crocea var. aurea,bloomeria crocea var. aurea
bloomeria crocea var. crocea,bloomeria crocea var. crocea
bloomeria crocea var. crocea,bloomeria crocea var. crocea
arabis hoffmannii,boechera hoffmannii
arabis maxima var. hoffmannii,boechera hoffmannii
boechera hoffmannii,boechera hoffmannii
bolboschoenus maritimus,bolboschoenus maritimus subsp. paludosus
schoenoplectus maritimus,bolboschoenus maritimus subsp. paludosus
scirpus maritimus,bolboschoenus maritimus subsp. paludosus
bolboschoenus maritimus subsp. paludosus,bolboschoenus maritimus subsp. paludosus
bolboschoenus maritimus subsp. paludosus,bolboschoenus maritimus subsp. paludosus
bolboschoenus robustus,bolboschoenus robustus
bonnemaisonia hamifera,bonnemaisonia hamifera
bossiella chiloensis,bossiella chiloensis
bossiella orbigniana,bossiella orbigniana
bossiella pachyclada,bossiella pachyclada
bothriochloa barbinodis,bothriochloa barbinodis
bothriochloa laguroides subsp. torreyana,bothriochloa laguroides var. torreyana
botryocladia pseudodichotoma,botryocladia pseudodichotoma
botryoglossum farlowianum,botryoglossum farlowianum
botryoglossum ruprechtianum,botryoglossum ruprechtianum
bowlesia incana,bowlesia incana
brachypodium distachyon,brachypodium distachyon
branchioglossum undulatum,branchioglossum undulatum
brassica juncea,brassica juncea
brassica nigra,brassica nigra
brassica rapa,brassica rapa
brassica rapa,brassica rapa
brassica rapa var. rapa,brassica rapa
brassica tournefortii,brassica tournefortii
brickellia californica,brickellia californica
brickellia incana,brickellia incana
briza maxima,briza maxima
briza minor,briza minor
brodiaea coronaria subsp. coronaria,brodiaea coronaria
brodiaea jolonensis,brodiaea jolonensis
brodiaea kinkiensis,brodiaea kinkiensis
brodiaea minor,brodiaea minor
bromus arizonicus,bromus arizonicus
bromus berteroanus,bromus berteroanus
bromus trinii,bromus berteroanus
bromus carinatus,bromus sitchensis var. carinatus
bromus carinatus var. carinatus,bromus sitchensis var. carinatus
bromus carinatus var. marginatus,bromus sitchensis var. carinatus
bromus marginatus,bromus sitchensis var. carinatus
bromus carinatus var. maritimus,bromus sitchensis var. carinatus
bromus catharticus,bromus catharticus
bromus catharticus,bromus catharticus
bromus catharticus,bromus catharticus
bromus willdenowii,bromus catharticus
bromus willdenowii,bromus catharticus
bromus willdenowii,bromus catharticus
bromus catharticus var. catharticus,bromus catharticus
bromus stamineus,bromus catharticus
bromus diandrus,bromus diandrus
bromus diandrus,bromus diandrus
bromus diandrus subsp. rigidus,bromus diandrus
bromus hordeaceus,bromus hordeaceus
bromus hordeaceus subsp. divaricatus,bromus hordeaceus
bromus hordeaceus subsp. molliformis,bromus hordeaceus
bromus molliformis,bromus hordeaceus
bromus mollis,bromus hordeaceus
bromus laevipes,bromus laevipes
bromus madritensis,bromus rubens
bromus madritensis subsp. rubens,bromus rubens
bromus maritimus,bromus maritimus
bromus pseudolaevipes,bromus pseudolaevipes
bromus rubens,bromus rubens
bromus rubens,bromus rubens
bromus sitchensis,bromus sitchensis var. marginatus
bromus sitchensis var. marginatus,bromus sitchensis var. marginatus
bromus sitchensis var. marginatus,bromus sitchensis var. marginatus
bromus sterilis,bromus sterilis
bromus tectorum,bromus tectorum
bryopsis corticulans,bryopsis corticulans
bryum gemmiparum,bryum gemmiparum
butia capitata,butia capitata
cakile edentula,cakile edentula
cakile edentula,cakile edentula
cakile edentula subsp. edentula,cakile edentula
cakile edentula var. edentula,cakile edentula
cakile maritima,cakile maritima subsp. maritima
cakile maritima subsp. maritima,cakile maritima subsp. maritima
calamagrostis rubescens,calamagrostis rubescens
calandrinia breweri,calandrinia breweri
calandrinia ciliata,calandrinia menziesii
calandrinia ciliata var. menziesii,calandrinia menziesii
calendula arvensis,calendula arvensis
calendula officinalis,calendula officinalis
california macrophylla,california macrophylla
erodium macrophyllum,california macrophylla
calliarthron cheilosporioides,calliarthron cheilosporioides
calliarthron tuberculosum,calliarthron tuberculosum
callithamnion pikeanum,callithamnion pikeanum
callithamnion rupicolum,callithamnion rupicolum
callitriche marginata,callitriche marginata
callitriche stagnalis,callitriche stagnalis
cupressus guadalupensis,callitropsis guadalupensis
cupressus lusitanica,callitropsis lusitanica
callophyllis firma,callophyllis firma
callophyllis flabellulata,callophyllis flabellulata
callophyllis violacea,callophyllis violacea
calocedrus decurrens,calocedrus decurrens
calochortus albus,calochortus albus
calochortus albus,calochortus albus
calochortus albus var. rubellus,calochortus albus
calochortus catalinae,calochortus catalinae
calochortus luteus,calochortus luteus
calochortus splendens,calochortus splendens
calochortus venustus,calochortus venustus
calyptridium monandrum,calyptridium monandrum
cistanthe monandra,calyptridium monandrum
calystegia macrostegia,calystegia macrostegia
calystegia macrostegia subsp. amplissima,calystegia macrostegia subsp. amplissima
calystegia macrostegia subsp. arida,calystegia macrostegia subsp. amplissima
calystegia macrostegia subsp. cyclostegia,calystegia macrostegia subsp. cyclostegia
calystegia macrostegia subsp. intermedia,calystegia macrostegia subsp. intermedia
calystegia macrostegia subsp. macrostegia,calystegia macrostegia subsp. macrostegia
calystegia malacophylla,calystegia malacophylla
calystegia occidentalis,calystegia occidentalis
calystegia soldanella,calystegia soldanella
camissonia strigulosa,camissonia strigulosa
camissonia bistorta,camissoniopsis bistorta
camissonia cheiranthifolia,camissoniopsis cheiranthifolia
camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia
camissonia cheiranthifolia subsp. cheiranthifolia,camissoniopsis cheiranthifolia subsp. cheiranthifolia
camissoniopsis cheiranthifolia subsp. cheiranthifolia,camissoniopsis cheiranthifolia subsp. cheiranthifolia
camissonia cheiranthifolia subsp. suffruticosa,camissoniopsis cheiranthifolia subsp. suffruticosa
camissoniopsis cheiranthifolia subsp. suffruticosa,camissoniopsis cheiranthifolia subsp. suffruticosa
camissoniopsis guadalupensis,camissoniopsis guadalupensis subsp. clementina
camissonia guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina
camissonia guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina
camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina
camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina
oenothera guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina
oenothera guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina
camissonia hirtella,camissoniopsis hirtella
camissoniopsis hirtella,camissoniopsis hirtella
camissonia ignota,camissoniopsis ignota
camissoniopsis ignota,camissoniopsis ignota
camissonia intermedia,camissoniopsis intermedia
camissoniopsis intermedia,camissoniopsis intermedia
camissoniopsis lewisii,camissoniopsis lewisii
camissonia micrantha,camissoniopsis micrantha
camissoniopsis micrantha,camissoniopsis micrantha
oenothera micrantha,camissoniopsis micrantha
camissonia robusta,camissoniopsis robusta
camissoniopsis robusta,camissoniopsis robusta
cannabis sativa,cannabis sativa
capsella bursa-pastoris,capsella bursa-pastoris
cardamine californica,cardamine californica
cardamine californica var. californica,cardamine californica
cardamine californica var. integrifolia,cardamine californica
dentaria californica,cardamine californica
dentaria integrifolia var. californica,cardamine californica
cardamine oligosperma,cardamine oligosperma
cardionema ramosissimum,cardionema ramosissimum
carduus pycnocephalus,carduus pycnocephalus subsp. pycnocephalus
carex aquatilis var. dives,carex aquatilis var. dives
carex barbarae,carex barbarae
carex globosa,carex globosa
carex gracilior,carex gracilior
carex harfordii,carex harfordii
carex pansa,carex pansa
carex praegracilis,carex praegracilis
carex schottii,carex schottii
carex senta,carex senta
carex subbracteata,carex subbracteata
carex subfusca,carex subfusca
carex triquetra,carex triquetra
carex tumulicola,carex tumulicola
carpobrotus aequilaterus,carpobrotus chilensis
carpobrotus chilensis,carpobrotus chilensis
mesembryanthemum chilense,carpobrotus chilensis
carpobrotus edulis,carpobrotus edulis
carpopeltis bushiae,carpopeltis bushiae
castilleja affinis,castilleja affinis subsp. affinis
castilleja affinis var. affinis,castilleja affinis subsp. affinis
castilleja affinis var. affinis,castilleja affinis subsp. affinis
castilleja affinis subsp. affinis,castilleja affinis subsp. affinis
castilleja affinis subsp. affinis,castilleja affinis subsp. affinis
castilleja affinis subsp. insularis,castilleja affinis subsp. affinis
castilleja affinis subsp. insularis,castilleja affinis subsp. affinis
castilleja attenuata,castilleja affinis subsp. affinis
castilleja attenuata,castilleja affinis subsp. affinis
castilleja densiflora,castilleja densiflora
castilleja densiflora subsp. densiflora,castilleja densiflora
orthocarpus densiflorus,castilleja densiflora
orthocarpus densiflorus var. densiflorus,castilleja densiflora
castilleja densiflora subsp. gracilis,castilleja densiflora
orthocarpus densiflorus var. gracilis,castilleja densiflora
castilleja exserta,castilleja exserta subsp. exserta
castilleja exserta subsp. exserta,castilleja exserta subsp. exserta
castilleja exserta subsp. exserta,castilleja exserta subsp. exserta
orthocarpus purpurascens,castilleja exserta subsp. exserta
orthocarpus purpurascens,castilleja exserta subsp. exserta
orthocarpus purpurascens var. pallidus,castilleja exserta subsp. exserta
orthocarpus purpurascens var. pallidus,castilleja exserta subsp. exserta
orthocarpus purpurascens var. purpurascens,castilleja exserta subsp. exserta
orthocarpus purpurascens var. purpurascens,castilleja exserta subsp. exserta
castilleja foliolosa,castilleja foliolosa
castilleja grisea,castilleja grisea
castilleja hololeuca,castilleja hololeuca
castilleja lanata subsp. hololeuca,castilleja hololeuca
castilleja lanata,castilleja lanata
