Family,OG_spname,Eliminate,Updated_name
Crassulaceae,Dudleya lanceolata,1,
Crassulaceae,Dudleya nesiotica,,
Crassulaceae,Dudleya traskiae,,
Crassulaceae,Dudleya virens,,
Crassulaceae,Dudleya virens subsp. hassei,,
Crassulaceae,Dudleya virens subsp. insularis,,
Crassulaceae,Dudleya virens subsp. virens,,
Chenopodiaceae,Dysphania ambrosioides,,
Chenopodiaceae,Dysphania multifida,,
Chenopodiaceae,Dysphania pumilio,,
Poaceae,Echinochloa crus-galli,,
Cactaceae,Echinopsis candicans,,
Cactaceae,Echinopsis schickendantzii,1,
Boraginaceae,Echium candicans,,
Poaceae,Ehrharta calycina,,
Poaceae,Ehrharta erecta,,
Pontederiaceae,Eichhornia crassipes,1,
Elatinaceae,Elatine californica,,
Cyperaceae,Eleocharis erythropoda,,Eleocharis macrostachya
Cyperaceae,Eleocharis macrostachya,,
Cyperaceae,Eleocharis palustris,1,
Poaceae,Elymus glaucus,,Elymus glaucus subsp. glaucus
Poaceae,Elymus glaucus subsp. glaucus,,
Poaceae,Elymus multisetus,,
Poaceae,Elymus repens,,
Poaceae,Elymus trachycaulus,1,
Poaceae,Elymus triticoides,,
Poaceae,Elymus x gouldii,1,
Hydrophyllaceae,Emmenanthe penduliflora,,Emmenanthe penduliflora var. penduliflora
Hydrophyllaceae,Emmenanthe penduliflora var. penduliflora,,
Asteraceae,Encelia californica,,
Onagraceae,Epilobium brachycarpum,,
Onagraceae,Epilobium canum,,
Onagraceae,Epilobium canum subsp. angustifolium,1,
Onagraceae,Epilobium canum subsp. canum,,
Onagraceae,Epilobium canum subsp. garrettii,1,
Onagraceae,Epilobium ciliatum,,Epilobium ciliatum subsp. ciliatum
Onagraceae,Epilobium ciliatum subsp. ciliatum,,
Orchidaceae,Epipactis gigantea,,
Equisetaceae,Equisetum arvense,1,
Equisetaceae,Equisetum hyemale,,Equisetum hyemale subsp. affine
Equisetaceae,Equisetum hyemale subsp. affine,,
Equisetaceae,Equisetum laevigatum,,
Equisetaceae,Equisetum telmateia,,
Equisetaceae,Equisetum telmateia subsp. braunii,,
Equisetaceae,Equisetum telmateia subsp. telmateia,1,
Malvaceae,Eremalche exilis,,
Caryophyllaceae,Eremogone congesta,1,
Polemoniaceae,Eriastrum filifolium,,
Asteraceae,Ericameria ericoides,,
Asteraceae,Ericameria nauseosa var. hololeuca,1,
Asteraceae,Ericameria palmeri,1,
Asteraceae,Ericameria palmeri var. pachylepis,,
Asteraceae,Ericameria parishii var. parishii,1,
Asteraceae,Erigeron bonariensis,,
Asteraceae,Erigeron canadensis,,
Asteraceae,Erigeron concinnus var. concinnus,1,
Asteraceae,Erigeron foliosus,,Erigeron foliosus var. foliosus
Asteraceae,Erigeron foliosus var. foliosus,,
Asteraceae,Erigeron glaucus,,
Asteraceae,Erigeron sanctarum,,
Asteraceae,Erigeron sumatrensis ,,
Namaceae,Eriodictyon parryi,1,
Namaceae,Eriodictyon traskiae,,
Namaceae,Eriodictyon traskiae var. traskiae,,Eriodictyon traskiae subsp. traskiae
Hydrophyllaceae,Eriodictyon trichocalyx var. trichocalyx,1,
Polygonaceae,Eriogonum angulosum,1,
Polygonaceae,Eriogonum arborescens,,
Polygonaceae,Eriogonum cinereum,,
Polygonaceae,Eriogonum fasciculatum,,
Polygonaceae,Eriogonum fasciculatum subsp. fasciculatum,,Eriogonum fasciculatum var. fasciculatum
Polygonaceae,Eriogonum fasciculatum var. fasciculatum,,
Polygonaceae,Eriogonum fasciculatum var. foliolosum,1,
Polygonaceae,Eriogonum fasciculatum var. polifolium,,
Polygonaceae,Eriogonum giganteum,,
Polygonaceae,Eriogonum giganteum var. compactum,,
Polygonaceae,Eriogonum giganteum var. formosum,,
Polygonaceae,Eriogonum giganteum var. giganteum,,
Polygonaceae,Eriogonum gracillimum,1,
Polygonaceae,Eriogonum grande,,
Polygonaceae,Eriogonum grande var. grande,,
Polygonaceae,Eriogonum grande var. rubescens,,
Polygonaceae,Eriogonum grande var. timorum,,
Polygonaceae,Eriogonum latifolium,1,
Polygonaceae,Eriogonum X blissianum,1,
Asteraceae,Eriophyllum confertiflorum,,Eriophyllum confertiflorum var. confertiflorum
Asteraceae,Eriophyllum confertiflorum var. confertiflorum,,
Asteraceae,Eriophyllum latilobum,1,
Asteraceae,Eriophyllum staechadifolium,,
Geraniaceae,Erodium botrys,,
Geraniaceae,Erodium brachycarpum,,
Geraniaceae,Erodium cicutarium,,
Geraniaceae,Erodium moschatum,,
Geraniaceae,Erodium texanum,,
Brassicaceae,Erysimum ammophilum,,
Brassicaceae,Erysimum capitatum,1,
Brassicaceae,Erysimum cheiri,,
Brassicaceae,Erysimum insulare,,
Brassicaceae,Erysimum suffrutescens,1,
Papaveraceae,Eschscholzia caespitosa,,
Papaveraceae,Eschscholzia californica,,
Papaveraceae,Eschscholzia californica subsp. californica,,Eschscholzia californica
Papaveraceae,Eschscholzia californica subsp. Californica,,Eschscholzia californica
Papaveraceae,Eschscholzia californica subsp. maritima,,Eschscholzia californica
Papaveraceae,Eschscholzia ramosa,,
Cactaceae,Escobaria sneedi,1,
Myrtaceae,Eucalyptus amplifolia,1,
Myrtaceae,Eucalyptus camaldulensis,,
Myrtaceae,Eucalyptus cladocalyx,,
Myrtaceae,Eucalyptus globulus,,
Myrtaceae,Eucalyptus globulus subsp. globulus,,Eucalyptus globulus
Myrtaceae,Eucalyptus polyanthemos,,
Myrtaceae,Eucalyptus rudis,1,
Myrtaceae,Eucalyptus sideroxylon,,
Myrtaceae,Eucalyptus tereticornis,,
Hydrophyllaceae,Eucrypta chrysanthemifolia,,
Hydrophyllaceae,Eucrypta chrysanthemifolia var. bipinnatifida,1,
Hydrophyllaceae,Eucrypta chrysanthemifolia var. chrysanthemifolia,,
Onagraceae,Eulobus californicus,,
Euphorbiaceae,Euphorbia abramsiana,1,
Euphorbiaceae,Euphorbia canariensis,1,
Euphorbiaceae,Euphorbia caput-medusae,1,
Euphorbiaceae,Euphorbia crenulata,,
Euphorbiaceae,Euphorbia dentosa,1,
Euphorbiaceae,Euphorbia grandicornis,1,
Euphorbiaceae,Euphorbia lathyris,1,
Euphorbiaceae,Euphorbia maculata,,
Euphorbiaceae,Euphorbia mammillaris,1,
Euphorbiaceae,Euphorbia misella,1,
Euphorbiaceae,Euphorbia misera,,
Euphorbiaceae,Euphorbia peplus,,
Euphorbiaceae,Euphorbia pulcherrima,1,
Euphorbiaceae,Euphorbia regis-jubae,1,
Euphorbiaceae,Euphorbia serpens,,
Euphorbiaceae,Euphorbia serrata,1,
Euphorbiaceae,Euphorbia spathulata,,
Euphorbiaceae,Euphorbia terracina,1,
Euphorbiaceae,Euphorbia trigona,1,
Euphorbiaceae,Euphorbia virgata,1,
Asteraceae,Eurybia radulina,,
Asteraceae,Euthamia occidentalis,,
Chenopodiaceae,Extriplex californica,,
Cactaceae,Ferocactus diguetii,1,
Cactaceae,Ferocactus robustus,1,
Poaceae,Festuca arundinacea,,
Poaceae,Festuca bromoides,,
Poaceae,Festuca californica subsp. parishii,1,
Poaceae,Festuca microstachys,,
Poaceae,Festuca myuros,,
Poaceae,Festuca octoflora,,
Poaceae,Festuca perennis,,
Poaceae,Festuca rigida,1,
Poaceae,Festuca temulenta,,
Moraceae,Ficus carica,,
Moraceae,Ficus macrophylla,1,
Apiaceae,Foeniculum ,, Foeniculum vulgare
Apiaceae,Foeniculum vulgare,,
Rhamnaceae,Frangula californica subsp. californica,,
Rhamnaceae,Frangula californica subsp. tomentella,1,
Rhamnaceae,Frangula californica subsp. Tomentella,1,
Frankeniaceae,Frankenia salina,,
Oleaceae,Fraxinus dipetala,1,
Oleaceae,Fraxinus uhdei,,
Apocynaceae,Funastrum hartwegii,1,
Asteraceae,Gaillardia pulchella,1,
Rubiaceae,Galium angustifolium,,
Rubiaceae,Galium angustifolium subsp. angustifolium,,
Rubiaceae,Galium angustifolium subsp. foliosum,,
Rubiaceae,Galium angustifolium subsp. onycense,1,
Rubiaceae,Galium aparine,,
Rubiaceae,Galium buxifolium,,
Rubiaceae,Galium californicum,,
Rubiaceae,Galium californicum subsp. flaccidum,,
Rubiaceae,Galium californicum subsp. miguelense,,
Rubiaceae,Galium catalinense,,
Rubiaceae,Galium catalinense subsp. acrispum,,
Rubiaceae,Galium catalinense subsp. catalinense,,
Rubiaceae,Galium murale,,
Rubiaceae,Galium nuttallii,,
Rubiaceae,Galium nuttallii subsp. insulare,,
Rubiaceae,Galium parisiense,,
Rubiaceae,Galium porrigens,,Galium porrigens var. porrigens
Rubiaceae,Galium porrigens var. porrigens,,
Plantaginaceae,Gambelia speciosa,,
Asteraceae,Gamochaeta coarctata,1,
Asteraceae,Gamochaeta pensylvanica,1,
Asteraceae,Gamochaeta purpurea,1,
Asteraceae,Gamochaeta ustulata,,
Garryaceae,Garrya elliptica,1,
Garryaceae,Garrya veatchii,,
Poaceae,Gastridium phleoides,,
Onagraceae,Gayophytum diffusum subsp. parviflorum,1,
Asteraceae,Gazania linearis,1,
Asteraceae,Gazania rigens,1,
Fabaceae,Genista canariensis,1,
Fabaceae,Genista linifolia,,
Fabaceae,Genista maderensis,1,
Fabaceae,Genista monspessulana,,
Geraniaceae,Geranium californicum,1,
Geraniaceae,Geranium carolinianum,,
Geraniaceae,Geranium dissectum,,
Geraniaceae,Geranium molle,,
Geraniaceae,Geranium pusillum,,
Polemoniaceae,Gilia australis ,1,
Campanulaceae,Githopsis diffusa subsp. diffusa,,
Verbenaceae,Glandularia aristigera,1,
Asteraceae,Glebionis coronaria,,
Asteraceae,Glebionis coronarium,1,
Asteraceae,Gnaphalium palustre,,
Asteraceae,Grindelia hirsutula,,
Poaceae,Hainardia cylindrica,,
Asteraceae,Haplopappus squarrosus var. grindelioides,,Hazardia squarrosa var. grindelioides
Boraginaceae,Harpagonella palmeri,,
Asteraceae,Hazardia cana,,
Asteraceae,Hazardia detonsa,,
Asteraceae,Hazardia squarrosa,,
Asteraceae,Hazardia squarrosa var. grindelioides,,
Asteraceae,Hazardia squarrosa var. squarrosa,1,
Araliaceae,Hedera canariensis,1,
Araliaceae,Hedera helix,1,
Asteraceae,Hedypnois rhagadioloides,1,
Asteraceae,Helenium puberulum,,
Cistaceae,Helianthemum greenei,,Crocanthemum greenei
Cistaceae,Helianthemum scoparium,,Crocanthemum scoparium
Asteraceae,Helianthus annuus,,
Heliotropaceae,Heliotropium curassavicum,,Heliotropium curassavicum var. oculatum
Heliotropaceae,Heliotropium curassavicum var. oculatum,,
Asteraceae,Helminthotheca echioides,,
Asteraceae,Hemizonia congesta subsp. Clevelandii,1,
Caryophyllaceae,Herniaria hirsuta,,
Caryophyllaceae,Herniaria hirsuta var. cinerea,,
Caryophyllaceae,Herniaria hirsuta var. hirsuta,1,
Asparagaceae,Hesperaloe parviflora,1,
Asteraceae,Hesperevax sparsiflora,,
Asteraceae,Hesperevax sparsiflora var. sparsiflora,1,
Urticaceae,Hesperocnide tenella,,
Cupressaceae,Hesperocyparis macrocarpa,,
Linaceae,Hesperolinon micranthum,,
Rosaceae,Heteromeles arbutifolia,,
Asteraceae,Heterotheca grandiflora,,
Saxifragaceae,Heuchera abramsii,1,
Saxifragaceae,Heuchera maxima,,
Saxifragaceae,Heuchera pilosissima,1,
Malvaceae,Hibiscus rosa-sinensis,1,
Asteraceae,Hieracium argutum,,
Brassicaceae,Hirschfeldia incana,,
Onagraceae,Holmgrenia andina,1,
Rosaceae,Holodiscus discolor,,Holodiscus discolor var. discolor
Rosaceae,Holodiscus discolor var. discolor,,
Poaceae,Hordeum brachyantherum,,
Poaceae,Hordeum brachyantherum subsp. brachyantherum,1,
Poaceae,Hordeum brachyantherum subsp. californicum,,
Poaceae,Hordeum depressum,,
Poaceae,Hordeum intercedens,,
Poaceae,Hordeum marinum,,
Poaceae,Hordeum marinum subsp. gussoneanum,,
Poaceae,Hordeum murinum,,
Poaceae,Hordeum murinum subsp. glaucum,,
Poaceae,Hordeum murinum subsp. leporinum,,
Poaceae,Hordeum murinum subsp. murinum,,
Poaceae,Hordeum pusillum,,Hordeum intercedens
Poaceae,Hordeum vulgare,,
Rosaceae,Horkelia rydbergii,1,
Brassicaceae,Hornungia procumbens,,
Asteraceae,Hydepnois rhagadioloides,,Hedypnois rhagadioloides
Hipericaceae,Hypericum androsaemum,1,
Asteraceae,Hypochaeris glabra,,
Asteraceae,Hypochaeris radicata,,
Poaceae,Imperata brevifolia,1,
Amaryllidaceae,Ipheion uniflorum,1,
Convolvulaceae,Ipomoea cairica,1,
Asteraceae,Isocoma menziesii,,
Asteraceae,Isocoma menziesii var. decumbens,,
Asteraceae,Isocoma menziesii var. menziesii,,
Asteraceae,Isocoma menziesii var. sedoides,,
Asteraceae,Isocoma menziesii var. vernonioides,,
Asteraceae,Isocoma veneta,1,
Isoetaceae,Isoetes orcuttii,,
Cyperaceae,Isolepis cernua,,
Bignoniaceae,Jacaranda mimosifolia,1,
Asteraceae,Jaumea carnosa,,
Saxifragaceae,Jepsonia malvifolia,,
Saxifragaceae,Jepsonia parryi,1,
Juglandaceae,Juglans californica,,
Juglandaceae,Juglans regia,,
Juncaceae,Juncus acutus,,Juncus acutus subsp. leopoldii
Juncaceae,Juncus acutus subsp. leopoldii,,
Juncaceae,Juncus arcticus,1,
Juncaceae,Juncus balticus,,
Juncaceae,Juncus balticus subsp. ater,,
Juncaceae,Juncus balticus subsp. littoralis,,
Juncaceae,Juncus balticus subsp. Littoralis,,Juncus balticus subsp. ater
Juncaceae,Juncus bufonius,,
Juncaceae,Juncus bufonius var. bufonius,,
Juncaceae,Juncus bufonius var. congestus,1,
Juncaceae,Juncus bufonius var. occidentalis,1,
Juncaceae,Juncus effusus,,
Juncaceae,Juncus effusus subsp. austrocalifornicus,1,
Juncaceae,Juncus effusus subsp. pacificus,,
Juncaceae,Juncus hyridus,1,
Juncaceae,Juncus lesueurii,1,
Juncaceae,Juncus mexicanus,,
Juncaceae,Juncus oxymeris,1,
Juncaceae,Juncus patens,,
Juncaceae,Juncus phaeocephalus,,
Juncaceae,Juncus phaeocephalus var. phaeocephalus,,
Juncaceae,Juncus ranarius,1,
Juncaceae,Juncus textilis,,
Juncaceae,Juncus xiphioides,,
Acanthaceae,Justicia californica,1,
Crassulaceae,Kalanchoe laciniata,1,
Plantaginaceae,Keckiella cordifolia,,
Plantaginaceae,Keckiella ternata subsp. septentrionalis,1,
Plantaginaceae,Kickxia elatine,,
Poaceae,Koeleria gerardii,,
Poaceae,Koeleria macrantha,,
Poaceae,Koeleria pyramidata,,Koeleria macrantha
Orobanchaceae,Kopsiopsis strobilacea,,
Asteraceae,Lactuca saligna,,
Asteraceae,Lactuca serriola,,
Asteraceae,Laennecia coulteri,,
Malvaceae,Lagunaria patersonii,1,
Poaceae,Lamarckia aurea,,
Lamiaceae,Lamium amplexicaule,,
Polygonaceae,Lastarriaea coriacea,,
Asteraceae,Lasthenia californica,,Lasthenia californica subsp. californica
Asteraceae,Lasthenia californica subsp. californica,,
Asteraceae,Lasthenia californica subsp. macrantha,1,
Asteraceae,Lasthenia glabrata,,
Asteraceae,Lasthenia glabrata subsp. coulteri,,
Asteraceae,Lasthenia glabrata subsp. glabrata,1,
Asteraceae,Lasthenia gracilis,,
Fabaceae,Lathyrus odoratus,,
Fabaceae,Lathyrus palustris,1,
Fabaceae,Lathyrus tingitanus,,
Fabaceae,Lathyrus vestitus,,
Fabaceae,Lathyrus vestitus var. alefeldii,,
Fabaceae,Lathyrus vestitus var. vestitus,,
Asteraceae,Layia glandulosa,1,
Asteraceae,Layia platyglossa,,
Araceae,Lemna gibba,1,
Lamiaceae,Lepechinia calycina,1,
Lamiaceae,Lepechinia cardiophylla,1,
Lamiaceae,Lepechinia fragrans,,
Brassicaceae,Lepidium didymum,,
Brassicaceae,Lepidium draba,,
Brassicaceae,Lepidium lasiocarpum,,Lepidium lasiocarpum subsp. lasiocarpum
Brassicaceae,Lepidium lasiocarpum subsp. wrightii,,Lepidium lasiocarpum subsp. lasiocarpum
Brassicaceae,Lepidium lasiocarpum var. lasiocarpum,,Lepidium lasiocarpum subsp. lasiocarpum
Brassicaceae,Lepidium latipes,,
Brassicaceae,Lepidium nitidum,,
Brassicaceae,Lepidium oblongum,,
Brassicaceae,Lepidium strictum,,
Brassicaceae,Lepidium virginicum,,
Brassicaceae,Lepidium virginicum var. menziesii,,Lepidium virginicum subsp. menziesii
Asteraceae,Lepidospartum squamatum,,
Poaceae,Leptochloa fusca subsp. uninervia,,
Polemoniaceae,Leptosiphon androsaceus,1,
Polemoniaceae,Leptosiphon bicolor,,
Polemoniaceae,Leptosiphon parviflorus,,
Polemoniaceae,Leptosiphon pygmaeus,,Leptosiphon pygmaeus subsp. pygmaeus
Polemoniaceae,Leptosiphon pygmaeus subsp. pygmaeus,,
Polemoniaceae,Leptosiphon rattanii,1,
Myrtaceae,Leptospermum laevigatum,1,
Asteraceae,Leptosyne gigantea,,
Asteraceae,Leptosyne maritima,1,
Asteraceae,Lessingia glandulifera var. glandulifera,1,
Poaceae,Leymus condensatus,,Elymus condensatus
Poaceae,Leymus pacificus,,Elymus pacificus
Poaceae,Leymus simplex var. simplex,1,
Poaceae,Leymus triticoides,,Elymus tritcoides
Liliaceae,Lilium humboldtii,,
Liliaceae,Lilium humboldtii subsp. humboldtii,1,
Liliaceae,Lilium humboldtii subsp. ocellatum,,
Plumbaginaceae,Limonium perezii,,
Plumbaginaceae,Limonium sinuatum,,
Polemoniaceae,Linanthus dianthiflorus,,
Plantaginaceae,Linaria bipartita,,
Plantaginaceae,Linaria maroccana,1,
Linaceae,Linum usitatissimum,1,
Saxifragaceae,Lithophragma affine,,
Saxifragaceae,Lithophragma cymbalaria,,
Saxifragaceae,Lithophragma maximum,,
Campanulaceae,Lobelia dunnii var. serrata,,
Campanulaceae,Lobelia erinus,1,
Brassicaceae,Lobularia maritima,,
Caryophyllaceae,Loeflingia squarrosa,,
Asteraceae,Logfia arizonica,,
Asteraceae,Logfia depressa,1,
Asteraceae,Logfia filaginoides,,
Asteraceae,Logfia gallica,,
Apiaceae,Lomatium caruifolium,,Lomatium caruifolium var. caruifolium
Apiaceae,Lomatium caruifolium var. caruifolium,,
Apiaceae,Lomatium insulare,,
Apiaceae,Lomatium macrocarpum,1,
Apiaceae,Lomatium utriculatum,,
Apiaceae,Lomatium vaginatum,1,
Caprifoliaceae,Lonicera hispidula,,
Caprifoliaceae,Lonicera interrupta,,
Caprifoliaceae,Lonicera subspicata,,
Caprifoliaceae,Lonicera subspicata var. denudata,,
Caprifoliaceae,Lonicera subspicata var. johnstonii,,Lonicera subspicata var. denudata
Caprifoliaceae,Lonicera subspicata var. subspicata,,
Fabaceae,Lotus corniculatus,,
Onagraceae,Ludwigia peploides,,
Onagraceae,Ludwigia peploides subsp. montevidensis,1,
Onagraceae,Ludwigia peploides subsp. peploides,,
Onagraceae,Ludwigia repens,1,
Fabaceae,Lupinus adsurgens,1,
Fabaceae,Lupinus affinis,1,
Fabaceae,Lupinus agardhianus,,Lupinus concinnus
Fabaceae,Lupinus albifrons,,
Fabaceae,Lupinus albifrons var. albifrons,,
Fabaceae,Lupinus albifrons var. collinus,1,
Fabaceae,Lupinus albifrons var. douglasii,,
Fabaceae,Lupinus arboreus,,
Fabaceae,Lupinus argenteus var. argenteus,1,
Fabaceae,Lupinus arizonicus subsp. lagunensis,1,
Fabaceae,Lupinus benthamii,1,
Fabaceae,Lupinus bicolor,,
Fabaceae,Lupinus bicolor subsp. bicolor,,
Fabaceae,Lupinus chamissonis,,
Fabaceae,Lupinus citrinus var. citrinus,1,
Fabaceae,Lupinus concinnus,,
Fabaceae,Lupinus elatus,1,
Fabaceae,Lupinus excubitus,1,
Fabaceae,Lupinus excubitus var. hallii,1,Lupinus excubitus
Fabaceae,Lupinus formosus,1,
Fabaceae,Lupinus guadalupensis,,
Fabaceae,Lupinus hirsutissimus,,
Fabaceae,Lupinus latifolius var. latifolius,1,
Fabaceae,Lupinus longifolius,1,
Fabaceae,Lupinus microcarpus,,
Fabaceae,Lupinus microcarpus var. densiflorus,1,
Fabaceae,Lupinus microcarpus var. microcarpus,,
Fabaceae,Lupinus nanus,1,
Fabaceae,Lupinus sparsiflorus subsp. sparsiflorus,,
Fabaceae,Lupinus succulentus,,
Fabaceae,Lupinus truncatus,,
Fabaceae,Lupinus variicolor,,
Juncaceae,Luzula comosa,1,
Juncaceae,Luzula spicata,,
Juncaceae,Luzula subcongesta,,
Juncaceae,Luzula subsessilis,,
Solanaceae,Lycium andersonii,1,
Solanaceae,Lycium brevipes,,Lycium brevipes var. hassei
Solanaceae,Lycium brevipes var. hassei,,
Solanaceae,Lycium californicum,,
Solanaceae,Lycium fremontii,,
Solanaceae,Lycium verrucosum,,
Solanaceae,Lycopersicon esculentum,,
Rosaceae,Lyonothamnus floribundus,,
Rosaceae,Lyonothamnus floribundus subsp. aspleniifolius,,
Rosaceae,Lyonothamnus floribundus subsp. floribundus,,
Myrsinaceae,Lysimachia arvensis ,,
Lythraceae,Lythrum californicum,,
Lythraceae,Lythrum hyssopifolia,,
Asteraceae,Madia exigua,,
Asteraceae,Madia gracilis,,
Asteraceae,Madia sativa,,
Malvaceae,Malacothamnus clementinus,,
Malvaceae,Malacothamnus davidsonii,1,
Malvaceae,Malacothamnus fasciculatus,,
Malvaceae,Malacothamnus fasciculatus var. catalinensis,,
Malvaceae,Malacothamnus fasciculatus var. nesioticus,,
Asteraceae,Malacothrix clevelandii,,
Asteraceae,Malacothrix coulteri,,
Asteraceae,Malacothrix foliosa,,
Asteraceae,Malacothrix foliosa subsp. crispifolia,,
Asteraceae,Malacothrix foliosa subsp. foliosa,,
Asteraceae,Malacothrix foliosa subsp. philbrickii,,
Asteraceae,Malacothrix foliosa subsp. polycephala,,
Asteraceae,Malacothrix incana,,
Asteraceae,Malacothrix indecora,,
Asteraceae,Malacothrix junakii,,
Asteraceae,Malacothrix saxatilis,,
Asteraceae,Malacothrix saxatilis var. arachnoidea,1,
Asteraceae,Malacothrix saxatilis var. commutata,1,
Asteraceae,Malacothrix saxatilis var. implicata,,
Asteraceae,Malacothrix saxatilis var. tenuifolia,,
Asteraceae,Malacothrix similis,,
Asteraceae,Malacothrix squalida,,
Aizoaceae,Malephora crocea,,
Anacardiaceae,Malosma laurina,,
Malvaceae,Malva arborea,,
Malvaceae,Malva assurgentiflora,,
Malvaceae,Malva nicaeensis,,
Malvaceae,Malva pacifica,1,
Malvaceae,Malva parviflora,,
Malvaceae,Malva pseudolavatera,,
Malvaceae,Malva sylvestris,,
Malvaceae,Malvella leprosa,,
Cactaceae,Mammillaria deherdtiana,1,
Cactaceae,Mammillaria grahamii var. grahamii,1,
Cactaceae,Mammillaria rhodantha subsp. fera-rubra,1,
Anacardiaceae,Mangifera indica,1,
Cucurbitaceae,Marah fabacea,,
Cucurbitaceae,Marah fabaceus var. agrestis,,Marah fabacea
Cucurbitaceae,Marah macrocarpa,,
Lamiaceae,Marrubium vulgare,,
Asteraceae,Matricaria discoidea,,
Asteraceae,Matricaria occidentalis,,
Papaveraceae,Meconella denticulata,,
Fabaceae,Medicago minima,,
Fabaceae,Medicago polymorpha,,
Fabaceae,Medicago sativa,,
Poaceae,Melica imperfecta,,
Fabaceae,Melilotus albus,,
Fabaceae,Melilotus indicus,,
Lamiaceae,Mentha spicata,,
Lamiaceae,Mentha x smithiana,1,
Loasaceae,Mentzelia affinis,,
Loasaceae,Mentzelia micrantha,,
Aizoaceae,Mesembryanthemum crystallinum,,
Aizoaceae,Mesembryanthemum nodiflorum,,
Saxifragaceae,Micranthes californica,,
Asteraceae,Micropus californicus,,Micropus californicus var. californicus
Asteraceae,Micropus californicus var. californicus,,
Asteraceae,Microseris douglasii,,
Asteraceae,Microseris douglasii subsp. douglasii,,
Asteraceae,Microseris douglasii subsp. platycarpha,,
Asteraceae,Microseris douglasii subsp. tenella,,
Asteraceae,Microseris elegans,,
Caryophyllaceae,Minuartia douglasii,,
Nyctaginaceae,Mirabilis laevis,,Mirabilis laevis var. crassifolia
Nyctaginaceae,Mirabilis laevis var. crassifolia,,
Nyctaginaceae,Mirabilis laevis var. villosa,1,
Chenopodiaceae,Monolepis nuttalliana,,
Montiaceae,Montia fontana,,
Poaceae,Muhlenbergia appressa,,
Poaceae,Muhlenbergia asperifolia,1,
Poaceae,Muhlenbergia mexicana,1,
Poaceae,Muhlenbergia microsperma,,
Asteraceae,Munzothamnus blairii,,
Scrophulariaceae,Myoporum laetum,,
Scrophulariaceae,Myoporum sandwicense,1,
Cactaceae,Myrtillocactus geometrizans,1,
Namaceae,Nama stenocarpa,,
Amaryllidaceae,Narcissus tazetta,,
Poaceae,Nassella lepida,,Stipa lepida
Brassicaceae,Nasturtium officinale,,
Polemoniaceae,Navarretia atractyloides,,
Polemoniaceae,Navarretia cotulifolia,1,
Polemoniaceae,Navarretia hamata,,
Polemoniaceae,Navarretia hamata subsp. hamata,1,
Polemoniaceae,Navarretia hamata subsp. leptantha,,
Polemoniaceae,Navarretia squarrosa,1,
Polygonaceae,Nemacaulis denudata var. denudata,1,
Campanulaceae,Nemacladus ramosissimus,1,
Hydrophyllaceae,Nemophila menziesii,,
Hydrophyllaceae,Nemophila menziesii var. integrifolia,1,
Hydrophyllaceae,Nemophila menziesii var. menziesii,,
Hydrophyllaceae,Nemophila pedunculata,,
Lamiaceae,Nepeta cataria,,
Apocynaceae,Nerium oleander,1,
Solanaceae,Nicotiana acuminata,1,
Solanaceae,Nicotiana clevelandii,1,
Solanaceae,Nicotiana glauca,,
Solanaceae,Nicotiana quadrivalvis,,
Plantaginaceae,Nuttallanthus canadensis,1,
Plantaginaceae,Nuttallanthus texanus,,
Onagraceae,Oenothera elata,,
Onagraceae,Oenothera elata subsp. hirsutissima,,
Onagraceae,Oenothera elata subsp. hookeri,1,
Onagraceae,Oenothera hispida,1,
Onagraceae,Oenothera sinuosa,,
Resedaceae,Oligomeris linifolia,,
Ophioglossaceae,Ophioglossum californicum,,
Cactaceae,Opuntia elata,1,
Cactaceae,Opuntia engelmannii,1,
Cactaceae,Opuntia ficus-indica,,
Cactaceae,Opuntia littoralis,,
Cactaceae,Opuntia macrorhiza,1,
Cactaceae,Opuntia oricola,,
Cactaceae,Opuntia streptacantha,1,
Cactaceae,Opuntia X occidentalis,,
Boraginaceae,Oreocarya suffruticosa var. abortiva,1,
Poaceae,Oryza sativa,1,
Oxalidaceae,Oxalis articulata subsp. rubra,,
Oxalidaceae,Oxalis californica,,
Oxalidaceae,Oxalis corniculata,,
Oxalidaceae,Oxalis pes-caprae,,
Oxalidaceae,Oxalis pilosa,1,
Fabaceae,Oxytropis borealis var. australis,1,
Paeoniaceae,Paeonia californica,1,
Poaceae,Panicum capillare,1,
Poaceae,Panicum miliaceum subsp. miliaceum,1,
Papaveraceae,Papaver californicum,,
Papaveraceae,Papaver heterophyllum,,
Papaveraceae,Papaver somniferum,,
Poaceae,Pappostipa speciosa,,Stipa speciosa
Poaceae,Parapholis incurva,,
Fabaceae,Paraserianthes lophantha,1,
Urticaceae,Parietaria floridana,1,
Urticaceae,Parietaria hespera,,
Urticaceae,Parietaria hespera var. californica,,
Urticaceae,Parietaria hespera var. hespera,,
Urticaceae,Parietaria judaica,1,
Poaceae,Paspalum dilatatum,,
Poaceae,Paspalum distichum,,
Boraginaceae,Pectocarya,,
Boraginaceae,Pectocarya heterocarpa,,
Boraginaceae,Pectocarya linearis,,Pectocarya linearis subsp. ferocula
Boraginaceae,Pectocarya linearis subsp. ferocula,,
Boraginaceae,Pectocarya penicillata,,
Geraniaceae,Pelargonium peltatum,,
Geraniaceae,Pelargonium x hortorum,,
Poaceae,Pennisetum clandestinum,,
Asteraceae,Pentachaeta exilis,1,
