locality_latlong,Freq,id,island,latitude,longitude,locality,year,taxa
33.35400313-118.4398566,20,Cal-IBIS,Santa Catalina,33.35400313,-118.4398566,"Middle Ranch, Santa Catalina Is.",1941,amphibian
33.35405312-118.4397606,11,Cal-IBIS,Santa Catalina,33.35405312,-118.4397606,"Middle Ranch Canyon on Ben Weston Rd., Santa Catalina Island",1979,amphibian
33.35455167-118.3579808,9,Cal-IBIS,Santa Catalina,33.35455167,-118.35798080000001,"Deer Valley Reservoir, Santa Catalina Island",1970,amphibian
33.36794428-118.3584039,6,Cal-IBIS,Santa Catalina,33.36794428,-118.3584039,"Santa Catalina Island, Toyon Canyon",1981,amphibian
33.37764-118.39352,20,Cal-IBIS,Santa Catalina,33.37764,-118.39352,"Cape Canyon Reservoir, Catalina Island",2013,amphibian
33.37802-118.46551,1,Cal-IBIS,Santa Catalina,33.37802,-118.46551,Cottonwood Creek; Catalina Island,2008,amphibian
33.38303704-118.4734697,6,Cal-IBIS,Santa Catalina,33.38303704,-118.4734697,"Little Harbor, Santa Catalina Is",1941,amphibian
33.383361-118.417576,1,1987206235,Santa Catalina,33.383361,-118.417576,SANTA CATALINA ISLAND,NA,amphibian
33.385833-118.429722,53,Cal-IBIS,Santa Catalina,33.385833,-118.429722,NA,1914,amphibian
33.386692-118.435344,1,Cal-IBIS,Santa Catalina,33.386692,-118.435344,"Santa Catalina Island, pond at main Buffalo Corral, ca. 1.5 mi. E of Isthmus Harbor",1900,amphibian
33.3880544-118.4005021,1,Cal-IBIS,Santa Catalina,33.3880544,-118.4005021,"Fire Control Tank, N. site Blackjack Peak, Santa Catalina Is.",1941,amphibian
33.389217-118.375167,1,Cal-IBIS,Santa Catalina,33.389217,-118.375167,"Whites Cove, ca 0.25-0.5 mi inland from uprooted oak stump",1941,amphibian
33.38980235-118.4002701,1,Cal-IBIS,Santa Catalina,33.38980235,-118.4002701,"Ironwood Grove, N site Blackjack Peak, Santa Catalina Is.",1941,amphibian
33.3906-118.452,3,1322745972,Santa Catalina,33.3906,-118.452,Santa Catalina Island,1908,amphibian
33.3927-118.379,4,Cal-IBIS,Santa Catalina,33.3927,-118.379,"Catalina Island (= Santa Catalina Island), canyon behind White's Cove",1931,amphibian
33.39342183-118.4598445,10,Cal-IBIS,Santa Catalina,33.39342183,-118.4598445,"Big Springs Canyon Creek, Santa Catalina Island",1970,amphibian
33.394843-118.521347,4,Cal-IBIS,Santa Catalina,33.394843,-118.521347,"Whites Landing, Santa Catalina Island",1941,amphibian
33.39617281-118.4505753,40,Cal-IBIS,Santa Catalina,33.39617281,-118.4505753,"Santa Catalina Island, Channel Islands",1949,amphibian
33.40038365-118.4556385,7,1322391882,Santa Catalina,33.40038365,-118.4556385,Santa Catalina Island,1932,amphibian
33.40038365-118.4556385,7,1319135576,Santa Catalina,33.40038365,-118.4556385,Catalina Island (= Santa Catalina Island),1908,amphibian
33.40041-118.39082,20,Cal-IBIS,Santa Catalina,33.40041,-118.39082,"Echo Lake, Catalina Island",2013,amphibian
33.40043365-118.4557455,3,Cal-IBIS,Santa Catalina,33.40043365,-118.4557455,"Santa Catalina Id, California",1908,amphibian
33.40043365-118.4557455,3,686707712,Santa Catalina,33.40043365,-118.4557455,Santa Catalina Island,1908,amphibian
33.4004761-118.390631,4,Cal-IBIS,Santa Catalina,33.4004761,-118.390631,"Echo Lake, Santa Catalina Is.",1941,amphibian
33.401173-118.452139,4,1039475859,Santa Catalina,33.401173,-118.452139,S. Edge of Avalon,1971,amphibian
33.402619-118.410767,1,1677451493,Santa Catalina,33.402619,-118.410767,"Santa Catalina Island, 0.3 mi. E of Catalina Airstrip",1900,amphibian
33.43622129-118.5016479,17,Cal-IBIS,Santa Catalina,33.43622129,-118.5016479,S side of Isthmus,1912,amphibian
33.43901922-118.4997998,6,Cal-IBIS,Santa Catalina,33.43901922,-118.4997998,"The Isthmus, Santa Catalina Is.",1979,amphibian
33.43902322-118.5000138,1,657407764,Santa Catalina,33.43902322,-118.5000138,"Catalina Is., Isthmus",1968,amphibian
33.43998232-118.4806394,2,Cal-IBIS,Santa Catalina,33.43998232,-118.4806394,"Fisherman's Cove just E of isthmus, Santa Catalina Island",1958,amphibian
33.44196014-118.4985438,17,Cal-IBIS,Santa Catalina,33.44196014,-118.4985438,"isthmus, vicinity of Catalina Marine Institute cafeteria, Santa Catalina Island",1979,amphibian
33.443333-118.494444,8,735683882,Santa Catalina,33.443333,-118.494444,Santa Catalina Island; Isthmus Cove,1967,amphibian
33.44403718-118.4844805,46,Cal-IBIS,Santa Catalina,33.44403718,-118.4844805,"on isthmus to Avalon Rd., 0.7 mi from isthmus at turnoff to University of Southern California Marine Lab, Santa Catalina Island",1970,amphibian
33.44478115-118.4852076,13,Cal-IBIS,Santa Catalina,33.44478115,-118.4852076,"Santa Catalina Island, Fisherman's Cove, just East of the isthmus, 150 yards above high tide line",1958,amphibian
33.44706697-118.501215,3,Cal-IBIS,Santa Catalina,33.44706697,-118.501215,"Fourth of July Cove, Santa Catalina Island",1950,amphibian
33.45998104-118.5806419,6,Cal-IBIS,Santa Catalina,33.45998104,-118.5806419,"5 mi W isthmus, Santa Catalina Island",1910,amphibian
33.46302535-118.5238316,4,Cal-IBIS,Santa Catalina,33.46302535,-118.5238316,"Howland's  Landing, Santa Catalina Is.",1941,amphibian
33.46514-118.55296,6,Cal-IBIS,Santa Catalina,33.46514,-118.55296,"creek above Parson's Landing, Catalina Island",2013,amphibian
33.46578726-118.5245407,6,Cal-IBIS,Santa Catalina,33.46578726,-118.5245407,"Santa Catalina, Emerald Bay",1957,amphibian
33.46895612-118.5323739,44,Cal-IBIS,Santa Catalina,33.46895612,-118.5323739,"Johnson Landing, Santa Catalina Is.",1941,amphibian
33.91563446-120.0491276,4,1145621880,Santa Rosa,33.91563446,-120.0491276,"0.5 mi E Ford Piont, Santa Rosa Island",1954,amphibian
33.92729815-120.0460907,7,Cal-IBIS,Santa Rosa,33.92729815,-120.0460907,"San Augustin Canyon, Santa Rosa Island",1954,amphibian
33.94230628-119.9682421,1,1145621836,Santa Rosa,33.94230628,-119.9682421,"E point, Santa Rosa Island",1954,amphibian
33.94611411-120.1161294,12,1145483374,Santa Rosa,33.94611411,-120.1161294,"3.5 mi N South Point, Santa Rosa Island",1982,amphibian
33.95-120.1,25,Cal-IBIS,Santa Rosa,33.95,-120.1,NA,1913,amphibian
33.955833-120.002778,2,735670509,Santa Rosa,33.955833,-120.002778,Santa Rosa Island; Old Ranch House Canyon,1986,amphibian
33.96215564-119.9787475,7,1145615761,Santa Rosa,33.96215564,-119.9787475,E end of Santa Rosa Island,1950,amphibian
33.96248297-119.7927053,7,657448879,Santa Cruz,33.96248297,-119.7927053,"Santa Cruz Island, Laguna Beach",1968,amphibian
33.9638-119.796586,9,1145460562,Santa Cruz,33.9638,-119.796586,salt marsh at Laguna Beach,1978,amphibian
33.96391-119.74795,18,45010796,Santa Cruz,33.96391,-119.74795,Santa Cruz Island; Willows,1939,amphibian
33.96598158-120.1101235,63,Cal-IBIS,Santa Rosa,33.96598158,-120.1101235,"Santa Rosa Island, Channel Islands",1950,amphibian
33.96895549-120.1106815,36,Cal-IBIS,Santa Rosa,33.96895549,-120.1106815,Santa Rosa Island,1932,amphibian
33.96895549-120.1106815,36,Cal-IBIS,Santa Rosa,33.96895549,-120.1106815,"Santa Rosa Island, W of Santa Cruz Island",1892,amphibian
33.96895549-120.1106815,36,1322495733,Santa Rosa,33.96895549,-120.1106815,"Santa Rosa Island, near Vale Ranch",1931,amphibian
33.96896049-120.1110115,12,Cal-IBIS,Santa Rosa,33.96896049,-120.1110115,Santa Rosa Island,1939,amphibian
33.969-120.11033,17,Cal-IBIS,Santa Rosa,33.969,-120.11033,Santa Rosa Island,1948,amphibian
33.969933-120.110643,14,1039482610,Santa Rosa,33.969933,-120.110643,"Arlington Canyon, ~ 2 mi from sea",1972,amphibian
33.969933-120.110643,14,1039472072,Santa Rosa,33.969933,-120.110643,SE of Beechers Bay,1972,amphibian
33.969933-120.110643,14,1039465192,Santa Rosa,33.969933,-120.110643,"ranch, Beechers Bay",1972,amphibian
33.97736831-119.6850021,46,657378679,Santa Cruz,33.97736831,-119.6850021,"Santa Cruz Id, 3 mi S. Prisoner's Harbor; vicinity Stanton Ranch Hdq.",1967,amphibian
33.9775-120.024167,9,Cal-IBIS,Santa Rosa,33.9775,-120.024167,Santa Rosa Island; Box Canyon,1978,amphibian
33.97872544-120.0785479,11,Cal-IBIS,Santa Rosa,33.97872544,-120.0785479,"Santa Rosa Island, Black Mountain",1941,amphibian
33.98152207-119.9810138,8,Cal-IBIS,Santa Rosa,33.98152207,-119.9810138,"Santa Rosa Island, Skunk Point",1941,amphibian
33.98286904-119.9796397,1,1145483287,Santa Rosa,33.98286904,-119.9796397,"3.0 mi W Skunk Point, Santa Rosa Island",1982,amphibian
33.985-120.155833,3,735671573,Santa Rosa,33.985,-120.155833,Santa Rosa Island; Arlington Canyon junction with Smith Hwy,1986,amphibian
33.9878436-119.7427335,101,Cal-IBIS,Santa Cruz,33.9878436,-119.7427335,"Islay Canyon, Santa Cruz Island",1974,amphibian
33.9878436-119.7427335,101,Cal-IBIS,Santa Cruz,33.9878436,-119.7427335,"head of Islay Canyon on Ridge Rd., Santa Cruz Island",1974,amphibian
33.9878436-119.7427335,101,1145459261,Santa Cruz,33.9878436,-119.7427335,"Islay Canyon, 1.25 mi WSW Stanton Ranch, Santa Cruz Island",1974,amphibian
33.98829-120.0273,31,Cal-IBIS,Santa Rosa,33.98829,-120.0273,"Santa Rosa Island, Becher's Bay",1941,amphibian
33.98887777-119.7148129,25,657418275,Santa Cruz,33.98887777,-119.7148129,"Santa Cruz Is., 0.25-0.5 mi. below Santon Ranch",1968,amphibian
33.9891082-119.6547635,1,1145415042,Santa Cruz,33.9891082,-119.6547635,"0.25 mi W Loma Peloma Water Tank, 3 mi SE (by air) Prisoner's Harbor, Santa Cruz Island",1974,amphibian
33.99004398-119.6811391,1,543676875,Santa Cruz,33.99004398,-119.6811391,Air strip E of Stanton Ranch,1959,amphibian
33.990499-119.682869,59,1145577037,Santa Cruz,33.990499,-119.682869,"Area 1, Ranch Canyon, Live oak tree cover, from logs & rocks. Santa Cruz Island",1974,amphibian
33.990499-119.682869,59,1145576987,Santa Cruz,33.990499,-119.682869,"Area 1, Ranch Canyon, Elevation 100', 2 mi S Prisoner's Harbor, All from indiv. Rocks. 8 from one log. Grassy, oak cover, Santa Cruz Island",1974,amphibian
33.9918779-119.6850022,1,657378713,Santa Cruz,33.9918779,-119.6850022,Santa Cruz Id.; 2 mi S. Prisoner's Harbor,1967,amphibian
33.99241867-119.7147579,4,1145402502,Santa Cruz,33.99241867,-119.7147579,"along both sides of stream below Stanton Ranch headquarters, Santa Cruz Island",1971,amphibian
33.992953-119.699266,8,1145576999,Santa Cruz,33.992953,-119.699266,"Area 2, Ranch Canyon, Elevation 100', Grass, no tree cover, Santa Cruz Island",1974,amphibian
33.99319132-120.0389222,11,Cal-IBIS,Santa Rosa,33.99319132,-120.0389222,stream in canyon near Bechers Bay,1931,amphibian
33.99466009-120.0648848,4,Cal-IBIS,Santa Rosa,33.994660090000004,-120.0648848,"Santa Rosa Island, Cherry Canyon",1941,amphibian
33.99469-120.05686,2,1054734422,Santa Rosa,33.99469,-120.05686,"Cherry Creek Trail, Santa Rosa Island; Cherry Creek Trail 02",2013,amphibian
33.9953-119.7247,2,890747333,Santa Cruz,33.9953,-119.7247,Santa Cruz Island. Christy Ranch,2013,amphibian
33.99532447-119.7309883,37,1145414605,Santa Cruz,33.99532447,-119.7309883,"Valley 0.25 mi N Field Station, ca. 0.5 mi W Stanton Ranch, Santa Cruz Island",1974,amphibian
33.99551458-119.7147619,1,Cal-IBIS,Santa Cruz,33.99551458,-119.7147619,"Stanton Ranch, Santa Cruz Island",1967,amphibian
33.995661-119.718272,2,1145576916,Santa Cruz,33.995661,-119.718272,"Garage, Santa Cruz Island",1974,amphibian
33.995833-119.714444,5,735674792,Santa Cruz,33.995833,-119.714444,Santa Cruz Island; Near Stanton Ranch,1985,amphibian
33.99595857-119.7149429,20,Cal-IBIS,Santa Cruz,33.99595857,-119.7149429,"Creek near Ranch, Santa Cruz Is.",1939,amphibian
33.99613051-119.7220041,13,1145533238,Santa Cruz,33.99613051,-119.7220041,"800 m W Stanton Ranch, Central Valley, Santa Cruz Island",1995,amphibian
33.9962745-119.7234391,3,Cal-IBIS,Santa Cruz,33.9962745,-119.7234391,"0.5 mi W Stanton Ranch headquarters, Santa Cruz Island",1948,amphibian
33.996475-119.719522,11,1145576906,Santa Cruz,33.996475,-119.719522,"Eucalyptus forest, Santa Cruz Island",1974,amphibian
33.996583-119.727567,13,1302837139,Santa Cruz,33.996583,-119.727567,"Near Santa Cruz Island Research Station, Santa Cruz Island",2006,amphibian
33.996944-119.726111,1,735672642,Santa Cruz,33.996944,-119.726111,"Santa Cruz Island; Central Valley, UC Field Station",1981,amphibian
33.99743739-119.7340034,5,1145414522,Santa Cruz,33.99743739,-119.7340034,"top of hill 0.25 mi S Field Station, Santa Cruz Island",1974,amphibian
33.99829288-119.8023919,16,1145414686,Santa Cruz,33.99829288,-119.8023919,head of Laguna Canyon on Ridge Rd.,1974,amphibian
33.99914-120.06113,2,1054701667,Santa Rosa,33.99914,-120.06113,"Station Road, Santa Rosa Island; Station Road 01",2013,amphibian
33.99934545-119.7187471,12,1145459164,Santa Cruz,33.99934545,-119.7187471,"Canada del Puerto, 0.4 mi N Stanton Ranch, Santa Cruz Island",1974,amphibian
33.999426-120.088553,1,1145544444,Santa Rosa,33.999426,-120.088553,"Lobo Creek, 2.5 mi NE ranch, Santa Rosa Island",1978,amphibian
33.99960947-119.714822,24,657487518,Santa Cruz,33.99960947,-119.714822,"Santa Cruz Island, Canada del Puerto; opposite side of creek from Stanton Ranch headquarters and up to 1/2 mi below the ranch along both sides of Canada del Puerto Creek",1971,amphibian
34-119.69,1,Cal-IBIS,Santa Cruz,34,-119.69,"SANTA CRUZ ISLAND, PRISONERS HARBOR CANYON",1925,amphibian
34.0000373-119.7369605,37,657487551,Santa Cruz,34.0000373,-119.7369605,"Santa Cruz Island, along road west of Biology Station in Central Valley (ca 1/4 to 1/8 mi west)",1971,amphibian
34.00034331-119.7341894,3,657487554,Santa Cruz,34.00034331,-119.7341894,"Santa Cruz Island, base of cliff below biology station, under bark of fallen Quercus agrifolia tree",1971,amphibian
34.00052529-119.7353814,1,Cal-IBIS,Santa Cruz,34.00052529,-119.7353814,"Central Canyon, Santa Cruz Island",1950,amphibian
34.00088429-119.7340144,10,1145456777,Santa Cruz,34.00088429,-119.7340144,"Field Station, Santa Cruz Island",1973,amphibian
34.00089725-119.7393585,1,Cal-IBIS,Santa Cruz,34.00089725,-119.7393585,"1.5 mi W Stanton Ranch headquarters, Santa Cruz Island",1948,amphibian
34.00106732-119.7296533,18,1145414527,Santa Cruz,34.00106732,-119.7296533,"0.25 mi E Field Station, Santa Cruz Island",1974,amphibian
34.00111-119.73333,8,45070484,Santa Cruz,34.00111,-119.73333,Santa Cruz Island; field station,1966,amphibian
34.00111-119.73769,1,Cal-IBIS,Santa Cruz,34.00111,-119.73769,Santa Cruz Island; 0.25 mi W of field station,1974,amphibian
34.00151422-119.7411436,1,657480044,Santa Cruz,34.00151422,-119.7411436,"Santa Cruz Island, 1/2 mi W UCSB station",1967,amphibian
34.001563-119.71184,5,1145576899,Santa Cruz,34.001563,-119.71184,"Oaks forest, Santa Cruz Island",1974,amphibian
34.001667-120.064167,16,Cal-IBIS,Santa Rosa,34.001667,-120.064167,Santa Rosa Island; Windmill Canyon,1975,amphibian
34.00167342-119.713833,32,657487447,Santa Cruz,34.00167342,-119.713833,"Santa Cruz Island, Canada del Puerto, opposite end of creek from Staton Ranch Headquarters and up to 1/2 mile below the ranch along both sides of Canada del Puerto creek",1971,amphibian
34.00252-120.17316,10,Cal-IBIS,Santa Rosa,34.00252,-120.17316,"Arlington Canyon, Santa Rosa Island; Arlington Canyon 03",2013,amphibian
34.002721-119.732504,2,1987131808,Santa Cruz,34.002721,-119.732504,SANTA CRUZ ISLAND,1913,amphibian
34.002778-120.089444,5,735671692,Santa Rosa,34.002778,-120.089444,"Santa Rosa Island; Lobo Canyon, Junction with Smith Hwy",1986,amphibian
34.00293484-120.0659209,3,657342940,Santa Rosa,34.00293484,-120.0659209,"Santa Rosa Island, Windmill Canyon",1941,amphibian
34.00311-120.17389,10,Cal-IBIS,Santa Rosa,34.00311,-120.17389,"Arlington Canyon, Santa Rosa Island; Arlington Canyon 02",2013,amphibian
34.00343-119.74556,8,Cal-IBIS,Santa Cruz,34.00343,-119.74556,Santa Cruz Island; 2 mi W of Stanton Ranch,1974,amphibian
34.00364-120.17419,3,1054732287,Santa Rosa,34.00364,-120.17419,"Arlington Canyon, Santa Rosa Island; Arlington Canyon 01",2013,amphibian
34.0037814-119.7071858,4,1145456778,Santa Cruz,34.0037814,-119.7071858,"halfway between Field Station and Prisoner's Harbor, Santa Cruz Island",1974,amphibian
34.00385-120.09125,1,1054659920,Santa Rosa,34.00385,-120.09125,"Lobo Canyon, Santa Rosa Island; Lobo Canyon 01",2013,amphibian
34.0040874-119.7064808,11,1145459265,Santa Cruz,34.0040874,-119.7064808,"between Field Station and Prisoner's Harbor, Santa Cruz Island",1973,amphibian
34.0041224-119.7061288,1,Cal-IBIS,Santa Cruz,34.0041224,-119.7061288,"2 mi SW Prisoners Harbor, Santa Cruz Island",1948,amphibian
34.0042572-119.7336734,57,Cal-IBIS,Santa Cruz,34.0042572,-119.7336734,Santa Cruz Island,1875,amphibian
34.0042642-119.7339664,104,476588747,Santa Cruz,34.0042642,-119.7339664,"Santa Cruz Is, Calif",1913,amphibian
34.0042642-119.7339664,104,Cal-IBIS,Santa Cruz,34.0042642,-119.7339664,Santa Cruz Isl Cal,NA,amphibian
34.0042642-119.7339664,104,657352682,Santa Cruz,34.0042642,-119.7339664,Santa Cruz Island,1930,amphibian
34.0042642-119.7339664,104,476791770,Santa Cruz,34.0042642,-119.7339664,Calif: Sta Cruz Id,1913,amphibian
34.00427181-119.6489915,10,1145415039,Santa Cruz,34.00427181,-119.6489915,"Mt. Pleasant, on Ridge Rd., ca. 2.25 mi SE Prisoner's Harbor, Santa Cruz Island",1974,amphibian
34.00431-119.73329,2,Cal-IBIS,Santa Cruz,34.00431,-119.73329,Santa Barabara Islands,1938,amphibian
34.004444-119.398611,1,735677313,Anacapa,34.004444,-119.398611,Anacapa Island; Middle Island,1971,amphibian
34.00457363-119.3929398,14,1145615801,Anacapa,34.00457363,-119.3929398,"Anacapa Island [Middle], Channel Islands",1950,amphibian
34.00457363-119.3929398,14,1145615756,Anacapa,34.00457363,-119.3929398,"Anacapa Island, Channel Islands",1950,amphibian
34.00457363-119.3929398,14,1145460638,Anacapa,34.00457363,-119.3929398,"cistern on trail at landing, Anacapa Island [Middle]",1978,amphibian
34.00468963-119.3923357,1,1145548049,Anacapa,34.00468963,-119.3923357,Middle Anacapa Island,1997,amphibian
34.004714-119.731773,1,Cal-IBIS,Santa Cruz,34.004714,-119.731773,SANTA CRUZ ISLAND - CANADA DEL PUERTO,1983,amphibian
34.005556-120.076667,9,735673244,Santa Rosa,34.005556,-120.076667,"Santa Rosa Island; Windmill Canyon, 1.5 mi NW of Ranch",1978,amphibian
34.006111-120.176111,4,Cal-IBIS,Santa Rosa,34.006111,-120.176111,Santa Rosa Island; Arlington Canyon,1976,amphibian
34.00619719-119.7278433,8,Cal-IBIS,Santa Cruz,34.00619719,-119.7278433,"Santa Cruz Is., 1/2 mi. NE UCSB Station",1967,amphibian
34.00668185-120.0508896,29,1145544485,Santa Rosa,34.00668185,-120.0508896,"ranch vicinity, Santa Rosa Island",1978,amphibian
34.00677956-119.3932458,4,657343296,Anacapa,34.00677956,-119.3932458,Middle Anacapa Island,1941,amphibian
34.007222-119.699722,1,Cal-IBIS,Santa Cruz,34.007222,-119.699722,"Santa Cruz Island; Prisoners Harbor, Half Way to Ranch in Canyon",1982,amphibian
34.00739-120.04943,2,890746631,Santa Rosa,34.00739,-120.04943,"western corral area of main ranch, Santa Rosa Island",2013,amphibian
34.00747929-119.84792,2,657428294,Santa Cruz,34.00747929,-119.84792,"Santa Cruz Is., Canada de la Sauces",1967,amphibian
34.0075-120.051389,23,Cal-IBIS,Santa Rosa,34.0075,-120.051389,Santa Rosa Island; Bechers Bay; Ranch,1976,amphibian
34.0075-120.051389,23,735674090,Santa Rosa,34.0075,-120.051389,Santa Rosa Island; Near Ranch,1978,amphibian
34.00802034-119.6988227,162,1145456760,Santa Cruz,34.00802034,-119.6988227,"Canada del Puerto, Santa Cruz Island",1974,amphibian
34.008333-120.091944,3,735670562,Santa Rosa,34.008333,-120.091944,"Santa Rosa Island; Lobo Canyon, 1 mi from mouth",1976,amphibian
34.00870025-119.5695638,9,543711911,Santa Cruz,34.00870025,-119.5695638,"1.5 mi up second canyon S of Smugglers' Harbor, along permanent stream",1939,amphibian
34.01017-119.42088,1,1800522916,Anacapa,34.01017,-119.42088,West Anacapa Island,2015,amphibian
34.01043926-119.4214965,110,657343298,Anacapa,34.01043926,-119.4214965,West Anacapa Island,1941,amphibian
34.010556-120.094167,1,735672672,Santa Rosa,34.010556,-120.094167,"Santa Rosa Island; Lobo Canyon, 2/5 mi NW of Ranch",1978,amphibian
34.0106794-119.400686,3,657375543,Anacapa,34.0106794,-119.400686,"Anacapa Island, sandy soil below Coreopsis gigantea",1960,amphibian
34.01084121-119.4261596,10,1145664085,Anacapa,34.01084121,-119.4261596,"Anacapa Island (Northwest), Channel Islands",1970,amphibian
34.01084121-119.4261596,10,1145503231,Anacapa,34.01084121,-119.4261596,"Anacapa Island (West), Channel Islands",1970,amphibian
34.01117-119.42111,4,1800523325,Anacapa,34.01117,-119.42111,West Anacapa Island,2015,amphibian
34.01174402-119.8673675,56,1145414825,Santa Cruz,34.01174402,-119.8673675,"pine forest at head of Canada de Los Sauces, just off Ridge Rd., Santa Cruz Island",1974,amphibian
34.01174402-119.8673675,56,1145414783,Santa Cruz,34.01174402,-119.8673675,"pine forest at head of Canada de Los Sauces, off Ridge Rd., Santa Cruz Island",1974,amphibian
34.01202465-120.0569008,8,1145544490,Santa Rosa,34.01202465,-120.0569008,"Windmill ca. 0.5 mi NE ranch, Santa Rosa Island",1978,amphibian
34.0125-120.096944,5,735673813,Santa Rosa,34.0125,-120.096944,"Santa Rosa Island; Lobo Canyon, 0.8 mi below junction with Smith Hwy",1986,amphibian
34.01311-119.42296,5,1800522958,Anacapa,34.01311,-119.42296,West Anacapa Island,2015,amphibian
34.01364211-119.4299617,1,1145657674,Anacapa,34.01364211,-119.4299617,"meadow NW of Anacapa Peak, West Islet, Anacapa Island",1970,amphibian
34.01379-119.428,3,1800522912,Anacapa,34.01379,-119.428,West Anacapa Island,2015,amphibian
34.014073-119.7225093,17,1145456783,Santa Cruz,34.014073,-119.7225093,"Embado Canyon, Santa Cruz Island",1978,amphibian
34.014073-119.7225093,17,1145456532,Santa Cruz,34.014073,-119.7225093,"Santa Cruz Island, Channel Islands",1973,amphibian
34.014167-120.098056,7,Cal-IBIS,Santa Rosa,34.014167,-120.098056,Santa Rosa Island; Lobo Canyon,1978,amphibian
34.01423-119.43016,3,1800524671,Anacapa,34.01423,-119.43016,West Anacapa Island,2015,amphibian
34.01455-119.36572,5,1800523201,Anacapa,34.01455,-119.36572,Eastern Anacapa Island,2013,amphibian
34.01483653-119.3657922,11,1145477560,Anacapa,34.01483653,-119.3657922,"adjacent to Heliport, Anacapa Island (East)",1980,amphibian
34.01511-119.36343,6,1800523200,Anacapa,34.01511,-119.36343,Eastern Anacapa Island,2013,amphibian
34.01569823-119.6846155,13,1145415061,Santa Cruz,34.01569823,-119.6846155,"0.3-0.4 mi SW Prisoner's Harbor, Santa Cruz Island",1974,amphibian
34.01599829-119.8143424,6,657378633,Santa Cruz,34.01599829,-119.8143424,"Santa Cruz Id, 8 mi W. (by road) Stanton Ranch Hdq., Upper Canada Christi",1967,amphibian
34.01620727-119.8155544,9,657378535,Santa Cruz,34.01620727,-119.8155544,"Santa Cruz Id, 8mi W (by Rd.) Stanton Ranch Hdg.,",1967,amphibian
34.016667-119.716667,94,Cal-IBIS,Santa Cruz,34.016667,-119.716667,NA,1919,amphibian
34.0167-119.7167,14,Cal-IBIS,Santa Cruz,34.0167,-119.7167,western portion of island,1968,amphibian
34.01721-120.09887,13,Cal-IBIS,Santa Rosa,34.01721,-120.09887,"Lobo Canyon, Santa Rosa Island; Lobo Canyon 05",2013,amphibian
34.0174-119.6839,1,890747025,Santa Cruz,34.0174,-119.6839,Santa Cruz Island. Prisoners (E of dock),2013,amphibian
34.01767021-119.8184965,83,Cal-IBIS,Santa Cruz,34.01767021,-119.8184965,"Canada Cervada, 6 mi W University of California Field Station, Santa Cruz Island",1974,amphibian
34.01767021-119.8184965,83,1145456596,Santa Cruz,34.01767021,-119.8184965,"head of Canada Cerrada, 6 mi W of University of California Field Station, Santa Cruz Island",1974,amphibian
34.01767021-119.8184965,83,1145414922,Santa Cruz,34.01767021,-119.8184965,"Canada Cervada ca. 6 mi W (by road) University of California Field Station, Santa Cruz Island",1974,amphibian
34.0177252-119.8190215,4,1145459140,Santa Cruz,34.0177252,-119.8190215,"Canada Cervada, 6.0 mi W Field Station, Santa Cruz Island",1974,amphibian
