locality_latlong,Freq,island,latitude,longitude,locality,year,taxa
32.994-118.577,14,San Clemente,32.994,-118.577,"San Clemente Island, sand dune area",1978,hymenoptera
32.996333-118.553347,5,San Clemente,32.996333,-118.553347,San Clemente Island; NRO vicinity; MDS boxthorn,2010,hymenoptera
32.996333-118.553347,5,San Clemente,32.996333,-118.553347,"San Clemente Island; NRO vicinity, MDS boxthorn",2010,hymenoptera
33.004-118.558,1,San Clemente,33.004,-118.558,"San Clemente Island, NOSC Pier",1978,hymenoptera
33.0045-118.5775,2,San Clemente,33.0045,-118.5775,San Clemente Island; Flasher Road dunes,2008,hymenoptera
33.005-118.55667,1,San Clemente,33.005,-118.55667,"Wilson Cove, San Clemente Island",2008,hymenoptera
33.005-118.557,65,San Clemente,33.005,-118.557,"Los Angeles Co.: Wilson Cove, San Clemente Island",2008,hymenoptera
33.005-118.557,65,San Clemente,33.005,-118.557,"San Clemente Island, Wilson Cove",1973,hymenoptera
33.005554-118.55417,3,San Clemente,33.005554,-118.55417,"Wilson's Cove, San Clemente Island",1938,hymenoptera
33.005554-118.55417,3,San Clemente,33.005554,-118.55417,"Pyramid Head, San Clemente Island",1963,hymenoptera
33.005556-118.554167,1,San Clemente,33.005556,-118.554167,"Whale Point, San Clemente Island",NA,hymenoptera
33.00556-118.55417,39,San Clemente,33.00556,-118.55417,"San Clemente Island, Nots Pier",1980,hymenoptera
33.00556-118.55417,39,San Clemente,33.00556,-118.55417,"San Clemente Island, Stone",1980,hymenoptera
33.00556-118.55417,39,San Clemente,33.00556,-118.55417,"San Clemente Island, Wilson Cove barracks",1980,hymenoptera
33.00556-118.55417,39,San Clemente,33.00556,-118.55417,San Clemente Island sand dune area,1978,hymenoptera
33.00556-118.55417,39,San Clemente,33.00556,-118.55417,"San Clemente Island, Lemon Tank, south end",1980,hymenoptera
33.00556-118.55417,39,San Clemente,33.00556,-118.55417,"San Clemente Island, South side of airport",1980,hymenoptera
33.00707-118.56432,1,San Clemente,33.00707,-118.56432,"0.8 km NW Wilson Cove, San Clemente I.",2013,hymenoptera
33.01081-119.66064,1,Santa Cruz,33.01081,-119.66064,"Santa Cruz Island, Campo del Norte",2006,hymenoptera
33.016-118.596,75,San Clemente,33.016,-118.596,"San Clemente Island, West Cove",1978,hymenoptera
33.01611111-118.5955556,3,San Clemente,33.01611111,-118.5955556,NA,1971,hymenoptera
33.0167-118.59063,2,San Clemente,33.0167,-118.59063,"West Cove, San Clemente Island",2011,hymenoptera
33.01722-118.5896,1,San Clemente,33.01722,-118.5896,"West Cove, San Clemente Island",2011,hymenoptera
33.01783-118.58948,2,San Clemente,33.01783,-118.58948,"West Cove, San Clemente Island",2011,hymenoptera
33.018135-118.58999,6,San Clemente,33.018135,-118.58999,"West Cove, San Clemente Island",2011,hymenoptera
33.02-118.58,5,San Clemente,33.02,-118.58,"San Clemente Island, north end (airport)",1972,hymenoptera
33.028-118.588,1,San Clemente,33.028,-118.588,"San Clemente Island, Northwest Harbor",1962,hymenoptera
33.03143-118.60488,1,San Clemente,33.03143,-118.60488,"Whale Point, San Clemente Is.",1963,hymenoptera
33.217-119.466,1,San Nicolas,33.217,-119.466,"San Nicolas Island, Dutch Harbor to Daytona Beach",1978,hymenoptera
33.22-119.487,105,San Nicolas,33.22,-119.487,"San Nicolas Island, Dutch Harbor area",1978,hymenoptera
33.225-119.513,3,San Nicolas,33.225,-119.513,"San Nicolas Island, s. Elephant Seal Beach",1980,hymenoptera
33.2312-119.5189,28,San Nicolas,33.2312,-119.5189,"San Nicolas Island, east fork of Twin Rivers",1978,hymenoptera
33.23153-119.45111,1,San Nicolas,33.23153,-119.45111,"Airfield, San Nicolas I.",2015,hymenoptera
33.24-119.46,1,San Nicolas,33.24,-119.46,"San Nicolas Island, airport",1978,hymenoptera
33.24-119.533,14,San Nicolas,33.24,-119.533,"San Nicolas Island, Cattail Canyon",1978,hymenoptera
33.2445-119.5003,1,San Nicolas,33.2445,-119.5003,S. Nicolas Island,1939,hymenoptera
33.24944-119.49944,9,San Nicolas,33.24944,-119.49944,"San Nicolas Island, Fennel Canyon, 1 mi. NW of airstrip",1969,hymenoptera
33.249444-119.499444,1,San Nicolas,33.249444,-119.499444,"San Nicolas Island, Celery Canyon behind barracks, elv. 400 feet; 33.255374 -119.48623; 33.249444 -119.499444",1980,hymenoptera
33.24944444-119.5002778,3,San Nicolas,33.24944444,-119.5002778,NA,NA,hymenoptera
33.25-119.45,81,San Nicolas,33.25,-119.45,"San Nicolas Island, beach between Sand Spit and canyon below Sewage Ponds",1978,hymenoptera
33.25-119.5,3,San Nicolas,33.25,-119.5,San Nicolas Isl,1985,hymenoptera
33.25-119.51,69,San Nicolas,33.25,-119.51,San Nicolas Island,1939,hymenoptera
33.25-119.51,69,San Nicolas,33.25,-119.51,"San Nicolas Island, compound",1979,hymenoptera
33.25022888-119.4989395,2,San Nicolas,33.25022888,-119.4989395,San Nicolas Island,1969,hymenoptera
33.251721-119.510424,4,San Nicolas,33.251721,-119.510424,San Nicolas Island,1999,hymenoptera
33.251721-119.510424,4,San Nicolas,33.251721,-119.510424,San Nicolas Island; 33.251721 -119.510424,1999,hymenoptera
33.251721-119.510424,4,San Nicolas,33.251721,-119.510424,San Nicholas Island,1999,hymenoptera
33.25338-119.49329,2,San Nicolas,33.25338,-119.49329,"San Nicolas Island, Tule Creek Canyon",2005,hymenoptera
33.255-119.486,13,San Nicolas,33.255,-119.486,"San Nicolas Island, NAS HQ area",1978,hymenoptera
33.255-119.486,13,San Nicolas,33.255,-119.486,"San Nicolas Island, Celery Canyon",1979,hymenoptera
33.255176-119.48578,4,San Nicolas,33.255176,-119.48578,"San Nicolas Island, barracks area; 33.255176 -119.48578",1980,hymenoptera
33.255374-119.48623,12,San Nicolas,33.255374,-119.48623,"San Nicolas Island, barracks area, elv. 425 feet",1980,hymenoptera
33.255374-119.48623,12,San Nicolas,33.255374,-119.48623,"San Nicolas Island, Celery Canyon behind barracks, elv. 400 feet",1980,hymenoptera
33.255374-119.48623,12,San Nicolas,33.255374,-119.48623,"San Nicolas Island, Celery Canyon behind barracks, elv. 400 feet; 33.255374 -119.48623",1980,hymenoptera
33.25572-119.48537,1,San Nicolas,33.25572,-119.48537,"San Nicolas Island, Naval Air Station headquarters area",1978,hymenoptera
33.256863-119.489234,4,San Nicolas,33.256863,-119.489234,"San Nicolas Island, Celery Canyon behind barracks, elv. 400 feet",1980,hymenoptera
33.256863-119.489234,4,San Nicolas,33.256863,-119.489234,"San Nicolas Island, Celery Canyon behind barracks, elv. 400 feet; 33.256863 -119.489234",1980,hymenoptera
33.25687-119.47317,2,San Nicolas,33.25687,-119.47317,"San Nicolas Island, Naval Air Station headquarters area, east to beach",1978,hymenoptera
33.259-119.492,71,San Nicolas,33.259,-119.492,"San Nicolas Island, Celery Canyon",1978,hymenoptera
33.259573-119.493934,1,San Nicolas,33.259573,-119.493934,"San Nicolas Island, Cyn between Celery and Mineral Cyns; 33.259573 -119.493934; 33.259573 -119.493934",1980,hymenoptera
33.260793-119.49153,3,San Nicolas,33.260793,-119.49153,San Nicolas Island; Celery Canyon behind barracks; 33.260793 -119.49153,1980,hymenoptera
33.261-119.477,24,San Nicolas,33.261,-119.477,"San Nicolas Island, beach area ne. NAS HQ",1978,hymenoptera
33.261-119.477,24,San Nicolas,33.261,-119.477,"San Nicolas Island, NAS HQ area east to beach",1978,hymenoptera
33.26667-119.5,2,San Nicolas,33.26667,-119.5,"Corral Harbor, San Nicolas I.",1999,hymenoptera
33.2674-119.53127,14,San Nicolas,33.2674,-119.53127,"San Nicolas Island around building 120 and water tank, south of 1000 Springs, elevation about 600 feet",1980,hymenoptera
33.2674-119.53127,14,San Nicolas,33.2674,-119.53127,"San Nicolas Island around building 120 and water tank, south of 1000 Springs, elevation about 600 feet; 33.2674 -119.53127",1980,hymenoptera
33.267881-119.526996,3,San Nicolas,33.267881,-119.526996,San Nicolas Island; pumping station about 1 mile SSE of 1000 Springs,1980,hymenoptera
33.267881-119.526996,3,San Nicolas,33.267881,-119.526996,San Nicolas Island; pumping station about 1 mile SSE of 1000 Springs; 33.267881 -119.526996,1980,hymenoptera
33.269207-119.527751,17,San Nicolas,33.269207,-119.527751,"San Nicolas Island pumping station about 1 mile South Southeast of 1000 Springs, elevation 400 feet",1980,hymenoptera
33.269207-119.527751,17,San Nicolas,33.269207,-119.527751,"San Nicolas Island pumping station about 1 mile South Southeast of 1000 Springs, elevation 400 feet; 33.269207 -119.527751",1980,hymenoptera
33.270463-119.520627,6,San Nicolas,33.270463,-119.520627,"San Nicolas Island, pumping sta., abt. 1 mi. SSEof 1000 Springs; 33.270463 -119.520627; 33.270463 -119.520627",1980,hymenoptera
33.270832-119.47139,5,San Nicolas,33.270832,-119.47139,San Nicholas Island,NA,hymenoptera
33.27124-119.52527,1,San Nicolas,33.27124,-119.52527,San Nicolas I.,2016,hymenoptera
33.272-119.508,39,San Nicolas,33.272,-119.508,"San Nicolas Island, nr. Corral Harbor",1978,hymenoptera
33.272-119.525,34,San Nicolas,33.272,-119.525,"San Nicolas Island, Tule Creek",1969,hymenoptera
33.27472-118.52611,1,Santa Catalina,33.27472,-118.52611,Aliso Canyon,1968,hymenoptera
33.27472222-118.5261111,1,Santa Catalina,33.27472222,-118.5261111,NA,1968,hymenoptera
33.276-119.516,5,San Nicolas,33.276,-119.516,"vic. Coral Harbor, San Nicolas Island",2010,hymenoptera
33.276-119.516,5,San Nicolas,33.276,-119.516,"vic. Coral Harbor, San Nicolas I.",2010,hymenoptera
33.276-119.538,4,San Nicolas,33.276,-119.538,"San Nicolas Island, north end, dunes/canyon",1978,hymenoptera
33.2833.28,50,San Nicolas,33.28,33.28,"San Nicolas Island, Vizcaino Point to Thousand Springs",1978,hymenoptera
33.2836-119.53,1,San Nicolas,33.2836,-119.53,San Nicolas Island; Thousand Springs,2008,hymenoptera
33.318-118.3182,8,Santa Catalina,33.318,-118.3182,"Santa Catalina Island, East Mountain",1978,hymenoptera
33.3185-118.3462,2,Santa Catalina,33.3185,-118.3462,"Santa Catalina Island, East End Rd.; 33.3185 -118.3462",2010,hymenoptera
33.32-118.3042,11,Santa Catalina,33.32,-118.3042,"Santa Catalina Island, Jewfish Point",1978,hymenoptera
33.3216-118.3464,2,Santa Catalina,33.3216,-118.3464,"Santa Catalina Island, East End Rd.",2010,hymenoptera
33.32472222-118.3413889,2,Santa Catalina,33.32472222,-118.3413889,NA,2008,hymenoptera
33.3262-118.3527,3,Santa Catalina,33.3262,-118.3527,"Santa Catalina Island, East End Rd.",2010,hymenoptera
33.33-118.34,8,Santa Catalina,33.33,-118.34,"Santa Catalina Island, Avalon Canyon",1978,hymenoptera
33.333035-118.378931,1,Santa Catalina,33.333035,-118.378931,Santa Catalina Island; Silver Canyon,2010,hymenoptera
33.33333-118.35,1,Santa Catalina,33.33333,-118.35,"Hermit Gulch, Santa Catalina I.",1999,hymenoptera
33.33501-118.33208,3,Santa Catalina,33.33501,-118.33208,"Avalon, Catalina Island",NA,hymenoptera
33.3361-118.3108,4,Santa Catalina,33.3361,-118.3108,"Santa Catalina Island, Pebbly Beach Canyon",1968,hymenoptera
33.3361-118.3108,4,Santa Catalina,33.3361,-118.3108,"Santa Catalina Island, Pebbly Beach",1938,hymenoptera
33.33678-118.33043,1,Santa Catalina,33.33678,-118.33043,Avalon Catalina Island,1938,hymenoptera
33.3395-118.4474,1,Santa Catalina,33.3395,-118.4474,"Cactus Peak, Santa Catalina Island",2002,hymenoptera
33.34-118.33,2,Santa Catalina,33.34,-118.33,"Santa Catalina Island, Avalon",1938,hymenoptera
33.34029-118.3277,1,Santa Catalina,33.34029,-118.3277,"Santa Catalina Island, Avalon",NA,hymenoptera
33.34083333-118.3277778,1,Santa Catalina,33.34083333,-118.3277778,NA,NA,hymenoptera
33.3425-118.3193,1,Santa Catalina,33.3425,-118.3193,"Santa Catalina Island, Pebbly Beach",NA,hymenoptera
33.3428-118.3279,2,Santa Catalina,33.3428,-118.3279,Found on Avalon Street in Catalima,NA,hymenoptera
33.342808-118.32785,1,Santa Catalina,33.342808,-118.32785,"Avalon, Catalina Island",1938,hymenoptera
33.34281-118.32785,10,Santa Catalina,33.34281,-118.32785,"S. Catalina Island W. edge Avalon, high hill",1980,hymenoptera
33.343-118.434,4,Santa Catalina,33.343,-118.434,"Santa Catalina Island, Bulrush Canyon",1978,hymenoptera
33.34682-118.46823,1,Santa Catalina,33.34682,-118.46823,"2 km WNW Cactus Peak, Santa Catalina Island",2002,hymenoptera
33.35-118.43333,3,Santa Catalina,33.35,-118.43333,"Middle Ranch, Santa Catalina I.",1999,hymenoptera
33.35108-118.35285,3,Santa Catalina,33.35108,-118.35285,"vic. Wrigley Reservoir, Santa Catalina I.",2018,hymenoptera
33.35167-118.35333,2,Santa Catalina,33.35167,-118.35333,"Wrigley Reservoir, Santa Catalina I.",2003,hymenoptera
33.352863-118.439893,4,Santa Catalina,33.352863,-118.439893,Santa Catalina Island; Thompson Reservoir,2010,hymenoptera
33.353-118.361,4,Santa Catalina,33.353,-118.361,"Santa Catalina Island, Haypress Reservoir, 5 miles NW. of Avalon",1981,hymenoptera
33.35333-118.39667,1,Santa Catalina,33.35333,-118.39667,"7 km WNW Avalon, Santa Catalina I.",2003,hymenoptera
33.35338-118.3966,1,Santa Catalina,33.35338,-118.3966,"Middle Ranch Road, Santa Catalina I.",2002,hymenoptera
33.35416667-118.4341667,1,Santa Catalina,33.35416667,-118.4341667,NA,1941,hymenoptera
33.35417-118.43417,1,Santa Catalina,33.35417,-118.43417,"Middle Ranch, Santa Catalina Island",1941,hymenoptera
33.355-118.394,36,Santa Catalina,33.355,-118.394,"Santa Catalina Island, Middle Canyon",1978,hymenoptera
33.35541-118.439694,1,Santa Catalina,33.35541,-118.439694,Santa Catalina Island; Middle Ranch,2010,hymenoptera
33.355628-118.438492,7,Santa Catalina,33.355628,-118.438492,Santa Catalina Island; Middle Ranch,2010,hymenoptera
33.35709-118.36199,3,Santa Catalina,33.35709,-118.36199,"0.5 km N Haypress Reservoir, Santa Catalina I.",2004,hymenoptera
33.36138889-118.4394444,1,Santa Catalina,33.36138889,-118.4394444,NA,1938,hymenoptera
33.36139-118.43944,1,Santa Catalina,33.36139,-118.43944,"Palos Verdes, Santa Catalina Island",1938,hymenoptera
33.36361111-118.4122222,1,Santa Catalina,33.36361111,-118.4122222,NA,NA,hymenoptera
33.3648-118.4663,6,Santa Catalina,33.3648,-118.4663,"Ben Weston Tr., Santa Catalina Isl.",2010,hymenoptera
33.3648-118.4663,6,Santa Catalina,33.3648,-118.4663,Santa Catalina Island; Ben Weston Trail,2010,hymenoptera
33.365-118.41,2,Santa Catalina,33.365,-118.41,"Santa Catalina Island, Cape Canyon",1984,hymenoptera
33.365-118.44,24,Santa Catalina,33.365,-118.44,"Santa Catalina Island, Sweetwater Canyon",1978,hymenoptera
33.3651-118.4654,2,Santa Catalina,33.3651,-118.4654,"Santa Catalina Island; Ben Weston Trail; 33.3651, -118.4654",2010,hymenoptera
33.366-118.409,242,Santa Catalina,33.366,-118.409,"Santa Catalina Island, Cape Canyon",1978,hymenoptera
33.368-118.481,7,Santa Catalina,33.368,-118.481,"Santa Catalina Island, Ben Weston Beach",1980,hymenoptera
33.37-118.348,4,Santa Catalina,33.37,-118.348,"Santa Catalina Island, Gallagher Beach",1981,hymenoptera
33.37-118.348,4,Santa Catalina,33.37,-118.348,"Santa Catalina Island, Gallagher Canyon",1981,hymenoptera
33.371261-118.421835,1,Santa Catalina,33.371261,-118.421835,I. Santa Catalina,1984,hymenoptera
33.375-118.354,21,Santa Catalina,33.375,-118.354,"Santa Catalina Island, Toyon Bay",1981,hymenoptera
33.375-118.354,21,Santa Catalina,33.375,-118.354,"Santa Catalina Island, Toyon Canyon",1981,hymenoptera
33.375122-118.419836,1,Santa Catalina,33.375122,-118.419836,Santa Catalina Island; Mt. Orizaba,2010,hymenoptera
33.37757-118.39327,1,Santa Catalina,33.37757,-118.39327,Santa Catalina Island; Cape Canyon Pond,2010,hymenoptera
33.37757-118.46586,1,Santa Catalina,33.37757,-118.46586,"Lower Cottonwood Canyon, Santa Catalina Is.",1981,hymenoptera
33.37758-118.46413,1,Santa Catalina,33.37758,-118.46413,"2 km SW Rancho Escondido, Santa Catalina Island",2002,hymenoptera
33.37804-118.40788,6,Santa Catalina,33.37804,-118.40788,"1 km E Mt. Orizaba, Santa Catalina I.",2003,hymenoptera
33.38-118.455,4,Santa Catalina,33.38,-118.455,"Santa Catalina Island, Cottonwood Canyon",1978,hymenoptera
33.38333-118.41167,3,Santa Catalina,33.38333,-118.41167,"1 km NE Mt. Orizaba, Santa Catalina I.",2003,hymenoptera
33.38333-118.41667,5,Santa Catalina,33.38333,-118.41667,Santa Catalina Island,NA,hymenoptera
33.38333-118.46667,1,Santa Catalina,33.38333,-118.46667,"2 km SW Rancho Escondido, Santa Catalina I.",2002,hymenoptera
33.38336-118.41757,1,Santa Catalina,33.38336,-118.41757,Catalina Island,NA,hymenoptera
33.38394-118.44643,3,Santa Catalina,33.38394,-118.44643,"Cottonwood Canyon, Santa Catalina Island",1981,hymenoptera
33.38407-118.47355,1,Santa Catalina,33.38407,-118.47355,"Santa Catalina Island, Little Harbor",1968,hymenoptera
33.38583333-118.4513889,4,Santa Catalina,33.38583333,-118.4513889,NA,NA,hymenoptera
33.386-118.395,2,Santa Catalina,33.386,-118.395,"Santa Catalina Island, east side of Black Jack Mountain",1978,hymenoptera
33.386-118.4066,16,Santa Catalina,33.386,-118.4066,"Santa Catalina Island, Black Jack Camp",1978,hymenoptera
33.38605-118.4517,2,Santa Catalina,33.38605,-118.4517,"Rancho Escondido, Catalina Island",NA,hymenoptera
33.38777778-118.4161111,1,Santa Catalina,33.38777778,-118.4161111,NA,1941,hymenoptera
33.38778-118.41611,1,Santa Catalina,33.38778,-118.41611,Santa Catalina Island,1941,hymenoptera
33.389-118.3962,1,Santa Catalina,33.389,-118.3962,"nr. Black Jack Peak, Santa Catalina Isl.",2010,hymenoptera
33.389063-118.431776,25,Santa Catalina,33.389063,-118.431776,Santa Catalina Island,1999,hymenoptera
33.389063-118.431776,25,Santa Catalina,33.389063,-118.431776,Santa Catalina Island; 33.389063 -118.431776,1999,hymenoptera
33.3896-118.3969,5,Santa Catalina,33.3896,-118.3969,"Santa Catalina Island, nr. Blackjack Peak",2010,hymenoptera
33.3917-118.4002,8,Santa Catalina,33.3917,-118.4002,"Santa Catalina Island, Blackjack Rd.",2010,hymenoptera
33.3917-118.4002,8,Santa Catalina,33.3917,-118.4002,Santa Catalina Island; Black Jack Road,2010,hymenoptera
33.392-118.37,3,Santa Catalina,33.392,-118.37,"Santa Catalina Island, Whites Landing",1981,hymenoptera
33.39447-118.36979,1,Santa Catalina,33.39447,-118.36979,"Whites Landing, Santa Catalina Island",1929,hymenoptera
33.397-118.394,1,Santa Catalina,33.397,-118.394,"Santa Catalina Island, White Cove Road",1978,hymenoptera
33.39848-119.5358,3,NA,33.39848,-119.5358,Santa Cruz Island,2019,hymenoptera
33.399382-118.451002,1,Santa Catalina,33.399382,-118.451002,Catalina,1900,hymenoptera
33.399987-118.449848,1,Santa Catalina,33.399987,-118.449848,Santa Catalina Island,1999,hymenoptera
33.4-118.38333,4,Santa Catalina,33.4,-118.38333,"3km SW Catalina Airport, Santa Catalina I.",1999,hymenoptera
