record,source,Barcode,Country,State,County,island,Location,Latitude,Longitude,Collectors,trap,collection code,year,month,order,Family,acceptedFamily,acceptedGenus,acceptedName
occurrence,LACM,LACM ENT 478663,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478664,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478665,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478666,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515581,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515582,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515583,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515584,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515585,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515586,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515587,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515588,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515589,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515590,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515601,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 13,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478743,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478744,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478745,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478746,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478747,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478748,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478750,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478751,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478752,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478754,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478755,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478756,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478757,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478758,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478759,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478760,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478761,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478762,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478763,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478764,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478765,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478766,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 15,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478711,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478712,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478713,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478714,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478715,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478716,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478717,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478718,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478719,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 16,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478672,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 22,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478673,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 22,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478676,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 22,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478677,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 22,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478678,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 22,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478679,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 22,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478680,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 22,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478799,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478800,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478801,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478802,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478803,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478804,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478805,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478806,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478807,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478808,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478809,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478810,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478811,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478812,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 23,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515654,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 24,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515659,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 24,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515661,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 24,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515691,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 24,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515511,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515512,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515513,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515514,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515516,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515517,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515518,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515519,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515523,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515532,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515534,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515535,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515536,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515537,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 25,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478768,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478769,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478770,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478772,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478773,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478776,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478777,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478779,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478780,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478781,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478782,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478783,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 27,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478720,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 28,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478721,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 28,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478722,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 28,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478723,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 28,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478725,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 28,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478726,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 28,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478813,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 34,2016,4,Diptera,Chloropidae,Chloropidae,,
