source,order,acceptedOrder,family,acceptedFamily,genus,acceptedGenus,scientificName,acceptedName,AUTHOR,YRPUBL,PUBL,VOL,PG,PG2,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa,month,year,NOTES
literature,Araneae,Araneae,Araneidae,Araneidae,Meteperia,Metepeira,Meteperia gosoga,Meteperia gosoga,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Araneidae,Araneidae,Araneus,Araneus,Araneus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Araneidae,Araneidae,Eustela,Eustala,Eustela,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Araneidae,Araneidae,Metepeira,Metepeira,Metepeira,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Araneidae,Araneidae,,,Araneidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Clubionidae,Clubionidae,,,Clubionidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Clubionidae,Clubionidae,Clubiona,Clubiona,Clubiona,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Corrinidae,Corrinidae,Castianeira,Castianeira,Castianeira occidens,Castianeira occidens,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Corrinidae,Tracelidae,Meriola,Meriola,Meriola arcifera,Meriola arcifera,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Corrinidae,Tracelidae,Meriola,Meriola,Meriola californica,Meriola californica,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Corrinidae,Phrurolithidae,Scotinella,Scotinella,Scotinella,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Corrinidae,Corinnidae,,,Corrinidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Ctenizidae,Ctenizidae,Bothriocyrtum,Bothriocyrtum,Bothriocyrtum californicum,Bothriocyrtum californicum,Ramirez,2013,Arachnology,16,1,-9,,,,,,,,,,,
literature,Araneae,Araneae,Cyrtaucheniidae,Euctenizidae,Aptostichus,Aptostichus,Aptostichus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Dictynidae,Cybaeidae,Yorima,Yorima,Yorima angelica,Yorima angelica,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Dictynidae,Cybaeidae,Blabomma,Blabomma,Blabomma,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Dictynidae,Dictynidae,Mallos,Mallos,Mallos,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Dictynidae,Dictynidae,,,Dictynidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Filistatidae,Filistatidae,Filistatinella,Filistatinella,Filistatinella,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Ghaphosidae,Gnaphosidae,Drassyllus,Drassyllus,Drassyllus insularis,Drassyllus insularis,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Ghaphosidae,Gnaphosidae,Gnaphosa,Gnaphosa,Gnaphosa maritima,Gnaphosa maritima,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Ghaphosidae,Gnaphosidae,Haplodrassus,Haplodrassus,Haplodrassus signifer,Haplodrassus signifer,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Ghaphosidae,Gnaphosidae,Sergiolus,Sergiolus,Sergiolus montanus,Sergiolus montanus,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Gnaphosidae,Gnaphosidae,Drassyllus,Drassyllus,Drassyllus insularis,Drassyllus insularis,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Gnaphosidae,Gnaphosidae,Zelotes,Zelotes,Zelotes cruzana,Zelotes cruzana,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,ENDEMIC
literature,Araneae,Araneae,Gnaphosidae,Gnaphosidae,Zelotes,Zelotes,Zelotes,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Gnaphosidae,Gnaphosidae,,,Gnaphosidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Leptonetidae,Leptonetidae,Archoleptoneta,Archoleptoneta,Archoleptoneta schusteri,Archoleptoneta schusteri,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Linyphiidae,Linyphiidae,Frontinella,Frontinella,Frontinella communis,Frontinella pyramitela,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Linyphiidae,Linyphiidae,Frontinella,Frontinella,Frontinella pyramitela,Frontinella pyramitela,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Linyphiidae,Linyphiidae,Wubana,Wubana,Wubana drassoides,Wubana drassoides,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Linyphiidae,Linyphiidae,Linyphantes,Linyphantes,Linyphantes,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Linyphiidae,Linyphiidae,Neriene,Neriene,Neriene,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Linyphiidae,Linyphiidae,,,Linyphiidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Lycosidae,Lycosidae,Alopecosa,Alopecosa,Alopecosa kochi,Alopecosa kochi,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Lycosidae,Lycosidae,Pardosa,Pardosa,Pardosa sternalis,Pardosa sternalis,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Lycosidae,Lycosidae,,,Lycosidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Micryphantidae,Linyphiidae,Erigone,Erigone,Erigone,,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Miturgidae,Miturgidae,Cheiracanthium,Cheiracanthium,Cheiracanthium inclusum,Cheiracanthium inclusum,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Miturgidae,Cheiracanthiidae,Cheiracanthium,Cheiracanthium,Cheiracanthium,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Miturgidae,Miturgidae,,,Miturgidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Oecobiidae,Oecobiidae,Oecobius,Oecobius,Oecobius navus,Oecobius navus,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Oxyopidae,Oxyopidae,Oxyopes,Oxyopes,Oxyopes salticus,Oxyopes salticus,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Oxyopidae,Oxyopidae,Oxyopus,Oxyopes,Oxyopus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Philodromidae,Philodromidae,Philodromus,Philodromus,Philodromus spectabilis,Philodromus spectabilis,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Philodromidae,Philodromidae,Tibellus,Tibellus,Tibellus chamberlini,Tibellus chamberlini,San Clemente Sierra Report - Survey,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Philodromidae,Philodromidae,Philodromus,Philodromus,Philodromus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Philodromidae,Philodromidae,Ebo,Ebo,Ebo,,San Clemente Sierra Report - Survey,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Plectreuridae,Plectreuridae,Plectreurys,Plectreurys,Plectreurys castanea,Plectreurys castanea,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Habronattus,Habronattus,Habronattus californicus,Habronattus californicus,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Habronattus,Habronattus,Habronattus oregonus,Habronattus oregonensis,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Metacyrba,Metacyrba,Metacyrba taeniola,Metacyrba taeniola,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Peckhamia,Peckhamia,Peckhamia scorpionia,Peckhamia scorpionia,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Pelegrina,Pelegrina,Pelegrina aeneola,Pelegrina aeneola,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Phanias,Phanias,Phanias harfordi,Phanias harfordi,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Sassacus,Sassacus,Sassacus vitis,Sassacus vitis,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Dendryphantes,Dendryphantes,Dendryphantes,,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,Pelegrina,Pelegrina,Pelegrina,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Salticidae,Salticidae,,,Salticidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Segestriidae,Segestriidae,Ariadna,Ariadna,Ariadna fidicina,Ariadna fidicina,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Segestriidae,Segestriidae,Segestria,Segestria,Segestria cruzana,Segestria cruzana,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Tetragnathidae,Tetragnathidae,Tetragnatha,Tetragnatha,Tetragnatha versicolor,Tetragnatha versicolor,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Tetragnathidae,Tetragnathidae,Tetragnatha,Tetragnatha,Tetragnatha,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Theridiidae,Theridiidae,Euryopis,Euryopis,Euryopis spinigera,Euryopis spinigera,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Theridiidae,Theridiidae,Theridion,Theridion,Theridion murarium,Theridion murarium,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Theridiidae,Theridiidae,Theridion,Theridion,Theridion punctipes,Theridion punctipes,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Theridiidae,Theridiidae,Wamba,Wamba,Wamba crispulus,Wamba crispulus,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Theridiidae,Theridiidae,Theridion,Theridion,Theridion,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Theridiidae,Theridiidae,,,Theridiidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Theriidae,Theriidae,Latrodectus,Latrodectus,Latrodectus hesperus,Latrodectus hesperus,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Theriidae,Theriidae,Steatoda,Steatoda,Steatoda grossa,Steatoda grossa,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Theriidae,Theriidae,Steatoda,Asagena,Stetoda medialis,Asagena medialis,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Theriidae,Theriidae,Steatoda,Steatoda,Steatoda washona,Steatoda washona,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Thomisidae,Thomisidae,Ebo,Ebo,Ebo pepinensis,Ebo pepinensis,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Thomisidae,Thomisidae,Xysticus,Xysticus,Xysticus montanensis,Xysticus montanensis,SNI report,,,,,,,,,,,,,,,,
literature,Araneae,Araneae,Thomsidae,Thomsidae,Coriarachne,Coriarachne,Coriarachne utahensis,Coriarachne utahensis,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Thomsidae,Thomsidae,Mecaphesa,Mecaphesa,Mecaphesa importuna,Mecaphesa importuna,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Thomsidae,Thomsidae,Tmarus,Tmarus,Tmarus angulatus,Tmarus angulatus,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Thomsidae,Thomsidae,Mecaphesa,Mecaphesa,Mecaphesa,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Thomsidae,Thomsidae,Xysticus,Xysticus,Xysticus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Thomsidae,Thomsidae,,,Thomsidae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Uloboridae,Uloboridae,Hyptiotes,Hyptiotes,Hyptiotes gertschi,Hyptiotes gertschi,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Uloboridae,Uloboridae,,,Uloboridae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Zodariidae,Zodariidae,Lutica,Lutica,Lutica clementea,Lutica clementea,Ramirez & Beckwitt,1995,Journal of Arachnology,23,177,-193,,,,,,,,,,,
literature,Araneae,Araneae,Zodariidae,Zodariidae,Lutica,Lutica,Lutica maculata,Lutica maculata,Ramirez & Beckwitt,1995,Journal of Arachnology,23,177,-193,,,,,,,,,,,
literature,Araneae,Araneae,Zodariidae,Zodariidae,Lutica,Lutica,Lutica nicolasia,Lutica nicolasia,SNI report,,,,,,,,,,,,,,,,SNI ENDEMIC
literature,Araneae,Araneae,Zodariidae,Zodariidae,Lutica,Lutica,Lutica nicolasia,Lutica nicolasia,Ramirez & Beckwitt,1995,Journal of Arachnology,23,177,-193,,,,,,,,,,,
literature,Araneida,Araneae,Zodaraiidae,Zodaraiidae,Lutica,Lutica,Lutica clementea,Lutica clementea,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Blattodea,Blattodea,Blatellidae,Blatellidae,Blatella,Blatella,Blatella germanica,Blatella germanica,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Chilopoda,Chilopoda,Geophilidae,Geophilidae,Geophilus,Geophilus,Geophilus nicolanus,Geophilus nicolanus,SNI report,,,,,,,,,,,,,,,,probable SNI endemic
literature,Coleoptera,Coleoptera,Anobiidae,Anobiidae,Xarifa,Xarifa,Xarifa insularis,Xarifa insularis,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Anobiidae,Anobiidae,Ptinus,Ptinus,Ptinus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Anobiidae,Anobiidae,Tricorynus,Tricorynus,Tricorynus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Anthicidae,Anthicidae,Ischyropalpus,Ischyropalpus,Ischyropalpus nitidulus,Ischyropalpus nitidulus,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Attelabidae,Attelabidae,Temnocerus,Temnocerus,Temnocerus aureus,Temnocerus aureus,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Attelabidae,Attelabidae,Temnocerus,Temnocerus,Temnocerus insularis,Temnocerus insularis,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Brentidae,Brentidae,,,Apioninae,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Bruchidae,Bruchidae,,,Bruchidae,,San Clemente Sierra Report - Survey,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Byturidae,Byturidae,Xerasia,Xerasia,Xerasia grisescens,Xerasia grisescens,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Cantharidae,Cantharidae,Cultellunguis,Cultellunguis,Cultellunguis hatchi,Cultellunguis hatchi,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Cantharidae,Cantharidae,Frostia,Frostia,Frostia,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Akephorus,Akephorus,Akephorus marinus,Akephorus marinus,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Amara,Amara,Amara aurata,Amara aurata,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Amara,Amara,Amara californica,Amara californica,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Amara,Amara,Amara clementina,Amara aurata,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Amara,Amara,Amara insularis,Amara semilaevis,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Amara,Amara,Amara insularis,Amara semilaevis,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Anchomenus,Anchomenus,Anchomenus funebris,Anchomenus funebris,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Bembidion,Bembidion,Bembidion indistinctum,Bembidion indistinctum,SNI report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Bembidion,Bembidion,Bembidion insulatum,Bembidion insulatum,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Bembidion,Bembidion,Bembidion palosverdes,Bembidion palosverdes,Caterino et al,2015,The Coleopterists Bulletin,3,410,-411,,,x,,,,,,,2010,"RARE, thought previously extinct. Possibly endemic now if mainland pop extirpated"
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Bembidion,Bembidion,Bembidion palosverdes,Bembidion palosverdes,Kavanaugh,1992,Col Bulletin,46,311,-320,,,x,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Bembidion,Bembidion,Bembidion striola,Bembidion striola,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Bembidion,Bembidion,Bembidion versicolor,Bembidion versicolor,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Calathus,Calathus,Calathus ruficollis,Calathus ruficollis,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Calathus,Calathus,Calathus ruficollis,Calathus ruficollis,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Calathus,Calathus,Calathus ruficollis,Calathus ruficollis,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Calathus,Calathus,Calathus ruficollis,Calathus ruficollis,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Calosoma,Calosoma,Calosoma eremicola,Calosoma semilaevis,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Calosoma,Callisthenes,Calosoma semilaeve,Callisthenes semilaevis,SNI report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Celia,Celia,Celia clementina,Amara aurata,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Cicindela,Cicindela,Cicindela oregona,Cicindela oregona,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Cicindela,Cicindela,Cicindela oregona,Cicindela oregona,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Cicindela,Cicindela,Cicindela senilis,Cicindela senilis,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Dicheirus,Dicheirus,Dicheirus dilatatus,Dicheirus dilatatus,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Dicheirus,Dicheirus,Dicheirus piceus,Dicheirus piceus,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Hadrotes,Hadrotes,Hadrotes crassus,Hadrotes crassus,Caterino et al,2015,Monographs of the Western North American Naturalist,7,276,-296,,,x,x,x,,x,x,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Platynus,Platynus,Platynus brunneomarginatus,Platynus brunneomarginatus,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Pterostichus,Pterostichus,Pterostichus gliscans,Pterostichus gliscans,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Pterostichus,Pterostichus,Pterostichus isabellae,Pterostichus isabellae,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Pterostichus,Poecilus,Pterostichus laetulus,Poecilus laetulus,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Pterostichus,Pterostichus,Pterostichus menetriesii,Pterostichus menetriesii,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Tachys,Tachys,Tachys corax,Tachys corax,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Tanystoma,Tanystoma,Tanystoma maculicolle,Tanystoma maculicolle,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Notiophilus,Notiophilus,Notiophilus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,Pterostichus,Pterostichus,Pterostichus,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,,,Carabidae,,San Clemente Sierra Report,,,,,,,,,,,,,,,,
literature,Coleoptera,Coleoptera,Carabidae,Carabidae,,,Carabidae,,San Clemente Sierra Report,,,,,,,,,,,,,,,,
