order_final,family_final,Sci_Name,San Miguel,Santa Rosa,Santa Cruz,Anacapa,Santa Barbara,San Nicolas,San Clemente,Santa Catalina
Lamiales,Orobanchaceae,Castilleja mollis,1938,2003,NA,NA,NA,NA,NA,NA
Lamiales,Phrymaceae,Diplacus brandegeei,NA,NA,1888,NA,NA,NA,NA,NA
Lamiales,Phrymaceae,Diplacus brevipes,NA,NA,NA,NA,NA,NA,NA,1890
Lamiales,Phrymaceae,Diplacus traskiae,NA,NA,NA,NA,NA,NA,NA,1901
Lamiales,Phrymaceae,Erythranthe floribunda,NA,NA,NA,NA,NA,NA,1990,2019
Lamiales,Plantaginaceae,Plantago maritima,NA,1930,NA,NA,NA,NA,NA,NA
Lamiales,Verbenaceae,Verbena lasiostachys var. lasiostachys,1995,NA,NA,NA,NA,1985,NA,1931
Liliales,Liliaceae,Calochortus albus,NA,NA,2019,NA,NA,NA,NA,1925
Liliales,Liliaceae,Calochortus venustus,NA,NA,NA,NA,NA,NA,NA,1904
Malpighiales,Salicaceae,Salix lasiandra var. lasiandra,NA,NA,1960,NA,NA,NA,NA,NA
Malvales,Cistaceae,Crocanthemum greenei,1932,1999,2005,NA,NA,NA,NA,2015
Malvales,Malvaceae,Eremalche exilis,NA,NA,1888,NA,NA,NA,1996,1901
Myrtales,Onagraceae,Camissoniopsis ignota,NA,NA,1932,NA,NA,NA,NA,NA
Myrtales,Onagraceae,Clarkia prostrata,NA,1938,NA,NA,NA,NA,NA,NA
Myrtales,Onagraceae,Eulobus californicus,NA,1927,1993,NA,NA,NA,NA,2010
Pinales,Cupressaceae,Hesperocyparis macrocarpa,NA,1988,2012,1959,NA,NA,NA,NA
Piperales,Saururaceae,Anemopsis californica,NA,NA,2005,NA,NA,1979,1936,2017
Poales,Cyperaceae,Carex globosa,NA,1988,2012,NA,NA,NA,NA,1928
Poales,Cyperaceae,Cyperus involucratus,NA,NA,1930,NA,NA,NA,NA,NA
Poales,Juncaceae,Juncus effusus subsp. pacificus,NA,1960,NA,NA,NA,NA,NA,NA
Poales,Poaceae,Bromus berteroanus,NA,1930,1932,1928,1998,NA,1981,1897
Poales,Poaceae,Elymus condensatus,1977,1998,1993,2019,NA,1979,1936,2016
Poales,Poaceae,Festuca microstachys,1930,2002,2003,1998,NA,NA,2019,2003
Poales,Poaceae,Paspalum distichum,NA,NA,1960,NA,NA,NA,NA,1998
Poales,Poaceae,Phalaris caroliniana,NA,NA,1985,NA,1922,2000,2011,1901
Poales,Poaceae,Phalaris lemmonii,1998,1993,NA,NA,NA,NA,2019,1897
Poales,Poaceae,Phalaris minor,2000,1930,1993,2000,1999,2019,2019,2016
Poales,Poaceae,Poa annua,1998,1977,1993,1998,1991,1989,1923,2001
Poales,Poaceae,Poa howellii,NA,NA,1931,NA,NA,NA,NA,NA
Poales,Poaceae,Polypogon interruptus,2000,1994,2012,NA,NA,NA,1936,NA
Poales,Poaceae,Polypogon viridis,NA,1991,2002,1940,NA,NA,1997,1995
Poales,Poaceae,Stipa lepida,1965,1977,1994,1998,1939,2019,2019,NA
Polypodiales,Dennstaedtiaceae,Pteridium aquilinum var. pubescens,NA,1960,1995,NA,NA,NA,NA,2006
Polypodiales,Pteridaceae,Pellaea mucronata var. mucronata,NA,1930,1983,NA,NA,NA,1997,NA
Polypodiales,Pteridaceae,Pentagramma viscosa,NA,1979,1994,1963,NA,NA,1903,1997
Ranunculales,Berberidaceae,Berberis pinnata subsp. insularis,NA,1930,2017,1990,NA,NA,NA,NA
Ranunculales,Papaveraceae,Platystemon californicus,1995,1993,NA,1965,1993,2019,NA,1890
Rosales,Rosaceae,Aphanes occidentalis,NA,1960,NA,NA,NA,NA,1997,2016
Rosales,Rosaceae,Cercocarpus betuloides var. blancheae,NA,1932,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,Potentilla anserina subsp. pacifica,1930,NA,2005,NA,NA,NA,NA,NA
Sapindales,Anacardiaceae,Toxicodendron diversilobum,1961,1977,1976,1967,NA,1990,1967,2016
Saxifragales,Grossulariaceae,Ribes malvaceum var. malvaceum,NA,1932,2019,1979,NA,NA,NA,NA
Solanales,Convolvulaceae,Calystegia macrostegia subsp. amplissima,NA,NA,NA,NA,1961,2019,2019,NA
Solanales,Convolvulaceae,Calystegia soldanella,1979,1998,2012,NA,NA,2019,1936,NA
Solanales,Convolvulaceae,Cuscuta campestris,1961,NA,NA,NA,NA,NA,NA,NA
Solanales,Solanaceae,Lycium brevipes var. hassei,NA,NA,NA,NA,NA,2019,1936,1918
Solanales,Solanaceae,Lycium fremontii,NA,1932,NA,NA,NA,NA,NA,NA
Solanales,Solanaceae,Lycium verrucosum,NA,NA,NA,NA,NA,1901,NA,NA
NA,Phrymaceae,Erythranthe floribunda,NA,1932,NA,NA,NA,NA,1990,1966
NA,Pteridaceae,Pentagramma viscosa,NA,1977,2012,NA,NA,NA,1991,2015
