"","source","institution","month","year","island","order","acceptedFamily","acceptedGenus","acceptedName","scientificName","latitude","longitude","Collectors","type"
"20","Cal-IBIS","SDSU",4,2006,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus californicus","Habronattus californicus",32.98726,-118.57341,"M Hedin, S Foldi","Collection"
"21","Cal-IBIS","SDSU",7,2005,"Santa Barbara","Araneae","Salticidae","Habronattus","Habronattus ophrys","Habronattus ophrys",33.4808,-119.0366,"S Foldi","Collection"
"22","Cal-IBIS","SDSU",7,2005,"Santa Barbara","Araneae","Salticidae","Habronattus","Habronattus ophrys","Habronattus ophrys",33.4808,-119.0366,"S Foldi","Collection"
"23","Cal-IBIS","SDSU",7,2005,"Santa Barbara","Araneae","Salticidae","Habronattus","Habronattus ophrys","Habronattus ophrys",33.4808,-119.0366,"S Foldi","Collection"
"24","Cal-IBIS","SDSU",7,2005,"Santa Barbara","Araneae","Salticidae","Habronattus","Habronattus ophrys","Habronattus ophrys",33.4808,-119.0366,"S Foldi","Collection"
"25","Cal-IBIS","SDSU",7,2005,"Santa Barbara","Araneae","Salticidae","Habronattus","Habronattus ophrys","Habronattus ophrys",33.4808,-119.0366,"S Foldi","Collection"
"26","Cal-IBIS","SDSU",7,2005,"Santa Barbara","Araneae","Salticidae","Habronattus","Habronattus ophrys","Habronattus ophrys",33.4808,-119.0366,"S Foldi","Collection"
"27","Cal-IBIS","SDSU",7,2005,"Santa Barbara","Araneae","Salticidae","Habronattus","Habronattus ophrys","Habronattus ophrys",33.4808,-119.0366,"S Foldi","Collection"
"28","Cal-IBIS","SDSU",4,2006,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.98726,-118.5734,"M Hedin, S Foldi","Collection"
"29","Cal-IBIS","SDSU",4,2006,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.98726,-118.5734,"M Hedin, S Foldi","Collection"
"30","Cal-IBIS","SDSU",4,2006,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.98726,-118.5734,"M Hedin, S Foldi","Collection"
"31","Cal-IBIS","SDSU",4,2006,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.98726,-118.5734,"M Hedin, S Foldi","Collection"
"32","Cal-IBIS","SDSU",4,2006,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.98726,-118.5734,"M Hedin, S Foldi","Collection"
"33","Cal-IBIS","SDSU",4,2019,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.9904,-118.5753,"C Richart, D Eslava","Collection"
"34","Cal-IBIS","SDSU",4,2019,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.9904,-118.5753,"C Richart, D Eslava","Collection"
"35","Cal-IBIS","SDSU",4,2019,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.9904,-118.5753,"C Richart","Collection"
"36","Cal-IBIS","SDSU",4,2019,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.9904,-118.5753,"C Richart","Collection"
"37","Cal-IBIS","SDSU",4,2019,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.9904,-118.5753,"C Richart, D Eslava","Collection"
"38","Cal-IBIS","SDSU",4,2019,"San Clemente","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",32.9904,-118.5753,"C Richart, D Eslava","Collection"
"39","Cal-IBIS","SDSU",10,2005,"San Miguel","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.04582,-120.3506,"S Foldi","Collection"
"40","Cal-IBIS","SDSU",10,2005,"San Miguel","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.04582,-120.3506,"S Foldi","Collection"
"41","Cal-IBIS","SDSU",10,2005,"San Miguel","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.04582,-120.3506,"S Foldi","Collection"
"42","Cal-IBIS","SDSU",10,2005,"San Miguel","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.04582,-120.3506,"S Foldi","Collection"
"43","Cal-IBIS","SDSU",10,2005,"San Miguel","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.04582,-120.3506,"S Foldi","Collection"
"44","Cal-IBIS","SDSU",10,2005,"San Miguel","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.04582,-120.3506,"S Foldi","Collection"
"45","Cal-IBIS","SDSU",10,2004,"Santa Catalina","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",33.38688,-118.474,"S Foldi","Collection"
"46","Cal-IBIS","SDSU",10,2004,"Santa Catalina","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",33.38688,-118.474,"S Foldi","Collection"
"47","Cal-IBIS","SDSU",10,2004,"Santa Catalina","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",33.38688,-118.474,"S Foldi","Collection"
"48","Cal-IBIS","SDSU",10,2004,"Santa Catalina","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",33.38688,-118.474,"S Foldi","Collection"
"49","Cal-IBIS","SDSU",10,2004,"Santa Catalina","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",33.38688,-118.474,"S Foldi","Collection"
"50","Cal-IBIS","SDSU",5,2016,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.048908,-119.55684,"B Boyer","Collection"
"51","Cal-IBIS","SDSU",10,2004,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.04522,-119.5536,"S Foldi","Collection"
"52","Cal-IBIS","SDSU",5,2016,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.048908,-119.55684,"B Boyer","Collection"
"53","Cal-IBIS","SDSU",5,2016,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.048908,-119.55684,"B Boyer","Collection"
"54","Cal-IBIS","SDSU",5,2016,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.048908,-119.55684,"B Boyer","Collection"
"55","Cal-IBIS","SDSU",5,2016,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.048908,-119.55684,"B Boyer","Collection"
"56","Cal-IBIS","SDSU",5,2016,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.048908,-119.55684,"B Boyer","Collection"
"57","Cal-IBIS","SDSU",5,2016,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.048908,-119.55684,"B Boyer","Collection"
"58","Cal-IBIS","SDSU",10,2004,"Santa Cruz","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.04522,-119.5536,"S Foldi","Collection"
"59","Cal-IBIS","SDSU",10,2004,"Santa Rosa","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.00716,-120.0495,"S Foldi","Collection"
"60","Cal-IBIS","SDSU",10,2004,"Santa Rosa","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.00716,-120.0495,"S Foldi","Collection"
"61","Cal-IBIS","SDSU",10,2004,"Santa Rosa","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.00716,-120.0495,"S Foldi","Collection"
"62","Cal-IBIS","SDSU",10,2004,"Santa Rosa","Araneae","Salticidae","Habronattus","Habronattus tarsalis","Habronattus tarsalis",34.00716,-120.0495,"S Foldi","Collection"
"63","Cal-IBIS","GBIF",0,0,"Santa Cruz","Araneae","Salticidae","Pelegrina","Pelegrina aeneola","Pelegrina aeneola",34,-119.78,,"Collection"
"64","Cal-IBIS","CAS",1,1978,"Santa Catalina","Araneae","Salticidae","Sassacus","Sassacus vitis","Sassacus vitis",0,0,"John T. Doyen","Collection"
"65","Cal-IBIS","CAS",7,1978,"San Nicolas","Araneae","Salticidae","Terralonus","Terralonus californicus","Terralonus californicus",0,0,"John T. Doyen","Collection"
"66","Cal-IBIS","GBIF",5,1921,"Santa Catalina","Araneae","Segestriidae","Ariadna","Ariadna bicolor","Ariadna bicolor",33.383335,-118.416664,"J. C. Chamberlin","Collection"
"67","Cal-IBIS","CAS",6,1972,"Santa Cruz","Araneae","Thomisidae","Mecaphesa","Mecaphesa lepida","Mecaphesa lepida",0,0,"David C. Rentz; David Weissman","Collection"
"68","Cal-IBIS","CAS",6,1972,"Santa Cruz","Araneae","Thomisidae","Tmarus","Tmarus angulatus","Tmarus angulatus",0,0,"David C. Rentz; David Weissman","Collection"
"69","LACM","LACM",3,1941,"Santa Rosa","Scorpiones",,,,"Scorpiones",,,"J.C. von Bloeker","Collection"
