"","source","month","year","island","order","acceptedFamily","acceptedGenus","acceptedName","scientificName","latitude","longitude","phylum","class"
"21","Cal-IBIS",6,2005,"Santa Cruz","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",34.0013,-119.7512,"Arthropoda","Insecta"
"22","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",34.0107,-119.6882,"Arthropoda","Insecta"
"23","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",34.032,-119.8033,"Arthropoda","Insecta"
"24","Cal-IBIS",6,2008,"Anacapa","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",34.0152,-119.3656,"Arthropoda","Insecta"
"25","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.368,-118.4812,"Arthropoda","Insecta"
"26","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.368,-118.4812,"Arthropoda","Insecta"
"27","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.368,-118.4812,"Arthropoda","Insecta"
"28","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",34.0255,-119.6976,"Arthropoda","Insecta"
"29","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",34.0263,-119.6958,"Arthropoda","Insecta"
"30","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",34.023,-119.6932,"Arthropoda","Insecta"
"31","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",34.0197,-119.6815,"Arthropoda","Insecta"
"32","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",34.0197,-119.6815,"Arthropoda","Insecta"
"33","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",34.0197,-119.6815,"Arthropoda","Insecta"
"34","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9765,-120.0111,"Arthropoda","Insecta"
"35","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9765,-120.0111,"Arthropoda","Insecta"
"36","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9765,-120.0111,"Arthropoda","Insecta"
"37","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9069,-120.1021,"Arthropoda","Insecta"
"38","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9069,-120.1021,"Arthropoda","Insecta"
"39","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9069,-120.1021,"Arthropoda","Insecta"
"40","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9069,-120.1021,"Arthropoda","Insecta"
"41","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9069,-120.1021,"Arthropoda","Insecta"
"42","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9069,-120.1021,"Arthropoda","Insecta"
"43","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9069,-120.1021,"Arthropoda","Insecta"
"44","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9069,-120.1021,"Arthropoda","Insecta"
"45","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xarifa",NA,"Xarifa",33.9842,-120.0734,"Arthropoda","Insecta"
"46","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anobiidae","Xyletinus",NA,"Xyletinus",33.985,-120.0764,"Arthropoda","Insecta"
"47","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Amblyderus","Amblyderus obesus","Amblyderus obesus",33.2643,-119.4857,"Arthropoda","Insecta"
"48","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Amblyderus","Amblyderus obesus","Amblyderus obesus",33.2643,-119.4857,"Arthropoda","Insecta"
"49","Cal-IBIS",5,2009,"San Miguel","Coleoptera","Anthicidae","Amblyderus","Amblyderus obesus","Amblyderus obesus",34.046,-120.3515,"Arthropoda","Insecta"
"50","Cal-IBIS",8,2006,"Santa Cruz","Coleoptera","Anthicidae","Amblyderus","Amblyderus parviceps","Amblyderus parviceps",34.0238,-119.8766,"Arthropoda","Insecta"
"51","Cal-IBIS",8,2004,"Santa Cruz","Coleoptera","Anthicidae","Amblyderus","Amblyderus parviceps","Amblyderus parviceps",33.969,-119.7076,"Arthropoda","Insecta"
"52","Cal-IBIS",8,2004,"Santa Cruz","Coleoptera","Anthicidae","Amblyderus","Amblyderus parviceps","Amblyderus parviceps",33.969,-119.7076,"Arthropoda","Insecta"
"53","Cal-IBIS",8,2004,"Santa Cruz","Coleoptera","Anthicidae","Amblyderus","Amblyderus parviceps","Amblyderus parviceps",33.969,-119.7076,"Arthropoda","Insecta"
"54","Cal-IBIS",8,2004,"Santa Cruz","Coleoptera","Anthicidae","Amblyderus","Amblyderus parviceps","Amblyderus parviceps",33.969,-119.7076,"Arthropoda","Insecta"
"55","Cal-IBIS",6,2007,"Santa Rosa","Coleoptera","Anthicidae","Amblyderus","Amblyderus parviceps","Amblyderus parviceps",33.9577,-120.1973,"Arthropoda","Insecta"
"56","Cal-IBIS",6,2007,"Santa Rosa","Coleoptera","Anthicidae","Amblyderus","Amblyderus parviceps","Amblyderus parviceps",33.9607,-120.2004,"Arthropoda","Insecta"
"57","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"58","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"59","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"60","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"61","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"62","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"63","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"64","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"65","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",34.0019,-119.7127,"Arthropoda","Insecta"
"66","Cal-IBIS",8,2004,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus cribratus","Anthicus cribratus",33.9973,-119.7281,"Arthropoda","Insecta"
"67","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2643,-119.4857,"Arthropoda","Insecta"
"68","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2643,-119.4857,"Arthropoda","Insecta"
"69","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2643,-119.4857,"Arthropoda","Insecta"
"70","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2643,-119.4857,"Arthropoda","Insecta"
"71","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2643,-119.4857,"Arthropoda","Insecta"
"72","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2643,-119.4857,"Arthropoda","Insecta"
"73","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2643,-119.4857,"Arthropoda","Insecta"
"74","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2836,-119.53,"Arthropoda","Insecta"
"75","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anthicidae","Anthicus","Anthicus maritimus","Anthicus maritimus",33.2836,-119.53,"Arthropoda","Insecta"
"76","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",33.3919,-118.4001,"Arthropoda","Insecta"
"77","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",33.3919,-118.4001,"Arthropoda","Insecta"
"78","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",33.3919,-118.4001,"Arthropoda","Insecta"
"79","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"80","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"81","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"82","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"83","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"84","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"85","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"86","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"87","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"88","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus nanus","Anthicus nanus",34.0019,-119.7127,"Arthropoda","Insecta"
"89","Cal-IBIS",6,2008,"San Clemente","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",32.9302,-118.5059,"Arthropoda","Insecta"
"90","Cal-IBIS",6,2008,"San Clemente","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",32.9302,-118.5059,"Arthropoda","Insecta"
"91","Cal-IBIS",6,2008,"San Clemente","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",32.9302,-118.5059,"Arthropoda","Insecta"
"92","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.3974,-118.3946,"Arthropoda","Insecta"
"93","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.3974,-118.3946,"Arthropoda","Insecta"
"94","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.3974,-118.3946,"Arthropoda","Insecta"
"95","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.3974,-118.3946,"Arthropoda","Insecta"
"96","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.3974,-118.3946,"Arthropoda","Insecta"
"97","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.3974,-118.3946,"Arthropoda","Insecta"
"98","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.3974,-118.3946,"Arthropoda","Insecta"
"99","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.4277,-118.4696,"Arthropoda","Insecta"
"100","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",33.4277,-118.4696,"Arthropoda","Insecta"
"101","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Anthicus","Anthicus punctulatus","Anthicus punctulatus",34.0019,-119.7127,"Arthropoda","Insecta"
"102","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus rufulus","Anthicus rufulus",33.3761,-118.4784,"Arthropoda","Insecta"
"103","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus rufulus","Anthicus rufulus",33.3857,-118.474,"Arthropoda","Insecta"
"104","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus rufulus","Anthicus rufulus",33.3857,-118.474,"Arthropoda","Insecta"
"105","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus rufulus","Anthicus rufulus",33.3857,-118.474,"Arthropoda","Insecta"
"106","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Anthicus","Anthicus rufulus","Anthicus rufulus",33.3857,-118.474,"Arthropoda","Insecta"
"107","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Cyclodinus","Cyclodinus annectens","Cyclodinus annectens",33.3857,-118.474,"Arthropoda","Insecta"
"108","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus","Ischyropalpus nitidulus","Ischyropalpus nitidulus",34.0066,-119.701,"Arthropoda","Insecta"
"109","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus","Ischyropalpus nitidulus","Ischyropalpus nitidulus",34.0066,-119.701,"Arthropoda","Insecta"
"110","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus","Ischyropalpus nitidulus","Ischyropalpus nitidulus",34.0107,-119.6882,"Arthropoda","Insecta"
"111","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus","Ischyropalpus nitidulus","Ischyropalpus nitidulus",34.0019,-119.7127,"Arthropoda","Insecta"
"112","Cal-IBIS",10,2001,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus","Ischyropalpus nitidulus","Ischyropalpus nitidulus",33.9981,-119.72,"Arthropoda","Insecta"
"113","Cal-IBIS",10,2001,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus","Ischyropalpus nitidulus","Ischyropalpus nitidulus",33.9981,-119.72,"Arthropoda","Insecta"
"114","Cal-IBIS",5,1979,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus","Ischyropalpus nitidulus","Ischyropalpus nitidulus",33.9967,-119.7246,"Arthropoda","Insecta"
"115","Cal-IBIS",5,1979,"Santa Cruz","Coleoptera","Anthicidae","Ischyropalpus","Ischyropalpus nitidulus","Ischyropalpus nitidulus",33.9967,-119.7246,"Arthropoda","Insecta"
"116","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anthicidae","Notoxus",NA,"Notoxus",33.9828,-120.022,"Arthropoda","Insecta"
"117","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anthicidae","Notoxus",NA,"Notoxus",33.9828,-120.022,"Arthropoda","Insecta"
"118","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anthicidae","Notoxus",NA,"Notoxus",33.9828,-120.022,"Arthropoda","Insecta"
"119","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anthicidae","Notoxus",NA,"Notoxus",33.9828,-120.022,"Arthropoda","Insecta"
"120","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anthicidae","Notoxus",NA,"Notoxus",33.985,-120.0764,"Arthropoda","Insecta"
"121","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.3566,-118.4482,"Arthropoda","Insecta"
"122","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.3566,-118.4482,"Arthropoda","Insecta"
"123","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.3566,-118.4482,"Arthropoda","Insecta"
"124","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.3566,-118.4482,"Arthropoda","Insecta"
"125","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.3566,-118.4482,"Arthropoda","Insecta"
"126","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.3566,-118.4482,"Arthropoda","Insecta"
"127","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.3566,-118.4482,"Arthropoda","Insecta"
"128","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.3566,-118.4482,"Arthropoda","Insecta"
"129","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",34.0019,-119.7127,"Arthropoda","Insecta"
"130","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",34.0019,-119.7127,"Arthropoda","Insecta"
"131","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",34.0019,-119.7127,"Arthropoda","Insecta"
"132","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",34.0019,-119.7127,"Arthropoda","Insecta"
"133","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",34.003,-119.7081,"Arthropoda","Insecta"
"134","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",34.0019,-119.7127,"Arthropoda","Insecta"
"135","Cal-IBIS",8,2005,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",34.0072,-119.7466,"Arthropoda","Insecta"
"136","Cal-IBIS",8,2001,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.9967,-119.7246,"Arthropoda","Insecta"
"137","Cal-IBIS",8,2001,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.9967,-119.7246,"Arthropoda","Insecta"
"138","Cal-IBIS",8,2001,"Santa Cruz","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.9967,-119.7246,"Arthropoda","Insecta"
"139","Cal-IBIS",4,2008,"Santa Rosa","Coleoptera","Anthicidae","Notoxus","Notoxus desertus","Notoxus desertus",33.9927,-120.0421,"Arthropoda","Insecta"
"140","Cal-IBIS",3,1989,"Santa Cruz","Coleoptera","Bostrichidae",NA,NA,"Bostrichidae",33.998239,-119.725508,"Arthropoda","Insecta"
"141","Cal-IBIS",6,1989,"Santa Cruz","Coleoptera","Bostrichidae",NA,NA,"Bostrichidae",33.998239,-119.725508,"Arthropoda","Insecta"
"142","Cal-IBIS",6,2005,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",33.9992,-119.7275,"Arthropoda","Insecta"
"143","Cal-IBIS",6,1989,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",33.9967,-119.7246,"Arthropoda","Insecta"
"144","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",34.0019,-119.7127,"Arthropoda","Insecta"
"145","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",34.0019,-119.7127,"Arthropoda","Insecta"
"146","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",34.0019,-119.7127,"Arthropoda","Insecta"
"147","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",34.0019,-119.7127,"Arthropoda","Insecta"
"148","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",34.0019,-119.7127,"Arthropoda","Insecta"
"149","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",34.0051,-119.7508,"Arthropoda","Insecta"
"150","Cal-IBIS",8,2001,"Santa Cruz","Coleoptera","Bostrichidae","Amphicerus","Amphicerus cornutus","Amphicerus cornutus",33.9967,-119.7246,"Arthropoda","Insecta"
"151","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Lyctus","Lyctus cavicollis","Lyctus cavicollis",34.0019,-119.7127,"Arthropoda","Insecta"
"152","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Lyctus","Lyctus cavicollis","Lyctus cavicollis",34.0019,-119.7127,"Arthropoda","Insecta"
"153","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Lyctus","Lyctus cavicollis","Lyctus cavicollis",34.0019,-119.7127,"Arthropoda","Insecta"
"154","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Lyctus","Lyctus cavicollis","Lyctus cavicollis",34.0019,-119.7127,"Arthropoda","Insecta"
"155","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Lyctus","Lyctus cavicollis","Lyctus cavicollis",34.0019,-119.7127,"Arthropoda","Insecta"
"156","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Lyctus","Lyctus cavicollis","Lyctus cavicollis",34.0019,-119.7127,"Arthropoda","Insecta"
"157","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Bostrichidae","Lyctus","Lyctus cavicollis","Lyctus cavicollis",34.0019,-119.7127,"Arthropoda","Insecta"
