"","source","id","institutio","collection","ownerInsti","collecti_1","basisOfRec","occurrence","catalogNum","otherCatal","kingdom","phylum","class","order","family","scientificName","taxonID","scientif_1","genus","specificEp","taxonRank","infraspeci","identified","dateIdenti","identifica","identifi_1","taxonRemar","identifi_2","typeStatus","recordedBy","recordNumb","eventDate","year","month","day","startDayOf","endDayOfYe","verbatimEv","occurren_1","habitat","fieldNumbe","informatio","dataGenera","dynamicPro","associated","reproducti","establishm","lifeStage","sex","individual","samplingPr","samplingEf","preparatio","country","stateProvi","county","municipali","island","locality","ArcMap_IslandName","locationRe","decimalLat","decimalLon","geodeticDa","coordinate","verbatimCo","georeferen","georefer_1","georefer_2","georefer_3","georefer_4","minimumEle","maximumEle","minimumDep","maximumDep","verbatimDe","verbatimEl","dispositio","language","recordEnte","modified","rights","rightsHold","accessRigh","recordId","references","acceptedName","acceptedFamily","acceptedGenus"
"11","Cal-IBIS",1568048,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f40b9ffc-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116398",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:2a374a53-e298-4118-a838-af00d75cc496","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568048",,,
"12","Cal-IBIS",1568049,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f40e0224-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116399",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:24bae6c2-9af5-4cc1-b860-677547181a73","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568049",,,
"13","Cal-IBIS",1568050,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f410632a-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116400",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:04eaedf6-0424-4537-b8b8-412066496a66","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568050",,,
"14","Cal-IBIS",1568051,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f412b2b0-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116401",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:97fb2f89-0a44-4d9c-bc4f-1ac94d7f6aad","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568051",,,
"15","Cal-IBIS",1568052,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f416e290-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116402",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:f1ba23d9-9f63-4001-8fb0-4bf804586e68","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568052",,,
"16","Cal-IBIS",1568053,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f41c61ac-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116403",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:11014d64-92c4-49eb-bfc9-f88fd8a007c2","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568053",,,
"17","Cal-IBIS",1568054,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f41f5ace-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116404",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:5ac3c7d8-4d87-45a7-9002-96fbca20ece3","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568054",,,
"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19","Cal-IBIS",1574164,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","10f15294-d554-4237-ac92-f944ab069de0","UCSB-IZC00025543",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Cercopidae",45543,"Leach, 1815",,,,,,,,,,0,,,,,1976,6,0,0,,"Jun-76",,,,,,,,,,"Adult",,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:c3912f11-077f-48e3-9159-ee03ddfc3fe4","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574164",,,
"20","Cal-IBIS",1574163,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","7472773d-886b-45c8-bbba-ba089662a4a1","UCSB-IZC00025532",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Cercopidae",45543,"Leach, 1815",,,,,,,,,,0,,,,"5/23/75 0:00",1975,5,23,143,,"5/23/75",,,,,,,,,,"Adult",,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:f6237472-bfe4-475e-98e8-a141b4f3498b","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574163",,,
"21","Cal-IBIS",1574161,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","a67d9ab2-29ee-44f1-9c86-7cc792e58e37","UCSB-IZC00025330",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Cercopidae",45543,"Leach, 1815",,,,,,,,,,0,,,,"5/23/75 0:00",1975,5,23,143,,"5/23/75",,,,,,,,,,"Adult",,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:3272d321-b199-4e38-b2b7-e7ccca407747","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574161",,,
"22","Cal-IBIS",1574162,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","a8c561d5-c6d2-470b-ad06-da8ca6d5b782","UCSB-IZC00032601",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Cercopidae",45543,"Leach, 1815",,,,,,,,,,0,,,,"9/18/75 0:00",1975,9,18,261,,"9/18/75",,,,,,,,,,"Adult",,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:4dcfbfd7-9cd4-4dab-8a82-2ce30d7c4dc4","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574162",,,
"23","Cal-IBIS",1574165,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","f854b12a-369b-4015-841b-c9f59bd7b188","UCSB-IZC00032347",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Cercopidae",45543,"Leach, 1815",,,,,,,,,,0,,,,"7/8/81 0:00",1981,7,8,189,,"7/8/81",,,,,,,,,,"Adult",,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:c75b60f3-295a-476a-a9fa-ca77b8e3c2a7","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574165",,,
"24","Cal-IBIS",1575266,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","c6a236ed-ffcf-44af-82ea-ec02ca43e57a","UCSB-IZC 00001169",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Cercopidae",45543,"Leach, 1815",,,,,,,,,,0,,,,"5/30/74 0:00",1974,5,30,150,,"5/30/74",,,,,,,,,,"Adult",,1,,,"Pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island",,,0,0,,0,,,,,,,0,,,,,,,,"CWright","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:6742560c-2969-457a-b102-babd8166181b","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575266",,,
"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26","Cal-IBIS",1575256,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","59721623-8cf0-411b-b420-bcc139a5688a","UCSB-IZC 00001136",,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellidae",45560,"Latreille, 1802",,,,,,,,,,0,,,,"5/23/75 0:00",1975,5,23,143,,"5/23/75",,,,,,,,,,,,1,,,"Pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.008126,-119.724201,"WGS84",20754,,"rbehm (2017-10-07 20:01:07)",,"georef batch tool 2017-10-07; GeoLocate","reviewed - high confidence",,0,,,,,,,,,"2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:869f2d92-20bb-4c94-bde7-ff4ed6debef1","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575256",,,
"27","Cal-IBIS",1574215,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","1db46d1f-f773-4830-823a-ffd4c3fb2b57","UCSB-IZC00032751",,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellidae",45560,"Latreille, 1802",,,,,,,,,,0,,,,"5/22/73 0:00",1973,5,22,142,,"5/22/73",,,,,,,,,,,,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:66a5085c-beb2-40e7-b538-266caec6665c","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574215",,,
"28","Cal-IBIS",1574220,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","3980fe14-d869-4560-8f1c-0cf9a2e8e848","UCSB-IZC00032241",,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellidae",45560,"Latreille, 1802",,,,,,,,,,0,,,,,1973,5,0,0,,"May-73",,,,,,,,,,,,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:fa5b35ff-8f23-47ed-b944-6b95d1eafbcd","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574220",,,
"29","Cal-IBIS",1574211,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","4391fcad-434d-4c9a-9afb-a3274af62818","UCSB-IZC00032884",,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellidae",45560,"Latreille, 1802",,,,,,,,,,0,,"R. Thorp",,"5/28/89 0:00",1989,5,28,148,,"5/28/89",,"on Lasthenia",,,,,,,,,,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:cb2afcd6-f82a-4296-8877-499c86dfe7b2","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574211",,,
"30","Cal-IBIS",1574223,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","4ae96383-25ed-4d2e-a7da-5eac31c508f8","UCSB-IZC00025531",,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Cicadellidae",45560,"Latreille, 1802",,,,,,,,,,0,,,,"9/18/75 0:00",1975,9,18,261,,"9/18/75",,,,,,,,,,,,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.016667,-119.716667,"WGS84",20369,,"entan (2019-08-19 15:59:52)",,"georef batch tool 2019-08-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:55903021-df64-4578-ad18-62e91c7da345","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574223",,,
